Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
TOTAL	TOTAL	1	1	1	1
MAPPED	TOTAL	0.7224	0.733	0.7924	0.7962
Genetic Information Processing	TOTAL	0.29	0.3219	0.3314	0.3312
-Transcription	TOTAL	0.03389	0.03346	0.03965	0.03689
-Translation	TOTAL	0.1339	0.1826	0.1137	0.1143
-Folding, Sorting and Degradation	TOTAL	0.09178	0.08021	0.1434	0.143
-DNA Maintenance	TOTAL	0.03601	0.03389	0.04524	0.04441
-RNA Family	TOTAL	0	0	0	0
Environmental Information Processing	TOTAL	0.06609	0.05751	0.02369	0.0235
-Signal Transduction	TOTAL	0.01054	0.008867	0.007202	0.008416
-Signaling Molecules and Interaction	TOTAL	0.05989	0.05189	0.02	0.01796
Cellular Processes	TOTAL	0.08494	0.08155	0.09067	0.08359
-Cell structure	TOTAL	0	0	0	0
-Crystallins	TOTAL	0	0	0	0
-Stress Response	TOTAL	0	0	0	0
-Vesicular Transport	TOTAL	0.03602	0.0388	0.02147	0.02481
-Cytoskeleton	TOTAL	0.03991	0.03482	0.05294	0.04204
-Cell Motility	TOTAL	0	0	0	0
-Cell Growth and Death	TOTAL	0.01087	0.008204	0.01577	0.01511
-Cell Communication	TOTAL	0.005635	0.004651	0.00588	0.005898
Metabolism	TOTAL	0.1858	0.181	0.2638	0.2923
-Membrane Transport	TOTAL	0.00423	0.003788	0.002992	0.002963
-Central Carbon Metabolism	TOTAL	0.03349	0.04062	0.07642	0.08325
-Energy Metabolism	TOTAL	0.01099	0.009981	0.02182	0.02419
-Biosynthesis	TOTAL	0.05176	0.05202	0.05949	0.06045
-Other Enzymes	TOTAL	0.09858	0.0983	0.1356	0.1483
Organismal Systems	TOTAL	0.07868	0.0784	0.05803	0.05027
-Immune System	TOTAL	0.05119	0.05774	0.02226	0.02186
-Endocrine System	TOTAL	0.006374	0.005772	0.01426	0.006635
-Circulatory System	TOTAL	0.002498	0.002539	0.006237	0.005942
-Digestive System	TOTAL	0.005285	0.003212	0.002441	0.002608
-Excretory System	TOTAL	0.006977	0.006055	0.007206	0.006925
-Nervous System	TOTAL	0.01101	0.008301	0.01413	0.01321
-Sensory System	TOTAL	0.000748	0.0007398	0.000366	0.0001947
-Development	TOTAL	0.004794	0.003736	0.002985	0.002189
-Environmental Adaptation	TOTAL	0.001469	0.001665	0.001831	0.001521
Human Diseases	TOTAL	0.08718	0.08826	0.1137	0.109
-Cancers	TOTAL	0.01073	0.00918	0.007144	0.007138
-Immune System Diseases	TOTAL	0.00419	0.004043	0.004472	0.004166
-Neurodegenerative Diseases	TOTAL	0.03368	0.04255	0.06397	0.06363
-Cardiovascular Diseases	TOTAL	0.003031	0.002	0.006627	0.004816
-Metabolic Diseases	TOTAL	0.0009724	0.0008031	0.007424	0.01138
-Infectious Diseases	TOTAL	0.03567	0.0346	0.0401	0.0359
Not Mapped	TOTAL	0.2776	0.267	0.2076	0.2038
-Not Mapped	TOTAL	0.2776	0.267	0.2076	0.2038
TOTAL	MAPPED	1.384	1.364	1.262	1.256
MAPPED	MAPPED	1	1	1	1
Genetic Information Processing	MAPPED	0.4015	0.4392	0.4183	0.416
-Transcription	MAPPED	0.04691	0.04566	0.05004	0.04633
-Translation	MAPPED	0.1854	0.2491	0.1435	0.1436
-Folding, Sorting and Degradation	MAPPED	0.127	0.1094	0.1809	0.1796
-DNA Maintenance	MAPPED	0.04984	0.04624	0.0571	0.05579
-RNA Family	MAPPED	0	0	0	0
Environmental Information Processing	MAPPED	0.09148	0.07847	0.0299	0.02952
-Signal Transduction	MAPPED	0.01459	0.0121	0.009089	0.01057
-Signaling Molecules and Interaction	MAPPED	0.0829	0.07079	0.02524	0.02256
Cellular Processes	MAPPED	0.1176	0.1113	0.1144	0.105
-Cell structure	MAPPED	0	0	0	0
-Crystallins	MAPPED	0	0	0	0
-Stress Response	MAPPED	0	0	0	0
-Vesicular Transport	MAPPED	0.04986	0.05293	0.0271	0.03116
-Cytoskeleton	MAPPED	0.05525	0.04751	0.06682	0.0528
-Cell Motility	MAPPED	0	0	0	0
-Cell Growth and Death	MAPPED	0.01505	0.01119	0.01991	0.01898
-Cell Communication	MAPPED	0.007801	0.006346	0.007421	0.007409
Metabolism	MAPPED	0.2572	0.2469	0.3329	0.3672
-Membrane Transport	MAPPED	0.005856	0.005168	0.003776	0.003721
-Central Carbon Metabolism	MAPPED	0.04636	0.05542	0.09644	0.1046
-Energy Metabolism	MAPPED	0.01521	0.01362	0.02754	0.03039
-Biosynthesis	MAPPED	0.07165	0.07097	0.07507	0.07593
-Other Enzymes	MAPPED	0.1365	0.1341	0.1711	0.1863
