Category	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
TOTAL	1	1	1	1
MAPPED	0.7224324	0.73295252	0.79237127	0.79616618
Genetic Information Processing	0.36094134	0.38435549	0.39885984	0.40221555
-Transcription	0.048522728	0.046310636	0.050661835	0.049618884
--RNA polymerase	0.0036007714	0.0029289893	0.0012714867	0.0013581602
--Basal transcription factors	0.0016696438	0.0014747671	0.00052416241	0.00056272786
--Transcription factors	0.014090201	0.012303061	0.005555862	0.0066746241
--Spliceosome	0.029162112	0.029603819	0.043310324	0.041023371
-Translation	0.14295776	0.19007812	0.12379147	0.12574902
--Ribosome	0.091772053	0.14711924	0.068751634	0.074245681
--Translation factors	0.024059028	0.019089186	0.027201232	0.024450077
--tRNA loading	0.0094122496	0.0077567802	0.014214088	0.013091429
--RNA transport	0.012880699	0.012049574	0.010156287	0.010750303
--mRNA surveillance pathway	0.0020787459	0.0015126621	0.0015335021	0.0014400079
--Ribosome biogenesis in eukaryotes	0.0020954074	0.0019525569	0.0014405347	0.0011472921
--Ribosome biogenesis	0.00065957306	0.00059811535	0.00049418799	0.00062423347
-Folding, Sorting and Degradation	0.129036	0.11178567	0.18169761	0.181776
--Protease inhibitors	0.0028278885	0.00066240454	0.0057997385	0.0020590382
--Chaperones and folding catalysts	0.039471244	0.034929408	0.08385673	0.087767368
--Protein export	0.0066962776	0.006152391	0.0056127817	0.0045361595
--Protein processing in endoplasmic reticulum	0.018064495	0.015140639	0.014714871	0.013842564
--SNARE interactions in vesicular transport	0.0037200438	0.0030199266	0.0029633926	0.0028710274
--SNAREs	9.8832143e-05	0.00011277421	7.4957954e-05	0.00010439469
--Ubiquitin mediated proteolysis	0.0081869859	0.0072319989	0.0046616804	0.0058353311
--Ubiquitin labeling	0.013951457	0.012096879	0.01149288	0.010272565
--Sulfur relay system	0.00026094234	0.00025791276	0.00028298935	0.00018094286
--Proteasome	0.017231635	0.015517684	0.036408928	0.036526818
--Peptidases	0.013531988	0.011466407	0.012144192	0.013974797
--RNA degradation	0.0049942093	0.0051972502	0.0036844651	0.003804994
-DNA Maintenance	0.040424857	0.036181062	0.042708937	0.045071641
