Category	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
TOTAL	1	1	1	1
MAPPED	0.77959007	0.76851091	0.82719754	0.8324212
Genetic Information Processing	0.42017842	0.41221028	0.42925882	0.42750107
-Transcription	0.060644225	0.058362518	0.055660911	0.055036081
--RNA polymerase	0.0040739603	0.0030509649	0.0016041078	0.0016553334
--Basal transcription factors	0.0019729511	0.0018815786	0.00090105244	0.0011086943
--Transcription factors	0.018320237	0.017182617	0.0084277167	0.010223564
--Spliceosome	0.036277076	0.036247358	0.044728034	0.042048489
-Translation	0.12409498	0.14659094	0.11685802	0.11454312
--Ribosome	0.038876498	0.073695941	0.033706652	0.03566319
--Translation factors	0.037455557	0.031019129	0.037036025	0.03270547
--tRNA loading	0.016759639	0.014588765	0.02402953	0.023001056
--RNA transport	0.022628428	0.020333987	0.017307798	0.018528498
--mRNA surveillance pathway	0.0050602512	0.003840343	0.0024762038	0.0023805063
--Ribosome biogenesis in eukaryotes	0.0022617505	0.0020799397	0.0013959407	0.0011674336
--Ribosome biogenesis	0.0010528568	0.001032837	0.00090587405	0.0010969669
-Folding, Sorting and Degradation	0.15654446	0.13807775	0.19443736	0.19356029
--Protease inhibitors	0.0024379481	0.00062226772	0.005311001	0.0018655998
--Chaperones and folding catalysts	0.044057437	0.04020628	0.089821745	0.091656819
--Protein export	0.0050852509	0.0048278669	0.0037233379	0.00263484
--Protein processing in endoplasmic reticulum	0.022013554	0.018880742	0.020533574	0.018453866
--SNARE interactions in vesicular transport	0.0016555851	0.0015708657	0.0012470635	0.0013406482
--SNAREs	6.755902e-05	8.4050308e-05	5.4521721e-05	7.5119323e-05
--Ubiquitin mediated proteolysis	0.018545554	0.015760369	0.0080806353	0.0093435307
--Ubiquitin labeling	0.025092383	0.021339146	0.015222697	0.015698977
--Sulfur relay system	0.00019861364	0.00020996694	0.00024396666	0.00016114318
--Proteasome	0.012612299	0.011769719	0.027221472	0.027490778
--Peptidases	0.016678298	0.014782672	0.017805185	0.01977807
--RNA degradation	0.0080999757	0.0080238086	0.0051721615	0.0050608953
-DNA Maintenance	0.078894757	0.069179062	0.062302524	0.064361577
--DNA replication	0.00072332751	0.00075430365	0.0014708955	0.001127684
--DNA replication complex	0.0072868566	0.0069819664	0.0095215257	0.0086402538
--DNA replication control	0.014068998	0.011129263	0.0097664486	0.011268189
--Chromosome-related	0.049315715	0.042973902	0.03011974	0.031590737
--Base excision repair	0.00086709583	0.0013345726	0.00030111264	0.00039185893
--Nucleotide excision repair	0.00027703287	0.00035558242	7.2021495e-06	6.4776787e-06
--Mismatch repair	0.0013981294	0.0011840204	0.0018516181	0.0021396681
