Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
TOTAL	TOTAL	1	1	1	1
MAPPED	TOTAL	0.7796	0.7685	0.8272	0.8324
Genetic Information Processing	TOTAL	0.3085	0.3156	0.3305	0.324
-Transcription	TOTAL	0.03949	0.03957	0.04145	0.0394
-Translation	TOTAL	0.1055	0.1304	0.09469	0.09425
-Folding, Sorting and Degradation	TOTAL	0.1009	0.08681	0.1457	0.1417
-DNA Maintenance	TOTAL	0.06146	0.05555	0.04782	0.04981
-RNA Family	TOTAL	0	0	0	0
Environmental Information Processing	TOTAL	0.0426	0.0362	0.01805	0.01772
-Signal Transduction	TOTAL	0.01208	0.01023	0.006388	0.006717
-Signaling Molecules and Interaction	TOTAL	0.03029	0.02591	0.01284	0.0114
Cellular Processes	TOTAL	0.1035	0.09285	0.09616	0.08848
-Cell structure	TOTAL	0	0	0	0
-Crystallins	TOTAL	0	0	0	0
-Stress Response	TOTAL	0	0	0	0
-Vesicular Transport	TOTAL	0.03261	0.03722	0.01956	0.01983
-Cytoskeleton	TOTAL	0.04756	0.03995	0.05192	0.04415
-Cell Motility	TOTAL	0	0	0	0
-Cell Growth and Death	TOTAL	0.01085	0.009256	0.01148	0.01164
-Cell Communication	TOTAL	0.009359	0.007462	0.01001	0.009998
Metabolism	TOTAL	0.1919	0.189	0.2536	0.2705
-Membrane Transport	TOTAL	0.003251	0.002698	0.001602	0.001516
-Central Carbon Metabolism	TOTAL	0.02352	0.02123	0.0457	0.05477
-Energy Metabolism	TOTAL	0.007447	0.007254	0.0172	0.01977
-Biosynthesis	TOTAL	0.04433	0.04673	0.05228	0.05831
-Other Enzymes	TOTAL	0.1112	0.1037	0.1184	0.1318
Organismal Systems	TOTAL	0.06365	0.06574	0.045	0.0459
-Immune System	TOTAL	0.03575	0.03815	0.02021	0.02157
-Endocrine System	TOTAL	0.007229	0.005921	0.007996	0.005789
-Circulatory System	TOTAL	0.001181	0.001129	0.002532	0.002131
-Digestive System	TOTAL	0.003882	0.004092	0.001185	0.0009685
-Excretory System	TOTAL	0.004374	0.003717	0.005033	0.004514
-Nervous System	TOTAL	0.005258	0.004245	0.00357	0.003604
-Sensory System	TOTAL	0.0005461	0.0006061	0.0001346	0.0001527
-Development	TOTAL	0.003419	0.003183	0.001388	0.001253
-Environmental Adaptation	TOTAL	0.0002321	0.0001926	0.0003946	0.0003379
Human Diseases	TOTAL	0.06203	0.06008	0.07877	0.0833
-Cancers	TOTAL	0.01213	0.009598	0.007061	0.00733
-Immune System Diseases	TOTAL	0.00233	0.002063	0.00292	0.002275
-Neurodegenerative Diseases	TOTAL	0.01439	0.01448	0.03018	0.02694
-Cardiovascular Diseases	TOTAL	0.005029	0.003566	0.007121	0.004122
-Metabolic Diseases	TOTAL	0	0	0	0
-Infectious Diseases	TOTAL	0.02309	0.02513	0.01935	0.0196
Not Mapped	TOTAL	0.2204	0.2315	0.1728	0.1676
-Not Mapped	TOTAL	0.2204	0.2315	0.1728	0.1676
TOTAL	MAPPED	1.283	1.301	1.209	1.201
MAPPED	MAPPED	1	1	1	1
Genetic Information Processing	MAPPED	0.3957	0.4107	0.3995	0.3892
-Transcription	MAPPED	0.05065	0.05149	0.05011	0.04733
-Translation	MAPPED	0.1354	0.1696	0.1145	0.1132
-Folding, Sorting and Degradation	MAPPED	0.1294	0.113	0.1762	0.1703
-DNA Maintenance	MAPPED	0.07884	0.07229	0.05782	0.05984
-RNA Family	MAPPED	0	0	0	0
Environmental Information Processing	MAPPED	0.05465	0.0471	0.02183	0.02129
-Signal Transduction	MAPPED	0.01549	0.01331	0.007723	0.008069
-Signaling Molecules and Interaction	MAPPED	0.03885	0.03371	0.01553	0.01369
Cellular Processes	MAPPED	0.1328	0.1208	0.1162	0.1063
-Cell structure	MAPPED	0	0	0	0
-Crystallins	MAPPED	0	0	0	0
-Stress Response	MAPPED	0	0	0	0
-Vesicular Transport	MAPPED	0.04182	0.04844	0.02364	0.02382
-Cytoskeleton	MAPPED	0.06101	0.05199	0.06277	0.05303
-Cell Motility	MAPPED	0	0	0	0
-Cell Growth and Death	MAPPED	0.01392	0.01204	0.01388	0.01398
-Cell Communication	MAPPED	0.012	0.009709	0.0121	0.01201
Metabolism	MAPPED	0.2461	0.246	0.3065	0.325
-Membrane Transport	MAPPED	0.00417	0.00351	0.001936	0.001821
-Central Carbon Metabolism	MAPPED	0.03017	0.02763	0.05525	0.06579
-Energy Metabolism	MAPPED	0.009552	0.009438	0.02079	0.02375
-Biosynthesis	MAPPED	0.05687	0.06081	0.0632	0.07004
-Other Enzymes	MAPPED	0.1426	0.1349	0.1431	0.1584
Organismal Systems	MAPPED	0.08165	0.08555	0.0544	0.05514
-Immune System	MAPPED	0.04586	0.04964	0.02443	0.02591
-Endocrine System	MAPPED	0.009273	0.007704	0.009666	0.006955
-Circulatory System	MAPPED	0.001514	0.001469	0.003061	0.00256
-Digestive System	MAPPED	0.004979	0.005325	0.001433	0.001164
-Excretory System	MAPPED	0.00561	0.004837	0.006085	0.005422
-Nervous System	MAPPED	0.006744	0.005524	0.004316	0.004329
-Sensory System	MAPPED	0.0007005	0.0007887	0.0001627	0.0001835
-Development	MAPPED	0.004386	0.004142	0.001677	0.001506
-Environmental Adaptation	MAPPED	0.0002978	0.0002506	0.000477	0.0004059
Human Diseases	MAPPED	0.07957	0.07817	0.09523	0.1001
-Cancers	MAPPED	0.01556	0.01249	0.008536	0.008805
-Immune System Diseases	MAPPED	0.002989	0.002684	0.00353	0.002733
-Neurodegenerative Diseases	MAPPED	0.01846	0.01884	0.03648	0.03236
-Cardiovascular Diseases	MAPPED	0.006451	0.00464	0.008609	0.004951
-Metabolic Diseases	MAPPED	0	0	0	0
-Infectious Diseases	MAPPED	0.02962	0.0327	0.0234	0.02354
Not Mapped	MAPPED	0.2827	0.3012	0.2089	0.2013
-Not Mapped	MAPPED	0.2827	0.3012	0.2089	0.2013
TOTAL	Genetic Information Processing	3.228	3.168	3.013	3.05
MAPPED	Genetic Information Processing	2.516	2.434	2.492	2.539
