Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
TOTAL	TOTAL	1	1	1	1
MAPPED	TOTAL	0.7796	0.7685	0.8272	0.8324
Genetic Information Processing	TOTAL	0.3044	0.3108	0.3178	0.3115
-Transcription	TOTAL	0.03613	0.03529	0.04047	0.03871
-Translation	TOTAL	0.1014	0.1264	0.09174	0.09053
-Folding, Sorting and Degradation	TOTAL	0.09695	0.08397	0.1351	0.1296
-DNA Maintenance	TOTAL	0.05777	0.05289	0.04472	0.0426
-RNA Family	TOTAL	0	0	0	0
Environmental Information Processing	TOTAL	0.03267	0.03089	0.01533	0.01374
-Signal Transduction	TOTAL	0.005861	0.006091	0.002416	0.002885
-Signaling Molecules and Interaction	TOTAL	0.024	0.02177	0.01038	0.009419
Cellular Processes	TOTAL	0.09384	0.08453	0.08455	0.07849
-Cell structure	TOTAL	0	0	0	0
-Crystallins	TOTAL	0	0	0	0
-Stress Response	TOTAL	0	0	0	0
-Vesicular Transport	TOTAL	0.02756	0.02947	0.01574	0.01548
-Cytoskeleton	TOTAL	0.04245	0.03412	0.04149	0.03421
-Cell Motility	TOTAL	0	0	0	0
-Cell Growth and Death	TOTAL	0.008164	0.007397	0.00735	0.00786
-Cell Communication	TOTAL	0.008574	0.006561	0.00837	0.007694
Metabolism	TOTAL	0.174	0.166	0.2175	0.2411
-Membrane Transport	TOTAL	0.00262	0.002132	0.001289	0.001394
-Central Carbon Metabolism	TOTAL	0.01302	0.01046	0.02832	0.03018
-Energy Metabolism	TOTAL	0.004086	0.004046	0.01451	0.01845
-Biosynthesis	TOTAL	0.03499	0.03439	0.04739	0.04752
-Other Enzymes	TOTAL	0.09211	0.08525	0.09023	0.0988
Organismal Systems	TOTAL	0.0531	0.05512	0.04026	0.03553
-Immune System	TOTAL	0.02688	0.03155	0.01607	0.01576
-Endocrine System	TOTAL	0.002331	0.002755	0.004876	0.002726
-Circulatory System	TOTAL	0.0003682	0.0004464	0.001547	0.001408
-Digestive System	TOTAL	0.002338	0.001803	0.0007855	0.0006434
-Excretory System	TOTAL	0.003214	0.002906	0.00413	0.003219
-Nervous System	TOTAL	0.001436	0.00117	0.001161	0.0008434
-Sensory System	TOTAL	0	0	0	0
-Development	TOTAL	0.00155	0.00126	0.0005805	0.0005752
-Environmental Adaptation	TOTAL	0	0	0	0
Human Diseases	TOTAL	0.05099	0.04821	0.0564	0.05257
-Cancers	TOTAL	0.009086	0.007237	0.003337	0.003638
-Immune System Diseases	TOTAL	0.0004281	0.0003332	0.001606	0.001399
-Neurodegenerative Diseases	TOTAL	0.007807	0.00791	0.01034	0.0105
-Cardiovascular Diseases	TOTAL	0.001581	0.0008361	0.006079	0.003276
-Metabolic Diseases	TOTAL	0	0	0	0
-Infectious Diseases	TOTAL	0.01896	0.01859	0.01248	0.01304
Not Mapped	TOTAL	0.2204	0.2315	0.1728	0.1676
-Not Mapped	TOTAL	0.2204	0.2315	0.1728	0.1676
TOTAL	MAPPED	1.283	1.301	1.209	1.201
MAPPED	MAPPED	1	1	1	1
Genetic Information Processing	MAPPED	0.3905	0.4045	0.3842	0.3742
-Transcription	MAPPED	0.04634	0.04591	0.04892	0.04651
-Translation	MAPPED	0.1301	0.1644	0.1109	0.1088
-Folding, Sorting and Degradation	MAPPED	0.1244	0.1093	0.1633	0.1557
-DNA Maintenance	MAPPED	0.0741	0.06882	0.05406	0.05117
-RNA Family	MAPPED	0	0	0	0
Environmental Information Processing	MAPPED	0.04191	0.04019	0.01853	0.0165
-Signal Transduction	MAPPED	0.007518	0.007925	0.002921	0.003466
-Signaling Molecules and Interaction	MAPPED	0.03079	0.02833	0.01255	0.01131
Cellular Processes	MAPPED	0.1204	0.11	0.1022	0.0943
-Cell structure	MAPPED	0	0	0	0
-Crystallins	MAPPED	0	0	0	0
-Stress Response	MAPPED	0	0	0	0
-Vesicular Transport	MAPPED	0.03535	0.03835	0.01902	0.01859
-Cytoskeleton	MAPPED	0.05445	0.0444	0.05015	0.0411
-Cell Motility	MAPPED	0	0	0	0
-Cell Growth and Death	MAPPED	0.01047	0.009625	0.008886	0.009442
-Cell Communication	MAPPED	0.011	0.008537	0.01012	0.009243
Metabolism	MAPPED	0.2232	0.2161	0.2629	0.2896
-Membrane Transport	MAPPED	0.003361	0.002774	0.001559	0.001674
-Central Carbon Metabolism	MAPPED	0.0167	0.01361	0.03423	0.03625
-Energy Metabolism	MAPPED	0.005242	0.005265	0.01754	0.02216
-Biosynthesis	MAPPED	0.04488	0.04474	0.0573	0.05709
-Other Enzymes	MAPPED	0.1182	0.1109	0.1091	0.1187
Organismal Systems	MAPPED	0.06812	0.07172	0.04867	0.04268
-Immune System	MAPPED	0.03449	0.04106	0.01942	0.01893
-Endocrine System	MAPPED	0.00299	0.003585	0.005894	0.003275
-Circulatory System	MAPPED	0.0004723	0.0005809	0.001871	0.001692
-Digestive System	MAPPED	0.002999	0.002346	0.0009496	0.0007729
-Excretory System	MAPPED	0.004123	0.003781	0.004992	0.003867
-Nervous System	MAPPED	0.001843	0.001523	0.001403	0.001013
-Sensory System	MAPPED	0	0	0	0
-Development	MAPPED	0.001988	0.00164	0.0007018	0.000691
-Environmental Adaptation	MAPPED	0	0	0	0
Human Diseases	MAPPED	0.0654	0.06274	0.06818	0.06315
-Cancers	MAPPED	0.01165	0.009417	0.004035	0.00437
-Immune System Diseases	MAPPED	0.0005492	0.0004335	0.001941	0.001681
-Neurodegenerative Diseases	MAPPED	0.01001	0.01029	0.0125	0.01262
-Cardiovascular Diseases	MAPPED	0.002028	0.001088	0.007349	0.003935
-Metabolic Diseases	MAPPED	0	0	0	0
-Infectious Diseases	MAPPED	0.02432	0.02419	0.01508	0.01566
Not Mapped	MAPPED	0.2827	0.3012	0.2089	0.2013
-Not Mapped	MAPPED	0.2827	0.3012	0.2089	0.2013
TOTAL	Genetic Information Processing	3.156	3.107	2.908	2.992
MAPPED	Genetic Information Processing	2.46	2.387	2.406	2.491
Genetic Information Processing	Genetic Information Processing	1	1	1	1
-Transcription	Genetic Information Processing	0.1187	0.1135	0.1214	0.118
