Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.7796	0.7796	0.7796	0.7685	0.7685	0.7685	0.8272	0.8272	0.8272	0.8324	0.8324	0.8324
Genetic Information Processing	TOTAL	0.3044	0.3085	0.3155	0.3108	0.3156	0.3195	0.3178	0.3305	0.3388	0.3115	0.324	0.3338
-Transcription	TOTAL	0.03613	0.03949	0.04051	0.03529	0.03957	0.04146	0.04047	0.04145	0.04301	0.03871	0.0394	0.04038
-Translation	TOTAL	0.1014	0.1055	0.1088	0.1264	0.1304	0.1332	0.09174	0.09469	0.09931	0.09053	0.09425	0.0956
-Folding, Sorting and Degradation	TOTAL	0.09695	0.1009	0.1064	0.08397	0.08681	0.09343	0.1351	0.1457	0.1507	0.1296	0.1417	0.1467
-DNA Maintenance	TOTAL	0.05777	0.06146	0.0659	0.05289	0.05555	0.05858	0.04472	0.04782	0.05414	0.0426	0.04981	0.0557
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.03267	0.0426	0.0484	0.03089	0.0362	0.04499	0.01533	0.01805	0.02049	0.01374	0.01772	0.02152
-Signal Transduction	TOTAL	0.005861	0.01208	0.01466	0.006091	0.01023	0.01204	0.002416	0.006388	0.007322	0.002885	0.006717	0.008376
-Signaling Molecules and Interaction	TOTAL	0.024	0.03029	0.04104	0.02177	0.02591	0.03784	0.01038	0.01284	0.01496	0.009419	0.0114	0.01352
Cellular Processes	TOTAL	0.09384	0.1035	0.1094	0.08453	0.09285	0.1005	0.08455	0.09616	0.107	0.07849	0.08848	0.1005
-Cell structure	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0
-Crystallins	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	TOTAL	0.02756	0.03261	0.03737	0.02947	0.03722	0.04213	0.01574	0.01956	0.02299	0.01548	0.01983	0.02348
-Cytoskeleton	TOTAL	0.04245	0.04756	0.05157	0.03412	0.03995	0.04264	0.04149	0.05192	0.06064	0.03421	0.04415	0.05247
-Cell Motility	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.008164	0.01085	0.01255	0.007397	0.009256	0.01064	0.00735	0.01148	0.01396	0.00786	0.01164	0.01455
-Cell Communication	TOTAL	0.008574	0.009359	0.01316	0.006561	0.007462	0.01104	0.00837	0.01001	0.01844	0.007694	0.009998	0.01839
Metabolism	TOTAL	0.174	0.1919	0.2063	0.166	0.189	0.2056	0.2175	0.2536	0.2696	0.2411	0.2705	0.2966
-Membrane Transport	TOTAL	0.00262	0.003251	0.005217	0.002132	0.002698	0.004475	0.001289	0.001602	0.002712	0.001394	0.001516	0.001977
-Central Carbon Metabolism	TOTAL	0.01302	0.02352	0.03076	0.01046	0.02123	0.03828	0.02832	0.0457	0.07339	0.03018	0.05477	0.08403
-Energy Metabolism	TOTAL	0.004086	0.007447	0.00833	0.004046	0.007254	0.007754	0.01451	0.0172	0.02139	0.01845	0.01977	0.02538
-Biosynthesis	TOTAL	0.03499	0.04433	0.05208	0.03439	0.04673	0.05384	0.04739	0.05228	0.06458	0.04752	0.05831	0.06785
