Numerator	Denominator	hsa Khan Chimpanzee RNA	hsa Khan Human RNA	hsa Khan Chimpanzee Protein	hsa Khan Human Protein
TOTAL	TOTAL	1	1	1	1
MAPPED	TOTAL	0.7224	0.733	0.7924	0.7962
Genetic Information Processing	TOTAL	0.2816	0.3152	0.3053	0.3049
-Transcription	TOTAL	0.03213	0.03087	0.03126	0.03046
-Translation	TOTAL	0.1297	0.1785	0.1082	0.1115
-Folding, Sorting and Degradation	TOTAL	0.08143	0.06979	0.1171	0.1152
-DNA Maintenance	TOTAL	0.0328	0.03023	0.03639	0.03865
-RNA Family	TOTAL	0	0	0	0
Environmental Information Processing	TOTAL	0.04187	0.03557	0.01841	0.01734
-Signal Transduction	TOTAL	0.004618	0.00412	0.002786	0.003535
-Signaling Molecules and Interaction	TOTAL	0.03503	0.02912	0.01444	0.01311
Cellular Processes	TOTAL	0.0666	0.06131	0.05328	0.04803
-Cell structure	TOTAL	0	0	0	0
-Crystallins	TOTAL	0	0	0	0
-Stress Response	TOTAL	0	0	0	0
-Vesicular Transport	TOTAL	0.02135	0.02418	0.01121	0.01172
-Cytoskeleton	TOTAL	0.0237	0.01767	0.02604	0.01955
-Cell Motility	TOTAL	0	0	0	0
-Cell Growth and Death	TOTAL	0.005211	0.004303	0.006108	0.006007
-Cell Communication	TOTAL	0.004038	0.003083	0.003454	0.003175
Metabolism	TOTAL	0.155	0.1377	0.1961	0.2176
-Membrane Transport	TOTAL	0.002362	0.001871	0.001093	0.0009673
-Central Carbon Metabolism	TOTAL	0.01085	0.008243	0.02305	0.02394
-Energy Metabolism	TOTAL	0.005965	0.005762	0.01445	0.01793
-Biosynthesis	TOTAL	0.0325	0.03074	0.04103	0.04107
-Other Enzymes	TOTAL	0.07156	0.06471	0.07785	0.08602
Organismal Systems	TOTAL	0.05373	0.05479	0.04172	0.03146
-Immune System	TOTAL	0.03261	0.03524	0.01447	0.01364
-Endocrine System	TOTAL	0.002534	0.002803	0.01162	0.004079
-Circulatory System	TOTAL	0.0003206	0.0004896	0.002061	0.00182
-Digestive System	TOTAL	0.00141	0.001134	0.0004414	0.0003818
-Excretory System	TOTAL	0.001533	0.001331	0.002327	0.002077
-Nervous System	TOTAL	0.001632	0.001202	0.001143	0.00094
-Sensory System	TOTAL	0	0	0	0
-Development	TOTAL	0.001335	0.001119	0.0004475	0.0003966
-Environmental Adaptation	TOTAL	0	0	0	0
Human Diseases	TOTAL	0.04149	0.03758	0.04562	0.04631
-Cancers	TOTAL	0.005815	0.004416	0.00281	0.003113
-Immune System Diseases	TOTAL	0.0004746	0.0003556	0.001555	0.001423
-Neurodegenerative Diseases	TOTAL	0.009532	0.009263	0.01352	0.01322
-Cardiovascular Diseases	TOTAL	0.001114	0.0005114	0.003508	0.001671
-Metabolic Diseases	TOTAL	0	0	0	0
-Infectious Diseases	TOTAL	0.01487	0.01404	0.01091	0.01306
Not Mapped	TOTAL	0.2776	0.267	0.2076	0.2038
-Not Mapped	TOTAL	0.2776	0.267	0.2076	0.2038
TOTAL	MAPPED	1.384	1.364	1.262	1.256
MAPPED	MAPPED	1	1	1	1
Genetic Information Processing	MAPPED	0.3897	0.4301	0.3853	0.383
-Transcription	MAPPED	0.04448	0.04211	0.03945	0.03826
-Translation	MAPPED	0.1796	0.2435	0.1365	0.1401
-Folding, Sorting and Degradation	MAPPED	0.1127	0.09522	0.1478	0.1448
-DNA Maintenance	MAPPED	0.04541	0.04124	0.04592	0.04855
-RNA Family	MAPPED	0	0	0	0
Environmental Information Processing	MAPPED	0.05796	0.04853	0.02323	0.02178
-Signal Transduction	MAPPED	0.006393	0.005621	0.003516	0.004441
-Signaling Molecules and Interaction	MAPPED	0.04848	0.03973	0.01822	0.01646
Cellular Processes	MAPPED	0.09219	0.08364	0.06724	0.06033
-Cell structure	MAPPED	0	0	0	0
-Crystallins	MAPPED	0	0	0	0
-Stress Response	MAPPED	0	0	0	0
-Vesicular Transport	MAPPED	0.02956	0.03299	0.01415	0.01472
-Cytoskeleton	MAPPED	0.03281	0.02411	0.03286	0.02455
-Cell Motility	MAPPED	0	0	0	0
-Cell Growth and Death	MAPPED	0.007213	0.005871	0.007708	0.007544
-Cell Communication	MAPPED	0.005589	0.004207	0.004359	0.003988
Metabolism	MAPPED	0.2145	0.1878	0.2475	0.2733
-Membrane Transport	MAPPED	0.00327	0.002553	0.00138	0.001215
-Central Carbon Metabolism	MAPPED	0.01502	0.01125	0.02909	0.03007
-Energy Metabolism	MAPPED	0.008257	0.007861	0.01824	0.02252
-Biosynthesis	MAPPED	0.04499	0.04194	0.05178	0.05159
-Other Enzymes	MAPPED	0.09905	0.08829	0.09825	0.108
Organismal Systems	MAPPED	0.07437	0.07476	0.05266	0.03952
