Category	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
TOTAL	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	0.80251716	0.92535402	0.84900253	0.89267665	0.82832139	0.8260173	0.79237127	0.79616618	0.80263559	0.79418005	0.78711878	0.89471286
Genetic Information Processing	0.33000981	0.50166395	0.46303167	0.42336241	0.43226614	0.39615402	0.39805708	0.40149044	0.49037253	0.46942385	0.36877988	0.42818463
-Transcription	0.020496893	0.034019909	0.0094005906	0.0067089363	0.015325596	0.01381425	0.050661835	0.049618884	0.048629018	0.043743442	0.037757203	0.045506168
--RNA polymerase	0.019320038	0.0074853724	0.0038199203	0.0022128326	0.0063168499	0.0055648057	0.0012714867	0.0013581602	0.00086232138	0.0021514483	0.00083162897	0.00058260492
--Basal transcription factors	0	0	0.0014856483	0.00051570037	0.00097243841	0.00082446677	0.00052416241	0.00056272786	0.00069480567	0.00082183175	0.00099643483	0.00041849379
--Transcription factors	0.001176855	0.026534536	0.001256765	0.00093615538	0.0024362819	0.00229512	0.005555862	0.0066746241	0.0053876587	0.0044825805	0.0044147881	0.0030657294
--Spliceosome	0	0	0.002838257	0.003044248	0.0056000258	0.0051298578	0.043310324	0.041023371	0.041684232	0.036287581	0.031514351	0.04143934
-Translation	0.14911736	0.365442	0.34429307	0.28182704	0.29730202	0.26807096	0.12358737	0.12571964	0.21075586	0.19751743	0.11820492	0.17880874
--Ribosome	0.059545605	0.31187746	0.24744648	0.18444684	0.19274036	0.17713965	0.068751634	0.074245681	0.15106675	0.13899875	0.063894624	0.11067589
--Translation factors	0.061948348	0.038195027	0.054914614	0.050522384	0.066045528	0.057124929	0.026653281	0.02391045	0.029706047	0.029334239	0.019849025	0.045222227
--tRNA loading	0.025204315	0.014195656	0.020137306	0.033109968	0.01428569	0.013647008	0.014214088	0.013091429	0.006396458	0.0070601657	0.011102494	0.0035014311
--RNA transport	0	8.3574559e-06	0.0057937978	0.0059788885	0.011699766	0.010802671	0.010500145	0.011260547	0.017461147	0.015948424	0.0095800884	0.010845776
--mRNA surveillance pathway	0	0	0.0020970632	0.00074804279	0.0011751539	0.0011523343	0.0015335021	0.0014400079	0.0012115908	0.0016216329	0.0029042217	0.0017281985
--Ribosome biogenesis in eukaryotes	0	0	0.01227853	0.0062627506	0.0094321418	0.0071610186	0.0014405347	0.0011472921	0.002514288	0.0022836246	0.0043995342	0.0058067899
--Ribosome biogenesis	0.002419091	0.0011655011	0.0016252725	0.00075816974	0.0019233765	0.0010433541	0.00049418799	0.00062423347	0.0023995785	0.0022705935	0.0064749329	0.0010284311
-Folding, Sorting and Degradation	0.11444917	0.082361066	0.096636489	0.12804036	0.096231265	0.088522803	0.18127461	0.18131994	0.12840096	0.13980658	0.16004428	0.15406538
--Protease inhibitors	0	0	0	0	0	0	0.0057997385	0.0020590382	0.00075841887	0.00017880189	0.00020485324	6.0484175e-05
--Proteases	0.0076822489	0	0	0	0	0	0	0	0	0	0	0
--Chaperones and folding catalysts	0.089604446	0.061341944	0.062167783	0.089139038	0.049223869	0.043007761	0.08385673	0.087767368	0.073451993	0.076057167	0.10882055	0.11113842
--Protein export	0.0067669179	0.0024413186	0.0011450757	0.0013214231	0.0047322288	0.0036921628	0.0056127817	0.0045361595	0.0054356112	0.0053753152	0.0013692906	0.00099616546
--Protein processing in endoplasmic reticulum	0	0	0.0067018671	0.0071303735	0.0069895395	0.0069469091	0.014701096	0.013828305	0.012608861	0.013622955	0.013246639	0.0062743614
--SNARE interactions in vesicular transport	0	0	0.00089742845	0.0013731202	0.00039906738	0.0003375175	0.0029633926	0.0028710274	0.0014797909	0.0015137671	0.0010884712	0.0010051603
--SNAREs	0	0	8.8169195e-05	2.6997496e-05	0	0	7.4957954e-05	0.00010439469	2.0177532e-05	5.0557009e-05	6.187516e-05	1.8965792e-05
--Ubiquitin mediated proteolysis	0	0	0.0028868954	0.0019503729	0.0017380889	0.0016022697	0.0046616804	0.0058353311	0.0061145395	0.0079203793	0.0061121417	0.005167212
--Ubiquitin labeling	0	4.7756618e-11	0.0011418811	0.00093469221	0.0017353863	0.0016393358	0.01149288	0.010272565	0.0061888471	0.0066161832	0.0062057259	0.0038906145
--Sulfur relay system	0.00037594	0.0025170129	0.0021836246	0.003185021	0.0094837962	0.0095083476	0.00028298935	0.00018094286	0.00034898551	0.00034398823	0.00028435252	0.00014949153
--Proteasome	0	0	0.0065292363	0.0061942351	0.010701168	0.0073101444	0.036408928	0.036526818	0.012780147	0.01591905	0.011240809	0.016837015
--Peptidases	0.004593005	0.011225433	0.0086180602	0.011749536	0.00475427	0.0085650461	0.012144192	0.013974797	0.0066132608	0.0096139629	0.007576482	0.0068252222
--RNA degradation	0.00542661	0.0048353578	0.0042764684	0.0050355546	0.0064738512	0.0059133093	0.003275247	0.0033631903	0.0026003301	0.0025944559	0.0038330946	0.0017022704
-DNA Maintenance	0.045946388	0.019840969	0.012701528	0.0067860644	0.023407266	0.025746002	0.042533259	0.044831978	0.1025867	0.088356395	0.052773473	0.049804337
--DNA replication	0.004053613	0.00091453924	2.5237007e-05	4.508669e-05	0	0	0.0018519659	0.0014620619	0.0015930442	0.00079324037	0.00072460326	0.00016837727
--DNA replication complex	0.0081562609	0.00019365361	0.0045332712	0.00086201875	0.00082661986	0.00072508434	0.0077770764	0.0063941148	0.0036326642	0.0037367764	0.0051296037	0.0036587767
--DNA replication control	0.0094638769	0.0050056103	0.00050692348	0.00036810758	0.00015492587	9.7020107e-05	0.00315072	0.0039613236	0.0027221597	0.0028917452	0.0052692532	0.0017032677
--Chromosome-related	0.005475645	0.011701805	0.0070812602	0.0050916111	0.019439274	0.021543073	0.02325942	0.026145048	0.090162161	0.075121981	0.033794535	0.039129054
--Base excision repair	0.004723766	0.00026242305	7.3378686e-05	6.0090198e-05	0	0	0.00030943833	0.00041482679	0.0010030431	0.00086544071	0.00054939499	0.00074602671
--Nucleotide excision repair	0.001699902	0.00010458704	4.5912509e-05	7.0943715e-06	0	0	2.4963001e-06	2.2695128e-06	6.7117313e-05	8.1093132e-05	0.00012045128	8.3855083e-05
--Mismatch repair	0	0.00013085337	0.00011135296	8.1608823e-05	4.7414284e-05	3.6703912e-05	0.00062026386	0.0007386456	0.00021585062	0.00031029149	0.00022570982	0.00016462258
--Homologous recombination	0	0.00043339198	3.50453e-05	1.4617672e-05	4.8453974e-05	0	8.0698731e-06	6.9669157e-06	7.2884425e-06	2.2219667e-05	6.5096558e-06	1.7678283e-06
--Non-homologous end-joining	0	0	9.6229203e-07	3.7210625e-06	0	0	0.0042164161	0.0040739043	0.0012689266	0.0018468665	0.0059208248	0.002356906
--DNA repair and recombination proteins	0.012373324	0.001094105	0.0002881842	0.00025210825	0.0028905773	0.0033441206	0.0013373919	0.0016328162	0.0019144403	0.0026867407	0.0010325867	0.0017916836
-RNA Family	0	4.7756618e-11	0	0	0	0	0	0	0	0	0	0
--Non-coding RNAs	0	4.7756618e-11	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	0.000506702	0.0072692783	0.0055422013	0.003037303	0.0090277114	0.0073655825	0.038740508	0.036547741	0.044557641	0.047870303	0.033278175	0.048898002
-Signal Transduction	0.000506702	0.0072692781	0.0023298222	0.0014035781	0.004562955	0.0035844104	0.015271071	0.015613515	0.018807677	0.018733379	0.014969239	0.011939751
--Ras signaling pathway	0	0	0	0	0	0	0	0	0	0	0	4.7586814e-06
--Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	4.8921024e-05
--Hippo signaling pathway	0	0	2.6049342e-05	3.8112579e-06	5.9682828e-05	6.4167146e-05	0	0	0	0	0	1.4453939e-06
--NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	2.0125646e-05	2.7712766e-05	2.1823764e-05	1.0384599e-05
--TNF signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
--HIF-1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
--PI3K-Akt signaling pathway	0	0	0	0	0	0	0	0	1.1704151e-06	3.2079422e-06	3.3097858e-05	2.4015775e-06
--FoxO signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0
--Other signaling pathways	0	0	0	0	0	0	5.3536403e-05	5.5240026e-05	1.4966745e-05	7.407114e-05	5.3301202e-06	5.069997e-05
