Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8202	0.9079	0.8747	0.9206	0.8541	0.8558	0.8232	0.8283	0.8107	0.8092	0.8688	0.8963
Genetic Information Processing	TOTAL	0.3602	0.3561	0.4066	0.3692	0.3848	0.3389	0.4285	0.4269	0.4453	0.4219	0.3591	0.4033
-Transcription	TOTAL	0.04071	0.03539	0.01692	0.009007	0.01881	0.01596	0.0555	0.05478	0.05389	0.04504	0.04225	0.04437
-Translation	TOTAL	0.1252	0.2273	0.2446	0.2109	0.2314	0.1989	0.1168	0.1148	0.1602	0.1459	0.08629	0.1418
-Folding, Sorting and Degradation	TOTAL	0.1336	0.07816	0.1278	0.1405	0.1139	0.103	0.194	0.1931	0.158	0.1629	0.1567	0.1724
-DNA Maintenance	TOTAL	0.0606	0.01526	0.01724	0.008743	0.02073	0.02107	0.06215	0.06415	0.0732	0.06811	0.07387	0.04465
-RNA Family	TOTAL	0	2.626e-11	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.006236	0.005483	0.008652	0.00694	0.006445	0.005868	0.0346	0.0325	0.04035	0.03949	0.02684	0.02957
-Signal Transduction	TOTAL	0.0004614	0.005483	0.003148	0.002517	0.003843	0.003617	0.01623	0.01671	0.01741	0.01636	0.01243	0.008471
-Signaling Molecules and Interaction	TOTAL	0.005774	1.051e-10	0.005503	0.004423	0.002603	0.002251	0.01837	0.01579	0.02294	0.02313	0.01441	0.02109
Cellular Processes	TOTAL	0.03905	0.01063	0.01854	0.02077	0.03769	0.03614	0.112	0.1019	0.1401	0.1761	0.2952	0.2179
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	1.653e-06	2.637e-06	0	1.539e-05
-Vesicular Transport	TOTAL	0	2.626e-11	0.008191	0.008848	0.009235	0.009463	0.0253	0.02706	0.01844	0.02086	0.01477	0.02156
-Cytoskeleton	TOTAL	0.01707	0.003272	0.003262	0.006041	0.003394	0.00344	0.0697	0.058	0.105	0.1316	0.2566	0.1787
-Cell Motility	TOTAL	0	0.005333	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.02198	0.002029	0.007085	0.00588	0.02506	0.02323	0.007229	0.006663	0.007008	0.008643	0.005974	0.008593
-Cell Communication	TOTAL	0	0	0	0	0	0	0.009816	0.0102	0.009717	0.01496	0.0179	0.009001
Metabolism	TOTAL	0.4147	0.5357	0.4409	0.5238	0.4251	0.4748	0.2284	0.2486	0.1738	0.1582	0.1792	0.2362
-Membrane Transport	TOTAL	0.04264	0.06118	0.008102	0.003416	0.007164	0.00413	0.0004829	0.0005116	0.002083	0.001173	0.001045	0.000344
-Central Carbon Metabolism	TOTAL	0.2138	0.1854	0.2153	0.2364	0.2299	0.2359	0.1244	0.1434	0.07265	0.07377	0.086	0.1595
-Energy Metabolism	TOTAL	0.04371	0.02519	0.0262	0.03141	0.01812	0.01927	0.03401	0.03112	0.01805	0.01294	0.01414	0.006365
-Biosynthesis	TOTAL	0.05499	0.2275	0.1642	0.2284	0.1421	0.1928	0.04773	0.05106	0.05771	0.0495	0.06099	0.04844
-Other Enzymes	TOTAL	0.05962	0.03647	0.02715	0.02414	0.0278	0.02281	0.02184	0.02251	0.02335	0.02081	0.01707	0.02156
Organismal Systems	TOTAL	0	0	0	0	0	0	0.0149	0.01355	0.006501	0.008889	0.005579	0.007058
-Immune System	TOTAL	0	0	0	0	0	0	0.006658	0.007941	0.001287	0.0009173	0.0002862	0.0003946
-Endocrine System	TOTAL	0	0	0	0	0	0	0.003943	0.001509	0.0008494	0.001801	0.0002947	0.002486
-Circulatory System	TOTAL	0	0	0	0	0	0	0.001178	0.001011	0.002107	0.003824	0.001331	0.0005204
-Digestive System	TOTAL	0	0	0	0	0	0	0.0001058	8.91e-05	0.00107	0.000791	0.001179	0.001072
-Excretory System	TOTAL	0	0	0	0	0	0	0.002361	0.002305	0.0005715	0.0006734	0.0008244	0.00139
-Nervous System	TOTAL	0	0	0	0	0	0	0.0001997	0.0002435	3.012e-05	5.692e-05	0.0001485	0.0003949
-Sensory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0	0	0.0004561	0.0004472	0.0005862	0.0008259	0.001494	0.0007937
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0	0	0	0	2.034e-05	6.57e-06
Human Diseases	TOTAL	0	0	0	0	0	0	0.00476	0.004844	0.004518	0.004586	0.00274	0.002307
-Cancers	TOTAL	0	0	0	0	0	0	0.0009456	0.0009454	0.001776	0.001778	0.0007667	0.000994
-Immune System Diseases	TOTAL	0	0	0	0	0	0	0.001579	0.001294	0.0006019	0.0009486	0.0002708	0.0006768
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0	0	0.001094	0.001514	0.001134	0.0008692	0.0004256	0.0001296
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0.0001514	0.0001311	0.0004478	0.0002676	0.0005416	6.824e-05
-Infectious Diseases	TOTAL	0	0	0	0	0	0	0.0009894	0.0009595	0.0005585	0.0007225	0.0007357	0.0004384
Not Mapped	TOTAL	0.1798	0.09211	0.1253	0.07939	0.1459	0.1442	0.1768	0.1717	0.1893	0.1908	0.1312	0.1037
-Not Mapped	TOTAL	0.1798	0.09211	0.1253	0.07939	0.1459	0.1442	0.1768	0.1717	0.1893	0.1908	0.1312	0.1037
TOTAL	MAPPED	1.219	1.101	1.143	1.086	1.171	1.169	1.215	1.207	1.234	1.236	1.151	1.116
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.4391	0.3922	0.4648	0.401	0.4506	0.3961	0.5205	0.5154	0.5493	0.5215	0.4134	0.4499
-Transcription	MAPPED	0.04963	0.03898	0.01935	0.009784	0.02202	0.01864	0.06741	0.06613	0.06647	0.05566	0.04863	0.04951
