Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.8808	0.8951	0.9026	0.9079	0.9079
Genetic Information Processing	TOTAL	0.184	0.2021	0.2247	0.2399	0.2626
-Transcription	TOTAL	0.003822	0.004331	0.00455	0.0048	0.004836
-Translation	TOTAL	0.1354	0.1525	0.1756	0.1926	0.2161
-Folding, Sorting and Degradation	TOTAL	0.02908	0.02843	0.0281	0.02711	0.02642
-DNA Maintenance	TOTAL	0.01013	0.01055	0.009852	0.009088	0.009084
-RNA Family	TOTAL	0	0	0	0	0
Environmental Information Processing	TOTAL	0.01138	0.01214	0.0108	0.009689	0.008375
-Signal Transduction	TOTAL	0.01138	0.01214	0.0108	0.009689	0.008375
-Signaling Molecules and Interaction	TOTAL	0	0	0	0	0
Cellular Processes	TOTAL	0.009974	0.006885	0.007529	0.007791	0.006614
-Hemoglobin	TOTAL	0	0	0	0	0
-Vesicular Transport	TOTAL	0.0002982	0.000145	0.0001181	0.0001011	9.99e-05
-Cytoskeleton	TOTAL	0.001009	0.001042	0.0009267	0.0009867	0.001085
-Cell Motility	TOTAL	0.005406	0.003016	0.003665	0.00401	0.003947
-Cell Growth and Death	TOTAL	0.001506	0.001636	0.001751	0.001779	0.001986
-Cell Communication	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.3679	0.4214	0.4156	0.4212	0.4124
-Membrane Transport	TOTAL	0.03827	0.04073	0.03932	0.03288	0.02553
-Central Carbon Metabolism	TOTAL	0.1351	0.1539	0.1449	0.1344	0.1251
-Energy Metabolism	TOTAL	0.017	0.01955	0.02127	0.01972	0.0184
-Biosynthesis	TOTAL	0.09204	0.1118	0.1245	0.1491	0.1576
-Other Enzymes	TOTAL	0.06973	0.08309	0.0836	0.08019	0.07706
Organismal Systems	TOTAL	0	0	0	0	0
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0
Human Diseases	TOTAL	0.0008473	9.862e-08	7.529e-08	6.667e-08	6.061e-08
-Cancers	TOTAL	0	0	0	0	0
-Immune System Diseases	TOTAL	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Metabolic Diseases	TOTAL	0	0	0	0	0
-Infectious Diseases	TOTAL	0	0	0	0	0
Not Mapped	TOTAL	0.1192	0.1049	0.09742	0.0921	0.0921
-Not Mapped	TOTAL	0.1192	0.1049	0.09742	0.0921	0.0921
TOTAL	MAPPED	1.135	1.117	1.108	1.101	1.101
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.2089	0.2258	0.2489	0.2643	0.2893
-Transcription	MAPPED	0.004339	0.004838	0.005041	0.005287	0.005326
-Translation	MAPPED	0.1537	0.1703	0.1945	0.2121	0.238
-Folding, Sorting and Degradation	MAPPED	0.03301	0.03176	0.03114	0.02986	0.0291
-DNA Maintenance	MAPPED	0.0115	0.01178	0.01092	0.01001	0.01001
-RNA Family	MAPPED	0	0	0	0	0
Environmental Information Processing	MAPPED	0.01292	0.01356	0.01197	0.01067	0.009224
-Signal Transduction	MAPPED	0.01292	0.01356	0.01197	0.01067	0.009224
-Signaling Molecules and Interaction	MAPPED	0	0	0	0	0
Cellular Processes	MAPPED	0.01132	0.007691	0.008341	0.008581	0.007285
-Hemoglobin	MAPPED	0	0	0	0	0
-Vesicular Transport	MAPPED	0.0003385	0.000162	0.0001309	0.0001113	0.00011
-Cytoskeleton	MAPPED	0.001146	0.001164	0.001027	0.001087	0.001195
-Cell Motility	MAPPED	0.006137	0.00337	0.00406	0.004417	0.004348
-Cell Growth and Death	MAPPED	0.00171	0.001828	0.00194	0.001959	0.002188
-Cell Communication	MAPPED	0	0	0	0	0
Metabolism	MAPPED	0.4177	0.4708	0.4604	0.464	0.4543
-Membrane Transport	MAPPED	0.04345	0.0455	0.04357	0.03622	0.02812
-Central Carbon Metabolism	MAPPED	0.1533	0.172	0.1606	0.148	0.1378
-Energy Metabolism	MAPPED	0.0193	0.02183	0.02357	0.02171	0.02027
-Biosynthesis	MAPPED	0.1045	0.1249	0.1379	0.1643	0.1735
-Other Enzymes	MAPPED	0.07917	0.09282	0.09263	0.08833	0.08487
Organismal Systems	MAPPED	0	0	0	0	0
-Immune System	MAPPED	0	0	0	0	0
-Endocrine System	MAPPED	0	0	0	0	0
-Circulatory System	MAPPED	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0
-Nervous System	MAPPED	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	0	0	0
Human Diseases	MAPPED	0.0009619	1.102e-07	8.341e-08	7.343e-08	6.675e-08
-Cancers	MAPPED	0	0	0	0	0
-Immune System Diseases	MAPPED	0	0	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0
-Metabolic Diseases	MAPPED	0	0	0	0	0
-Infectious Diseases	MAPPED	0	0	0	0	0
Not Mapped	MAPPED	0.1353	0.1171	0.1079	0.1014	0.1014
-Not Mapped	MAPPED	0.1353	0.1171	0.1079	0.1014	0.1014
TOTAL	Genetic Information Processing	5.422	4.924	4.418	4.143	3.777
MAPPED	Genetic Information Processing	4.776	4.408	3.988	3.761	3.429
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1
-Transcription	Genetic Information Processing	0.02127	0.02192	0.0207	0.02041	0.01874
-Translation	Genetic Information Processing	0.7382	0.7545	0.7809	0.8011	0.8203
-Folding, Sorting and Degradation	Genetic Information Processing	0.1575	0.1407	0.1248	0.1138	0.1009
-DNA Maintenance	Genetic Information Processing	0.05412	0.0514	0.04314	0.03731	0.03406
-RNA Family	Genetic Information Processing	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.06196	0.06008	0.04806	0.04039	0.03189
-Signal Transduction	Genetic Information Processing	0.06184	0.06008	0.04806	0.04039	0.03189
-Signaling Molecules and Interaction	Genetic Information Processing	0	0	0	0	0
Cellular Processes	Genetic Information Processing	0.0533	0.03379	0.03324	0.03219	0.02531
-Hemoglobin	Genetic Information Processing	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.001617	0.0007142	0.0005219	0.0004188	0.0003773
-Cytoskeleton	Genetic Information Processing	0.005484	0.005158	0.004124	0.004113	0.004129
-Cell Motility	Genetic Information Processing	0.02972	0.01506	0.01646	0.01657	0.01488
-Cell Growth and Death	Genetic Information Processing	0.008047	0.007972	0.007665	0.007303	0.007445
-Cell Communication	Genetic Information Processing	0	0	0	0	0
Metabolism	Genetic Information Processing	2.005	2.09	1.855	1.757	1.566
-Membrane Transport	Genetic Information Processing	0.2101	0.1985	0.1737	0.1378	0.09799
-Central Carbon Metabolism	Genetic Information Processing	0.7414	0.7625	0.645	0.5629	0.4788
-Energy Metabolism	Genetic Information Processing	0.09165	0.09594	0.09392	0.0827	0.06936
