Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.8959	0.9093	0.9172	0.9237	0.9254
Genetic Information Processing	TOTAL	0.3507	0.3749	0.4084	0.434	0.4697
-Transcription	TOTAL	0.02805	0.02853	0.02668	0.02338	0.02265
-Translation	TOTAL	0.2329	0.2553	0.2934	0.3255	0.3621
-Folding, Sorting and Degradation	TOTAL	0.05867	0.06057	0.05974	0.05925	0.06031
-DNA Maintenance	TOTAL	0.02482	0.02411	0.022	0.01955	0.0183
-RNA Family	TOTAL	6.949e-07	5.808e-07	4.356e-07	3.759e-07	3.343e-07
Environmental Information Processing	TOTAL	0.01056	0.009272	0.007796	0.007111	0.006504
-Signal Transduction	TOTAL	0.01048	0.009272	0.007795	0.007111	0.006504
-Signaling Molecules and Interaction	TOTAL	7.823e-05	3.319e-07	2.489e-07	2.148e-07	1.91e-07
Cellular Processes	TOTAL	0.01297	0.008563	0.008848	0.009037	0.009019
-Hemoglobin	TOTAL	0	0	0	0	0
-Vesicular Transport	TOTAL	0	0	0	0	0
-Cytoskeleton	TOTAL	0.003836	0.003722	0.003375	0.003195	0.00315
-Cell Motility	TOTAL	0.007676	0.003438	0.004102	0.004374	0.004212
-Cell Growth and Death	TOTAL	0.001202	0.001403	0.00137	0.001469	0.001657
-Cell Communication	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.4913	0.4846	0.4609	0.4419	0.4135
-Membrane Transport	TOTAL	0.08084	0.0767	0.06848	0.05901	0.0478
-Central Carbon Metabolism	TOTAL	0.09374	0.07498	0.07273	0.06873	0.06005
-Energy Metabolism	TOTAL	0.02182	0.02317	0.02348	0.02279	0.01772
-Biosynthesis	TOTAL	0.1003	0.1119	0.1145	0.1209	0.1197
-Other Enzymes	TOTAL	0.1401	0.1351	0.1282	0.1214	0.1178
Organismal Systems	TOTAL	0	0	0	0	0
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0
Human Diseases	TOTAL	0.003355	0.00312	0.003152	0.003071	0.003079
-Cancers	TOTAL	0	0	0	0	0
-Immune System Diseases	TOTAL	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Metabolic Diseases	TOTAL	0	0	0	0	0
-Infectious Diseases	TOTAL	0.0001503	0.0001368	0.0001701	0.0001396	0.0001487
Not Mapped	TOTAL	0.1041	0.09073	0.08283	0.07631	0.07464
-Not Mapped	TOTAL	0.1041	0.09073	0.08283	0.07631	0.07464
TOTAL	MAPPED	1.116	1.1	1.09	1.083	1.081
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.3915	0.4123	0.4453	0.4699	0.5076
-Transcription	MAPPED	0.03131	0.03138	0.02909	0.02531	0.02448
-Translation	MAPPED	0.2599	0.2808	0.3199	0.3524	0.3914
-Folding, Sorting and Degradation	MAPPED	0.06549	0.06662	0.06513	0.06415	0.06518
-DNA Maintenance	MAPPED	0.0277	0.02652	0.02398	0.02117	0.01977
