Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8959	0.8959	0.8959	0.9093	0.9093	0.9093	0.9172	0.9172	0.9172	0.9237	0.9237	0.9237	0.9254	0.9254	0.9254
Genetic Information Processing	TOTAL	0.3507	0.3565	0.36	0.3749	0.381	0.3849	0.4084	0.4148	0.4188	0.434	0.4398	0.444	0.4697	0.4753	0.4794
-Transcription	TOTAL	0.02805	0.03025	0.03414	0.02853	0.03076	0.03539	0.02668	0.02852	0.03309	0.02338	0.025	0.02926	0.02265	0.02444	0.02848
-Translation	TOTAL	0.2329	0.2344	0.235	0.2553	0.257	0.2578	0.2934	0.2953	0.2961	0.3255	0.3273	0.3281	0.3621	0.3638	0.3646
-Folding, Sorting and Degradation	TOTAL	0.05867	0.06222	0.06537	0.06057	0.06407	0.06745	0.05974	0.06358	0.06685	0.05925	0.06314	0.0663	0.06031	0.06416	0.06769
-DNA Maintenance	TOTAL	0.02482	0.0278	0.03017	0.02411	0.02733	0.02992	0.022	0.02562	0.02772	0.01955	0.02303	0.02481	0.0183	0.02174	0.02396
-RNA Family	TOTAL	6.949e-07	1.291e-06	1.588e-06	5.808e-07	1.079e-06	1.328e-06	4.356e-07	8.09e-07	9.957e-07	3.759e-07	6.981e-07	8.593e-07	3.343e-07	6.208e-07	7.641e-07
Environmental Information Processing	TOTAL	0.01056	0.01094	0.01323	0.009272	0.009454	0.012	0.007796	0.007939	0.009919	0.007111	0.007216	0.008917	0.006504	0.006583	0.008199
-Signal Transduction	TOTAL	0.01048	0.01087	0.01299	0.009272	0.009454	0.012	0.007795	0.007939	0.009919	0.007111	0.007215	0.008917	0.006504	0.006583	0.008199
-Signaling Molecules and Interaction	TOTAL	7.823e-05	7.823e-05	7.823e-05	3.319e-07	3.319e-07	3.319e-07	2.489e-07	2.489e-07	2.489e-07	2.148e-07	2.148e-07	2.148e-07	1.91e-07	1.91e-07	1.91e-07
Cellular Processes	TOTAL	0.01297	0.01353	0.01759	0.008563	0.009055	0.01276	0.008848	0.009453	0.012	0.009037	0.009621	0.01191	0.009019	0.009695	0.01048
