Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.8808	0.8951	0.9026	0.9079	0.9079
Genetic Information Processing	TOTAL	0.2705	0.2905	0.3154	0.3286	0.3566
-Transcription	TOTAL	0.02892	0.03078	0.03153	0.02974	0.03104
-Translation	TOTAL	0.1454	0.1619	0.1855	0.2029	0.2273
-Folding, Sorting and Degradation	TOTAL	0.07944	0.08062	0.0815	0.08025	0.083
-DNA Maintenance	TOTAL	0.01674	0.0172	0.01692	0.01573	0.01527
-RNA Family	TOTAL	1.17e-07	9.862e-08	7.529e-08	6.667e-08	6.061e-08
Environmental Information Processing	TOTAL	0.01086	0.00779	0.00655	0.006059	0.005489
-Signal Transduction	TOTAL	0.01078	0.00779	0.006549	0.006059	0.005489
-Signaling Molecules and Interaction	TOTAL	7.686e-05	3.945e-07	3.012e-07	2.667e-07	2.424e-07
Cellular Processes	TOTAL	0.01977	0.0123	0.01166	0.01188	0.01074
-Hemoglobin	TOTAL	0	0	0	0	0
-Vesicular Transport	TOTAL	0.0004441	0.0001451	0.0001182	0.0001011	9.996e-05
-Cytoskeleton	TOTAL	0.003569	0.003577	0.003303	0.003202	0.003271
-Cell Motility	TOTAL	0.0144	0.006975	0.00665	0.00682	0.005335
-Cell Growth and Death	TOTAL	0.001359	0.001602	0.001592	0.001756	0.002029
-Cell Communication	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.5797	0.5845	0.569	0.5614	0.5351
-Membrane Transport	TOTAL	0.1028	0.09524	0.08871	0.07658	0.06119
-Central Carbon Metabolism	TOTAL	0.2551	0.244	0.2237	0.2039	0.1854
-Energy Metabolism	TOTAL	0.02189	0.02573	0.02796	0.02671	0.02519
-Biosynthesis	TOTAL	0.1532	0.1754	0.1895	0.2187	0.227
-Other Enzymes	TOTAL	0.04666	0.04421	0.039	0.03548	0.03638
Organismal Systems	TOTAL	0	0	0	0	0
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0
Human Diseases	TOTAL	0	0	0	0	0
-Cancers	TOTAL	0	0	0	0	0
-Immune System Diseases	TOTAL	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Infectious Diseases	TOTAL	0	0	0	0	0
Not Mapped	TOTAL	0.1192	0.1049	0.09742	0.0921	0.0921
-Not Mapped	TOTAL	0.1192	0.1049	0.09742	0.0921	0.0921
TOTAL	MAPPED	1.135	1.117	1.108	1.101	1.101
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.3071	0.3246	0.3495	0.3619	0.3927
-Transcription	MAPPED	0.03283	0.03439	0.03493	0.03275	0.03419
-Translation	MAPPED	0.1651	0.1809	0.2055	0.2235	0.2503
-Folding, Sorting and Degradation	MAPPED	0.09019	0.09007	0.09029	0.08839	0.09142
-DNA Maintenance	MAPPED	0.019	0.01921	0.01874	0.01732	0.01682
-RNA Family	MAPPED	1.328e-07	1.102e-07	8.341e-08	7.343e-08	6.675e-08
Environmental Information Processing	MAPPED	0.01232	0.008703	0.007257	0.006674	0.006046
-Signal Transduction	MAPPED	0.01224	0.008702	0.007256	0.006674	0.006046
-Signaling Molecules and Interaction	MAPPED	8.727e-05	4.407e-07	3.337e-07	2.937e-07	2.67e-07
Cellular Processes	MAPPED	0.02244	0.01374	0.01292	0.01308	0.01183
-Hemoglobin	MAPPED	0	0	0	0	0
-Vesicular Transport	MAPPED	0.0005043	0.0001621	0.000131	0.0001114	0.0001101
-Cytoskeleton	MAPPED	0.004052	0.003996	0.003659	0.003527	0.003603
-Cell Motility	MAPPED	0.01635	0.007792	0.007368	0.007512	0.005877
-Cell Growth and Death	MAPPED	0.001543	0.001789	0.001764	0.001934	0.002235
-Cell Communication	MAPPED	0	0	0	0	0
Metabolism	MAPPED	0.6581	0.653	0.6304	0.6183	0.5894
-Membrane Transport	MAPPED	0.1168	0.1064	0.09829	0.08435	0.0674
-Central Carbon Metabolism	MAPPED	0.2897	0.2726	0.2479	0.2246	0.2042
-Energy Metabolism	MAPPED	0.02485	0.02874	0.03097	0.02942	0.02775
-Biosynthesis	MAPPED	0.1739	0.1959	0.21	0.2408	0.25
-Other Enzymes	MAPPED	0.05298	0.04939	0.04321	0.03907	0.04007
Organismal Systems	MAPPED	0	0	0	0	0
-Immune System	MAPPED	0	0	0	0	0
-Endocrine System	MAPPED	0	0	0	0	0
-Circulatory System	MAPPED	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0
-Nervous System	MAPPED	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	0	0	0
Human Diseases	MAPPED	0	0	0	0	0
-Cancers	MAPPED	0	0	0	0	0
-Immune System Diseases	MAPPED	0	0	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0
-Infectious Diseases	MAPPED	0	0	0	0	0
Not Mapped	MAPPED	0.1353	0.1171	0.1079	0.1014	0.1014
-Not Mapped	MAPPED	0.1353	0.1171	0.1079	0.1014	0.1014
TOTAL	Genetic Information Processing	3.697	3.442	3.17	3.043	2.805
MAPPED	Genetic Information Processing	3.256	3.081	2.862	2.763	2.546
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1
-Transcription	Genetic Information Processing	0.1069	0.106	0.09996	0.09049	0.08705
-Translation	Genetic Information Processing	0.5375	0.5573	0.588	0.6174	0.6374
-Folding, Sorting and Degradation	Genetic Information Processing	0.2937	0.2775	0.2584	0.2442	0.2328
-DNA Maintenance	Genetic Information Processing	0.06188	0.05919	0.05363	0.04787	0.04282
-RNA Family	Genetic Information Processing	4.324e-07	3.395e-07	2.387e-07	2.029e-07	1.7e-07
Environmental Information Processing	Genetic Information Processing	0.04013	0.02681	0.02077	0.01844	0.01539
-Signal Transduction	Genetic Information Processing	0.03985	0.02681	0.02076	0.01844	0.01539
-Signaling Molecules and Interaction	Genetic Information Processing	0.0002842	1.358e-06	9.548e-07	8.115e-07	6.799e-07
Cellular Processes	Genetic Information Processing	0.07309	0.04233	0.03698	0.03615	0.03011
-Hemoglobin	Genetic Information Processing	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.001642	0.0004995	0.0003748	0.0003078	0.0002803
-Cytoskeleton	Genetic Information Processing	0.01319	0.01231	0.01047	0.009744	0.009175
-Cell Motility	Genetic Information Processing	0.05323	0.02401	0.02108	0.02076	0.01496
-Cell Growth and Death	Genetic Information Processing	0.005024	0.005513	0.005049	0.005342	0.005691
-Cell Communication	Genetic Information Processing	0	0	0	0	0
Metabolism	Genetic Information Processing	2.143	2.012	1.804	1.708	1.501
-Membrane Transport	Genetic Information Processing	0.3802	0.3278	0.2813	0.233	0.1716
-Central Carbon Metabolism	Genetic Information Processing	0.9432	0.8398	0.7094	0.6206	0.52
