Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.8959	0.9093	0.9172	0.9237	0.9254
Genetic Information Processing	TOTAL	0.382	0.4087	0.4424	0.466	0.5019
-Transcription	TOTAL	0.03899	0.04062	0.03855	0.03448	0.03402
-Translation	TOTAL	0.2355	0.2582	0.2964	0.3285	0.3654
-Folding, Sorting and Degradation	TOTAL	0.08129	0.08414	0.08368	0.0818	0.08263
-DNA Maintenance	TOTAL	0.02624	0.02566	0.0238	0.02125	0.01984
-RNA Family	TOTAL	9.928e-08	8.297e-08	6.223e-08	5.37e-08	4.775e-08
Environmental Information Processing	TOTAL	0.01295	0.01024	0.008744	0.008064	0.007274
-Signal Transduction	TOTAL	0.01287	0.01024	0.008743	0.008064	0.007273
-Signaling Molecules and Interaction	TOTAL	7.823e-05	3.319e-07	2.489e-07	2.148e-07	1.91e-07
Cellular Processes	TOTAL	0.01683	0.01285	0.01203	0.01194	0.0105
-Hemoglobin	TOTAL	0	0	0	0	0
-Vesicular Transport	TOTAL	0.0006006	0.000254	0.0002033	0.0001695	0.0001638
-Cytoskeleton	TOTAL	0.003836	0.003722	0.003375	0.003195	0.00315
-Cell Motility	TOTAL	0.01121	0.007484	0.0071	0.007125	0.005539
-Cell Growth and Death	TOTAL	0.001186	0.001386	0.001354	0.001455	0.001645
-Cell Communication	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.4842	0.4775	0.454	0.4377	0.4057
-Membrane Transport	TOTAL	0.1035	0.09091	0.08303	0.07085	0.0555
-Central Carbon Metabolism	TOTAL	0.1772	0.163	0.1476	0.134	0.1185
-Energy Metabolism	TOTAL	0.01945	0.02249	0.02338	0.02194	0.02008
-Biosynthesis	TOTAL	0.1343	0.1516	0.156	0.1715	0.1721
-Other Enzymes	TOTAL	0.04977	0.04945	0.04395	0.03937	0.03945
Organismal Systems	TOTAL	0	0	0	0	0
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0
Human Diseases	TOTAL	0	0	0	0	0
-Cancers	TOTAL	0	0	0	0	0
-Immune System Diseases	TOTAL	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Infectious Diseases	TOTAL	0	0	0	0	0
Not Mapped	TOTAL	0.1041	0.09073	0.08283	0.07631	0.07464
-Not Mapped	TOTAL	0.1041	0.09073	0.08283	0.07631	0.07464
TOTAL	MAPPED	1.116	1.1	1.09	1.083	1.081
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.4264	0.4494	0.4823	0.5045	0.5424
-Transcription	MAPPED	0.04352	0.04467	0.04203	0.03733	0.03677
-Translation	MAPPED	0.2628	0.284	0.3231	0.3556	0.3949
-Folding, Sorting and Degradation	MAPPED	0.09073	0.09254	0.09124	0.08855	0.0893
-DNA Maintenance	MAPPED	0.02929	0.02822	0.02594	0.02301	0.02144
-RNA Family	MAPPED	1.108e-07	9.125e-08	6.785e-08	5.814e-08	5.161e-08
