Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.8808	0.8951	0.9026	0.9079	0.9079
Genetic Information Processing	TOTAL	0.1797	0.1976	0.2198	0.2351	0.258
-Transcription	TOTAL	0.003442	0.00391	0.004103	0.004348	0.004356
-Translation	TOTAL	0.1353	0.1524	0.1755	0.1925	0.216
-Folding, Sorting and Degradation	TOTAL	0.02667	0.02618	0.02565	0.02482	0.02409
-DNA Maintenance	TOTAL	0.009543	0.009932	0.009273	0.008438	0.008258
-RNA Family	TOTAL	0	0	0	0	0
Environmental Information Processing	TOTAL	0.01138	0.01214	0.0108	0.009689	0.008375
-Signal Transduction	TOTAL	0.01138	0.01214	0.0108	0.009689	0.008375
-Signaling Molecules and Interaction	TOTAL	0	0	0	0	0
Cellular Processes	TOTAL	0.002167	0.002206	0.002088	0.00198	0.002318
-Hemoglobin	TOTAL	0	0	0	0	0
-Vesicular Transport	TOTAL	0.0002982	0.000145	0.0001181	0.0001011	9.99e-05
-Cytoskeleton	TOTAL	0	0	0	0	0
-Cell Motility	TOTAL	0	0	0	0	0
-Cell Growth and Death	TOTAL	1.17e-07	9.862e-08	7.529e-08	6.667e-08	6.061e-08
-Cell Communication	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.3577	0.4087	0.4027	0.4085	0.4011
-Membrane Transport	TOTAL	0.02458	0.02027	0.02018	0.01704	0.01391
-Central Carbon Metabolism	TOTAL	0.1205	0.1337	0.1279	0.1226	0.1163
-Energy Metabolism	TOTAL	0.008447	0.008734	0.008684	0.01003	0.01043
-Biosynthesis	TOTAL	0.08514	0.1003	0.1058	0.1194	0.1323
-Other Enzymes	TOTAL	0.05623	0.06931	0.06059	0.05566	0.05261
Organismal Systems	TOTAL	0	0	0	0	0
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0
Human Diseases	TOTAL	0	0	0	0	0
-Cancers	TOTAL	0	0	0	0	0
-Immune System Diseases	TOTAL	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Metabolic Diseases	TOTAL	0	0	0	0	0
-Infectious Diseases	TOTAL	0	0	0	0	0
Not Mapped	TOTAL	0.1192	0.1049	0.09742	0.0921	0.0921
-Not Mapped	TOTAL	0.1192	0.1049	0.09742	0.0921	0.0921
TOTAL	MAPPED	1.135	1.117	1.108	1.101	1.101
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.2041	0.2208	0.2435	0.259	0.2842
-Transcription	MAPPED	0.003908	0.004368	0.004546	0.004789	0.004798
-Translation	MAPPED	0.1536	0.1703	0.1945	0.2121	0.2379
-Folding, Sorting and Degradation	MAPPED	0.03028	0.02925	0.02841	0.02733	0.02653
-DNA Maintenance	MAPPED	0.01083	0.0111	0.01027	0.009294	0.009095
-RNA Family	MAPPED	0	0	0	0	0
Environmental Information Processing	MAPPED	0.01292	0.01356	0.01197	0.01067	0.009224
-Signal Transduction	MAPPED	0.01292	0.01356	0.01197	0.01067	0.009224
-Signaling Molecules and Interaction	MAPPED	0	0	0	0	0
Cellular Processes	MAPPED	0.002461	0.002465	0.002313	0.00218	0.002553
-Hemoglobin	MAPPED	0	0	0	0	0
-Vesicular Transport	MAPPED	0.0003385	0.000162	0.0001309	0.0001113	0.00011
-Cytoskeleton	MAPPED	0	0	0	0	0
-Cell Motility	MAPPED	0	0	0	0	0
-Cell Growth and Death	MAPPED	1.328e-07	1.102e-07	8.341e-08	7.343e-08	6.675e-08
-Cell Communication	MAPPED	0	0	0	0	0
Metabolism	MAPPED	0.4061	0.4566	0.4462	0.45	0.4418
-Membrane Transport	MAPPED	0.02791	0.02264	0.02236	0.01877	0.01532
-Central Carbon Metabolism	MAPPED	0.1369	0.1494	0.1417	0.1351	0.1281
-Energy Metabolism	MAPPED	0.009591	0.009757	0.009622	0.01104	0.01149
-Biosynthesis	MAPPED	0.09666	0.1121	0.1173	0.1315	0.1458
-Other Enzymes	MAPPED	0.06384	0.07743	0.06713	0.06131	0.05795
Organismal Systems	MAPPED	0	0	0	0	0
-Immune System	MAPPED	0	0	0	0	0
-Endocrine System	MAPPED	0	0	0	0	0
-Circulatory System	MAPPED	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0
-Nervous System	MAPPED	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	0	0	0
Human Diseases	MAPPED	0	0	0	0	0
-Cancers	MAPPED	0	0	0	0	0
-Immune System Diseases	MAPPED	0	0	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0
-Metabolic Diseases	MAPPED	0	0	0	0	0
-Infectious Diseases	MAPPED	0	0	0	0	0
Not Mapped	MAPPED	0.1353	0.1171	0.1079	0.1014	0.1014
-Not Mapped	MAPPED	0.1353	0.1171	0.1079	0.1014	0.1014
TOTAL	Genetic Information Processing	5.309	4.836	4.338	4.069	3.709
MAPPED	Genetic Information Processing	4.676	4.329	3.915	3.694	3.368
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1
-Transcription	Genetic Information Processing	0.01871	0.01935	0.01826	0.01812	0.01658
-Translation	Genetic Information Processing	0.7232	0.7428	0.7673	0.7891	0.8071
-Folding, Sorting and Degradation	Genetic Information Processing	0.1416	0.1266	0.1112	0.101	0.08935
-DNA Maintenance	Genetic Information Processing	0.05174	0.04891	0.04097	0.03503	0.0317
-RNA Family	Genetic Information Processing	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.06081	0.05916	0.04728	0.03978	0.0314
-Signal Transduction	Genetic Information Processing	0.06042	0.0587	0.04685	0.03943	0.03106
-Signaling Molecules and Interaction	Genetic Information Processing	0	0	0	0	0
Cellular Processes	Genetic Information Processing	0.01178	0.01092	0.009291	0.008251	0.008826
-Hemoglobin	Genetic Information Processing	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.001583	0.0007013	0.0005124	0.0004113	0.0003706
-Cytoskeleton	Genetic Information Processing	0	0	0	0	0
-Cell Motility	Genetic Information Processing	0	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	6.274e-07	4.804e-07	3.299e-07	2.734e-07	2.263e-07
-Cell Communication	Genetic Information Processing	0	0	0	0	0
Metabolism	Genetic Information Processing	1.899	1.976	1.747	1.662	1.488
-Membrane Transport	Genetic Information Processing	0.1368	0.1026	0.09181	0.06988	0.05195
-Central Carbon Metabolism	Genetic Information Processing	0.64	0.6465	0.5547	0.4991	0.4313
-Energy Metabolism	Genetic Information Processing	0.04591	0.04322	0.03865	0.04179	0.03972
-Biosynthesis	Genetic Information Processing	0.4627	0.4963	0.471	0.4915	0.4962
-Other Enzymes	Genetic Information Processing	0.3129	0.3508	0.2757	0.2367	0.2039
