Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.8808	0.8951	0.9026	0.9079	0.9079
Genetic Information Processing	TOTAL	0.1871	0.2053	0.2284	0.2439	0.2678
-Transcription	TOTAL	0.00944	0.01069	0.01139	0.01153	0.01226
-Translation	TOTAL	0.1369	0.1537	0.1769	0.1939	0.2176
-Folding, Sorting and Degradation	TOTAL	0.03098	0.03131	0.03102	0.02981	0.02929
-DNA Maintenance	TOTAL	0.01464	0.01579	0.01523	0.01422	0.01475
-RNA Family	TOTAL	0	0	0	0	0
Environmental Information Processing	TOTAL	0.01182	0.01236	0.01104	0.009924	0.008554
-Signal Transduction	TOTAL	0.01182	0.01217	0.01083	0.009712	0.008395
-Signaling Molecules and Interaction	TOTAL	0.0002915	0.0002205	0.0002425	0.0002345	0.0001792
Cellular Processes	TOTAL	0.02268	0.01634	0.0161	0.01438	0.01056
-Hemoglobin	TOTAL	0	0	0	0	0
-Vesicular Transport	TOTAL	0.0002982	0.000145	0.0001181	0.0001011	9.99e-05
-Cytoskeleton	TOTAL	0.002055	0.002101	0.001959	0.001819	0.0018
-Cell Motility	TOTAL	0.01984	0.01349	0.01328	0.01149	0.008663
-Cell Growth and Death	TOTAL	0.00239	0.002681	0.002819	0.002693	0.003141
-Cell Communication	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.3738	0.427	0.422	0.4256	0.4163
-Membrane Transport	TOTAL	0.0448	0.04233	0.04036	0.03386	0.02714
-Central Carbon Metabolism	TOTAL	0.1495	0.1699	0.1526	0.1421	0.1332
-Energy Metabolism	TOTAL	0.03255	0.03782	0.0361	0.03139	0.02987
-Biosynthesis	TOTAL	0.1116	0.1344	0.1467	0.1721	0.1828
-Other Enzymes	TOTAL	0.08428	0.09983	0.09161	0.102	0.1021
Organismal Systems	TOTAL	0.007221	9.862e-08	7.529e-08	6.667e-08	6.061e-08
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0.007221	9.862e-08	7.529e-08	6.667e-08	6.061e-08
Human Diseases	TOTAL	0.002928	0.0007674	0.0008544	0.0009455	0.001119
-Cancers	TOTAL	0.002081	9.862e-08	7.529e-08	6.667e-08	6.061e-08
-Immune System Diseases	TOTAL	1.17e-07	9.862e-08	7.529e-08	6.667e-08	6.061e-08
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Metabolic Diseases	TOTAL	0	0	0	0	0
-Infectious Diseases	TOTAL	0.0008473	0.0007673	0.0008544	0.0009454	0.001119
Not Mapped	TOTAL	0.1192	0.1049	0.09742	0.0921	0.0921
-Not Mapped	TOTAL	0.1192	0.1049	0.09742	0.0921	0.0921
TOTAL	MAPPED	1.135	1.117	1.108	1.101	1.101
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.2124	0.2294	0.253	0.2686	0.295
-Transcription	MAPPED	0.01072	0.01194	0.01261	0.0127	0.01351
-Translation	MAPPED	0.1554	0.1717	0.196	0.2136	0.2397
-Folding, Sorting and Degradation	MAPPED	0.03517	0.03498	0.03437	0.03283	0.03227
-DNA Maintenance	MAPPED	0.01662	0.01764	0.01687	0.01567	0.01625
-RNA Family	MAPPED	0	0	0	0	0
Environmental Information Processing	MAPPED	0.01341	0.01381	0.01223	0.01093	0.009422
-Signal Transduction	MAPPED	0.01341	0.01359	0.01199	0.0107	0.009247
-Signaling Molecules and Interaction	MAPPED	0.000331	0.0002463	0.0002687	0.0002583	0.0001974
Cellular Processes	MAPPED	0.02575	0.01825	0.01784	0.01584	0.01163
-Hemoglobin	MAPPED	0	0	0	0	0
-Vesicular Transport	MAPPED	0.0003385	0.000162	0.0001309	0.0001113	0.00011
-Cytoskeleton	MAPPED	0.002334	0.002347	0.002171	0.002003	0.001982
-Cell Motility	MAPPED	0.02253	0.01507	0.01471	0.01266	0.009541
-Cell Growth and Death	MAPPED	0.002713	0.002995	0.003124	0.002966	0.003459
-Cell Communication	MAPPED	0	0	0	0	0
Metabolism	MAPPED	0.4244	0.477	0.4675	0.4688	0.4585
-Membrane Transport	MAPPED	0.05086	0.04728	0.04471	0.0373	0.02989
-Central Carbon Metabolism	MAPPED	0.1697	0.1898	0.1691	0.1566	0.1467
-Energy Metabolism	MAPPED	0.03696	0.04225	0.04	0.03457	0.0329
-Biosynthesis	MAPPED	0.1266	0.1502	0.1626	0.1896	0.2013
-Other Enzymes	MAPPED	0.09568	0.1115	0.1015	0.1123	0.1125
Organismal Systems	MAPPED	0.008198	1.102e-07	8.341e-08	7.343e-08	6.675e-08
-Immune System	MAPPED	0	0	0	0	0
-Endocrine System	MAPPED	0	0	0	0	0
-Circulatory System	MAPPED	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0
-Nervous System	MAPPED	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0
-Environmental Adaptation	MAPPED	0.008198	1.102e-07	8.341e-08	7.343e-08	6.675e-08
Human Diseases	MAPPED	0.003325	0.0008573	0.0009467	0.001041	0.001232
-Cancers	MAPPED	0.002363	1.102e-07	8.341e-08	7.343e-08	6.675e-08
-Immune System Diseases	MAPPED	1.328e-07	1.102e-07	8.341e-08	7.343e-08	6.675e-08
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0
-Metabolic Diseases	MAPPED	0	0	0	0	0
-Infectious Diseases	MAPPED	0.0009619	0.0008572	0.0009466	0.001041	0.001232
Not Mapped	MAPPED	0.1353	0.1171	0.1079	0.1014	0.1014
-Not Mapped	MAPPED	0.1353	0.1171	0.1079	0.1014	0.1014
TOTAL	Genetic Information Processing	5.504	5.007	4.5	4.21	3.839
MAPPED	Genetic Information Processing	4.848	4.482	4.062	3.822	3.485
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1
-Transcription	Genetic Information Processing	0.05091	0.05246	0.05026	0.04763	0.04623
-Translation	Genetic Information Processing	0.7451	0.7634	0.7902	0.8107	0.8295
-Folding, Sorting and Degradation	Genetic Information Processing	0.168	0.1542	0.1371	0.1235	0.1106
-DNA Maintenance	Genetic Information Processing	0.08035	0.07881	0.06838	0.0597	0.05644
-RNA Family	Genetic Information Processing	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.06494	0.06126	0.04961	0.04167	0.03269
-Signal Transduction	Genetic Information Processing	0.06337	0.06126	0.04914	0.04121	0.03246
-Signaling Molecules and Interaction	Genetic Information Processing	0.001548	0.001066	0.001052	0.0009543	0.0006648
Cellular Processes	Genetic Information Processing	0.1204	0.07901	0.06984	0.05851	0.03944
-Hemoglobin	Genetic Information Processing	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0.001641	0.0007261	0.0005316	0.0004255	0.0003835
-Cytoskeleton	Genetic Information Processing	0.01102	0.01023	0.008584	0.007457	0.00672
