Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.8959	0.9093	0.9172	0.9237	0.9254
Genetic Information Processing	TOTAL	0.36	0.3849	0.4188	0.444	0.4794
-Transcription	TOTAL	0.03414	0.03539	0.03309	0.02926	0.02848
-Translation	TOTAL	0.235	0.2578	0.2961	0.3281	0.3646
-Folding, Sorting and Degradation	TOTAL	0.06537	0.06745	0.06685	0.0663	0.06769
-DNA Maintenance	TOTAL	0.03017	0.02992	0.02772	0.02481	0.02396
-RNA Family	TOTAL	1.588e-06	1.328e-06	9.957e-07	8.593e-07	7.641e-07
Environmental Information Processing	TOTAL	0.01323	0.012	0.009919	0.008917	0.008199
-Signal Transduction	TOTAL	0.01299	0.012	0.009919	0.008917	0.008199
-Signaling Molecules and Interaction	TOTAL	7.823e-05	3.319e-07	2.489e-07	2.148e-07	1.91e-07
Cellular Processes	TOTAL	0.01759	0.01276	0.012	0.01191	0.01048
-Hemoglobin	TOTAL	0	0	0	0	0
-Vesicular Transport	TOTAL	0.0005267	0.0002539	0.0002032	0.0001694	0.0001638
-Cytoskeleton	TOTAL	0.003836	0.003722	0.003375	0.003195	0.00315
-Cell Motility	TOTAL	0.01239	0.007484	0.0071	0.007125	0.005539
-Cell Growth and Death	TOTAL	0.001474	0.001748	0.00182	0.001932	0.002197
-Cell Communication	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.5074	0.5043	0.4804	0.4627	0.4296
-Membrane Transport	TOTAL	0.1028	0.09242	0.08321	0.07182	0.05791
-Central Carbon Metabolism	TOTAL	0.12	0.1083	0.09677	0.08612	0.07596
-Energy Metabolism	TOTAL	0.03377	0.04052	0.04055	0.03741	0.03353
-Biosynthesis	TOTAL	0.1151	0.1313	0.1355	0.1492	0.1493
-Other Enzymes	TOTAL	0.1759	0.1788	0.1651	0.1549	0.1518
Organismal Systems	TOTAL	0.000899	0.0009015	0.0007587	0.0005677	0.0003947
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0.0008989	0.0009015	0.0007586	0.0005676	0.0003947
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	9.928e-08	8.297e-08	6.223e-08	5.37e-08	4.775e-08
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0
Human Diseases	TOTAL	0.01648	0.01774	0.01848	0.01956	0.01542
-Cancers	TOTAL	0.001448	6.148e-05	5.234e-05	4.516e-05	4.589e-05
-Immune System Diseases	TOTAL	0.0001583	0.0001493	0.0001058	7.921e-05	6.16e-05
-Neurodegenerative Diseases	TOTAL	0.006345	0.008613	0.009337	0.01105	0.00764
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Metabolic Diseases	TOTAL	0.004432	0.004097	0.003829	0.003388	0.003002
-Infectious Diseases	TOTAL	0.00899	0.00827	0.008086	0.007733	0.007079
Not Mapped	TOTAL	0.1041	0.09073	0.08283	0.07631	0.07464
-Not Mapped	TOTAL	0.1041	0.09073	0.08283	0.07631	0.07464
TOTAL	MAPPED	1.116	1.1	1.09	1.083	1.081
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.4018	0.4233	0.4566	0.4806	0.5181
-Transcription	MAPPED	0.0381	0.03893	0.03608	0.03168	0.03078
