Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
-Cytoskeleton	-Signaling Molecules and Interaction	3.461	Inf	Inf	4.727	Inf	Inf	3.821	Inf	Inf	4.207	Inf	Inf	6.051	Inf	Inf
-Cell Motility	-Signaling Molecules and Interaction	68.06	Inf	NaN	61.18	Inf	NaN	54.75	Inf	NaN	46.73	Inf	NaN	33.42	Inf	NaN
-Cell Growth and Death	-Signaling Molecules and Interaction	5.246	Inf	Inf	7.535	Inf	Inf	7.324	Inf	Inf	7.68	Inf	Inf	11.2	Inf	Inf
-Cell Communication	-Signaling Molecules and Interaction	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN
Metabolism	-Signaling Molecules and Interaction	1227	Inf	Inf	1853	Inf	Inf	1660	Inf	Inf	1742	Inf	Inf	2238	Inf	Inf
-Membrane Transport	-Signaling Molecules and Interaction	84.33	Inf	Inf	91.91	Inf	Inf	83.19	Inf	Inf	80.14	Inf	Inf	99.25	Inf	Inf
-Central Carbon Metabolism	-Signaling Molecules and Interaction	413.5	Inf	Inf	606.3	Inf	Inf	527.2	Inf	Inf	522.9	Inf	Inf	648.8	Inf	Inf
-Energy Metabolism	-Signaling Molecules and Interaction	108.5	Inf	Inf	171.5	Inf	Inf	148.8	Inf	Inf	127.6	Inf	Inf	144.2	Inf	Inf
-Biosynthesis	-Signaling Molecules and Interaction	308	Inf	Inf	496.9	Inf	Inf	496.1	Inf	Inf	616.2	Inf	Inf	861.4	Inf	Inf
-Other Enzymes	-Signaling Molecules and Interaction	192.9	Inf	Inf	314.3	Inf	Inf	249.8	Inf	Inf	237.3	Inf	Inf	293.6	Inf	Inf
Organismal Systems	-Signaling Molecules and Interaction	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN
-Immune System	-Signaling Molecules and Interaction	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN
-Endocrine System	-Signaling Molecules and Interaction	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN
-Circulatory System	-Signaling Molecules and Interaction	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN
-Digestive System	-Signaling Molecules and Interaction	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN
-Excretory System	-Signaling Molecules and Interaction	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN
-Nervous System	-Signaling Molecules and Interaction	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN
-Sensory System	-Signaling Molecules and Interaction	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN
-Development	-Signaling Molecules and Interaction	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN
-Environmental Adaptation	-Signaling Molecules and Interaction	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN
Human Diseases	-Signaling Molecules and Interaction	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN
-Cancers	-Signaling Molecules and Interaction	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN
-Immune System Diseases	-Signaling Molecules and Interaction	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN
-Neurodegenerative Diseases	-Signaling Molecules and Interaction	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN
-Cardiovascular Diseases	-Signaling Molecules and Interaction	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN
-Metabolic Diseases	-Signaling Molecules and Interaction	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN	0	NaN	NaN
-Infectious Diseases	-Signaling Molecules and Interaction	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN	0	Inf	NaN
Not Mapped	-Signaling Molecules and Interaction	408.9	Inf	Inf	475.5	Inf	Inf	401.7	Inf	Inf	392.7	Inf	Inf	513.9	Inf	Inf
-Not Mapped	-Signaling Molecules and Interaction	408.9	Inf	Inf	475.5	Inf	Inf	401.7	Inf	Inf	392.7	Inf	Inf	513.9	Inf	Inf
TOTAL	Cellular Processes	37.7	96.92	279.5	46.97	139.8	363.3	50.98	126.4	364.8	66.67	119.1	382.1	84.36	120.9	366.9
MAPPED	Cellular Processes	33.2	85.36	246.2	42.04	125.2	325.2	46.01	114.1	329.3	60.53	108.2	346.9	76.59	109.7	333.1
Genetic Information Processing	Cellular Processes	6.775	17.65	51.55	9.281	27.93	74.55	11.2	28.08	83.33	15.68	28.3	93.08	22.74	32.07	97.85
-Transcription	Cellular Processes	0.1441	0.4978	1.588	0.2034	0.9352	2.674	0.232	0.8878	3.084	0.32	1.019	3.128	0.4079	1.363	3.241
-Translation	Cellular Processes	5.16	13.12	37.84	7.219	21.32	55.37	9.017	22.19	64.04	12.93	22.94	73.57	18.36	26.3	79.26
-Folding, Sorting and Degradation	Cellular Processes	1.109	2.781	8.66	1.389	3.753	11.95	1.478	3.32	11.88	1.726	3.138	12.02	2.032	3.158	11.24
-DNA Maintenance	Cellular Processes	0.3618	1.336	2.667	0.4694	1.419	3.832	0.4756	1.394	3.594	0.567	1.546	3.473	0.8265	1.947	3.333
-RNA Family	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Cellular Processes	0.44	1.103	3.181	0.5806	1.698	4.41	0.5629	1.365	3.94	0.6616	1.154	3.702	0.7216	1.012	3.073
-Signal Transduction	Cellular Processes	0.429	1.103	3.181	0.5702	1.698	4.41	0.5505	1.365	3.94	0.646	1.154	3.702	0.7065	1.012	3.073
-Signaling Molecules and Interaction	Cellular Processes	0	0	0.01099	0	0	0.01036	0	0	0.01236	0	0	0.01564	0	0	0.01512
Cellular Processes	Cellular Processes	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Hemoglobin	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Cellular Processes	0.01124	0.0289	0.08334	0.006811	0.02028	0.05268	0.006022	0.01493	0.0431	0.006738	0.01204	0.03862	0.008427	0.01208	0.03665
-Cytoskeleton	Cellular Processes	0	0.09517	0.4655	0	0.1458	0.4724	0	0.1231	0.4439	0	0.1266	0.4984	0	0.1695	0.4679
-Cell Motility	Cellular Processes	0	0.5165	0.8877	0	0.4382	0.8256	0	0.4868	0.8248	0	0.4777	0.8015	0	0.4564	0.7619
-Cell Growth and Death	Cellular Processes	5.27e-06	0.151	0.3969	6.267e-06	0.2438	0.4619	4.902e-06	0.2161	0.4995	4.971e-06	0.2574	0.4576	5.738e-06	0.3562	0.489
-Cell Communication	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	Cellular Processes	13.59	35.79	104.5	19.39	59.35	153.8	20.9	52.9	152.4	27.9	50.28	161.2	33.84	49.46	151.2
-Membrane Transport	Cellular Processes	0.9268	3.709	12.75	0.9519	5.792	14.8	1.029	4.982	14.47	1.253	3.917	12.92	1.317	3.198	9.957
-Central Carbon Metabolism	Cellular Processes	5.071	13.09	39.58	6.972	22.56	63.3	7.225	18.32	62.17	8.53	15.68	58.43	9.809	15.35	50.95
-Energy Metabolism	Cellular Processes	1.067	1.5	3.566	1.783	2.839	4.364	1.884	2.826	4.16	2.082	2.747	5.065	2.18	3.049	4.145
-Biosynthesis	Cellular Processes	3.906	9.532	29.09	6.432	15.63	38.06	7.051	15.73	41.5	9.269	18.22	49.58	12.96	20.45	52.43
-Other Enzymes	Cellular Processes	2.12	6.686	19.49	3.255	11.85	27.78	3.089	9.875	31.58	3.711	9.323	38.97	5.174	10.02	37.46
Organismal Systems	Cellular Processes	0	0	2.018	0	0	2.821e-05	0	0	2.217e-05	0	0	1.982e-05	0	0	1.796e-05
-Immune System	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	Cellular Processes	0	0	2.018	0	0	2.821e-05	0	0	2.217e-05	0	0	1.982e-05	0	0	1.796e-05
Human Diseases	Cellular Processes	0	0.07845	0.3909	0	1.433e-05	0.2788	0	1e-05	0.3117	0	8.557e-06	0.3613	0	7.326e-06	0.4105
-Cancers	Cellular Processes	0	0	0.3068	0	0	1.379e-05	0	0	9.514e-06	0	0	7.942e-06	0	0	7.326e-06
-Immune System Diseases	Cellular Processes	0	0	1.134e-05	0	0	2.359e-05	0	0	1.56e-05	0	0	1.333e-05	0	0	1.17e-05
-Neurodegenerative Diseases	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	Cellular Processes	0	0	0.1249	0	0	0.2788	0	0	0.3117	0	0	0.3613	0	0	0.4105
Not Mapped	Cellular Processes	4.494	11.55	33.32	4.925	14.66	38.09	4.966	12.31	35.54	6.14	10.97	35.19	7.769	11.13	33.79
-Not Mapped	Cellular Processes	4.494	11.55	33.32	4.925	14.66	38.09	4.966	12.31	35.54	6.14	10.97	35.19	7.769	11.13	33.79
TOTAL	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
MAPPED	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Transcription	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Translation	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-RNA Family	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Environmental Information Processing	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Hemoglobin	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
Cellular Processes	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Hemoglobin	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Vesicular Transport	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cytoskeleton	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Motility	-Hemoglobin	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Cell Growth and Death	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Communication	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Metabolism	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-Hemoglobin	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Immune System	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Endocrine System	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Circulatory System	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Digestive System	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Excretory System	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Nervous System	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Sensory System	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Development	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Environmental Adaptation	-Hemoglobin	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
Human Diseases	-Hemoglobin	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Cancers	-Hemoglobin	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Immune System Diseases	-Hemoglobin	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Neurodegenerative Diseases	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Cardiovascular Diseases	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Metabolic Diseases	-Hemoglobin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Infectious Diseases	-Hemoglobin	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
Not Mapped	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-Hemoglobin	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
TOTAL	-Vesicular Transport	3354	3354	3354	6895	6895	6895	8465	8465	8465	9893	9893	9893	10010	10010	10010
MAPPED	-Vesicular Transport	2954	2954	2954	6172	6172	6172	7641	7641	7641	8982	8982	8982	9088	9088	9088
Genetic Information Processing	-Vesicular Transport	602.7	617.1	627.5	1363	1393	1416	1860	1902	1933	2326	2374	2413	2583	2629	2681
-Transcription	-Vesicular Transport	11.54	12.82	31.66	26.96	29.86	73.69	34.74	38.52	96.38	43.01	47.49	114.1	43.6	48.41	122.8
-Translation	-Vesicular Transport	453.8	454	459.1	1051	1051	1060	1486	1486	1497	1905	1905	1919	2163	2163	2178
-Folding, Sorting and Degradation	-Vesicular Transport	89.45	97.51	103.9	180.5	196	215.9	217.1	237.9	262.6	245.5	268.2	294.9	241.1	264.5	293.2
-DNA Maintenance	-Vesicular Transport	32	33.96	49.08	68.49	72.73	108.9	78.5	83.4	128.9	83.48	89.91	140.7	82.66	90.93	147.7
-RNA Family	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Vesicular Transport	38.16	38.16	39.63	83.71	83.71	85.23	91.42	91.42	93.48	95.86	95.86	98.18	83.83	83.83	85.63
-Signal Transduction	-Vesicular Transport	38.16	38.16	39.63	83.71	83.71	83.89	91.42	91.42	91.64	95.86	95.86	96.08	83.83	83.83	84.04
-Signaling Molecules and Interaction	-Vesicular Transport	0	0	0.9776	0	0	1.52	0	0	2.053	0	0	2.32	0	0	1.794
Cellular Processes	-Vesicular Transport	7.269	33.45	76.05	15.21	47.47	112.7	17.67	63.73	136.3	19.59	77.08	142.3	23.2	66.21	105.7
-Hemoglobin	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Vesicular Transport	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Cytoskeleton	-Vesicular Transport	0	3.384	6.893	0	7.187	14.48	0	7.845	16.58	0	9.762	17.99	0	10.86	18.01
-Cell Motility	-Vesicular Transport	0	18.13	66.54	0	20.8	93.02	0	31.02	112.4	0	39.67	113.7	0	39.52	86.71
-Cell Growth and Death	-Vesicular Transport	0.0003923	5.05	8.014	0.00068	11.28	18.48	0.0006373	14.82	23.87	0.0006596	17.6	26.65	0.0006067	19.88	31.44
-Cell Communication	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	-Vesicular Transport	1200	1234	1254	2818	2906	2944	3409	3518	3572	4042	4167	4211	4015	4129	4167
-Membrane Transport	-Vesicular Transport	82.45	128.3	150.2	139.8	280.8	291.9	170.8	332.9	341.6	168.6	325.3	335	139.3	255.5	271.7
-Central Carbon Metabolism	-Vesicular Transport	404.3	452.9	501.4	921.9	1061	1171	1083	1227	1292	1213	1329	1406	1164	1253	1334
-Energy Metabolism	-Vesicular Transport	28.33	57	109.2	60.22	134.8	260.8	73.52	180.1	305.6	99.2	195	310.5	104.4	184.2	299
-Biosynthesis	-Vesicular Transport	285.5	308.7	374.1	691.6	770.8	927	895.9	1054	1242	1182	1476	1703	1325	1577	1830
-Other Enzymes	-Vesicular Transport	188.6	233.9	282.6	477.9	572.9	688.4	512.9	707.7	775.5	550.7	793.4	1009	526.6	771.3	1022
Organismal Systems	-Vesicular Transport	0	0	24.22	0	0	0.00068	0	0	0.0006373	0	0	0.0006596	0	0	0.0006067
-Immune System	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Vesicular Transport	0	0	24.22	0	0	0.00068	0	0	0.0006373	0	0	0.0006596	0	0	0.0006067
Human Diseases	-Vesicular Transport	0	2.841	9.82	0	0.00068	5.292	0	0.0006373	7.233	0	0.0006596	9.354	0	0.0006067	11.2
-Cancers	-Vesicular Transport	0	0	6.979	0	0	0.00068	0	0	0.0006373	0	0	0.0006596	0	0	0.0006067
-Immune System Diseases	-Vesicular Transport	0	0	0.0003923	0	0	0.00068	0	0	0.0006373	0	0	0.0006596	0	0	0.0006067
-Neurodegenerative Diseases	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Vesicular Transport	0	0	2.841	0	0	5.291	0	0	7.232	0	0	9.353	0	0	11.2
Not Mapped	-Vesicular Transport	399.8	399.8	399.8	723	723	723	824.7	824.7	824.7	911.2	911.2	911.2	921.9	921.9	921.9
-Not Mapped	-Vesicular Transport	399.8	399.8	399.8	723	723	723	824.7	824.7	824.7	911.2	911.2	911.2	921.9	921.9	921.9
TOTAL	-Cytoskeleton	326.3	991.1	1054	318.2	959.4	1029	346.5	1079	1147	356.5	1013	1357	346.7	922.1	1564
MAPPED	-Cytoskeleton	287.4	872.9	928	284.8	858.8	921.4	312.8	974	1035	323.6	920.1	1232	314.8	837.1	1420
Genetic Information Processing	-Cytoskeleton	59.35	180.1	197.1	63.61	191.6	211.2	77.22	239.8	261.9	84.88	240.7	330.5	90.62	240.2	417.1
-Transcription	-Cytoskeleton	1.123	4.361	9.356	1.244	4.641	10.25	1.422	5.823	12.29	1.55	6.105	14.28	1.51	6.346	17.11
-Translation	-Cytoskeleton	44.18	134.2	142.6	48.52	146.3	156.9	60.84	189.5	201.3	68.65	195.2	261.2	74.93	199.3	337.9
-Folding, Sorting and Degradation	-Cytoskeleton	9.488	26.43	34.9	9.045	25.12	33.86	9.739	27.67	37.32	9.621	25.15	42.67	9.067	22.21	47.91
-DNA Maintenance	-Cytoskeleton	4.563	9.672	20.79	4.809	9.738	21.67	4.848	10.16	25.31	4.791	8.552	22.52	4.851	7.614	21.28
-RNA Family	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Cytoskeleton	3.721	11.28	18.43	3.871	11.65	12.5	3.751	11.65	12.38	3.462	9.82	13.15	2.911	7.722	13.1
-Signal Transduction	-Cytoskeleton	3.721	11.28	18.43	3.871	11.65	12.5	3.751	11.65	12.38	3.462	9.82	13.15	2.911	7.722	13.1
-Signaling Molecules and Interaction	-Cytoskeleton	0	0	0.2889	0	0	0.2115	0	0	0.2617	0	0	0.2377	0	0	0.1653
Cellular Processes	-Cytoskeleton	1.827	6.723	22.47	1.736	6.605	15.68	1.888	7.839	17.37	1.952	7.374	14.57	1.958	5.869	10.93
-Hemoglobin	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Cytoskeleton	0.0973	0.2955	0.3142	0.04614	0.1391	0.1493	0.04093	0.1275	0.1354	0.03603	0.1024	0.1371	0.03464	0.09211	0.1563
-Cytoskeleton	-Cytoskeleton	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-Cell Motility	-Cytoskeleton	0	2.649	19.66	0	2.894	12.94	0	3.954	14.33	0	4.064	11.64	0	3.474	7.987
-Cell Growth and Death	-Cytoskeleton	5.691e-05	0.8668	2.778	4.695e-05	0.9776	2.827	3.843e-05	1.177	3.458	3.666e-05	1.285	3.34	3.368e-05	1.367	3.242
-Cell Communication	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism	-Cytoskeleton	119.6	354.5	390.9	133.4	392.1	435.7	143.7	434.6	478.8	150.2	414	572.3	143.4	369.8	644.7
-Membrane Transport	-Cytoskeleton	11.28	29.9	44.51	9.794	26.64	41.92	10.34	28.91	45.48	9.37	22.94	45.88	7.731	17.2	42.45
-Central Carbon Metabolism	-Cytoskeleton	42.68	119.5	174.4	45.91	128.3	194.7	48.04	138	195.4	47.9	124.3	207.5	44.26	107.2	217.9
-Energy Metabolism	-Cytoskeleton	6.515	15.84	32.64	6.282	17.42	36.29	7.663	18.19	38.95	7.372	18.09	30.34	6.993	16.97	23.83
-Biosynthesis	-Cytoskeleton	32.55	84.37	98.42	38.24	96.23	115.6	45.98	114.2	144.4	55.87	121	163	57.62	122.6	207
-Other Enzymes	-Cytoskeleton	26.14	66.5	112.2	31.25	78.7	131.4	30.13	80.23	146	28.59	70.49	139.4	26.72	62.85	159.7
Organismal Systems	-Cytoskeleton	0	0	7.156	0	0	9.462e-05	0	0	8.124e-05	0	0	6.757e-05	0	0	5.588e-05
-Immune System	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Endocrine System	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Circulatory System	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Digestive System	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Excretory System	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Nervous System	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Sensory System	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Development	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Cytoskeleton	0	0	7.156	0	0	9.462e-05	0	0	8.124e-05	0	0	6.757e-05	0	0	5.588e-05
Human Diseases	-Cytoskeleton	0	0.8928	2.902	0	9.462e-05	0.7899	0	8.124e-05	0.9797	0	6.757e-05	1.283	0	5.588e-05	1.75
-Cancers	-Cytoskeleton	0	0	2.062	0	0	9.462e-05	0	0	8.124e-05	0	0	6.757e-05	0	0	5.588e-05
-Immune System Diseases	-Cytoskeleton	0	0	0.0001232	0	0	0.0001015	0	0	8.633e-05	0	0	9.046e-05	0	0	9.48e-05
-Neurodegenerative Diseases	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
