Category	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
TOTAL	1	1	1	1	1
MAPPED	0.88079119	0.89514581	0.90257954	0.90790074	0.90790034
Genetic Information Processing	0.27048602	0.29052446	0.3154134	0.32860556	0.35655562
-Transcription	0.02891588	0.030783257	0.03152939	0.029735614	0.031038796
--RNA polymerase	0.014369678	0.015927645	0.017530442	0.016997395	0.018482183
--Basal transcription factors	0	0	0	0	0
--Transcription factors	0.014546202	0.014855613	0.013998948	0.012738219	0.012556612
--Spliceosome	0	0	0	0	0
-Translation	0.14539383	0.16192173	0.18547099	0.20288701	0.22725181
--Ribosome	0.083375724	0.092217633	0.11266415	0.12813205	0.14861394
--Translation factors	0.040533614	0.044969226	0.046586288	0.047672246	0.048670016
--tRNA loading	0.020222341	0.02341223	0.02499942	0.025862534	0.028607921
--RNA transport	2.2203711e-05	1.9724393e-07	1.7738772e-05	1.3333381e-07	1.2198753e-05
--mRNA surveillance pathway	0	0	0	0	0
--Ribosome biogenesis in eukaryotes	0	0	0	0	0
--Ribosome biogenesis	0.0012399492	0.0013224452	0.0012033965	0.001220046	0.0013477366
-Folding, Sorting and Degradation	0.079439246	0.080623513	0.081495812	0.08025355	0.082995893
--Chaperones and folding catalysts	0.049372252	0.048512703	0.048452855	0.048425549	0.049496299
--Protein export	0.0028657212	0.003161838	0.0032051015	0.0030611831	0.0030292858
--Protein processing in endoplasmic reticulum	0	0	0	0	0
--SNARE interactions in vesicular transport	0	0	0	0	0
--SNAREs	0	0	0	0	0
--Ubiquitin mediated proteolysis	0	0	0	0	0
--Ubiquitin labeling	1.1696423e-07	9.8621965e-08	7.5288351e-08	6.6666903e-08	6.0606557e-08
--Sulfur relay system	0.0028691457	0.0032512648	0.0032470193	0.0029494836	0.0029856718
--Proteasome	0	0	0	0	0
--Peptidases	0.015496356	0.016670567	0.017673201	0.017086123	0.018516791
--RNA degradation	0.0088356537	0.009027041	0.0089175602	0.0087311458	0.0089677839
-DNA Maintenance	0.016736947	0.017195864	0.016917136	0.015729313	0.015269057
--DNA replication	0.00041506058	0.00039359752	0.00037403671	0.00034805679	0.00037681285
--DNA replication complex	0.00094025761	0.00096548712	0.00085984317	0.00078902502	0.00076075539
--DNA replication control	0.0044200476	0.0043737143	0.0042044999	0.0038472766	0.0040439515
--Chromosome-related	0.0081545775	0.0083723994	0.0081793809	0.0075741222	0.0070593794
--Base excision repair	0.00021772242	0.0002309836	0.00023687388	0.00020904148	0.00022927797
