Numerator	Denominator	eco Valgepea 2013 11	eco Valgepea 2013 21	eco Valgepea 2013 31	eco Valgepea 2013 40	eco Valgepea 2013 48
-Folding, Sorting and Degradation	MAPPED	0.06945	0.07047	0.06933	0.06835	0.06934
-DNA Maintenance	MAPPED	0.03103	0.03006	0.02793	0.02494	0.0235
-RNA Family	MAPPED	1.44e-06	1.186e-06	8.821e-07	7.558e-07	6.709e-07
Environmental Information Processing	MAPPED	0.01221	0.0104	0.008656	0.007812	0.007114
-Signal Transduction	MAPPED	0.01213	0.0104	0.008656	0.007812	0.007114
-Signaling Molecules and Interaction	MAPPED	8.732e-05	3.65e-07	2.714e-07	2.326e-07	2.064e-07
Cellular Processes	MAPPED	0.0151	0.009959	0.01031	0.01042	0.01048
-Hemoglobin	MAPPED	0	0	0	0	0
-Vesicular Transport	MAPPED	0	0	0	0	0
-Cytoskeleton	MAPPED	0.004282	0.004093	0.00368	0.003458	0.003404
-Cell Motility	MAPPED	0.009209	0.003782	0.004473	0.004736	0.004552
-Cell Growth and Death	MAPPED	0.001491	0.001703	0.001664	0.00172	0.001938
-Cell Communication	MAPPED	0	0	0	0	0
Metabolism	MAPPED	0.558	0.5434	0.5117	0.4872	0.4546
-Membrane Transport	MAPPED	0.1082	0.09608	0.08603	0.0737	0.06057
-Central Carbon Metabolism	MAPPED	0.1215	0.1051	0.09345	0.08196	0.07135
-Energy Metabolism	MAPPED	0.03018	0.03687	0.03467	0.03268	0.02576
-Biosynthesis	MAPPED	0.1247	0.1344	0.1345	0.1472	0.1444
-Other Enzymes	MAPPED	0.1664	0.1625	0.1529	0.1442	0.1453
Organismal Systems	MAPPED	0.000441	0.0004759	0.0003091	0.0001291	6.27e-05
-Immune System	MAPPED	0	0	0	0	0
-Endocrine System	MAPPED	0.000441	0.0004759	0.0003091	0.0001291	6.27e-05
-Circulatory System	MAPPED	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0
-Nervous System	MAPPED	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	0	0	0
Human Diseases	MAPPED	0.01173	0.01136	0.01164	0.01321	0.009391
-Cancers	MAPPED	9.64e-05	9.125e-08	6.785e-08	5.814e-08	5.161e-08
-Immune System Diseases	MAPPED	1.108e-07	9.125e-08	6.785e-08	5.814e-08	5.161e-08
-Neurodegenerative Diseases	MAPPED	0.006494	0.009193	0.009958	0.01177	0.00808
-Cardiovascular Diseases	MAPPED	0	0	0	0	0
-Metabolic Diseases	MAPPED	0	0	0	0	0
-Infectious Diseases	MAPPED	0.003452	0.003153	0.003135	0.003054	0.002647
Not Mapped	MAPPED	0.1162	0.09979	0.09031	0.08261	0.08066
-Not Mapped	MAPPED	0.1162	0.09979	0.09031	0.08261	0.08066
TOTAL	Genetic Information Processing	2.798	2.611	2.402	2.267	2.098
MAPPED	Genetic Information Processing	2.507	2.375	2.203	2.094	1.941
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1
-Transcription	Genetic Information Processing	0.08626	0.08193	0.06979	0.0576	0.05203
-Translation	Genetic Information Processing	0.6544	0.6713	0.7091	0.7413	0.763
-Folding, Sorting and Degradation	Genetic Information Processing	0.1743	0.1682	0.1534	0.1436	0.1349
-DNA Maintenance	Genetic Information Processing	0.07927	0.0728	0.06265	0.05303	0.04626
-RNA Family	Genetic Information Processing	3.585e-06	2.802e-06	1.936e-06	1.575e-06	1.295e-06
Environmental Information Processing	Genetic Information Processing	0.0312	0.02475	0.0192	0.01649	0.01389
-Signal Transduction	Genetic Information Processing	0.03098	0.02475	0.0192	0.01649	0.01389
-Signaling Molecules and Interaction	Genetic Information Processing	0.0002189	8.667e-07	5.979e-07	4.869e-07	4.007e-07
Cellular Processes	Genetic Information Processing	0.03833	0.02377	0.02276	0.02189	0.02035
-Hemoglobin	Genetic Information Processing	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0	0	0	0	0
-Cytoskeleton	Genetic Information Processing	0.01073	0.00972	0.008106	0.007241	0.006608
-Cell Motility	Genetic Information Processing	0.02283	0.009159	0.01003	0.01007	0.008946
-Cell Growth and Death	Genetic Information Processing	0.003727	0.004044	0.003665	0.003601	0.003763
-Cell Communication	Genetic Information Processing	0	0	0	0	0
Metabolism	Genetic Information Processing	1.399	1.293	1.135	1.03	0.8857
-Membrane Transport	Genetic Information Processing	0.2724	0.2307	0.191	0.1568	0.1182
-Central Carbon Metabolism	Genetic Information Processing	0.3039	0.2495	0.2051	0.1722	0.139
-Energy Metabolism	Genetic Information Processing	0.07585	0.088	0.07663	0.06897	0.05072
-Biosynthesis	Genetic Information Processing	0.3093	0.3169	0.2945	0.3062	0.2781
-Other Enzymes	Genetic Information Processing	0.4182	0.3831	0.3381	0.3069	0.2804
Organismal Systems	Genetic Information Processing	0.001103	0.00113	0.0006941	0.0002747	0.0001235
-Immune System	Genetic Information Processing	0	0	0	0	0
-Endocrine System	Genetic Information Processing	0.001103	0.00113	0.0006941	0.0002747	0.0001235
-Circulatory System	Genetic Information Processing	0	0	0	0	0
-Digestive System	Genetic Information Processing	0	0	0	0	0
-Excretory System	Genetic Information Processing	0	0	0	0	0
-Nervous System	Genetic Information Processing	0	0	0	0	0
-Sensory System	Genetic Information Processing	0	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0	0
-Environmental Adaptation	Genetic Information Processing	0	0	0	0	0
Human Diseases	Genetic Information Processing	0.02941	0.02721	0.02546	0.02749	0.01813
-Cancers	Genetic Information Processing	0.000246	2.178e-07	1.502e-07	1.221e-07	1.005e-07
-Immune System Diseases	Genetic Information Processing	2.771e-07	2.167e-07	1.495e-07	1.217e-07	1.002e-07
-Neurodegenerative Diseases	Genetic Information Processing	0.0161	0.02167	0.02178	0.0245	0.0156
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0
-Metabolic Diseases	Genetic Information Processing	0	0	0	0	0
-Infectious Diseases	Genetic Information Processing	0.008675	0.007526	0.006933	0.006415	0.005154
Not Mapped	Genetic Information Processing	0.2912	0.2369	0.1989	0.173	0.1566
-Not Mapped	Genetic Information Processing	0.2912	0.2369	0.1989	0.173	0.1566
TOTAL	-Transcription	33	32.45	34.55	39.18	40.1
MAPPED	-Transcription	29.56	29.51	31.69	36.19	37.1
Genetic Information Processing	-Transcription	11.58	12.16	14.32	17.23	19.04
-Transcription	-Transcription	1	1	1	1	1
-Translation	-Transcription	7.735	8.347	10.23	12.85	14.62
-Folding, Sorting and Degradation	-Transcription	2.016	2.032	2.153	2.413	2.519
-DNA Maintenance	-Transcription	0.919	0.8886	0.8984	0.9218	0.8903
-RNA Family	-Transcription	3.899e-05	3.199e-05	2.588e-05	2.541e-05	2.319e-05
Environmental Information Processing	-Transcription	0.3595	0.3036	0.2755	0.2867	0.2684
-Signal Transduction	-Transcription	0.3568	0.3036	0.2755	0.2867	0.2683
-Signaling Molecules and Interaction	-Transcription	0.002581	1.077e-05	8.727e-06	8.592e-06	7.816e-06
Cellular Processes	-Transcription	0.4443	0.2944	0.3315	0.385	0.3911
-Hemoglobin	-Transcription	0	0	0	0	0
-Vesicular Transport	-Transcription	0	0	0	0	0
-Cytoskeleton	-Transcription	0.1266	0.1208	0.1166	0.1251	0.1263
-Cell Motility	-Transcription	0.2644	0.1118	0.1439	0.1751	0.1725
-Cell Growth and Death	-Transcription	0.0444	0.04986	0.05215	0.0617	0.07141
-Cell Communication	-Transcription	0	0	0	0	0
Metabolism	-Transcription	16.68	15.98	16.15	17.57	16.87
-Membrane Transport	-Transcription	3.199	2.761	2.711	2.67	2.233
-Central Carbon Metabolism	-Transcription	3.275	2.691	2.679	2.794	2.647
-Energy Metabolism	-Transcription	0.9097	1.032	1.052	1.14	1.001
-Biosynthesis	-Transcription	3.448	3.731	4.117	5.151	5.202
-Other Enzymes	-Transcription	5.022	4.865	4.845	5.294	5.33
Organismal Systems	-Transcription	0.01409	0.01517	0.009938	0.004768	0.002374
-Immune System	-Transcription	0	0	0	0	0
-Endocrine System	-Transcription	0.01408	0.01514	0.009938	0.004768	0.002374
-Circulatory System	-Transcription	0	0	0	0	0
-Digestive System	-Transcription	0	0	0	0	0
-Excretory System	-Transcription	0	0	0	0	0
-Nervous System	-Transcription	0	0	0	0	0
-Sensory System	-Transcription	0	0	0	0	0
-Development	-Transcription	0	0	0	0	0
-Environmental Adaptation	-Transcription	0	0	0	0	0
Human Diseases	-Transcription	0.3535	0.362	0.4002	0.5219	0.3836
-Cancers	-Transcription	0.003078	2.692e-06	2.182e-06	2.148e-06	1.954e-06
-Immune System Diseases	-Transcription	2.908e-06	2.344e-06	1.881e-06	1.835e-06	1.677e-06
-Neurodegenerative Diseases	-Transcription	0.1917	0.2552	0.2987	0.402	0.2843
-Cardiovascular Diseases	-Transcription	0	0	0	0	0
-Metabolic Diseases	-Transcription	0	0	0	0	0
-Infectious Diseases	-Transcription	0.09827	0.0879	0.09357	0.1026	0.08837
Not Mapped	-Transcription	3.434	2.944	2.862	2.99	2.993
-Not Mapped	-Transcription	3.434	2.944	2.862	2.99	2.993
TOTAL	-Translation	4.262	3.886	3.384	3.052	2.746
MAPPED	-Translation	3.819	3.534	3.103	2.819	2.541
Genetic Information Processing	-Translation	1.519	1.483	1.404	1.344	1.308
-Transcription	-Translation	0.1292	0.1198	0.09666	0.07639	0.06717
-Translation	-Translation	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.2647	0.2502	0.2157	0.1933	0.1769
-DNA Maintenance	-Translation	0.1188	0.1064	0.08684	0.07042	0.0598
-RNA Family	-Translation	5.485e-06	4.176e-06	2.728e-06	2.124e-06	1.699e-06
Environmental Information Processing	-Translation	0.04676	0.03703	0.02706	0.02217	0.01818
-Signal Transduction	-Translation	0.04643	0.03703	0.02706	0.02217	0.01818
-Signaling Molecules and Interaction	-Translation	0.0003338	1.291e-06	8.429e-07	6.563e-07	5.251e-07
Cellular Processes	-Translation	0.05794	0.03526	0.03204	0.02941	0.02667
-Hemoglobin	-Translation	0	0	0	0	0
-Vesicular Transport	-Translation	0	0	0	0	0
-Cytoskeleton	-Translation	0.01635	0.01446	0.01142	0.009748	0.008647
-Cell Motility	-Translation	0.03521	0.01342	0.01393	0.0134	0.01159
-Cell Growth and Death	-Translation	0.005717	0.006043	0.005182	0.004866	0.004937
-Cell Communication	-Translation	0	0	0	0	0
Metabolism	-Translation	2.134	1.922	1.589	1.375	1.155
-Membrane Transport	-Translation	0.4136	0.3409	0.268	0.2077	0.1539
-Central Carbon Metabolism	-Translation	0.4662	0.3728	0.2898	0.2322	0.1811
-Energy Metabolism	-Translation	0.1151	0.1301	0.1084	0.09228	0.06557
-Biosynthesis	-Translation	0.4768	0.4756	0.4203	0.4177	0.369
-Other Enzymes	-Translation	0.6345	0.5749	0.4737	0.4065	0.3696
Organismal Systems	-Translation	0.001692	0.001688	0.0009592	0.0003638	0.0001593
-Immune System	-Translation	0	0	0	0	0
-Endocrine System	-Translation	0.001686	0.001683	0.0009592	0.0003638	0.0001593
-Circulatory System	-Translation	0	0	0	0	0
-Digestive System	-Translation	0	0	0	0	0
-Excretory System	-Translation	0	0	0	0	0
-Nervous System	-Translation	0	0	0	0	0
-Sensory System	-Translation	0	0	0	0	0
-Development	-Translation	0	0	0	0	0
-Environmental Adaptation	-Translation	0	0	0	0	0
Human Diseases	-Translation	0.04467	0.04019	0.03615	0.03729	0.02389
-Cancers	-Translation	0.0003709	3.224e-07	2.106e-07	1.639e-07	1.311e-07
-Immune System Diseases	-Translation	4.242e-07	3.231e-07	2.109e-07	1.642e-07	1.313e-07
-Neurodegenerative Diseases	-Translation	0.02479	0.03245	0.03087	0.03317	0.02051
-Cardiovascular Diseases	-Translation	0	0	0	0	0
-Metabolic Diseases	-Translation	0	0	0	0	0
-Infectious Diseases	-Translation	0.01316	0.01112	0.009712	0.008598	0.006754
Not Mapped	-Translation	0.4436	0.3526	0.2803	0.2329	0.2049
-Not Mapped	-Translation	0.4436	0.3526	0.2803	0.2329	0.2049
TOTAL	-Folding, Sorting and Degradation	16.06	15.48	15.63	15.74	15.56
MAPPED	-Folding, Sorting and Degradation	14.39	14.07	14.33	14.54	14.39
Genetic Information Processing	-Folding, Sorting and Degradation	5.727	5.929	6.507	6.951	7.409
-Transcription	-Folding, Sorting and Degradation	0.4927	0.49	0.4593	0.4083	0.3895
-Translation	-Folding, Sorting and Degradation	3.748	3.991	4.622	5.163	5.651
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.4344	0.425	0.3949	0.3599	0.3428
-RNA Family	-Folding, Sorting and Degradation	1.974e-05	1.599e-05	1.21e-05	1.053e-05	9.171e-06
Environmental Information Processing	-Folding, Sorting and Degradation	0.1757	0.1439	0.1222	0.1123	0.1012
-Signal Transduction	-Folding, Sorting and Degradation	0.1745	0.1439	0.1222	0.1123	0.1012
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.001256	5.136e-06	3.89e-06	3.382e-06	2.971e-06
Cellular Processes	-Folding, Sorting and Degradation	0.2125	0.1423	0.1491	0.1538	0.1523
-Hemoglobin	-Folding, Sorting and Degradation	0	0	0	0	0
-Vesicular Transport	-Folding, Sorting and Degradation	0	0	0	0	0
-Cytoskeleton	-Folding, Sorting and Degradation	0.0616	0.0576	0.05274	0.05029	0.04899
-Cell Motility	-Folding, Sorting and Degradation	0.1312	0.05491	0.06579	0.0708	0.06712
-Cell Growth and Death	-Folding, Sorting and Degradation	0.02138	0.02439	0.02422	0.02562	0.02885
-Cell Communication	-Folding, Sorting and Degradation	0	0	0	0	0
Metabolism	-Folding, Sorting and Degradation	8.025	7.77	7.446	7.259	6.677
-Membrane Transport	-Folding, Sorting and Degradation	1.604	1.353	1.245	1.09	0.8681
-Central Carbon Metabolism	-Folding, Sorting and Degradation	1.709	1.471	1.295	1.199	1.07
-Energy Metabolism	-Folding, Sorting and Degradation	0.4389	0.5247	0.5099	0.4734	0.3953
-Biosynthesis	-Folding, Sorting and Degradation	1.747	1.895	1.965	2.145	2.106
-Other Enzymes	-Folding, Sorting and Degradation	2.315	2.287	2.213	2.144	2.06
Organismal Systems	-Folding, Sorting and Degradation	0.006201	0.00666	0.004548	0.001939	0.0009399
-Immune System	-Folding, Sorting and Degradation	0	0	0	0	0
-Endocrine System	-Folding, Sorting and Degradation	0.006201	0.00666	0.004548	0.001939	0.0009399
-Circulatory System	-Folding, Sorting and Degradation	0	0	0	0	0
-Digestive System	-Folding, Sorting and Degradation	0	0	0	0	0
-Excretory System	-Folding, Sorting and Degradation	0	0	0	0	0
-Nervous System	-Folding, Sorting and Degradation	0	0	0	0	0
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0	0
-Development	-Folding, Sorting and Degradation	0	0	0	0	0
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0	0	0
Human Diseases	-Folding, Sorting and Degradation	0.1688	0.1686	0.1609	0.178	0.1376
-Cancers	-Folding, Sorting and Degradation	0.001457	1.295e-06	9.788e-07	8.506e-07	7.443e-07
-Immune System Diseases	-Folding, Sorting and Degradation	1.558e-06	1.277e-06	9.645e-07	8.425e-07	7.429e-07
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0.08437	0.1189	0.1308	0.1586	0.108
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Metabolic Diseases	-Folding, Sorting and Degradation	0	0	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	0.0502	0.04565	0.04613	0.04588	0.03818
Not Mapped	-Folding, Sorting and Degradation	1.671	1.404	1.294	1.201	1.161
-Not Mapped	-Folding, Sorting and Degradation	1.671	1.404	1.294	1.201	1.161
TOTAL	-DNA Maintenance	34.43	35.17	38.13	42.77	44.93
MAPPED	-DNA Maintenance	30.85	31.98	34.98	39.51	41.57
Genetic Information Processing	-DNA Maintenance	12.09	13.21	15.6	18.59	21.15
-Transcription	-DNA Maintenance	1.023	1.042	1.055	1.036	1.057
-Translation	-DNA Maintenance	8.08	9.062	11.28	14.03	16.38
-Folding, Sorting and Degradation	-DNA Maintenance	2.11	2.216	2.332	2.572	2.774
-DNA Maintenance	-DNA Maintenance	1	1	1	1	1
-RNA Family	-DNA Maintenance	4.443e-05	3.794e-05	3.085e-05	2.986e-05	2.789e-05
Environmental Information Processing	-DNA Maintenance	0.3964	0.3542	0.3245	0.3311	0.3192
-Signal Transduction	-DNA Maintenance	0.3935	0.3542	0.3245	0.3311	0.3192
-Signaling Molecules and Interaction	-DNA Maintenance	0.002814	1.214e-05	9.716e-06	9.326e-06	8.785e-06
Cellular Processes	-DNA Maintenance	0.5041	0.3323	0.3706	0.4227	0.4459
-Hemoglobin	-DNA Maintenance	0	0	0	0	0
-Vesicular Transport	-DNA Maintenance	0	0	0	0	0
-Cytoskeleton	-DNA Maintenance	0.1321	0.1309	0.1287	0.1366	0.1415
-Cell Motility	-DNA Maintenance	0.3083	0.1314	0.1718	0.2046	0.2106
-Cell Growth and Death	-DNA Maintenance	0.04921	0.05853	0.06444	0.07558	0.08992
-Cell Communication	-DNA Maintenance	0	0	0	0	0
Metabolism	-DNA Maintenance	17.21	17.37	17.9	19.25	18.89
-Membrane Transport	-DNA Maintenance	3.374	3.163	3.141	3.011	2.58
-Central Carbon Metabolism	-DNA Maintenance	3.866	3.394	3.448	3.289	2.959
-Energy Metabolism	-DNA Maintenance	0.9743	1.129	1.159	1.181	1.056
-Biosynthesis	-DNA Maintenance	3.815	4.424	4.896	5.873	6.133
-Other Enzymes	-DNA Maintenance	5.286	5.178	5.334	5.691	5.781
Organismal Systems	-DNA Maintenance	0.01472	0.01579	0.01289	0.006098	0.003171
-Immune System	-DNA Maintenance	0	0	0	0	0
-Endocrine System	-DNA Maintenance	0.0136	0.01522	0.01289	0.006098	0.003171
-Circulatory System	-DNA Maintenance	0	0	0	0	0
-Digestive System	-DNA Maintenance	0	0	0	0	0
-Excretory System	-DNA Maintenance	0	0	0	0	0
-Nervous System	-DNA Maintenance	0	0	0	0	0
-Sensory System	-DNA Maintenance	0	0	0	0	0
-Development	-DNA Maintenance	0	0	0	0	0
-Environmental Adaptation	-DNA Maintenance	0	0	0	0	0
Human Diseases	-DNA Maintenance	0.3763	0.3737	0.3873	0.4945	0.3817
-Cancers	-DNA Maintenance	0.002974	3.22e-06	2.606e-06	2.512e-06	2.388e-06
-Immune System Diseases	-DNA Maintenance	3.698e-06	3.17e-06	2.59e-06	2.501e-06	2.344e-06
-Neurodegenerative Diseases	-DNA Maintenance	0.1942	0.2776	0.3182	0.4162	0.2976
-Cardiovascular Diseases	-DNA Maintenance	0	0	0	0	0
-Metabolic Diseases	-DNA Maintenance	0	0	0	0	0
-Infectious Diseases	-DNA Maintenance	0.1025	0.0966	0.1048	0.1145	0.1225
Not Mapped	-DNA Maintenance	3.583	3.191	3.159	3.264	3.353
-Not Mapped	-DNA Maintenance	3.583	3.191	3.159	3.264	3.353
TOTAL	-RNA Family	774800	927100	1236000	1432000	1611000
MAPPED	-RNA Family	694200	843000	1134000	1323000	1491000
Genetic Information Processing	-RNA Family	276900	355200	514700	632500	769900
-Transcription	-RNA Family	25440	30950	38190	38800	42650
-Translation	-RNA Family	182000	238900	365700	469800	587200
-Folding, Sorting and Degradation	-RNA Family	48250	59900	79090	90990	104600
-DNA Maintenance	-RNA Family	20830	24220	29700	30890	33600
-RNA Family	-RNA Family	1	1	1	1	1
Environmental Information Processing	-RNA Family	8961	9331	10400	10970	11330
-Signal Transduction	-RNA Family	8900	9244	10270	10840	11220
-Signaling Molecules and Interaction	-RNA Family	60.62	0.3077	0.3077	0.3077	0.3077
Cellular Processes	-RNA Family	11460	9596	12450	14740	16680
-Hemoglobin	-RNA Family	0	0	0	0	0
-Vesicular Transport	-RNA Family	0	0	0	0	0
-Cytoskeleton	-RNA Family	2972	3451	4172	4576	5073
-Cell Motility	-RNA Family	7555	3768	5993	7405	7350
-Cell Growth and Death	-RNA Family	1142	1621	2249	2767	3539
-Cell Communication	-RNA Family	0	0	0	0	0
Metabolism	-RNA Family	387400	459400	584000	651600	681200
-Membrane Transport	-RNA Family	75280	84040	100000	99900	90970
-Central Carbon Metabolism	-RNA Family	75520	93370	105900	108400	103200
-Energy Metabolism	-RNA Family	25430	32810	42980	42440	45010
-Biosynthesis	-RNA Family	88480	121700	167500	213800	240500
-Other Enzymes	-RNA Family	117600	138100	179500	206700	236100
Organismal Systems	-RNA Family	361.8	470.8	379.6	185	101.3
-Immune System	-RNA Family	0	0	0	0	0
-Endocrine System	-RNA Family	317.2	401.2	379.6	185	101.3
-Circulatory System	-RNA Family	0	0	0	0	0
-Digestive System	-RNA Family	0	0	0	0	0
-Excretory System	-RNA Family	0	0	0	0	0
-Nervous System	-RNA Family	0	0	0	0	0
-Sensory System	-RNA Family	0	0	0	0	0
-Development	-RNA Family	0	0	0	0	0
-Environmental Adaptation	-RNA Family	0	0	0	0	0
Human Diseases	-RNA Family	8201	11270	15160	18760	15100
-Cancers	-RNA Family	66.92	0.07692	0.07692	0.07692	0.07692
-Immune System Diseases	-RNA Family	0.07692	0.07692	0.07692	0.07692	0.07692
-Neurodegenerative Diseases	-RNA Family	3995	6488	9377	12850	10000
-Cardiovascular Diseases	-RNA Family	0	0	0	0	0
-Metabolic Diseases	-RNA Family	0	0	0	0	0
-Infectious Diseases	-RNA Family	1947	2160	2888	3283	3835
Not Mapped	-RNA Family	80640	84120	102400	109300	120200
-Not Mapped	-RNA Family	80640	84120	102400	109300	120200
TOTAL	Environmental Information Processing	88.78	104.9	125.7	137.6	151.4
MAPPED	Environmental Information Processing	79.54	95.35	115.2	127.1	140.1
Genetic Information Processing	Environmental Information Processing	31.91	40.2	52.04	60.5	71.72
-Transcription	Environmental Information Processing	2.765	3.258	3.589	3.448	3.643
-Translation	Environmental Information Processing	20.67	26.93	36.93	44.84	54.91
-Folding, Sorting and Degradation	Environmental Information Processing	5.38	6.719	7.989	8.685	9.714
-DNA Maintenance	Environmental Information Processing	2.506	2.814	3.037	2.956	3.067
-RNA Family	Environmental Information Processing	0.0001054	9.561e-05	8.444e-05	7.918e-05	7.729e-05
Environmental Information Processing	Environmental Information Processing	1	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.9928	1	1	1	1
-Signaling Molecules and Interaction	Environmental Information Processing	0.007149	3.51e-05	3.136e-05	2.977e-05	2.901e-05
Cellular Processes	Environmental Information Processing	1.228	0.9392	1.155	1.267	1.389
-Hemoglobin	Environmental Information Processing	0	0	0	0	0
-Vesicular Transport	Environmental Information Processing	0	0	0	0	0
-Cytoskeleton	Environmental Information Processing	0.3406	0.3903	0.4241	0.4394	0.4769
-Cell Motility	Environmental Information Processing	0.7315	0.3637	0.5168	0.6062	0.6397
-Cell Growth and Death	Environmental Information Processing	0.1205	0.1621	0.1901	0.2191	0.2735
-Cell Communication	Environmental Information Processing	0	0	0	0	0
Metabolism	Environmental Information Processing	44.33	51.99	58.74	61.97	63.44
-Membrane Transport	Environmental Information Processing	8.253	8.774	9.424	8.938	7.958
-Central Carbon Metabolism	Environmental Information Processing	9.11	9.07	9.613	9.932	9.3
-Energy Metabolism	Environmental Information Processing	2.436	3.257	4.005	4.195	3.637
-Biosynthesis	Environmental Information Processing	9.386	12.19	14.94	17.32	19.02
-Other Enzymes	Environmental Information Processing	14.12	15.48	16.69	17.08	18.7
Organismal Systems	Environmental Information Processing	0.03648	0.03908	0.02858	0.01337	0.007077
-Immune System	Environmental Information Processing	0	0	0	0	0
-Endocrine System	Environmental Information Processing	0.03634	0.03784	0.02858	0.01337	0.007077
-Circulatory System	Environmental Information Processing	0	0	0	0	0
-Digestive System	Environmental Information Processing	0	0	0	0	0
-Excretory System	Environmental Information Processing	0	0	0	0	0
-Nervous System	Environmental Information Processing	0	0	0	0	0
-Sensory System	Environmental Information Processing	0	0	0	0	0
-Development	Environmental Information Processing	0	0	0	0	0
-Environmental Adaptation	Environmental Information Processing	0	0	0	0	0
Human Diseases	Environmental Information Processing	0.8864	1.071	1.223	1.479	1.243
