Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine
TOTAL	TOTAL	1	1	1
MAPPED	TOTAL	0.9173	0.8761	0.9138
Genetic Information Processing	TOTAL	0.5861	0.3631	0.5145
-Transcription	TOTAL	0.01667	0.02182	0.018
-Translation	TOTAL	0.4996	0.274	0.4303
-Folding, Sorting and Degradation	TOTAL	0.04738	0.04338	0.04886
-DNA Maintenance	TOTAL	0.01569	0.01881	0.01302
-RNA Family	TOTAL	0	0	0
Environmental Information Processing	TOTAL	0.01021	0.008926	0.00978
-Signal Transduction	TOTAL	0.003229	0.004779	0.003761
-Signaling Molecules and Interaction	TOTAL	0.006978	0.004147	0.006019
Cellular Processes	TOTAL	0.07354	0.1218	0.06988
-Cell structure	TOTAL	0.06984	0.1148	0.06628
-Crystallins	TOTAL	0	0	0
-Stress Response	TOTAL	3.972e-05	0.003422	6.142e-05
-Vesicular Transport	TOTAL	0	0	0
-Cytoskeleton	TOTAL	0.001623	0.001995	0.00174
-Cell Motility	TOTAL	9.814e-05	0.0001769	3.007e-05
-Cell Growth and Death	TOTAL	0.001902	0.001404	0.001739
-Cell Communication	TOTAL	0	0	0
Metabolism	TOTAL	0.2264	0.3561	0.2931
-Membrane Transport	TOTAL	0.0414	0.07215	0.06057
-Central Carbon Metabolism	TOTAL	0.02787	0.04391	0.02776
-Energy Metabolism	TOTAL	0.01316	0.01228	0.01234
-Biosynthesis	TOTAL	0.05641	0.09645	0.07228
-Other Enzymes	TOTAL	0.06848	0.09776	0.07504
Organismal Systems	TOTAL	0	0	0
-Immune System	TOTAL	0	0	0
-Endocrine System	TOTAL	0	0	0
-Circulatory System	TOTAL	0	0	0
-Digestive System	TOTAL	0	0	0
-Excretory System	TOTAL	0	0	0
-Nervous System	TOTAL	0	0	0
-Sensory System	TOTAL	0	0	0
-Development	TOTAL	0	0	0
-Environmental Adaptation	TOTAL	0	0	0
Human Diseases	TOTAL	0.001841	0.003968	0.00202
-Cancers	TOTAL	0	0	0
-Immune System Diseases	TOTAL	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0
-Metabolic Diseases	TOTAL	0	0	0
-Infectious Diseases	TOTAL	0.0002142	0.002307	0.0003901
Not Mapped	TOTAL	0.08265	0.1239	0.08625
-Not Mapped	TOTAL	0.08265	0.1239	0.08625
TOTAL	MAPPED	1.09	1.141	1.094
MAPPED	MAPPED	1	1	1
Genetic Information Processing	MAPPED	0.6389	0.4145	0.563
-Transcription	MAPPED	0.01817	0.0249	0.0197
-Translation	MAPPED	0.5446	0.3128	0.4709
-Folding, Sorting and Degradation	MAPPED	0.05165	0.04951	0.05347
-DNA Maintenance	MAPPED	0.0171	0.02147	0.01425
-RNA Family	MAPPED	0	0	0
Environmental Information Processing	MAPPED	0.01113	0.01019	0.0107
-Signal Transduction	MAPPED	0.00352	0.005455	0.004116
-Signaling Molecules and Interaction	MAPPED	0.007606	0.004734	0.006587
Cellular Processes	MAPPED	0.08017	0.1391	0.07647
-Cell structure	MAPPED	0.07614	0.131	0.07254
-Crystallins	MAPPED	0	0	0
-Stress Response	MAPPED	4.329e-05	0.003906	6.721e-05
-Vesicular Transport	MAPPED	0	0	0
-Cytoskeleton	MAPPED	0.001769	0.002278	0.001905
-Cell Motility	MAPPED	0.000107	0.0002019	3.291e-05
-Cell Growth and Death	MAPPED	0.002074	0.001603	0.001903
-Cell Communication	MAPPED	0	0	0
Metabolism	MAPPED	0.2468	0.4065	0.3207
-Membrane Transport	MAPPED	0.04513	0.08235	0.06629
-Central Carbon Metabolism	MAPPED	0.03038	0.05013	0.03038
-Energy Metabolism	MAPPED	0.01435	0.01401	0.01351
-Biosynthesis	MAPPED	0.06149	0.1101	0.07911
-Other Enzymes	MAPPED	0.07465	0.1116	0.08212
Organismal Systems	MAPPED	0	0	0
-Immune System	MAPPED	0	0	0
-Endocrine System	MAPPED	0	0	0
-Circulatory System	MAPPED	0	0	0
-Digestive System	MAPPED	0	0	0
-Excretory System	MAPPED	0	0	0
-Nervous System	MAPPED	0	0	0
-Sensory System	MAPPED	0	0	0
-Development	MAPPED	0	0	0
-Environmental Adaptation	MAPPED	0	0	0
Human Diseases	MAPPED	0.002007	0.004529	0.002211
-Cancers	MAPPED	0	0	0
-Immune System Diseases	MAPPED	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0
-Metabolic Diseases	MAPPED	0	0	0
-Infectious Diseases	MAPPED	0.0002334	0.002633	0.000427
Not Mapped	MAPPED	0.0901	0.1415	0.09439
