Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine
TOTAL	TOTAL	1	1	1
MAPPED	TOTAL	0.9173	0.8761	0.9138
Genetic Information Processing	TOTAL	0.593	0.3668	0.5239
-Transcription	TOTAL	0.0169	0.02367	0.01883
-Translation	TOTAL	0.5011	0.275	0.4314
-Folding, Sorting and Degradation	TOTAL	0.05236	0.04836	0.0556
-DNA Maintenance	TOTAL	0.01865	0.02067	0.01553
-RNA Family	TOTAL	0	0	0
Environmental Information Processing	TOTAL	0.01085	0.009653	0.01029
-Signal Transduction	TOTAL	0.003877	0.005506	0.004272
-Signaling Molecules and Interaction	TOTAL	0.006978	0.004147	0.006019
Cellular Processes	TOTAL	0.0737	0.1221	0.07009
-Cell structure	TOTAL	0.06984	0.1148	0.06628
-Crystallins	TOTAL	0	0	0
-Stress Response	TOTAL	3.972e-05	0.003422	6.142e-05
-Vesicular Transport	TOTAL	0	0	0
-Cytoskeleton	TOTAL	0.001623	0.001995	0.00174
-Cell Motility	TOTAL	0.000183	0.0002997	0.0001157
-Cell Growth and Death	TOTAL	0.002012	0.001566	0.001887
-Cell Communication	TOTAL	0	0	0
Metabolism	TOTAL	0.2338	0.3691	0.302
-Membrane Transport	TOTAL	0.04264	0.07515	0.06119
-Central Carbon Metabolism	TOTAL	0.03125	0.04905	0.03305
-Energy Metabolism	TOTAL	0.01556	0.01953	0.01524
-Biosynthesis	TOTAL	0.06301	0.1055	0.1038
-Other Enzymes	TOTAL	0.07679	0.1125	0.08673
Organismal Systems	TOTAL	2.097e-05	7.004e-05	1.653e-05
-Immune System	TOTAL	0	0	0
-Endocrine System	TOTAL	0	0	0
-Circulatory System	TOTAL	0	0	0
-Digestive System	TOTAL	0	0	0
-Excretory System	TOTAL	0	0	0
-Nervous System	TOTAL	0	0	0
-Sensory System	TOTAL	0	0	0
-Development	TOTAL	0	0	0
-Environmental Adaptation	TOTAL	0	0	0
Human Diseases	TOTAL	0.004348	0.005401	0.006721
-Cancers	TOTAL	2.77e-05	7.725e-05	3.133e-05
-Immune System Diseases	TOTAL	0	0	0
-Neurodegenerative Diseases	TOTAL	1.557e-06	8.697e-05	1.153e-06
-Cardiovascular Diseases	TOTAL	0	0	0
-Metabolic Diseases	TOTAL	0	0	0
-Infectious Diseases	TOTAL	0.001772	0.003438	0.001989
Not Mapped	TOTAL	0.08265	0.1239	0.08625
-Not Mapped	TOTAL	0.08265	0.1239	0.08625
TOTAL	MAPPED	1.09	1.141	1.094
MAPPED	MAPPED	1	1	1
Genetic Information Processing	MAPPED	0.6465	0.4187	0.5733
-Transcription	MAPPED	0.01842	0.02702	0.0206
-Translation	MAPPED	0.5462	0.3139	0.4721
-Folding, Sorting and Degradation	MAPPED	0.05708	0.05521	0.06085
-DNA Maintenance	MAPPED	0.02033	0.02359	0.01699
-RNA Family	MAPPED	0	0	0
Environmental Information Processing	MAPPED	0.01183	0.01102	0.01126
-Signal Transduction	MAPPED	0.004226	0.006285	0.004676
-Signaling Molecules and Interaction	MAPPED	0.007606	0.004734	0.006587
Cellular Processes	MAPPED	0.08034	0.1393	0.0767
-Cell structure	MAPPED	0.07614	0.131	0.07254
-Crystallins	MAPPED	0	0	0
-Stress Response	MAPPED	4.329e-05	0.003906	6.721e-05
-Vesicular Transport	MAPPED	0	0	0
-Cytoskeleton	MAPPED	0.001769	0.002278	0.001905
-Cell Motility	MAPPED	0.0001994	0.0003421	0.0001266
-Cell Growth and Death	MAPPED	0.002193	0.001788	0.002065
-Cell Communication	MAPPED	0	0	0
Metabolism	MAPPED	0.2549	0.4213	0.3306
-Membrane Transport	MAPPED	0.04648	0.08578	0.06696
-Central Carbon Metabolism	MAPPED	0.03407	0.05599	0.03617
-Energy Metabolism	MAPPED	0.01696	0.02229	0.01668
-Biosynthesis	MAPPED	0.06868	0.1205	0.1136
-Other Enzymes	MAPPED	0.08371	0.1284	0.09491
Organismal Systems	MAPPED	2.286e-05	7.995e-05	1.809e-05
-Immune System	MAPPED	0	0	0
-Endocrine System	MAPPED	0	0	0
-Circulatory System	MAPPED	0	0	0
-Digestive System	MAPPED	0	0	0
-Excretory System	MAPPED	0	0	0
-Nervous System	MAPPED	0	0	0
-Sensory System	MAPPED	0	0	0
-Development	MAPPED	0	0	0
-Environmental Adaptation	MAPPED	0	0	0
Human Diseases	MAPPED	0.00474	0.006165	0.007355
-Cancers	MAPPED	3.02e-05	8.817e-05	3.429e-05
-Immune System Diseases	MAPPED	0	0	0
-Neurodegenerative Diseases	MAPPED	1.698e-06	9.927e-05	1.262e-06
