Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine	eco Li complete	eco Li minimal	eco Li without methionine	eco Li complete	eco Li minimal	eco Li without methionine
		10%	50%	90%	10%	50%	90%	10%	50%	90%
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.9173	0.9173	0.9173	0.8761	0.8761	0.8761	0.9138	0.9138	0.9138
Genetic Information Processing	TOTAL	0.5861	0.593	0.5956	0.3631	0.3668	0.3708	0.5145	0.5239	0.5295
-Transcription	TOTAL	0.01667	0.0169	0.02088	0.02182	0.02367	0.02491	0.018	0.01883	0.0204
-Translation	TOTAL	0.4996	0.5011	0.5024	0.274	0.275	0.276	0.4303	0.4314	0.4331
-Folding, Sorting and Degradation	TOTAL	0.04738	0.05236	0.05862	0.04338	0.04836	0.0539	0.04886	0.0556	0.06477
-DNA Maintenance	TOTAL	0.01569	0.01865	0.02223	0.01881	0.02067	0.02185	0.01302	0.01553	0.01729
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.01021	0.01085	0.01163	0.008926	0.009653	0.01045	0.00978	0.01029	0.01075
-Signal Transduction	TOTAL	0.003229	0.003877	0.004653	0.004779	0.005506	0.006304	0.003761	0.004272	0.00473
-Signaling Molecules and Interaction	TOTAL	0.006978	0.006978	0.006979	0.004147	0.004147	0.004212	0.006019	0.006019	0.006019
Cellular Processes	TOTAL	0.07354	0.0737	0.07468	0.1218	0.1221	0.1231	0.06988	0.07009	0.07039
-Cell structure	TOTAL	0.06984	0.06984	0.06984	0.1148	0.1148	0.1148	0.06628	0.06628	0.06628
-Crystallins	TOTAL	0	0	0	0	0	0	0	0	0
-Stress Response	TOTAL	3.972e-05	3.972e-05	3.972e-05	0.003422	0.003422	0.003422	6.142e-05	6.142e-05	6.142e-05
-Vesicular Transport	TOTAL	0	0	0	0	0	0	0	0	0
-Cytoskeleton	TOTAL	0.001623	0.001623	0.001623	0.001995	0.001995	0.001995	0.00174	0.00174	0.00174
-Cell Motility	TOTAL	9.814e-05	0.000183	0.0009085	0.0001769	0.0002997	0.001053	3.007e-05	0.0001157	0.0001572
-Cell Growth and Death	TOTAL	0.001902	0.002012	0.002304	0.001404	0.001566	0.001977	0.001739	0.001887	0.00223
-Cell Communication	TOTAL	0	0	0	0	0	0	0	0	0
Metabolism	TOTAL	0.2264	0.2338	0.2385	0.3561	0.3691	0.3721	0.2931	0.302	0.3047
-Membrane Transport	TOTAL	0.0414	0.04264	0.04532	0.07215	0.07515	0.07705	0.06057	0.06119	0.06279
-Central Carbon Metabolism	TOTAL	0.02787	0.03125	0.03407	0.04391	0.04905	0.05902	0.02776	0.03305	0.03759
-Energy Metabolism	TOTAL	0.01316	0.01556	0.02165	0.01228	0.01953	0.02316	0.01234	0.01524	0.02042
-Biosynthesis	TOTAL	0.05641	0.06301	0.06848	0.09645	0.1055	0.1176	0.07228	0.1038	0.1067
-Other Enzymes	TOTAL	0.06848	0.07679	0.08205	0.09776	0.1125	0.1224	0.07504	0.08673	0.1167
