Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine
TOTAL	TOTAL	1	1	1
MAPPED	TOTAL	0.8806	0.8524	0.8894
Genetic Information Processing	TOTAL	0.4033	0.219	0.3278
-Transcription	TOTAL	0.0109	0.01264	0.01166
-Translation	TOTAL	0.3315	0.156	0.2604
-Folding, Sorting and Degradation	TOTAL	0.03933	0.03169	0.04049
-DNA Maintenance	TOTAL	0.01432	0.01296	0.01141
-RNA Family	TOTAL	0	0	0
Environmental Information Processing	TOTAL	0.01264	0.008161	0.01007
-Signal Transduction	TOTAL	0.002562	0.003226	0.002356
-Signaling Molecules and Interaction	TOTAL	0.01008	0.004935	0.007717
Cellular Processes	TOTAL	0.1059	0.1447	0.08928
-Cell structure	TOTAL	0.1009	0.1367	0.08501
-Crystallins	TOTAL	0	0	0
-Stress Response	TOTAL	5.737e-05	0.004077	7.877e-05
-Vesicular Transport	TOTAL	0	0	0
-Cytoskeleton	TOTAL	0.002049	0.001978	0.001923
-Cell Motility	TOTAL	9.613e-05	0.0001707	1.697e-05
-Cell Growth and Death	TOTAL	0.002748	0.001673	0.00223
-Cell Communication	TOTAL	0	0	0
Metabolism	TOTAL	0.324	0.4477	0.4194
-Membrane Transport	TOTAL	0.05759	0.08155	0.07478
-Central Carbon Metabolism	TOTAL	0.05641	0.06532	0.04952
-Energy Metabolism	TOTAL	0.01651	0.01253	0.01416
-Biosynthesis	TOTAL	0.08429	0.1225	0.09787
-Other Enzymes	TOTAL	0.0872	0.1108	0.08222
Organismal Systems	TOTAL	0	0	0
-Immune System	TOTAL	0	0	0
-Endocrine System	TOTAL	0	0	0
-Circulatory System	TOTAL	0	0	0
-Digestive System	TOTAL	0	0	0
-Excretory System	TOTAL	0	0	0
-Nervous System	TOTAL	0	0	0
-Sensory System	TOTAL	0	0	0
-Development	TOTAL	0	0	0
-Environmental Adaptation	TOTAL	0	0	0
Human Diseases	TOTAL	0.002252	0.003199	0.00193
-Cancers	TOTAL	0	0	0
-Immune System Diseases	TOTAL	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0
-Metabolic Diseases	TOTAL	0	0	0
-Infectious Diseases	TOTAL	0.0003357	0.001961	0.0005297
Not Mapped	TOTAL	0.1194	0.1476	0.1106
-Not Mapped	TOTAL	0.1194	0.1476	0.1106
TOTAL	MAPPED	1.136	1.173	1.124
MAPPED	MAPPED	1	1	1
Genetic Information Processing	MAPPED	0.458	0.2569	0.3686
-Transcription	MAPPED	0.01238	0.01483	0.01311
-Translation	MAPPED	0.3765	0.183	0.2927
-Folding, Sorting and Degradation	MAPPED	0.04467	0.03718	0.04552
-DNA Maintenance	MAPPED	0.01626	0.01521	0.01283
-RNA Family	MAPPED	0	0	0
Environmental Information Processing	MAPPED	0.01435	0.009574	0.01133
-Signal Transduction	MAPPED	0.002909	0.003785	0.002649
-Signaling Molecules and Interaction	MAPPED	0.01144	0.005789	0.008676
Cellular Processes	MAPPED	0.1202	0.1697	0.1004
-Cell structure	MAPPED	0.1146	0.1604	0.09558
-Crystallins	MAPPED	0	0	0
-Stress Response	MAPPED	6.515e-05	0.004783	8.856e-05
-Vesicular Transport	MAPPED	0	0	0
-Cytoskeleton	MAPPED	0.002327	0.00232	0.002162
-Cell Motility	MAPPED	0.0001092	0.0002003	1.908e-05
-Cell Growth and Death	MAPPED	0.00312	0.001962	0.002507
-Cell Communication	MAPPED	0	0	0
Metabolism	MAPPED	0.3679	0.5252	0.4715
-Membrane Transport	MAPPED	0.0654	0.09567	0.08408
-Central Carbon Metabolism	MAPPED	0.06406	0.07663	0.05568
-Energy Metabolism	MAPPED	0.01874	0.0147	0.01592
-Biosynthesis	MAPPED	0.09571	0.1437	0.11
-Other Enzymes	MAPPED	0.09902	0.13	0.09245
Organismal Systems	MAPPED	0	0	0
-Immune System	MAPPED	0	0	0
-Endocrine System	MAPPED	0	0	0
-Circulatory System	MAPPED	0	0	0
-Digestive System	MAPPED	0	0	0
-Excretory System	MAPPED	0	0	0
-Nervous System	MAPPED	0	0	0
-Sensory System	MAPPED	0	0	0
-Development	MAPPED	0	0	0
-Environmental Adaptation	MAPPED	0	0	0
Human Diseases	MAPPED	0.002557	0.003753	0.00217
-Cancers	MAPPED	0	0	0
-Immune System Diseases	MAPPED	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0
-Metabolic Diseases	MAPPED	0	0	0
-Infectious Diseases	MAPPED	0.0003812	0.002301	0.0005955
