Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine
-Transcription	Genetic Information Processing	0.04504	0.07825	0.04929
-Translation	Genetic Information Processing	0.8158	0.7064	0.7871
-Folding, Sorting and Degradation	Genetic Information Processing	0.1138	0.167	0.1399
-DNA Maintenance	Genetic Information Processing	0.02534	0.04834	0.02371
Environmental Information Processing	Genetic Information Processing	0.01834	0.02617	0.01906
-Signal Transduction	Genetic Information Processing	0.007047	0.01558	0.008133
-Signaling Molecules and Interaction	Genetic Information Processing	0.01129	0.01059	0.01092
Cellular Processes	Genetic Information Processing	0.1203	0.3136	0.1271
-Cell structure	Genetic Information Processing	0.113	0.2931	0.1203
-Stress Response	Genetic Information Processing	6.426e-05	0.008737	0.0001115
-Vesicular Transport	Genetic Information Processing	3.33e-06	0.0002243	2.111e-06
-Cytoskeleton	Genetic Information Processing	0.002626	0.005095	0.003159
-Cell Motility	Genetic Information Processing	0.001566	0.002926	0.0004179
-Cell Growth and Death	Genetic Information Processing	0.003078	0.003585	0.003155
-Cell Communication	Genetic Information Processing	0	0	0
Metabolism	Genetic Information Processing	0.3456	0.897	0.5121
-Membrane Transport	Genetic Information Processing	0.06591	0.1907	0.1065
-Central Carbon Metabolism	Genetic Information Processing	0.07978	0.2161	0.1
-Energy Metabolism	Genetic Information Processing	0.03763	0.04757	0.03398
-Biosynthesis	Genetic Information Processing	0.1265	0.3588	0.2279
-Other Enzymes	Genetic Information Processing	0.03583	0.08396	0.04373
Organismal Systems	Genetic Information Processing	0	0	0
-Immune System	Genetic Information Processing	0	0	0
-Endocrine System	Genetic Information Processing	0	0	0
-Circulatory System	Genetic Information Processing	0	0	0
-Digestive System	Genetic Information Processing	0	0	0
-Excretory System	Genetic Information Processing	0	0	0
-Nervous System	Genetic Information Processing	0	0	0
-Sensory System	Genetic Information Processing	0	0	0
-Development	Genetic Information Processing	0	0	0
-Environmental Adaptation	Genetic Information Processing	0	0	0
Human Diseases	Genetic Information Processing	0	0	0
-Cancers	Genetic Information Processing	0	0	0
-Immune System Diseases	Genetic Information Processing	0	0	0
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0
-Cardiovascular Diseases	Genetic Information Processing	0	0	0
-Infectious Diseases	Genetic Information Processing	0	0	0
Not Mapped	Genetic Information Processing	0.1337	0.3164	0.1565
-Not Mapped	Genetic Information Processing	0.1337	0.3164	0.1565
TOTAL	-Transcription	35.92	32.63	36.82
MAPPED	-Transcription	32.95	28.59	33.64
Genetic Information Processing	-Transcription	22.2	12.78	20.29
-Transcription	-Transcription	1	1	1
-Translation	-Transcription	18.11	9.028	15.97
-Folding, Sorting and Degradation	-Transcription	2.528	2.134	2.838
-DNA Maintenance	-Transcription	0.5626	0.6178	0.481
Environmental Information Processing	-Transcription	0.4071	0.3345	0.3866
-Signal Transduction	-Transcription	0.1565	0.1992	0.165
-Signaling Molecules and Interaction	-Transcription	0.2507	0.1353	0.2216
Cellular Processes	-Transcription	2.672	4.008	2.579
-Cell structure	-Transcription	2.509	3.745	2.44
-Stress Response	-Transcription	0.001427	0.1117	0.002261
-Vesicular Transport	-Transcription	7.393e-05	0.002867	4.282e-05
-Cytoskeleton	-Transcription	0.0583	0.06511	0.06408
-Cell Motility	-Transcription	0.03477	0.0374	0.008478
-Cell Growth and Death	-Transcription	0.06833	0.04581	0.06402
-Cell Communication	-Transcription	0	0	0
Metabolism	-Transcription	7.673	11.46	10.39
-Membrane Transport	-Transcription	1.463	2.437	2.161
-Central Carbon Metabolism	-Transcription	1.771	2.761	2.029
-Energy Metabolism	-Transcription	0.8355	0.6079	0.6894
-Biosynthesis	-Transcription	2.808	4.585	4.623
-Other Enzymes	-Transcription	0.7955	1.073	0.8872
Organismal Systems	-Transcription	0	0	0
-Immune System	-Transcription	0	0	0
-Endocrine System	-Transcription	0	0	0
-Circulatory System	-Transcription	0	0	0
-Digestive System	-Transcription	0	0	0
-Excretory System	-Transcription	0	0	0
-Nervous System	-Transcription	0	0	0
-Sensory System	-Transcription	0	0	0
-Development	-Transcription	0	0	0
-Environmental Adaptation	-Transcription	0	0	0
Human Diseases	-Transcription	0	0	0
-Cancers	-Transcription	0	0	0
-Immune System Diseases	-Transcription	0	0	0
-Neurodegenerative Diseases	-Transcription	0	0	0
-Cardiovascular Diseases	-Transcription	0	0	0
-Infectious Diseases	-Transcription	0	0	0
Not Mapped	-Transcription	2.969	4.044	3.176
-Not Mapped	-Transcription	2.969	4.044	3.176
TOTAL	-Translation	1.983	3.614	2.306
MAPPED	-Translation	1.819	3.166	2.107
Genetic Information Processing	-Translation	1.226	1.416	1.27
-Transcription	-Translation	0.05521	0.1108	0.06262
-Translation	-Translation	1	1	1
-Folding, Sorting and Degradation	-Translation	0.1396	0.2364	0.1777
-DNA Maintenance	-Translation	0.03106	0.06843	0.03012
Environmental Information Processing	-Translation	0.02248	0.03705	0.02421
-Signal Transduction	-Translation	0.008638	0.02206	0.01033
-Signaling Molecules and Interaction	-Translation	0.01384	0.01499	0.01388
Cellular Processes	-Translation	0.1475	0.444	0.1615
-Cell structure	-Translation	0.1385	0.4148	0.1528
-Stress Response	-Translation	7.877e-05	0.01237	0.0001416
-Vesicular Transport	-Translation	4.082e-06	0.0003176	2.681e-06
-Cytoskeleton	-Translation	0.003219	0.007212	0.004013
-Cell Motility	-Translation	0.001919	0.004142	0.0005309
-Cell Growth and Death	-Translation	0.003773	0.005074	0.004009
-Cell Communication	-Translation	0	0	0
Metabolism	-Translation	0.4237	1.27	0.6506
-Membrane Transport	-Translation	0.08079	0.2699	0.1353
-Central Carbon Metabolism	-Translation	0.0978	0.3058	0.1271
-Energy Metabolism	-Translation	0.04613	0.06734	0.04317
-Biosynthesis	-Translation	0.155	0.5079	0.2895
-Other Enzymes	-Translation	0.04392	0.1189	0.05556
Organismal Systems	-Translation	0	0	0
-Immune System	-Translation	0	0	0
-Endocrine System	-Translation	0	0	0
-Circulatory System	-Translation	0	0	0
-Digestive System	-Translation	0	0	0
-Excretory System	-Translation	0	0	0
-Nervous System	-Translation	0	0	0
-Sensory System	-Translation	0	0	0
-Development	-Translation	0	0	0
-Environmental Adaptation	-Translation	0	0	0
Human Diseases	-Translation	0	0	0
-Cancers	-Translation	0	0	0
-Immune System Diseases	-Translation	0	0	0
-Neurodegenerative Diseases	-Translation	0	0	0
-Cardiovascular Diseases	-Translation	0	0	0
-Infectious Diseases	-Translation	0	0	0
Not Mapped	-Translation	0.1639	0.4479	0.1989
-Not Mapped	-Translation	0.1639	0.4479	0.1989
TOTAL	-Folding, Sorting and Degradation	14.21	15.29	12.97
MAPPED	-Folding, Sorting and Degradation	13.04	13.4	11.85
Genetic Information Processing	-Folding, Sorting and Degradation	8.784	5.989	7.148
-Transcription	-Folding, Sorting and Degradation	0.3956	0.4686	0.3523
-Translation	-Folding, Sorting and Degradation	7.166	4.231	5.626
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.2226	0.2895	0.1695
Environmental Information Processing	-Folding, Sorting and Degradation	0.1611	0.1567	0.1362
-Signal Transduction	-Folding, Sorting and Degradation	0.0619	0.09332	0.05814
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.09917	0.06341	0.07808
Cellular Processes	-Folding, Sorting and Degradation	1.057	1.878	0.9087
-Cell structure	-Folding, Sorting and Degradation	0.9926	1.755	0.8598
-Stress Response	-Folding, Sorting and Degradation	0.0005644	0.05233	0.0007967
-Vesicular Transport	-Folding, Sorting and Degradation	2.925e-05	0.001344	1.509e-05
-Cytoskeleton	-Folding, Sorting and Degradation	0.02306	0.03051	0.02258
-Cell Motility	-Folding, Sorting and Degradation	0.01375	0.01753	0.002987
-Cell Growth and Death	-Folding, Sorting and Degradation	0.02703	0.02147	0.02255
-Cell Communication	-Folding, Sorting and Degradation	0	0	0
Metabolism	-Folding, Sorting and Degradation	3.036	5.372	3.661
-Membrane Transport	-Folding, Sorting and Degradation	0.5789	1.142	0.7613
-Central Carbon Metabolism	-Folding, Sorting and Degradation	0.7008	1.294	0.7149
-Energy Metabolism	-Folding, Sorting and Degradation	0.3306	0.2849	0.2429
-Biosynthesis	-Folding, Sorting and Degradation	1.111	2.149	1.629
-Other Enzymes	-Folding, Sorting and Degradation	0.3147	0.5028	0.3126
Organismal Systems	-Folding, Sorting and Degradation	0	0	0
-Immune System	-Folding, Sorting and Degradation	0	0	0
-Endocrine System	-Folding, Sorting and Degradation	0	0	0
-Circulatory System	-Folding, Sorting and Degradation	0	0	0
-Digestive System	-Folding, Sorting and Degradation	0	0	0
-Excretory System	-Folding, Sorting and Degradation	0	0	0
-Nervous System	-Folding, Sorting and Degradation	0	0	0
-Sensory System	-Folding, Sorting and Degradation	0	0	0
-Development	-Folding, Sorting and Degradation	0	0	0
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0
Human Diseases	-Folding, Sorting and Degradation	0	0	0
-Cancers	-Folding, Sorting and Degradation	0	0	0
-Immune System Diseases	-Folding, Sorting and Degradation	0	0	0
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0	0	0
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	0	0	0
Not Mapped	-Folding, Sorting and Degradation	1.175	1.895	1.119
-Not Mapped	-Folding, Sorting and Degradation	1.175	1.895	1.119
TOTAL	-DNA Maintenance	63.85	52.81	76.55
MAPPED	-DNA Maintenance	58.57	46.27	69.95
Genetic Information Processing	-DNA Maintenance	39.46	20.69	42.18
-Transcription	-DNA Maintenance	1.777	1.619	2.079
-Translation	-DNA Maintenance	32.19	14.61	33.2
-Folding, Sorting and Degradation	-DNA Maintenance	4.493	3.454	5.901
-DNA Maintenance	-DNA Maintenance	1	1	1
Environmental Information Processing	-DNA Maintenance	0.7236	0.5414	0.8039
-Signal Transduction	-DNA Maintenance	0.2781	0.3223	0.3431
-Signaling Molecules and Interaction	-DNA Maintenance	0.4455	0.219	0.4608
Cellular Processes	-DNA Maintenance	4.749	6.487	5.363
-Cell structure	-DNA Maintenance	4.459	6.062	5.074
-Stress Response	-DNA Maintenance	0.002536	0.1807	0.004702
-Vesicular Transport	-DNA Maintenance	0.0001314	0.004641	8.903e-05
-Cytoskeleton	-DNA Maintenance	0.1036	0.1054	0.1332
-Cell Motility	-DNA Maintenance	0.06179	0.06053	0.01763
-Cell Growth and Death	-DNA Maintenance	0.1215	0.07415	0.1331
-Cell Communication	-DNA Maintenance	0	0	0
Metabolism	-DNA Maintenance	13.64	18.55	21.6
-Membrane Transport	-DNA Maintenance	2.601	3.944	4.493
-Central Carbon Metabolism	-DNA Maintenance	3.148	4.469	4.219
-Energy Metabolism	-DNA Maintenance	1.485	0.984	1.433
-Biosynthesis	-DNA Maintenance	4.99	7.421	9.612
-Other Enzymes	-DNA Maintenance	1.414	1.737	1.845
Organismal Systems	-DNA Maintenance	0	0	0
-Immune System	-DNA Maintenance	0	0	0
-Endocrine System	-DNA Maintenance	0	0	0
-Circulatory System	-DNA Maintenance	0	0	0
-Digestive System	-DNA Maintenance	0	0	0
-Excretory System	-DNA Maintenance	0	0	0
-Nervous System	-DNA Maintenance	0	0	0
-Sensory System	-DNA Maintenance	0	0	0
-Development	-DNA Maintenance	0	0	0
-Environmental Adaptation	-DNA Maintenance	0	0	0
Human Diseases	-DNA Maintenance	0	0	0
-Cancers	-DNA Maintenance	0	0	0
-Immune System Diseases	-DNA Maintenance	0	0	0
-Neurodegenerative Diseases	-DNA Maintenance	0	0	0
-Cardiovascular Diseases	-DNA Maintenance	0	0	0
-Infectious Diseases	-DNA Maintenance	0	0	0
Not Mapped	-DNA Maintenance	5.277	6.545	6.603
-Not Mapped	-DNA Maintenance	5.277	6.545	6.603
TOTAL	Environmental Information Processing	88.24	97.56	95.23
MAPPED	Environmental Information Processing	80.95	85.47	87.02
Genetic Information Processing	Environmental Information Processing	54.53	38.21	52.48
-Transcription	Environmental Information Processing	2.456	2.99	2.587
-Translation	Environmental Information Processing	44.49	26.99	41.3
-Folding, Sorting and Degradation	Environmental Information Processing	6.209	6.38	7.341
-DNA Maintenance	Environmental Information Processing	1.382	1.847	1.244
Environmental Information Processing	Environmental Information Processing	1	1	1
-Signal Transduction	Environmental Information Processing	0.3843	0.5954	0.4268
-Signaling Molecules and Interaction	Environmental Information Processing	0.6157	0.4046	0.5732
Cellular Processes	Environmental Information Processing	6.563	11.98	6.671
-Cell structure	Environmental Information Processing	6.163	11.2	6.312
-Stress Response	Environmental Information Processing	0.003504	0.3338	0.005849
-Vesicular Transport	Environmental Information Processing	0.0001816	0.008572	0.0001108
-Cytoskeleton	Environmental Information Processing	0.1432	0.1947	0.1657
-Cell Motility	Environmental Information Processing	0.08539	0.1118	0.02193
-Cell Growth and Death	Environmental Information Processing	0.1678	0.137	0.1656
-Cell Communication	Environmental Information Processing	0	0	0
Metabolism	Environmental Information Processing	18.85	34.28	26.87
-Membrane Transport	Environmental Information Processing	3.594	7.285	5.589
-Central Carbon Metabolism	Environmental Information Processing	4.351	8.255	5.248
-Energy Metabolism	Environmental Information Processing	2.052	1.818	1.783
-Biosynthesis	Environmental Information Processing	6.896	13.71	11.96
-Other Enzymes	Environmental Information Processing	1.954	3.208	2.295
Organismal Systems	Environmental Information Processing	0	0	0
-Immune System	Environmental Information Processing	0	0	0
-Endocrine System	Environmental Information Processing	0	0	0
-Circulatory System	Environmental Information Processing	0	0	0
-Digestive System	Environmental Information Processing	0	0	0
-Excretory System	Environmental Information Processing	0	0	0
-Nervous System	Environmental Information Processing	0	0	0
-Sensory System	Environmental Information Processing	0	0	0
-Development	Environmental Information Processing	0	0	0
-Environmental Adaptation	Environmental Information Processing	0	0	0
Human Diseases	Environmental Information Processing	0	0	0
-Cancers	Environmental Information Processing	0	0	0
-Immune System Diseases	Environmental Information Processing	0	0	0
-Neurodegenerative Diseases	Environmental Information Processing	0	0	0
-Cardiovascular Diseases	Environmental Information Processing	0	0	0
-Infectious Diseases	Environmental Information Processing	0	0	0
Not Mapped	Environmental Information Processing	7.293	12.09	8.214
-Not Mapped	Environmental Information Processing	7.293	12.09	8.214
TOTAL	-Signal Transduction	229.6	163.8	223.1
MAPPED	-Signal Transduction	210.6	143.5	203.9
Genetic Information Processing	-Signal Transduction	141.9	64.17	123
-Transcription	-Signal Transduction	6.391	5.021	6.06
-Translation	-Signal Transduction	115.8	45.33	96.78
-Folding, Sorting and Degradation	-Signal Transduction	16.16	10.72	17.2
-DNA Maintenance	-Signal Transduction	3.596	3.102	2.915
Environmental Information Processing	-Signal Transduction	2.602	1.679	2.343
-Signal Transduction	-Signal Transduction	1	1	1
-Signaling Molecules and Interaction	-Signal Transduction	1.602	0.6795	1.343
Cellular Processes	-Signal Transduction	17.08	20.13	15.63
-Cell structure	-Signal Transduction	16.04	18.81	14.79
-Stress Response	-Signal Transduction	0.009119	0.5607	0.0137
-Vesicular Transport	-Signal Transduction	0.0004725	0.0144	0.0002595
-Cytoskeleton	-Signal Transduction	0.3726	0.3269	0.3883
-Cell Motility	-Signal Transduction	0.2222	0.1878	0.05138
-Cell Growth and Death	-Signal Transduction	0.4367	0.23	0.388
-Cell Communication	-Signal Transduction	0	0	0
Metabolism	-Signal Transduction	49.04	57.56	62.96
-Membrane Transport	-Signal Transduction	9.353	12.24	13.1
-Central Carbon Metabolism	-Signal Transduction	11.32	13.86	12.3
-Energy Metabolism	-Signal Transduction	5.34	3.053	4.178
-Biosynthesis	-Signal Transduction	17.94	23.02	28.02
-Other Enzymes	-Signal Transduction	5.084	5.388	5.377
Organismal Systems	-Signal Transduction	0	0	0
-Immune System	-Signal Transduction	0	0	0
-Endocrine System	-Signal Transduction	0	0	0
-Circulatory System	-Signal Transduction	0	0	0
-Digestive System	-Signal Transduction	0	0	0
-Excretory System	-Signal Transduction	0	0	0
-Nervous System	-Signal Transduction	0	0	0
-Sensory System	-Signal Transduction	0	0	0
-Development	-Signal Transduction	0	0	0
-Environmental Adaptation	-Signal Transduction	0	0	0
Human Diseases	-Signal Transduction	0	0	0
-Cancers	-Signal Transduction	0	0	0
-Immune System Diseases	-Signal Transduction	0	0	0
-Neurodegenerative Diseases	-Signal Transduction	0	0	0
-Cardiovascular Diseases	-Signal Transduction	0	0	0
-Infectious Diseases	-Signal Transduction	0	0	0
Not Mapped	-Signal Transduction	18.98	20.31	19.24
-Not Mapped	-Signal Transduction	18.98	20.31	19.24
TOTAL	-Signaling Molecules and Interaction	143.3	241.1	166.1
MAPPED	-Signaling Molecules and Interaction	131.5	211.3	151.8
Genetic Information Processing	-Signaling Molecules and Interaction	88.57	94.45	91.55
-Transcription	-Signaling Molecules and Interaction	3.989	7.39	4.512
-Translation	-Signaling Molecules and Interaction	72.26	66.72	72.06
-Folding, Sorting and Degradation	-Signaling Molecules and Interaction	10.08	15.77	12.81
-DNA Maintenance	-Signaling Molecules and Interaction	2.245	4.566	2.17
Environmental Information Processing	-Signaling Molecules and Interaction	1.624	2.472	1.745
-Signal Transduction	-Signaling Molecules and Interaction	0.6242	1.472	0.7446
-Signaling Molecules and Interaction	-Signaling Molecules and Interaction	1	1	1
Cellular Processes	-Signaling Molecules and Interaction	10.66	29.62	11.64
-Cell structure	-Signaling Molecules and Interaction	10.01	27.68	11.01
-Stress Response	-Signaling Molecules and Interaction	0.005692	0.8252	0.0102
-Vesicular Transport	-Signaling Molecules and Interaction	0.0002949	0.02119	0.0001932
-Cytoskeleton	-Signaling Molecules and Interaction	0.2326	0.4812	0.2892
-Cell Motility	-Signaling Molecules and Interaction	0.1387	0.2764	0.03826
-Cell Growth and Death	-Signaling Molecules and Interaction	0.2726	0.3385	0.2889
-Cell Communication	-Signaling Molecules and Interaction	0	0	0
Metabolism	-Signaling Molecules and Interaction	30.61	84.72	46.88
-Membrane Transport	-Signaling Molecules and Interaction	5.838	18.01	9.751
-Central Carbon Metabolism	-Signaling Molecules and Interaction	7.067	20.41	9.156
-Energy Metabolism	-Signaling Molecules and Interaction	3.333	4.493	3.111
-Biosynthesis	-Signaling Molecules and Interaction	11.2	33.88	20.86
-Other Enzymes	-Signaling Molecules and Interaction	3.174	7.93	4.003
Organismal Systems	-Signaling Molecules and Interaction	0	0	0
-Immune System	-Signaling Molecules and Interaction	0	0	0
-Endocrine System	-Signaling Molecules and Interaction	0	0	0
-Circulatory System	-Signaling Molecules and Interaction	0	0	0
-Digestive System	-Signaling Molecules and Interaction	0	0	0
-Excretory System	-Signaling Molecules and Interaction	0	0	0
-Nervous System	-Signaling Molecules and Interaction	0	0	0
-Sensory System	-Signaling Molecules and Interaction	0	0	0
-Development	-Signaling Molecules and Interaction	0	0	0
-Environmental Adaptation	-Signaling Molecules and Interaction	0	0	0
Human Diseases	-Signaling Molecules and Interaction	0	0	0
-Cancers	-Signaling Molecules and Interaction	0	0	0
-Immune System Diseases	-Signaling Molecules and Interaction	0	0	0
-Neurodegenerative Diseases	-Signaling Molecules and Interaction	0	0	0
-Cardiovascular Diseases	-Signaling Molecules and Interaction	0	0	0
-Infectious Diseases	-Signaling Molecules and Interaction	0	0	0
Not Mapped	-Signaling Molecules and Interaction	11.85	29.88	14.33
-Not Mapped	-Signaling Molecules and Interaction	11.85	29.88	14.33
TOTAL	Cellular Processes	13.44	8.141	14.27
MAPPED	Cellular Processes	12.33	7.132	13.04
Genetic Information Processing	Cellular Processes	8.309	3.189	7.866
-Transcription	Cellular Processes	0.3743	0.2495	0.3877
-Translation	Cellular Processes	6.779	2.252	6.191
-Folding, Sorting and Degradation	Cellular Processes	0.946	0.5324	1.1
-DNA Maintenance	Cellular Processes	0.2106	0.1541	0.1865
Environmental Information Processing	Cellular Processes	0.1524	0.08345	0.1499
-Signal Transduction	Cellular Processes	0.05856	0.04969	0.06397
-Signaling Molecules and Interaction	Cellular Processes	0.09381	0.03376	0.08592
Cellular Processes	Cellular Processes	1	1	1
-Cell structure	Cellular Processes	0.939	0.9344	0.9462
-Stress Response	Cellular Processes	0.000534	0.02786	0.0008767
-Vesicular Transport	Cellular Processes	2.767e-05	0.0007153	1.66e-05
-Cytoskeleton	Cellular Processes	0.02182	0.01624	0.02484
-Cell Motility	Cellular Processes	0.01301	0.009331	0.003287
-Cell Growth and Death	Cellular Processes	0.02557	0.01143	0.02482
-Cell Communication	Cellular Processes	0	0	0
Metabolism	Cellular Processes	2.872	2.86	4.028
-Membrane Transport	Cellular Processes	0.5477	0.6079	0.8378
-Central Carbon Metabolism	Cellular Processes	0.6629	0.6889	0.7867
-Energy Metabolism	Cellular Processes	0.3127	0.1517	0.2673
-Biosynthesis	Cellular Processes	1.051	1.144	1.792
-Other Enzymes	Cellular Processes	0.2977	0.2677	0.344
Organismal Systems	Cellular Processes	0	0	0
-Immune System	Cellular Processes	0	0	0
-Endocrine System	Cellular Processes	0	0	0
-Circulatory System	Cellular Processes	0	0	0
-Digestive System	Cellular Processes	0	0	0
-Excretory System	Cellular Processes	0	0	0
-Nervous System	Cellular Processes	0	0	0
-Sensory System	Cellular Processes	0	0	0
-Development	Cellular Processes	0	0	0
-Environmental Adaptation	Cellular Processes	0	0	0
Human Diseases	Cellular Processes	0	0	0
-Cancers	Cellular Processes	0	0	0
-Immune System Diseases	Cellular Processes	0	0	0
-Neurodegenerative Diseases	Cellular Processes	0	0	0
-Cardiovascular Diseases	Cellular Processes	0	0	0
-Infectious Diseases	Cellular Processes	0	0	0
Not Mapped	Cellular Processes	1.111	1.009	1.231
-Not Mapped	Cellular Processes	1.111	1.009	1.231
TOTAL	-Cell structure	14.32	8.712	15.09
MAPPED	-Cell structure	13.13	7.633	13.79
Genetic Information Processing	-Cell structure	8.849	3.412	8.313
-Transcription	-Cell structure	0.3986	0.267	0.4098
-Translation	-Cell structure	7.219	2.411	6.543
-Folding, Sorting and Degradation	-Cell structure	1.007	0.5698	1.163
-DNA Maintenance	-Cell structure	0.2242	0.165	0.1971
Environmental Information Processing	-Cell structure	0.1623	0.0893	0.1584
-Signal Transduction	-Cell structure	0.06236	0.05317	0.06762
-Signaling Molecules and Interaction	-Cell structure	0.0999	0.03613	0.09081
Cellular Processes	-Cell structure	1.065	1.07	1.057
-Cell structure	-Cell structure	1	1	1
-Stress Response	-Cell structure	0.0005686	0.02981	0.0009266
-Vesicular Transport	-Cell structure	2.947e-05	0.0007655	1.755e-05
-Cytoskeleton	-Cell structure	0.02323	0.01738	0.02626
-Cell Motility	-Cell structure	0.01386	0.009986	0.003474
-Cell Growth and Death	-Cell structure	0.02723	0.01223	0.02623
-Cell Communication	-Cell structure	0	0	0
Metabolism	-Cell structure	3.058	3.061	4.257
-Membrane Transport	-Cell structure	0.5832	0.6506	0.8855
-Central Carbon Metabolism	-Cell structure	0.706	0.7372	0.8315
-Energy Metabolism	-Cell structure	0.333	0.1623	0.2825
-Biosynthesis	-Cell structure	1.119	1.224	1.894
-Other Enzymes	-Cell structure	0.317	0.2865	0.3635
Organismal Systems	-Cell structure	0	0	0
-Immune System	-Cell structure	0	0	0
-Endocrine System	-Cell structure	0	0	0
-Circulatory System	-Cell structure	0	0	0
-Digestive System	-Cell structure	0	0	0
-Excretory System	-Cell structure	0	0	0
-Nervous System	-Cell structure	0	0	0
