Numerator	Denominator	eco WeiLi old	eco WeiLi complete	eco WeiLi minimal	eco WeiLi without methionine
-Vesicular Transport	MAPPED	2.303e-06	6.2e-07	1.226e-06	1.19e-08
-Cytoskeleton	MAPPED	0.002964	0.00201	0.002718	0.002155
-Cell Motility	MAPPED	0.001269	0.001122	0.001429	0.0001972
-Cell Growth and Death	MAPPED	0.001978	0.00286	0.002697	0.002754
-Cell Communication	MAPPED	0	0	0	0
Metabolism	MAPPED	0.4142	0.2904	0.5018	0.3735
-Membrane Transport	MAPPED	0.09356	0.05519	0.1055	0.0768
-Central Carbon Metabolism	MAPPED	0.08175	0.04402	0.07516	0.04641
-Energy Metabolism	MAPPED	0.03318	0.02658	0.03191	0.02585
-Biosynthesis	MAPPED	0.1237	0.09202	0.1665	0.142
-Other Enzymes	MAPPED	0.1332	0.09928	0.1544	0.1137
Organismal Systems	MAPPED	0.0002773	8.949e-05	0.0003189	8.985e-05
-Immune System	MAPPED	0	0	0	0
-Endocrine System	MAPPED	0.0002209	6.352e-05	0.0002872	6.938e-05
-Circulatory System	MAPPED	0	0	0	0
-Digestive System	MAPPED	5.582e-06	1.929e-06	0.0001023	1.19e-08
-Excretory System	MAPPED	0	0	0	0
-Nervous System	MAPPED	0	0	0	0
-Sensory System	MAPPED	0	0	0	0
-Development	MAPPED	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	0	0
Human Diseases	MAPPED	0.01751	0.01207	0.02025	0.01792
-Cancers	MAPPED	7.672e-05	3.431e-05	0.0001052	3.88e-05
-Immune System Diseases	MAPPED	7.805e-05	7.288e-05	0.0001077	8.545e-05
-Neurodegenerative Diseases	MAPPED	0.007729	0.007294	0.01461	0.009452
-Cardiovascular Diseases	MAPPED	0	0	0	0
-Metabolic Diseases	MAPPED	0.008307	0.003594	0.002748	0.00689
-Infectious Diseases	MAPPED	0.009778	0.004781	0.005579	0.008471
Not Mapped	MAPPED	0.1538	0.199	0.4753	0.2121
-Not Mapped	MAPPED	0.1538	0.199	0.4753	0.2121
TOTAL	Genetic Information Processing	2.073	1.729	3.123	1.996
MAPPED	Genetic Information Processing	1.797	1.442	2.117	1.647
Genetic Information Processing	Genetic Information Processing	1	1	1	1
-Transcription	Genetic Information Processing	0.04415	0.03876	0.0751	0.04501
-Translation	Genetic Information Processing	0.8089	0.8408	0.7368	0.8178
-Folding, Sorting and Degradation	Genetic Information Processing	0.1374	0.1043	0.1529	0.1307
-DNA Maintenance	Genetic Information Processing	0.05197	0.03772	0.06389	0.03475
-RNA Family	Genetic Information Processing	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.00881	0.008123	0.01789	0.009527
-Signal Transduction	Genetic Information Processing	0.008772	0.008106	0.01767	0.009517
-Signaling Molecules and Interaction	Genetic Information Processing	2.911e-05	1.497e-05	4.399e-05	1.053e-05
Cellular Processes	Genetic Information Processing	0.01101	0.008665	0.0241	0.008429
-Crystallins	Genetic Information Processing	0	0	0	0
-Stress Response	Genetic Information Processing	3.374e-05	7.092e-05	0.009868	0.0001252
-Vesicular Transport	Genetic Information Processing	4.028e-06	8.94e-07	2.596e-06	1.96e-08
-Cytoskeleton	Genetic Information Processing	0.005326	0.002898	0.005754	0.003549
-Cell Motility	Genetic Information Processing	0.002293	0.001625	0.003051	0.0003284
-Cell Growth and Death	Genetic Information Processing	0.003553	0.004128	0.005757	0.004525
-Cell Communication	Genetic Information Processing	0	0	0	0
Metabolism	Genetic Information Processing	0.7498	0.4187	1.058	0.615
-Membrane Transport	Genetic Information Processing	0.1649	0.07886	0.2211	0.1269
-Central Carbon Metabolism	Genetic Information Processing	0.1468	0.06346	0.1589	0.07643
-Energy Metabolism	Genetic Information Processing	0.05955	0.03849	0.06812	0.04257
-Biosynthesis	Genetic Information Processing	0.2146	0.1318	0.348	0.2301
-Other Enzymes	Genetic Information Processing	0.2412	0.1421	0.3222	0.1866
Organismal Systems	Genetic Information Processing	0.0004819	0.0001281	0.0006653	0.0001459
-Immune System	Genetic Information Processing	0	0	0	0
-Endocrine System	Genetic Information Processing	0.0003864	9.158e-05	0.000608	0.0001142
-Circulatory System	Genetic Information Processing	0	0	0	0
-Digestive System	Genetic Information Processing	9.802e-06	2.773e-06	0.0002163	1.953e-08
-Excretory System	Genetic Information Processing	0	0	0	0
-Nervous System	Genetic Information Processing	0	0	0	0
-Sensory System	Genetic Information Processing	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0
-Environmental Adaptation	Genetic Information Processing	0	0	0	0
Human Diseases	Genetic Information Processing	0.03063	0.01736	0.04324	0.02942
-Cancers	Genetic Information Processing	0.0001328	4.897e-05	0.0002197	6.281e-05
-Immune System Diseases	Genetic Information Processing	0.0001357	0.0001043	0.0002247	0.0001387
-Neurodegenerative Diseases	Genetic Information Processing	0.01357	0.01049	0.0309	0.01551
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0
-Metabolic Diseases	Genetic Information Processing	0.01493	0.00518	0.005812	0.01135
-Infectious Diseases	Genetic Information Processing	0.01711	0.006874	0.01191	0.0139
Not Mapped	Genetic Information Processing	0.2764	0.2869	1.006	0.3494
-Not Mapped	Genetic Information Processing	0.2764	0.2869	1.006	0.3494
TOTAL	-Transcription	77.74	58.68	48.6	54.32
MAPPED	-Transcription	67.37	48.95	32.94	44.82
Genetic Information Processing	-Transcription	37.5	33.95	15.73	27.22
-Transcription	-Transcription	1	1	1	1
-Translation	-Transcription	30.33	28.54	11.39	22.26
-Folding, Sorting and Degradation	-Transcription	5.399	3.184	2.314	3.651
-DNA Maintenance	-Transcription	1.92	1.238	0.9519	0.8935
-RNA Family	-Transcription	0	0	0	0
Environmental Information Processing	-Transcription	0.3167	0.2459	0.2708	0.2593
-Signal Transduction	-Transcription	0.3156	0.2454	0.2673	0.259
-Signaling Molecules and Interaction	-Transcription	0.001084	0.0005058	0.0006859	0.0002832
Cellular Processes	-Transcription	0.4021	0.2465	0.3497	0.2253
-Crystallins	-Transcription	0	0	0	0
-Stress Response	-Transcription	0.001265	0.002407	0.1536	0.003408
-Vesicular Transport	-Transcription	0.0001479	3.179e-05	4.083e-05	5.56e-07
-Cytoskeleton	-Transcription	0.1997	0.09837	0.08955	0.09657
-Cell Motility	-Transcription	0.07945	0.04493	0.04621	0.007853
-Cell Growth and Death	-Transcription	0.1332	0.1253	0.08447	0.1131
-Cell Communication	-Transcription	0	0	0	0
Metabolism	-Transcription	28.53	14.21	16.42	16.74
-Membrane Transport	-Transcription	6.183	2.448	3.383	3.312
-Central Carbon Metabolism	-Transcription	4.887	2.049	2.39	1.947
-Energy Metabolism	-Transcription	2.081	1.319	0.9883	1.158
-Biosynthesis	-Transcription	7.002	4.182	5.266	6.01
-Other Enzymes	-Transcription	7.835	4.007	4.535	4.469
Organismal Systems	-Transcription	0.01506	0.003845	0.00933	0.003597
-Immune System	-Transcription	0	0	0	0
-Endocrine System	-Transcription	0.012	0.003109	0.00933	0.003109
-Circulatory System	-Transcription	0	0	0	0
-Digestive System	-Transcription	0.0003283	7.314e-05	0.003164	4.686e-07
-Excretory System	-Transcription	0	0	0	0
-Nervous System	-Transcription	0	0	0	0
-Sensory System	-Transcription	0	0	0	0
-Development	-Transcription	0	0	0	0
-Environmental Adaptation	-Transcription	0	0	0	0
Human Diseases	-Transcription	0.8119	0.4824	0.6048	0.6029
-Cancers	-Transcription	0.004544	0.001393	0.003466	0.001689
-Immune System Diseases	-Transcription	0.005013	0.003132	0.003151	0.003421
-Neurodegenerative Diseases	-Transcription	0.4964	0.3207	0.462	0.3921
-Cardiovascular Diseases	-Transcription	0	0	0	0
-Metabolic Diseases	-Transcription	0.5597	0.1673	0.08742	0.2891
-Infectious Diseases	-Transcription	0.3672	0.171	0.1626	0.2849
Not Mapped	-Transcription	10.36	9.739	15.66	9.507
-Not Mapped	-Transcription	10.36	9.739	15.66	9.507
TOTAL	-Translation	2.561	2.069	4.277	2.459
MAPPED	-Translation	2.219	1.726	2.899	2.028
Genetic Information Processing	-Translation	1.27	1.206	1.386	1.249
-Transcription	-Translation	0.05596	0.04654	0.1036	0.05591
-Translation	-Translation	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.1737	0.1254	0.2114	0.1627
-DNA Maintenance	-Translation	0.066	0.04547	0.08862	0.04336
-RNA Family	-Translation	0	0	0	0
Environmental Information Processing	-Translation	0.01111	0.009771	0.02474	0.01165
-Signal Transduction	-Translation	0.01107	0.00975	0.02443	0.01164
-Signaling Molecules and Interaction	-Translation	3.573e-05	1.784e-05	5.973e-05	1.282e-05
Cellular Processes	-Translation	0.0137	0.01038	0.03324	0.01049
-Crystallins	-Translation	0	0	0	0
-Stress Response	-Translation	4.167e-05	8.488e-05	0.01351	0.0001542
-Vesicular Transport	-Translation	5.083e-06	1.068e-06	3.55e-06	2.411e-08
-Cytoskeleton	-Translation	0.006578	0.003468	0.00788	0.004371
-Cell Motility	-Translation	0.002795	0.001931	0.004129	0.0003991
-Cell Growth and Death	-Translation	0.004393	0.004937	0.00779	0.005576
-Cell Communication	-Translation	0	0	0	0
Metabolism	-Translation	0.9168	0.498	1.455	0.7531
-Membrane Transport	-Translation	0.2075	0.09507	0.3047	0.1546
-Central Carbon Metabolism	-Translation	0.1816	0.07598	0.2178	0.09417
-Energy Metabolism	-Translation	0.07276	0.04573	0.09217	0.05205
-Biosynthesis	-Translation	0.2712	0.1585	0.4812	0.2862
-Other Enzymes	-Translation	0.2939	0.171	0.4465	0.2303
Organismal Systems	-Translation	0.0006079	0.0001535	0.0009161	0.0001809
-Immune System	-Translation	0	0	0	0
-Endocrine System	-Translation	0.000489	0.0001096	0.0008326	0.0001407
-Circulatory System	-Translation	0	0	0	0
-Digestive System	-Translation	1.231e-05	3.321e-06	0.0002956	2.409e-08
-Excretory System	-Translation	0	0	0	0
-Nervous System	-Translation	0	0	0	0
-Sensory System	-Translation	0	0	0	0
-Development	-Translation	0	0	0	0
-Environmental Adaptation	-Translation	0	0	0	0
Human Diseases	-Translation	0.03855	0.02079	0.05851	0.0363
-Cancers	-Translation	0.0001703	5.914e-05	0.0003044	7.853e-05
-Immune System Diseases	-Translation	0.0001723	0.0001256	0.0003117	0.0001731
-Neurodegenerative Diseases	-Translation	0.01712	0.01256	0.04222	0.01914
-Cardiovascular Diseases	-Translation	0	0	0	0
-Metabolic Diseases	-Translation	0.01845	0.006203	0.007967	0.01398
-Infectious Diseases	-Translation	0.02153	0.008231	0.01612	0.01716
Not Mapped	-Translation	0.3414	0.3433	1.378	0.4303
-Not Mapped	-Translation	0.3414	0.3433	1.378	0.4303
TOTAL	-Folding, Sorting and Degradation	18.53	18.53	23.75	18.46
MAPPED	-Folding, Sorting and Degradation	16.06	15.45	16.1	15.23
Genetic Information Processing	-Folding, Sorting and Degradation	8.968	10.75	7.54	9.21
-Transcription	-Folding, Sorting and Degradation	0.3905	0.4064	0.5622	0.3989
-Translation	-Folding, Sorting and Degradation	7.294	9.011	5.572	7.519
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.4594	0.4172	0.4676	0.3069
-RNA Family	-Folding, Sorting and Degradation	0	0	0	0
Environmental Information Processing	-Folding, Sorting and Degradation	0.06813	0.07791	0.1259	0.08456
-Signal Transduction	-Folding, Sorting and Degradation	0.0679	0.07774	0.1256	0.08447
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0.0002611	0.0001675	0.0003331	9.624e-05
Cellular Processes	-Folding, Sorting and Degradation	0.08468	0.09119	0.1741	0.07095
-Crystallins	-Folding, Sorting and Degradation	0	0	0	0
-Stress Response	-Folding, Sorting and Degradation	0.0003016	0.0007601	0.07504	0.001158
-Vesicular Transport	-Folding, Sorting and Degradation	2.999e-05	9.581e-06	1.873e-05	1.739e-07
-Cytoskeleton	-Folding, Sorting and Degradation	0.0476	0.03106	0.04376	0.03282
-Cell Motility	-Folding, Sorting and Degradation	0.02038	0.01729	0.02286	0.003025
-Cell Growth and Death	-Folding, Sorting and Degradation	0.02867	0.04181	0.03856	0.03746
-Cell Communication	-Folding, Sorting and Degradation	0	0	0	0
Metabolism	-Folding, Sorting and Degradation	6.452	4.487	7.906	5.529
-Membrane Transport	-Folding, Sorting and Degradation	1.475	0.8378	1.639	1.144
-Central Carbon Metabolism	-Folding, Sorting and Degradation	1.208	0.6435	1.091	0.6451
-Energy Metabolism	-Folding, Sorting and Degradation	0.5072	0.4095	0.5136	0.3778
-Biosynthesis	-Folding, Sorting and Degradation	1.599	1.32	2.47	1.96
-Other Enzymes	-Folding, Sorting and Degradation	2.152	1.518	2.413	1.682
Organismal Systems	-Folding, Sorting and Degradation	0.003611	0.001303	0.004624	0.001183
-Immune System	-Folding, Sorting and Degradation	0	0	0	0
-Endocrine System	-Folding, Sorting and Degradation	0.003412	0.0009815	0.004521	0.001014
-Circulatory System	-Folding, Sorting and Degradation	0	0	0	0
-Digestive System	-Folding, Sorting and Degradation	8.965e-05	2.972e-05	0.001646	1.812e-07
-Excretory System	-Folding, Sorting and Degradation	0	0	0	0
-Nervous System	-Folding, Sorting and Degradation	0	0	0	0
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0
-Development	-Folding, Sorting and Degradation	0	0	0	0
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0	0
Human Diseases	-Folding, Sorting and Degradation	0.2812	0.1975	0.326	0.273
-Cancers	-Folding, Sorting and Degradation	0.0008985	0.0004475	0.001379	0.0004627
-Immune System Diseases	-Folding, Sorting and Degradation	0.001017	0.001062	0.001561	0.001125
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0.1241	0.1124	0.2352	0.1439
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0	0
-Metabolic Diseases	-Folding, Sorting and Degradation	0.1204	0.05253	0.0399	0.09577
-Infectious Diseases	-Folding, Sorting and Degradation	0.157	0.0782	0.0898	0.129
Not Mapped	-Folding, Sorting and Degradation	2.471	3.075	7.651	3.231
-Not Mapped	-Folding, Sorting and Degradation	2.471	3.075	7.651	3.231
TOTAL	-DNA Maintenance	56.3	66.08	57.14	76.91
MAPPED	-DNA Maintenance	48.79	55.12	38.73	63.45
Genetic Information Processing	-DNA Maintenance	26.95	38.23	18.14	38.09
-Transcription	-DNA Maintenance	0.9311	1.46	1.264	1.611
-Translation	-DNA Maintenance	22.12	32.12	13.41	31.34
-Folding, Sorting and Degradation	-DNA Maintenance	3.291	3.946	2.833	4.99
-DNA Maintenance	-DNA Maintenance	1	1	1	1
-RNA Family	-DNA Maintenance	0	0	0	0
Environmental Information Processing	-DNA Maintenance	0.2001	0.2284	0.304	0.314
-Signal Transduction	-DNA Maintenance	0.1993	0.2278	0.3032	0.3136
-Signaling Molecules and Interaction	-DNA Maintenance	0.0008071	0.0005695	0.0008054	0.0004009
Cellular Processes	-DNA Maintenance	0.2804	0.3148	0.4339	0.311
-Crystallins	-DNA Maintenance	0	0	0	0
-Stress Response	-DNA Maintenance	0.0009161	0.002711	0.1806	0.004825
-Vesicular Transport	-DNA Maintenance	8.733e-05	2.451e-05	4.432e-05	6.141e-07
-Cytoskeleton	-DNA Maintenance	0.1446	0.1108	0.1053	0.1367
-Cell Motility	-DNA Maintenance	0.06181	0.06152	0.05547	0.01265
-Cell Growth and Death	-DNA Maintenance	0.0877	0.1507	0.1038	0.1663
-Cell Communication	-DNA Maintenance	0	0	0	0
Metabolism	-DNA Maintenance	20.21	15.78	19.08	23.31
-Membrane Transport	-DNA Maintenance	4.432	2.974	3.957	4.834
-Central Carbon Metabolism	-DNA Maintenance	3.081	1.928	2.749	2.494
-Energy Metabolism	-DNA Maintenance	1.552	1.227	1.236	1.449
-Biosynthesis	-DNA Maintenance	4.858	4.507	6.016	8.605
-Other Enzymes	-DNA Maintenance	5.34	4.785	5.802	6.114
Organismal Systems	-DNA Maintenance	0.009272	0.003395	0.01041	0.004197
-Immune System	-DNA Maintenance	0	0	0	0
-Endocrine System	-DNA Maintenance	0.007796	0.002511	0.009955	0.00348
-Circulatory System	-DNA Maintenance	0	0	0	0
-Digestive System	-DNA Maintenance	0.0002724	0.0001063	0.003962	7.551e-07
-Excretory System	-DNA Maintenance	0	0	0	0
-Nervous System	-DNA Maintenance	0	0	0	0
-Sensory System	-DNA Maintenance	0	0	0	0
-Development	-DNA Maintenance	0	0	0	0
-Environmental Adaptation	-DNA Maintenance	0	0	0	0
Human Diseases	-DNA Maintenance	0.6121	0.4734	0.7758	0.8894
-Cancers	-DNA Maintenance	0.002957	0.001779	0.003955	0.002309
-Immune System Diseases	-DNA Maintenance	0.002954	0.002765	0.003517	0.004138
-Neurodegenerative Diseases	-DNA Maintenance	0.3215	0.2862	0.5279	0.4878
-Cardiovascular Diseases	-DNA Maintenance	0	0	0	0
-Metabolic Diseases	-DNA Maintenance	0.3648	0.1472	0.09963	0.3703
-Infectious Diseases	-DNA Maintenance	0.3419	0.1874	0.2161	0.4204
Not Mapped	-DNA Maintenance	7.506	10.97	18.41	13.46
-Not Mapped	-DNA Maintenance	7.506	10.97	18.41	13.46
TOTAL	-RNA Family	Inf	Inf	Inf	Inf
MAPPED	-RNA Family	Inf	Inf	Inf	Inf
Genetic Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Transcription	-RNA Family	Inf	Inf	Inf	Inf
-Translation	-RNA Family	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-RNA Family	Inf	Inf	Inf	Inf
-DNA Maintenance	-RNA Family	Inf	Inf	Inf	Inf
-RNA Family	-RNA Family	NaN	NaN	NaN	NaN
Environmental Information Processing	-RNA Family	Inf	Inf	Inf	Inf
-Signal Transduction	-RNA Family	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-RNA Family	Inf	Inf	Inf	Inf
Cellular Processes	-RNA Family	Inf	Inf	Inf	Inf
-Crystallins	-RNA Family	NaN	NaN	NaN	NaN
-Stress Response	-RNA Family	Inf	Inf	Inf	Inf
-Vesicular Transport	-RNA Family	NaN	NaN	NaN	NaN
-Cytoskeleton	-RNA Family	Inf	Inf	Inf	Inf
-Cell Motility	-RNA Family	Inf	Inf	Inf	Inf
-Cell Growth and Death	-RNA Family	Inf	Inf	Inf	Inf
-Cell Communication	-RNA Family	NaN	NaN	NaN	NaN
Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Membrane Transport	-RNA Family	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Energy Metabolism	-RNA Family	Inf	Inf	Inf	Inf
-Biosynthesis	-RNA Family	Inf	Inf	Inf	Inf
-Other Enzymes	-RNA Family	Inf	Inf	Inf	Inf
Organismal Systems	-RNA Family	NaN	NaN	NaN	NaN
-Immune System	-RNA Family	NaN	NaN	NaN	NaN
-Endocrine System	-RNA Family	NaN	NaN	NaN	NaN
-Circulatory System	-RNA Family	NaN	NaN	NaN	NaN
-Digestive System	-RNA Family	NaN	NaN	NaN	NaN
-Excretory System	-RNA Family	NaN	NaN	NaN	NaN
-Nervous System	-RNA Family	NaN	NaN	NaN	NaN
-Sensory System	-RNA Family	NaN	NaN	NaN	NaN
-Development	-RNA Family	NaN	NaN	NaN	NaN
-Environmental Adaptation	-RNA Family	NaN	NaN	NaN	NaN
Human Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cancers	-RNA Family	NaN	NaN	NaN	NaN
-Immune System Diseases	-RNA Family	NaN	NaN	NaN	NaN
-Neurodegenerative Diseases	-RNA Family	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-RNA Family	NaN	NaN	NaN	NaN
-Metabolic Diseases	-RNA Family	NaN	NaN	NaN	NaN
-Infectious Diseases	-RNA Family	Inf	Inf	Inf	Inf
Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
-Not Mapped	-RNA Family	Inf	Inf	Inf	Inf
TOTAL	Environmental Information Processing	347.7	290.6	216.9	249.2
MAPPED	Environmental Information Processing	301.3	242.4	147	205.6
Genetic Information Processing	Environmental Information Processing	166.5	167.3	70.44	127
-Transcription	Environmental Information Processing	5.655	6.391	4.874	5.131
-Translation	Environmental Information Processing	136.6	140.9	50.84	101.6
-Folding, Sorting and Degradation	Environmental Information Processing	23.83	17.18	10.46	16.27
-DNA Maintenance	Environmental Information Processing	7.427	6.204	4.366	4.204
-RNA Family	Environmental Information Processing	0	0	0	0
Environmental Information Processing	Environmental Information Processing	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.9966	0.998	0.9975	0.9989
-Signaling Molecules and Interaction	Environmental Information Processing	0.004846	0.002504	0.003083	0.001299
Cellular Processes	Environmental Information Processing	1.811	1.448	1.607	1.047
-Crystallins	Environmental Information Processing	0	0	0	0
-Stress Response	Environmental Information Processing	0.005658	0.01192	0.6855	0.01563
-Vesicular Transport	Environmental Information Processing	0.0006434	0.0001459	0.0001749	2.337e-06
-Cytoskeleton	Environmental Information Processing	0.8931	0.4871	0.3997	0.443
-Cell Motility	Environmental Information Processing	0.3578	0.264	0.1996	0.03984
-Cell Growth and Death	Environmental Information Processing	0.5904	0.6908	0.3766	0.5565
-Cell Communication	Environmental Information Processing	0	0	0	0
Metabolism	Environmental Information Processing	124.8	69.07	73.07	75.14
-Membrane Transport	Environmental Information Processing	27.37	13.02	15.03	15.39
-Central Carbon Metabolism	Environmental Information Processing	20.26	9.137	9.733	8.282
-Energy Metabolism	Environmental Information Processing	7.531	5.838	4.611	4.679
-Biosynthesis	Environmental Information Processing	31.02	20.08	22.89	25.87
-Other Enzymes	Environmental Information Processing	37.36	22.87	21.76	22.14
Organismal Systems	Environmental Information Processing	0.06273	0.01781	0.03868	0.01553
-Immune System	Environmental Information Processing	0	0	0	0
-Endocrine System	Environmental Information Processing	0.04999	0.01264	0.03484	0.01199
-Circulatory System	Environmental Information Processing	0	0	0	0
-Digestive System	Environmental Information Processing	0.001449	0.0004434	0.01413	2.317e-06
-Excretory System	Environmental Information Processing	0	0	0	0
-Nervous System	Environmental Information Processing	0	0	0	0
-Sensory System	Environmental Information Processing	0	0	0	0
-Development	Environmental Information Processing	0	0	0	0
-Environmental Adaptation	Environmental Information Processing	0	0	0	0
Human Diseases	Environmental Information Processing	4.546	2.776	2.828	3.49
-Cancers	Environmental Information Processing	0.02184	0.008185	0.01547	0.007975
-Immune System Diseases	Environmental Information Processing	0.02181	0.01715	0.01536	0.01678
-Neurodegenerative Diseases	Environmental Information Processing	2.329	1.768	2.083	1.91
-Cardiovascular Diseases	Environmental Information Processing	0	0	0	0
-Metabolic Diseases	Environmental Information Processing	1.767	0.6985	0.3667	1.3
-Infectious Diseases	Environmental Information Processing	2.539	1.099	0.7791	1.649
Not Mapped	Environmental Information Processing	46.35	48.22	69.9	43.61
-Not Mapped	Environmental Information Processing	46.35	48.22	69.9	43.61
TOTAL	-Signal Transduction	349.4	291.3	217.6	249.5
MAPPED	-Signal Transduction	302.8	243	147.5	205.8
Genetic Information Processing	-Signal Transduction	167.3	167.8	70.65	127.1
-Transcription	-Signal Transduction	5.683	6.407	4.888	5.138
-Translation	-Signal Transduction	137.3	141.2	50.99	101.7
-Folding, Sorting and Degradation	-Signal Transduction	23.95	17.23	10.5	16.29
-DNA Maintenance	-Signal Transduction	7.458	6.219	4.379	4.209
-RNA Family	-Signal Transduction	0	0	0	0
Environmental Information Processing	-Signal Transduction	1.005	1.003	1.003	1.001
-Signal Transduction	-Signal Transduction	1	1	1	1
-Signaling Molecules and Interaction	-Signal Transduction	0.00487	0.002511	0.003092	0.001301
Cellular Processes	-Signal Transduction	1.819	1.452	1.611	1.048
-Crystallins	-Signal Transduction	0	0	0	0
-Stress Response	-Signal Transduction	0.005685	0.01195	0.6876	0.01565
-Vesicular Transport	-Signal Transduction	0.0006463	0.0001463	0.0001754	2.34e-06
-Cytoskeleton	-Signal Transduction	0.8975	0.4883	0.4009	0.4436
-Cell Motility	-Signal Transduction	0.3594	0.2647	0.2002	0.03989
