Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine
TOTAL	TOTAL	1	1	1
MAPPED	TOTAL	0.8806	0.8524	0.8894
Genetic Information Processing	TOTAL	0.4612	0.2594	0.3897
-Transcription	TOTAL	0.02827	0.02482	0.02673
-Translation	TOTAL	0.3402	0.16	0.266
-Folding, Sorting and Degradation	TOTAL	0.07522	0.05955	0.08301
-DNA Maintenance	TOTAL	0.01752	0.01509	0.01399
Environmental Information Processing	TOTAL	0.014	0.009769	0.01089
-Signal Transduction	TOTAL	0.00392	0.004834	0.003171
-Signaling Molecules and Interaction	TOTAL	0.01008	0.004935	0.007717
Cellular Processes	TOTAL	0.1066	0.1454	0.08943
-Cell structure	TOTAL	0.1009	0.1367	0.08501
-Stress Response	TOTAL	5.737e-05	0.004077	7.877e-05
-Vesicular Transport	TOTAL	2.358e-06	5.306e-05	7.343e-07
-Cytoskeleton	TOTAL	0.002049	0.001978	0.001923
-Cell Motility	TOTAL	0.0008029	0.0008347	0.0001944
-Cell Growth and Death	TOTAL	0.002748	0.001673	0.00223
-Cell Communication	TOTAL	0	0	0
Metabolism	TOTAL	0.2989	0.4378	0.3993
-Membrane Transport	TOTAL	0.05763	0.08489	0.07399
-Central Carbon Metabolism	TOTAL	0.09242	0.1202	0.08859
-Energy Metabolism	TOTAL	0.02367	0.01614	0.01838
-Biosynthesis	TOTAL	0.1029	0.1871	0.197
-Other Enzymes	TOTAL	0.02224	0.02948	0.02138
Organismal Systems	TOTAL	0	0	0
-Immune System	TOTAL	0	0	0
-Endocrine System	TOTAL	0	0	0
-Circulatory System	TOTAL	0	0	0
-Digestive System	TOTAL	0	0	0
-Excretory System	TOTAL	0	0	0
-Nervous System	TOTAL	0	0	0
-Sensory System	TOTAL	0	0	0
-Development	TOTAL	0	0	0
-Environmental Adaptation	TOTAL	0	0	0
Human Diseases	TOTAL	0	0	0
-Cancers	TOTAL	0	0	0
-Immune System Diseases	TOTAL	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0
-Infectious Diseases	TOTAL	0	0	0
Not Mapped	TOTAL	0.1194	0.1476	0.1106
-Not Mapped	TOTAL	0.1194	0.1476	0.1106
TOTAL	MAPPED	1.136	1.173	1.124
MAPPED	MAPPED	1	1	1
Genetic Information Processing	MAPPED	0.5237	0.3044	0.4382
-Transcription	MAPPED	0.0321	0.02912	0.03005
-Translation	MAPPED	0.3863	0.1877	0.2991
-Folding, Sorting and Degradation	MAPPED	0.08542	0.06986	0.09333
-DNA Maintenance	MAPPED	0.0199	0.0177	0.01573
Environmental Information Processing	MAPPED	0.01589	0.01146	0.01224
-Signal Transduction	MAPPED	0.004451	0.005672	0.003565
-Signaling Molecules and Interaction	MAPPED	0.01144	0.005789	0.008676
Cellular Processes	MAPPED	0.121	0.1705	0.1006
-Cell structure	MAPPED	0.1146	0.1604	0.09558
-Stress Response	MAPPED	6.515e-05	0.004783	8.856e-05
-Vesicular Transport	MAPPED	2.678e-06	6.225e-05	8.256e-07
-Cytoskeleton	MAPPED	0.002327	0.00232	0.002162
-Cell Motility	MAPPED	0.0009117	0.0009792	0.0002186
-Cell Growth and Death	MAPPED	0.00312	0.001962	0.002507
-Cell Communication	MAPPED	0	0	0
Metabolism	MAPPED	0.3394	0.5137	0.449
-Membrane Transport	MAPPED	0.06544	0.09959	0.0832
-Central Carbon Metabolism	MAPPED	0.105	0.141	0.0996
-Energy Metabolism	MAPPED	0.02688	0.01893	0.02067
-Biosynthesis	MAPPED	0.1169	0.2195	0.2215
-Other Enzymes	MAPPED	0.02525	0.03459	0.02404
Organismal Systems	MAPPED	0	0	0
-Immune System	MAPPED	0	0	0
-Endocrine System	MAPPED	0	0	0
-Circulatory System	MAPPED	0	0	0
-Digestive System	MAPPED	0	0	0
-Excretory System	MAPPED	0	0	0
-Nervous System	MAPPED	0	0	0
-Sensory System	MAPPED	0	0	0
-Development	MAPPED	0	0	0
-Environmental Adaptation	MAPPED	0	0	0
Human Diseases	MAPPED	0	0	0
-Cancers	MAPPED	0	0	0
-Immune System Diseases	MAPPED	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0
-Infectious Diseases	MAPPED	0	0	0
Not Mapped	MAPPED	0.1356	0.1732	0.1244
-Not Mapped	MAPPED	0.1356	0.1732	0.1244
TOTAL	Genetic Information Processing	2.168	3.855	2.566
MAPPED	Genetic Information Processing	1.909	3.286	2.282
Genetic Information Processing	Genetic Information Processing	1	1	1
