Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine	eco Li complete	eco Li minimal	eco Li without methionine	eco Li complete	eco Li minimal	eco Li without methionine
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0	1.817e-05	0.1736	0	0.001091	0.317	0	1.059e-05	0.2025
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Folding, Sorting and Degradation	0	0	0.1309	0	0	0.09384	0	0	0.209
-Infectious Diseases	-Folding, Sorting and Degradation	0.005922	0.03962	0.344	0.0489	0.1004	0.2984	0.008682	0.03077	0.5449
Not Mapped	-Folding, Sorting and Degradation	1.951	2.262	2.931	3.144	3.681	4.593	1.602	1.916	2.727
-Not Mapped	-Folding, Sorting and Degradation	1.951	2.262	2.931	3.144	3.681	4.593	1.602	1.916	2.727
TOTAL	-DNA Maintenance	38.25	52.43	67.82	52.18	65.21	74.96	47.54	65.31	85.96
MAPPED	-DNA Maintenance	33.68	46.17	59.72	44.47	55.59	63.89	42.28	58.09	76.45
Genetic Information Processing	-DNA Maintenance	15.86	22.01	28.63	11.77	14.76	17.26	16.15	22.58	29.39
-Transcription	-DNA Maintenance	0.4835	0.6642	1.085	0.7402	0.9587	1.195	0.6292	0.8112	1.39
-Translation	-DNA Maintenance	12.74	17.38	22.62	8.161	10.18	11.75	12.41	17	22.51
-Folding, Sorting and Degradation	-DNA Maintenance	1.504	2.67	3.796	1.654	2.499	3.431	1.928	3.706	5.576
-DNA Maintenance	-DNA Maintenance	1	1	1	1	1	1	1	1	1
-RNA Family	-DNA Maintenance	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-DNA Maintenance	0.54	0.708	0.9044	0.4892	0.5714	0.6342	0.5214	0.7192	0.882
-Signal Transduction	-DNA Maintenance	0.1175	0.1692	0.221	0.2002	0.2602	0.2897	0.1336	0.1912	0.2187
-Signaling Molecules and Interaction	-DNA Maintenance	0.3854	0.5283	0.6833	0.2575	0.3218	0.37	0.3669	0.504	0.6633
Cellular Processes	-DNA Maintenance	4.06	5.593	7.23	7.566	9.486	10.91	4.259	5.852	7.74
-Cell structure	-DNA Maintenance	3.859	5.29	6.843	7.134	8.917	10.25	4.041	5.552	7.307
-Crystallins	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Stress Response	-DNA Maintenance	0.002194	0.003008	0.003891	0.2127	0.2659	0.3056	0.003745	0.005144	0.00677
-Vesicular Transport	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Cytoskeleton	-DNA Maintenance	0.07838	0.1074	0.139	0.1032	0.129	0.1482	0.0914	0.1256	0.1653
-Cell Motility	-DNA Maintenance	0.004547	0.007984	0.03713	0.009562	0.0159	0.04691	0.00128	0.005559	0.01048
-Cell Growth and Death	-DNA Maintenance	0.1127	0.1562	0.2376	0.0997	0.1235	0.1909	0.1172	0.1629	0.2591
-Cell Communication	-DNA Maintenance	0	0	0	0	0	0	0	0	0
Metabolism	-DNA Maintenance	12.7	17.49	22.56	24.15	30.28	34.48	20.3	28.17	36.9
-Membrane Transport	-DNA Maintenance	2.386	3.086	3.946	4.489	5.522	6.228	3.724	4.939	6.47
-Central Carbon Metabolism	-DNA Maintenance	2.478	3.17	4.182	3.825	4.633	5.727	2.673	3.46	4.901
-Energy Metabolism	-DNA Maintenance	0.779	1.09	1.448	0.7257	1.341	1.755	0.8023	1.257	1.715
-Biosynthesis	-DNA Maintenance	3.224	4.949	6.381	6.932	9.429	10.78	5.423	10.14	13.97
-Other Enzymes	-DNA Maintenance	3.335	5.313	6.49	5.781	8.74	9.864	3.909	8.099	9.991
Organismal Systems	-DNA Maintenance	0	0.001992	0.004919	0	0.003852	0.0177	0	0.001724	0.004165
-Immune System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Endocrine System	-DNA Maintenance	0	0	0.003034	0	0	0.003062	0	0	0.002664
-Circulatory System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Digestive System	-DNA Maintenance	0	0	0.0002207	0	0	0.008773	0	0	2.365e-07
-Excretory System	-DNA Maintenance	0	0	0.001533	0	0	0.004277	0	0	0.001199
-Nervous System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Sensory System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Development	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-DNA Maintenance	0	0	0.001909	0	0	0.002185	0	0	0.001641
Human Diseases	-DNA Maintenance	0.1396	0.429	0.9891	0.2398	0.4456	1.188	0.1659	0.7683	1.977
-Cancers	-DNA Maintenance	0	0.002799	0.003729	0	0.008008	0.009474	0	0.003502	0.004697
-Immune System Diseases	-DNA Maintenance	0	0	0.003319	0	0	0.003689	0	0	0.004848
-Neurodegenerative Diseases	-DNA Maintenance	0	4.253e-05	0.3833	0	0.002672	0.6973	0	3.476e-05	0.5246
-Cardiovascular Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-DNA Maintenance	0	0	0.3441	0	0	0.2454	0	0	0.7297
-Infectious Diseases	-DNA Maintenance	0.0176	0.1328	0.8609	0.1338	0.251	0.6713	0.03001	0.1613	1.692
Not Mapped	-DNA Maintenance	4.566	6.26	8.097	7.701	9.626	11.06	5.258	7.223	9.507
-Not Mapped	-DNA Maintenance	4.566	6.26	8.097	7.701	9.626	11.06	5.258	7.223	9.507
TOTAL	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
MAPPED	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Transcription	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Translation	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-RNA Family	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Environmental Information Processing	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Cellular Processes	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell structure	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Crystallins	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Stress Response	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Vesicular Transport	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Cytoskeleton	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Motility	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Growth and Death	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Communication	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Metabolism	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Endocrine System	-RNA Family	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Circulatory System	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Digestive System	-RNA Family	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Excretory System	-RNA Family	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Nervous System	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Sensory System	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Development	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Environmental Adaptation	-RNA Family	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
Human Diseases	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cancers	-RNA Family	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Immune System Diseases	-RNA Family	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Neurodegenerative Diseases	-RNA Family	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Cardiovascular Diseases	-RNA Family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Metabolic Diseases	-RNA Family	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Infectious Diseases	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Not Mapped	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-RNA Family	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
TOTAL	Environmental Information Processing	69.8	74.05	78.92	101	111.2	119.7	88.8	94.28	98.89
MAPPED	Environmental Information Processing	61.46	65.2	69.5	86.13	94.8	102	78.98	83.85	87.95
Genetic Information Processing	Environmental Information Processing	28.84	31.09	33.28	23.01	24.88	27.49	29.96	32.14	34.86
-Transcription	Environmental Information Processing	0.7682	1.126	1.251	1.399	1.723	1.968	1.035	1.288	1.556
-Translation	Environmental Information Processing	23.25	24.55	26.43	15.88	17.65	18.82	23.21	24.89	25.93
-Folding, Sorting and Degradation	Environmental Information Processing	2.786	3.817	4.609	3.296	4.085	5.454	3.699	5.059	6.552
-DNA Maintenance	Environmental Information Processing	1.043	1.314	1.726	1.441	1.652	1.993	1.076	1.3	1.751
-RNA Family	Environmental Information Processing	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Environmental Information Processing	1	1	1	1	1	1	1	1	1
-Signal Transduction	Environmental Information Processing	0.2027	0.2444	0.2863	0.3953	0.4297	0.4869	0.2339	0.2696	0.3018
-Signaling Molecules and Interaction	Environmental Information Processing	0.7035	0.7461	0.7952	0.5115	0.5488	0.5928	0.6854	0.7275	0.7631
Cellular Processes	Environmental Information Processing	7.428	7.9	8.356	14.68	16.25	17.46	7.978	8.456	8.829
-Cell structure	Environmental Information Processing	7.042	7.471	7.963	13.82	15.21	16.37	7.549	8.014	8.406
-Crystallins	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Stress Response	Environmental Information Processing	0.004004	0.004248	0.004528	0.4119	0.4534	0.488	0.006995	0.007426	0.007789
-Vesicular Transport	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Cytoskeleton	Environmental Information Processing	0.143	0.1518	0.1617	0.1998	0.2199	0.2367	0.1707	0.1813	0.1901
-Cell Motility	Environmental Information Processing	0.007225	0.01479	0.05614	0.01755	0.03168	0.08523	0.001606	0.008921	0.01261
-Cell Growth and Death	Environmental Information Processing	0.2067	0.2198	0.2627	0.1817	0.2072	0.2846	0.2073	0.2248	0.2841
-Cell Communication	Environmental Information Processing	0	0	0	0	0	0	0	0	0
Metabolism	Environmental Information Processing	22.61	24.7	26.19	45.24	51.34	55.27	37.24	40.59	42.45
-Membrane Transport	Environmental Information Processing	4.02	4.42	4.767	8.24	9.56	10.2	6.766	7.206	7.621
-Central Carbon Metabolism	Environmental Information Processing	3.937	4.661	5.273	7.146	7.819	9.642	4.398	5.238	5.85
-Energy Metabolism	Environmental Information Processing	1.211	1.508	1.619	1.309	2.245	2.629	1.281	1.734	1.973
-Biosynthesis	Environmental Information Processing	5.97	6.706	7.258	12.72	16.9	18.46	8.924	16.11	17.04
-Other Enzymes	Environmental Information Processing	6.177	7.503	8.183	11.52	15.46	17.1	7.498	10	15.95
Organismal Systems	Environmental Information Processing	0	0.003166	0.006202	0	0.007676	0.02835	0	0.002761	0.00501
-Immune System	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Endocrine System	Environmental Information Processing	0	0	0.003398	0	0	0.004648	0	0	0.002955
-Circulatory System	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Digestive System	Environmental Information Processing	0	0	0.0002803	0	0	0.01449	0	0	2.967e-07
-Excretory System	Environmental Information Processing	0	0	0.002361	0	0	0.007713	0	0	0.001929
-Nervous System	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Sensory System	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Development	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	Environmental Information Processing	0	0	0.003033	0	0	0.00401	0	0	0.0027
Human Diseases	Environmental Information Processing	0.1761	0.5859	1.572	0.3781	0.8118	2.181	0.1881	1.068	2.8
-Cancers	Environmental Information Processing	0	0.00389	0.004214	0	0.01309	0.01505	0	0.004869	0.005302
-Immune System Diseases	Environmental Information Processing	0	0	0.004328	0	0	0.006438	0	0	0.006244
-Neurodegenerative Diseases	Environmental Information Processing	0	7.877e-05	0.5904	0	0.005325	1.258	0	6.639e-05	0.8376
-Cardiovascular Diseases	Environmental Information Processing	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	Environmental Information Processing	0	0	0.486	0	0	0.4013	0	0	1.015
-Infectious Diseases	Environmental Information Processing	0.02486	0.1826	1.004	0.2209	0.513	1.175	0.04792	0.1996	2.122
Not Mapped	Environmental Information Processing	8.333	8.841	9.423	14.91	16.41	17.67	9.822	10.43	10.94
-Not Mapped	Environmental Information Processing	8.333	8.841	9.423	14.91	16.41	17.67	9.822	10.43	10.94
TOTAL	-Signal Transduction	235.4	291.6	385.4	206.8	246.5	292.5	282.3	346	417.5
MAPPED	-Signal Transduction	207.3	256.8	339.4	176.3	210.1	249.3	251	307.8	371.3
Genetic Information Processing	-Signal Transduction	97.29	122.4	157.1	47.1	55.14	67.16	95.21	116.1	140.6
-Transcription	-Signal Transduction	2.591	4.259	5.461	2.953	3.819	4.619	3.291	4.976	6.183
-Translation	-Signal Transduction	78.43	96.68	129	32.5	39.12	45.99	73.79	91.4	109.5
-Folding, Sorting and Degradation	-Signal Transduction	9.731	15.7	22.6	6.768	9.415	13.09	12.48	17.51	26.82
-DNA Maintenance	-Signal Transduction	3.925	5.562	6.468	3.195	3.783	4.427	3.95	4.809	6.473
-RNA Family	-Signal Transduction	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Signal Transduction	3.373	3.938	4.883	2.047	2.216	2.456	3.179	3.67	4.222
-Signal Transduction	-Signal Transduction	1	1	1	1	1	1	1	1	1
-Signaling Molecules and Interaction	-Signal Transduction	2.373	2.938	3.883	1.047	1.216	1.456	2.179	2.67	3.222
Cellular Processes	-Signal Transduction	25.05	31.11	40.81	30.05	36.02	42.67	25.36	31.22	37.27
-Cell structure	-Signal Transduction	23.75	29.42	38.88	28.28	33.7	39.99	23.99	29.42	35.49
-Crystallins	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Stress Response	-Signal Transduction	0.01351	0.01673	0.02211	0.8433	1.005	1.192	0.02223	0.02726	0.03288
-Vesicular Transport	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Cytoskeleton	-Signal Transduction	0.4825	0.5977	0.7899	0.409	0.4874	0.5784	0.5427	0.6653	0.8027
-Cell Motility	-Signal Transduction	0.02437	0.05165	0.223	0.03593	0.06506	0.2069	0.005957	0.02981	0.05042
-Cell Growth and Death	-Signal Transduction	0.7287	0.9458	1.075	0.3752	0.479	0.6954	0.687	0.8173	1.184
-Cell Communication	-Signal Transduction	0	0	0	0	0	0	0	0	0
Metabolism	-Signal Transduction	76.27	97.27	129	92.6	113.8	135	118.4	149	179.2
-Membrane Transport	-Signal Transduction	13.56	17.16	23.28	16.87	21.28	24.93	21.51	26.73	32.17
-Central Carbon Metabolism	-Signal Transduction	13.28	18.73	24.29	14.63	17.88	22.53	13.98	20.43	23.39
-Energy Metabolism	-Signal Transduction	4.532	6.062	7.912	2.702	5.486	6.007	4.226	6.933	7.567
-Biosynthesis	-Signal Transduction	20.85	27.53	32.72	26.05	36.54	42.75	28.37	54.36	71.19
-Other Enzymes	-Signal Transduction	21.57	29.55	38.64	23.66	34.13	43.01	25.3	40	52.86
Organismal Systems	-Signal Transduction	0	0.01191	0.02928	0	0.01576	0.06963	0	0.009226	0.02003
-Immune System	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Endocrine System	-Signal Transduction	0	0	0.01604	0	0	0.01141	0	0	0.01181
-Circulatory System	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Digestive System	-Signal Transduction	0	0	0.001206	0	0	0.03372	0	0	1.101e-06
-Excretory System	-Signal Transduction	0	0	0.009062	0	0	0.01592	0	0	0.006509
-Nervous System	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Sensory System	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Development	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Signal Transduction	0	0	0.01023	0	0	0.008209	0	0	0.008583
Human Diseases	-Signal Transduction	0.7833	2.521	5.301	0.9072	1.94	4.465	0.7585	3.569	8.901
-Cancers	-Signal Transduction	0	0.01464	0.02058	0	0.02764	0.03806	0	0.01627	0.02238
-Immune System Diseases	-Signal Transduction	0	0	0.02044	0	0	0.01555	0	0	0.02497
-Neurodegenerative Diseases	-Signal Transduction	0	0.0002751	2.266	0	0.01094	2.596	0	0.0002218	2.776
-Cardiovascular Diseases	-Signal Transduction	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Signal Transduction	0	0	1.914	0	0	0.8471	0	0	3.39
-Infectious Diseases	-Signal Transduction	0.0979	0.7908	3.777	0.5141	1.171	2.891	0.1588	0.8534	7.789
Not Mapped	-Signal Transduction	28.11	34.82	46.01	30.53	36.38	43.17	31.22	38.27	46.17
-Not Mapped	-Signal Transduction	28.11	34.82	46.01	30.53	36.38	43.17	31.22	38.27	46.17
TOTAL	-Signaling Molecules and Interaction	99.21	99.25	99.25	197.6	202.6	202.6	129.6	129.6	129.6
MAPPED	-Signaling Molecules and Interaction	87.36	87.4	87.4	168.4	172.7	172.7	115.2	115.3	115.3
Genetic Information Processing	-Signaling Molecules and Interaction	40.02	41.48	42.22	44.37	45.73	46.53	42.48	44.8	46.35
-Transcription	-Signaling Molecules and Interaction	1.082	1.523	1.63	2.561	3.02	3.711	1.511	1.844	2.194
-Translation	-Signaling Molecules and Interaction	32.9	33.11	33.23	30.92	31.7	31.95	33.74	33.94	34.07
-Folding, Sorting and Degradation	-Signaling Molecules and Interaction	3.904	4.974	5.873	6.423	7.922	9.274	5.247	6.926	8.713
-DNA Maintenance	-Signaling Molecules and Interaction	1.421	1.654	2.259	2.626	2.896	3.588	1.479	1.718	2.401
-RNA Family	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Signaling Molecules and Interaction	1.254	1.323	1.401	1.654	1.754	1.949	1.305	1.369	1.432
-Signal Transduction	-Signaling Molecules and Interaction	0.2543	0.3234	0.4012	0.6538	0.7535	0.9489	0.3053	0.369	0.4323
-Signaling Molecules and Interaction	-Signaling Molecules and Interaction	1	1	1	1	1	1	1	1	1
Cellular Processes	-Signaling Molecules and Interaction	10.51	10.54	10.63	28.6	29.35	29.56	11.57	11.61	11.67
-Cell structure	-Signaling Molecules and Interaction	10.01	10.01	10.01	27.01	27.71	27.71	11.01	11.02	11.02
-Crystallins	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Stress Response	-Signaling Molecules and Interaction	0.005692	0.005694	0.005694	0.8054	0.8261	0.8261	0.01021	0.01021	0.01021
-Vesicular Transport	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Cytoskeleton	-Signaling Molecules and Interaction	0.2033	0.2034	0.2034	0.3907	0.4007	0.4007	0.2491	0.2491	0.2491
-Cell Motility	-Signaling Molecules and Interaction	0.009537	0.02072	0.07041	0.03408	0.06174	0.1458	0.002198	0.01273	0.01682
-Cell Growth and Death	-Signaling Molecules and Interaction	0.2726	0.2923	0.3427	0.3304	0.3872	0.5068	0.2889	0.3194	0.3881
-Cell Communication	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
Metabolism	-Signaling Molecules and Interaction	32.14	33.01	33.3	88.44	92.54	93.82	54.34	55.55	55.89
-Membrane Transport	-Signaling Molecules and Interaction	5.714	5.841	6.17	16.11	16.92	17.49	9.69	9.865	10.03
-Central Carbon Metabolism	-Signaling Molecules and Interaction	5.597	6.256	6.69	13.18	14.4	16.53	6.416	7.389	7.801
-Energy Metabolism	-Signaling Molecules and Interaction	1.638	2.022	2.159	2.538	3.88	4.996	1.835	2.349	2.712
-Biosynthesis	-Signaling Molecules and Interaction	8.365	8.998	9.747	24.82	28.63	32.9	12.68	22.41	23.17
-Other Enzymes	-Signaling Molecules and Interaction	8.654	9.77	10.38	22.45	26.62	30.94	10.65	13.44	23.09
Organismal Systems	-Signaling Molecules and Interaction	0	0.004312	0.007868	0	0.01496	0.04783	0	0.003941	0.006681
-Immune System	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Endocrine System	-Signaling Molecules and Interaction	0	0	0.004312	0	0	0.008043	0	0	0.003941
-Circulatory System	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Digestive System	-Signaling Molecules and Interaction	0	0	0.0003652	0	0	0.02541	0	0	4.061e-07
-Excretory System	-Signaling Molecules and Interaction	0	0	0.003194	0	0	0.01496	0	0	0.002741
-Nervous System	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Sensory System	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Development	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	-Signaling Molecules and Interaction	0	0	0.004311	0	0	0.007841	0	0	0.00394
Human Diseases	-Signaling Molecules and Interaction	0.2234	0.7634	2.234	0.6483	1.385	4.264	0.2501	1.524	4.086
-Cancers	-Signaling Molecules and Interaction	0	0.005297	0.005299	0	0.02426	0.02488	0	0.006947	0.006948
-Immune System Diseases	-Signaling Molecules and Interaction	0	0	0.005493	0	0	0.01096	0	0	0.008327
-Neurodegenerative Diseases	-Signaling Molecules and Interaction	0	0.0001103	0.7983	0	0.01012	2.429	0	9.473e-05	1.2
-Cardiovascular Diseases	-Signaling Molecules and Interaction	0	0	0	0	0	0	0	0	0
-Metabolic Diseases	-Signaling Molecules and Interaction	0	0	0.6511	0	0	0.7434	0	0	1.448
-Infectious Diseases	-Signaling Molecules and Interaction	0.03332	0.229	1.368	0.3874	0.8685	1.943	0.06864	0.2605	2.884
Not Mapped	-Signaling Molecules and Interaction	11.85	11.85	11.85	29.16	29.91	29.91	14.33	14.33	14.33
-Not Mapped	-Signaling Molecules and Interaction	11.85	11.85	11.85	29.16	29.91	29.91	14.33	14.33	14.33
TOTAL	Cellular Processes	9.322	9.396	9.435	6.843	6.883	6.907	11.09	11.16	11.19
MAPPED	Cellular Processes	8.209	8.274	8.309	5.833	5.867	5.888	9.86	9.926	9.954
Genetic Information Processing	Cellular Processes	3.809	3.935	3.993	1.513	1.567	1.606	3.672	3.858	3.972
-Transcription	Cellular Processes	0.1018	0.1448	0.1551	0.08664	0.103	0.1259	0.1298	0.1592	0.188
-Translation	Cellular Processes	3.107	3.135	3.16	1.073	1.081	1.09	2.906	2.918	2.937
-Folding, Sorting and Degradation	Cellular Processes	0.3705	0.473	0.5551	0.2186	0.2699	0.3171	0.4528	0.5983	0.7467
-DNA Maintenance	Cellular Processes	0.1335	0.1573	0.2139	0.08869	0.1013	0.125	0.1265	0.1484	0.2063
-RNA Family	Cellular Processes	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Cellular Processes	0.118	0.1251	0.133	0.05641	0.06131	0.06632	0.112	0.1176	0.1236
-Signal Transduction	Cellular Processes	0.02392	0.03057	0.03808	0.0223	0.02635	0.03229	0.02618	0.03188	0.0373
-Signaling Molecules and Interaction	Cellular Processes	0.09393	0.09471	0.09511	0.03377	0.03403	0.03496	0.08555	0.08613	0.08638
Cellular Processes	Cellular Processes	1	1	1	1	1	1	1	1	1
-Cell structure	Cellular Processes	0.9406	0.9481	0.952	0.9357	0.9412	0.9445	0.9423	0.9487	0.9514
-Crystallins	Cellular Processes	0	0	0	0	0	0	0	0	0
-Stress Response	Cellular Processes	0.0005348	0.0005391	0.0005413	0.0279	0.02806	0.02816	0.0008732	0.0008791	0.0008815
-Vesicular Transport	Cellular Processes	0	0	0	0	0	0	0	0	0
-Cytoskeleton	Cellular Processes	0.01911	0.01926	0.01934	0.01353	0.01361	0.01366	0.02131	0.02146	0.02152
-Cell Motility	Cellular Processes	0.000907	0.001967	0.006638	0.001173	0.002101	0.004945	0.0001899	0.001096	0.001453
-Cell Growth and Death	Cellular Processes	0.02593	0.02775	0.03219	0.01155	0.01318	0.01711	0.02495	0.02751	0.0332
-Cell Communication	Cellular Processes	0	0	0	0	0	0	0	0	0
Metabolism	Cellular Processes	3.044	3.126	3.16	3.082	3.162	3.193	4.668	4.768	4.814
-Membrane Transport	Cellular Processes	0.5412	0.5525	0.5795	0.5613	0.5821	0.5908	0.8359	0.8481	0.8632
-Central Carbon Metabolism	Cellular Processes	0.5301	0.5953	0.6363	0.4478	0.4884	0.5607	0.5512	0.6332	0.6737
-Energy Metabolism	Cellular Processes	0.1557	0.1911	0.2028	0.08648	0.132	0.1695	0.1583	0.203	0.232
-Biosynthesis	Cellular Processes	0.794	0.8551	0.9232	0.8454	1.001	1.116	1.087	1.935	1.987
-Other Enzymes	Cellular Processes	0.8214	0.9193	0.9874	0.764	0.9006	1.053	0.9178	1.152	1.984
Organismal Systems	Cellular Processes	0	0.000405	0.0007483	0	0.0005091	0.001672	0	0.0003371	0.000577
-Immune System	Cellular Processes	0	0	0	0	0	0	0	0	0
-Endocrine System	Cellular Processes	0	0	0.00041	0	0	0.0002741	0	0	0.0003403
-Circulatory System	Cellular Processes	0	0	0	0	0	0	0	0	0
-Digestive System	Cellular Processes	0	0	3.473e-05	0	0	0.0008883	0	0	3.507e-08
-Excretory System	Cellular Processes	0	0	0.0003035	0	0	0.0005097	0	0	0.0002365
-Nervous System	Cellular Processes	0	0	0	0	0	0	0	0	0
-Sensory System	Cellular Processes	0	0	0	0	0	0	0	0	0
-Development	Cellular Processes	0	0	0	0	0	0	0	0	0
-Environmental Adaptation	Cellular Processes	0	0	0.0004057	0	0	0.0002721	0	0	0.000338
Human Diseases	Cellular Processes	0.02124	0.0726	0.2116	0.02198	0.04698	0.1486	0.02144	0.1313	0.351
-Cancers	Cellular Processes	0	0.0005004	0.0005043	0	0.0008438	0.0008487	0	0.0005955	0.0006006
-Immune System Diseases	Cellular Processes	0	0	0.0005222	0	0	0.0003736	0	0	0.0007192
