Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine
TOTAL	TOTAL	1	1	1
MAPPED	TOTAL	0.8806	0.8524	0.8894
Genetic Information Processing	TOTAL	0.4256	0.2325	0.3577
-Transcription	TOTAL	0.01643	0.01831	0.01693
-Translation	TOTAL	0.3349	0.1579	0.263
-Folding, Sorting and Degradation	TOTAL	0.05918	0.04615	0.06724
-DNA Maintenance	TOTAL	0.02277	0.01816	0.01853
-RNA Family	TOTAL	0	0	0
Environmental Information Processing	TOTAL	0.01412	0.009617	0.01105
-Signal Transduction	TOTAL	0.004042	0.004683	0.003336
-Signaling Molecules and Interaction	TOTAL	0.01008	0.005062	0.007718
Cellular Processes	TOTAL	0.1071	0.1459	0.09004
-Cell structure	TOTAL	0.1009	0.1367	0.08501
-Crystallins	TOTAL	0	0	0
-Stress Response	TOTAL	5.737e-05	0.004077	7.877e-05
-Vesicular Transport	TOTAL	0	0	0
-Cytoskeleton	TOTAL	0.002049	0.001978	0.001923
-Cell Motility	TOTAL	0.0007095	0.0007193	0.0001298
-Cell Growth and Death	TOTAL	0.003453	0.002501	0.002995
-Cell Communication	TOTAL	0	0	0
Metabolism	TOTAL	0.3356	0.463	0.4313
-Membrane Transport	TOTAL	0.06217	0.08633	0.07737
-Central Carbon Metabolism	TOTAL	0.06744	0.08158	0.06021
-Energy Metabolism	TOTAL	0.02175	0.02465	0.02093
-Biosynthesis	TOTAL	0.09825	0.1623	0.1788
-Other Enzymes	TOTAL	0.1046	0.153	0.1782
Organismal Systems	TOTAL	7.931e-05	0.0002421	5.156e-05
-Immune System	TOTAL	0	0	0
-Endocrine System	TOTAL	4.345e-05	3.969e-05	3.041e-05
-Circulatory System	TOTAL	0	0	0
-Digestive System	TOTAL	3.681e-06	0.0001286	3.134e-09
-Excretory System	TOTAL	3.218e-05	7.382e-05	2.115e-05
-Nervous System	TOTAL	0	0	0
-Sensory System	TOTAL	0	0	0
-Development	TOTAL	0	0	0
-Environmental Adaptation	TOTAL	4.345e-05	3.969e-05	3.041e-05
Human Diseases	TOTAL	0.02252	0.02158	0.03154
-Cancers	TOTAL	5.339e-05	0.0001228	5.362e-05
-Immune System Diseases	TOTAL	5.535e-05	5.408e-05	6.427e-05
-Neurodegenerative Diseases	TOTAL	0.008045	0.01204	0.009258
-Cardiovascular Diseases	TOTAL	0	0	0
-Metabolic Diseases	TOTAL	0.006563	0.003763	0.01117
-Infectious Diseases	TOTAL	0.01378	0.009588	0.02225
Not Mapped	TOTAL	0.1194	0.1476	0.1106
-Not Mapped	TOTAL	0.1194	0.1476	0.1106
TOTAL	MAPPED	1.136	1.173	1.124
MAPPED	MAPPED	1	1	1
Genetic Information Processing	MAPPED	0.4833	0.2728	0.4022
-Transcription	MAPPED	0.01866	0.02148	0.01903
-Translation	MAPPED	0.3803	0.1853	0.2957
-Folding, Sorting and Degradation	MAPPED	0.0672	0.05414	0.0756
-DNA Maintenance	MAPPED	0.02585	0.02131	0.02083
-RNA Family	MAPPED	0	0	0
Environmental Information Processing	MAPPED	0.01603	0.01128	0.01243
-Signal Transduction	MAPPED	0.00459	0.005494	0.00375
-Signaling Molecules and Interaction	MAPPED	0.01145	0.005938	0.008678
Cellular Processes	MAPPED	0.1216	0.1711	0.1012
-Cell structure	MAPPED	0.1146	0.1604	0.09558
-Crystallins	MAPPED	0	0	0
-Stress Response	MAPPED	6.515e-05	0.004783	8.856e-05
-Vesicular Transport	MAPPED	0	0	0
-Cytoskeleton	MAPPED	0.002327	0.00232	0.002162
-Cell Motility	MAPPED	0.0008056	0.0008438	0.000146
-Cell Growth and Death	MAPPED	0.003922	0.002934	0.003367
-Cell Communication	MAPPED	0	0	0
Metabolism	MAPPED	0.3811	0.5431	0.4849
-Membrane Transport	MAPPED	0.0706	0.1013	0.08699
-Central Carbon Metabolism	MAPPED	0.07658	0.09571	0.06769
-Energy Metabolism	MAPPED	0.0247	0.02892	0.02353
-Biosynthesis	MAPPED	0.1116	0.1905	0.201
-Other Enzymes	MAPPED	0.1188	0.1795	0.2004
Organismal Systems	MAPPED	9.006e-05	0.0002841	5.798e-05
-Immune System	MAPPED	0	0	0
-Endocrine System	MAPPED	4.934e-05	4.656e-05	3.419e-05
-Circulatory System	MAPPED	0	0	0
-Digestive System	MAPPED	4.18e-06	0.0001509	3.524e-09
-Excretory System	MAPPED	3.654e-05	8.66e-05	2.378e-05
-Nervous System	MAPPED	0	0	0
-Sensory System	MAPPED	0	0	0
-Development	MAPPED	0	0	0
-Environmental Adaptation	MAPPED	4.934e-05	4.656e-05	3.419e-05
