Category	eco Li complete	eco Li minimal	eco Li without methionine
TOTAL	1	1	1
MAPPED	0.88060317	0.85240194	0.8893985
Genetic Information Processing	0.46117549	0.25943689	0.38974508
-Transcription	0.028267895	0.024818247	0.02672816
--RNA polymerase	0.01701577	0.012121922	0.015268984
--Basal transcription factors	0	0	0
--Transcription factors	0.011252125	0.012696325	0.011459176
--Spliceosome	0	0	0
-Translation	0.34016799	0.15998381	0.26601753
--Ribosome	0.23053586	0.097791953	0.1697043
--Translation factors	0.075883588	0.043186782	0.069037857
--tRNA loading	0.028087449	0.016370523	0.023490684
--RNA transport	5.717383e-05	5.9406467e-05	6.0406746e-05
--mRNA surveillance pathway	0	0	0
--Ribosome biogenesis in eukaryotes	0	0	0
--Ribosome biogenesis	0.0056039261	0.0025751452	0.0037242896
-Folding, Sorting and Degradation	0.075217044	0.0595454	0.083009159
--Chaperones and folding catalysts	0.045349665	0.032738062	0.05330057
--Protein export	0.0059554652	0.0034153249	0.0044838468
--Protein processing in endoplasmic reticulum	0	0	0
--SNARE interactions in vesicular transport	0	0	0
--SNAREs	0	0	0
--Ubiquitin mediated proteolysis	0	0	0
--Ubiquitin labeling	1.8578809e-05	1.6329133e-05	1.815277e-05
--Sulfur relay system	0.002232637	0.0021569465	0.0030573729
--Proteasome	0	0	0
--Peptidases	0.014941282	0.015966205	0.015364629
--RNA degradation	0.0067194166	0.0052525328	0.0067845874
-DNA Maintenance	0.017522556	0.015089435	0.013990227
--DNA replication	0.0001629563	0.00011605004	0.00018662384
--DNA replication complex	0.0016047304	0.00093900328	0.0012736473
--DNA replication control	0.0042918628	0.0034098187	0.0035022403
--Chromosome-related	0.0065364884	0.0070710318	0.0050743966
--Base excision repair	0.00056200684	0.00050430685	0.00053885935
--Nucleotide excision repair	0.00047490672	0.00056222829	0.00050913055
--Mismatch repair	0.00039018712	0.00029124914	0.00036104335
--Homologous recombination	0.0011692385	0.00091076086	0.00096559296
--Non-homologous end-joining	0	0	0
--DNA repair and recombination proteins	0.0023301784	0.0012849856	0.0015786929
Environmental Information Processing	0.013995764	0.0097690894	0.010887357
-Signal Transduction	0.003919693	0.0048344142	0.0031705245
--Two-component system	0.0031060976	0.004492548	0.0029305443
--MAPK signaling pathway	0	0	0
--ErbB signaling pathway	0	0	0
--Wnt signaling pathway	0	0	0
--Notch signaling pathway	0	0	0
--Hedgehog signaling pathway	0	0	0
--TGF-beta signaling pathway	0	0	0
--VEGF signaling pathway	0	0	0
--Jak-STAT signaling pathway	0	0	0
--Calcium signaling pathway	0	0	0
--Phosphatidylinositol signaling system	0.00081359548	0.0003418662	0.00023998016
--mTOR signaling pathway	0	0	0
--Plant hormone signal transduction	0	0	0
-Signaling Molecules and Interaction	0.010076071	0.0049346752	0.0077168328
--G protein-coupled receptors	0	0	0
--Enzyme-linked receptors	0	0	0
--Cytokine receptors	0	0	0
--Ion channels	5.2764506e-06	4.9171877e-06	9.1920783e-07
--Neuroactive ligand-receptor interaction	0	0	0
--Cytokine-cytokine receptor interaction	0	0	0
--Cytokines	0	0	0
--ECM-receptor interaction	0	0	0
--Cell adhesion molecules (CAMs)	0.010067855	0.0049223666	0.0077125939
--CAM ligands	0	0	0
--Cellular antigens	0	0	0
--GTP-binding signaling proteins	0	0	0
--Glycan binding proteins	0	0	0
--Bacterial toxins	2.9402385e-06	7.3914102e-06	3.3196786e-06
Cellular Processes	0.10655629	0.14535456	0.089431752
-Cell structure	0.10089638	0.13673999	0.085005311
--Cell envelope	0.10089638	0.13673999	0.085005311
-Stress Response	5.7372188e-05	0.0040767672	7.8766602e-05
--Stress response	5.7372188e-05	0.0040767672	7.8766602e-05
-Vesicular Transport	2.3580222e-06	5.3060029e-05	7.3427448e-07
--Endocytosis	0	0	0
--Phagosome	0	0	0
--Lysosome	1.2459338e-06	1.8478525e-06	3.1344635e-09
--Peroxisome	1.1120883e-06	5.1212176e-05	7.3114002e-07
--Regulation of autophagy	0	0	0
-Cytoskeleton	0.0020494776	0.0019775393	0.0019226429
--Regulation of actin cytoskeleton	0	0	0
--Cytoskeleton proteins	0.0020494776	0.0019775393	0.0019226429
-Cell Motility	0.00080285818	0.00083467573	0.00019442559
--Bacterial chemotaxis	0.00012395033	0.00014939106	0.00010649593
--Bacterial motility proteins	0.00067890785	0.00068528467	8.792966e-05
-Cell Growth and Death	0.0027478385	0.0016725364	0.0022298714
--Cell cycle	0.0027478385	0.0016725364	0.0022298714
--Meiosis	0	0	0
--Oocyte meiosis	0	0	0
--Apoptosis	0	0	0
--p53 signaling pathway	0	0	0
-Cell Communication	0	0	0
--Focal adhesion	0	0	0
--Adherens junction	0	0	0
--Tight junction	0	0	0
--Gap junction	0	0	0
Metabolism	0.29887563	0.43784139	0.39933431
-Membrane Transport	0.057626488	0.084889642	0.073994697
--Transport	0.056520958	0.083768252	0.0730546
--Bacterial secretion system	0.00099934442	0.00095906219	0.00082398177
--Secretion system	0.00010618527	0.00016232775	0.0001161155
-Central Carbon Metabolism	0.092421254	0.1201956	0.088588213
--Glycolysis	0.060136594	0.054202598	0.053181329
--TCA cycle and anaplerotic enzymes	0.011017078	0.035637583	0.012142604
--Pentose phosphate metabolism	0.0097428471	0.010066486	0.0084104783
--Carbohydrate metabolism	0.003671935	0.0081540926	0.0041707618
--Pyruvate metabolism	0.00019681668	0.00010028415	0.00024994236
--Butanoate metabolism	3.0265608e-06	7.9444176e-05	4.5751897e-06
--Other central metabolism enzymes	0.007652956	0.011955111	0.010428522
-Energy Metabolism	0.023668727	0.016139195	0.018383704
--Oxidative phosphorylation	0.023450711	0.016049248	0.018273728
--Photosynthesis	0	0	0
--Photosynthesis - antenna proteins	0	0	0
--Carbon fixation in photosynthetic organisms	0	0	0
--Methane metabolism	0.00021801615	8.9946598e-05	0.00010997564
-Biosynthesis	0.1029206	0.18713394	0.19699071
--Lipid and steroid metabolism	0.044842531	0.027053585	0.039572142
--Purine metabolism	0.012212074	0.014536716	0.014493625
--Pyrimidine metabolism	0.0055857109	0.017785581	0.0034042758
--Amino acid metabolism	0.024213251	0.10992871	0.12394335
--Glycan metabolism	0.0057359886	0.004391599	0.0046050524
--Cofactor biosynthesis	0.01032846	0.013434394	0.010971245
--Biosynthesis of other secondary metabolites	2.5873732e-06	3.3549402e-06	1.0206377e-06
-Other Enzymes	0.02223856	0.029483012	0.021376987
--Other enzymes	0.02223856	0.029483012	0.021376987
Organismal Systems	0	0	0
-Immune System	0	0	0
--Complement and coagulation cascades	0	0	0
--Toll-like receptor signaling pathway	0	0	0
--NOD-like receptor signaling pathway	0	0	0
--RIG-I-like receptor signaling pathway	0	0	0
--Cytosolic DNA-sensing pathway	0	0	0
--Antigen processing and presentation	0	0	0
--T cell receptor signaling pathway	0	0	0
--B cell receptor signaling pathway	0	0	0
--Fc gamma R-mediated phagocytosis	0	0	0
--Leukocyte transendothelial migration	0	0	0
--Intestinal immune network for IgA production	0	0	0
--Chemokine signaling pathway	0	0	0
-Endocrine System	0	0	0
--Insulin signaling pathway	0	0	0
--Adipocytokine signaling pathway	0	0	0
--PPAR signaling pathway	0	0	0
--Renin-angiotensin system	0	0	0
-Circulatory System	0	0	0
--Hemoglobin	0	0	0
--Cardiac muscle contraction	0	0	0
--Vascular smooth muscle contraction	0	0	0
-Digestive System	0	0	0
--Salivary secretion	0	0	0
--Pancreatic secretion	0	0	0
--Bile secretion	0	0	0
--Protein digestion and absorption	0	0	0
--Fat digestion and absorption	0	0	0
--Vitamin digestion and absorption	0	0	0
--Mineral absorption	0	0	0
-Excretory System	0	0	0
--Vasopressin-regulated water reabsorption	0	0	0
--Aldosterone-regulated sodium reabsorption	0	0	0
--Endocrine and other factor-regulated calcium reabsorption	0	0	0
--Proximal tubule bicarbonate reclamation	0	0	0
--Collecting duct acid secretion	0	0	0
-Nervous System	0	0	0
--Glutamatergic synapse	0	0	0
--Long-term potentiation	0	0	0
--Neurotrophin signaling pathway	0	0	0
-Sensory System	0	0	0
--Phototransduction	0	0	0
--Olfactory transduction	0	0	0
-Development	0	0	0
--Axon guidance	0	0	0
