Numerator	Denominator	eco Li complete	eco Li minimal	eco Li without methionine
TOTAL	TOTAL	1	1	1
MAPPED	TOTAL	0.8806	0.8524	0.8894
Genetic Information Processing	TOTAL	0.4181	0.2277	0.3457
-Transcription	TOTAL	0.01535	0.0149	0.01423
-Translation	TOTAL	0.3336	0.1571	0.2619
-Folding, Sorting and Degradation	TOTAL	0.05013	0.0391	0.05346
-DNA Maintenance	TOTAL	0.01668	0.01466	0.01326
-RNA Family	TOTAL	0	0	0
Environmental Information Processing	TOTAL	0.01334	0.008876	0.01057
-Signal Transduction	TOTAL	0.003259	0.003814	0.002848
-Signaling Molecules and Interaction	TOTAL	0.01008	0.004935	0.007717
Cellular Processes	TOTAL	0.1062	0.145	0.08959
-Cell structure	TOTAL	0.1009	0.1367	0.08501
-Crystallins	TOTAL	0	0	0
-Stress Response	TOTAL	5.737e-05	0.004077	7.877e-05
-Vesicular Transport	TOTAL	0	0	0
-Cytoskeleton	TOTAL	0.002049	0.001978	0.001923
-Cell Motility	TOTAL	0.0002088	0.0003047	9.824e-05
-Cell Growth and Death	TOTAL	0.002946	0.001911	0.002465
-Cell Communication	TOTAL	0	0	0
Metabolism	TOTAL	0.3326	0.4608	0.4288
-Membrane Transport	TOTAL	0.05885	0.0846	0.07614
-Central Carbon Metabolism	TOTAL	0.06304	0.07104	0.05702
-Energy Metabolism	TOTAL	0.02037	0.01915	0.01813
-Biosynthesis	TOTAL	0.09067	0.1449	0.173
-Other Enzymes	TOTAL	0.09844	0.1314	0.1037
Organismal Systems	TOTAL	4.345e-05	7.382e-05	3.041e-05
-Immune System	TOTAL	0	0	0
-Endocrine System	TOTAL	0	0	0
-Circulatory System	TOTAL	0	0	0
-Digestive System	TOTAL	0	0	0
-Excretory System	TOTAL	0	0	0
-Nervous System	TOTAL	0	0	0
-Sensory System	TOTAL	0	0	0
-Development	TOTAL	0	0	0
-Environmental Adaptation	TOTAL	0	0	0
Human Diseases	TOTAL	0.007695	0.006833	0.01176
-Cancers	TOTAL	5.339e-05	0.0001228	5.362e-05
-Immune System Diseases	TOTAL	0	0	0
-Neurodegenerative Diseases	TOTAL	1.112e-06	5.121e-05	7.311e-07
-Cardiovascular Diseases	TOTAL	0	0	0
-Metabolic Diseases	TOTAL	0	0	0
-Infectious Diseases	TOTAL	0.002308	0.004286	0.00201
Not Mapped	TOTAL	0.1194	0.1476	0.1106
-Not Mapped	TOTAL	0.1194	0.1476	0.1106
TOTAL	MAPPED	1.136	1.173	1.124
MAPPED	MAPPED	1	1	1
Genetic Information Processing	MAPPED	0.4748	0.2671	0.3887
-Transcription	MAPPED	0.01743	0.01748	0.016
-Translation	MAPPED	0.3788	0.1843	0.2945
-Folding, Sorting and Degradation	MAPPED	0.05693	0.04587	0.0601
-DNA Maintenance	MAPPED	0.01894	0.0172	0.0149
-RNA Family	MAPPED	0	0	0
Environmental Information Processing	MAPPED	0.01514	0.01041	0.01188
-Signal Transduction	MAPPED	0.003701	0.004475	0.003202
-Signaling Molecules and Interaction	MAPPED	0.01144	0.005789	0.008676
Cellular Processes	MAPPED	0.1206	0.1701	0.1007
-Cell structure	MAPPED	0.1146	0.1604	0.09558
-Crystallins	MAPPED	0	0	0
-Stress Response	MAPPED	6.515e-05	0.004783	8.856e-05
-Vesicular Transport	MAPPED	0	0	0
-Cytoskeleton	MAPPED	0.002327	0.00232	0.002162
-Cell Motility	MAPPED	0.0002371	0.0003574	0.0001105
-Cell Growth and Death	MAPPED	0.003345	0.002242	0.002771
-Cell Communication	MAPPED	0	0	0
Metabolism	MAPPED	0.3777	0.5406	0.4821
-Membrane Transport	MAPPED	0.06683	0.09925	0.08561
-Central Carbon Metabolism	MAPPED	0.07158	0.08334	0.06411
-Energy Metabolism	MAPPED	0.02313	0.02246	0.02038
-Biosynthesis	MAPPED	0.103	0.17	0.1945
-Other Enzymes	MAPPED	0.1118	0.1541	0.1166
Organismal Systems	MAPPED	4.934e-05	8.66e-05	3.419e-05
-Immune System	MAPPED	0	0	0
-Endocrine System	MAPPED	0	0	0
-Circulatory System	MAPPED	0	0	0
-Digestive System	MAPPED	0	0	0
-Excretory System	MAPPED	0	0	0
-Nervous System	MAPPED	0	0	0
-Sensory System	MAPPED	0	0	0
-Development	MAPPED	0	0	0
-Environmental Adaptation	MAPPED	0	0	0
Human Diseases	MAPPED	0.008738	0.008016	0.01323
-Cancers	MAPPED	6.063e-05	0.000144	6.029e-05
-Immune System Diseases	MAPPED	0	0	0
-Neurodegenerative Diseases	MAPPED	1.263e-06	6.008e-05	8.221e-07
