Category	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	0.87614931	0.79146033	0.83606364	0.86720431	0.79801832	0.81091647	0.89918442	0.8020727	0.81751488	0.90342938	0.91679531	0.81247553	0.8120178	0.81990005	0.85478181	0.87770843	0.80773326	0.83374953	0.89630511	0.80168223	0.81505503	0.85686505	0.83214637	0.84398614	0.83064599	0.83311021	0.80328037	0.84231064
Genetic Information Processing	0.25299008	0.1937819	0.15293514	0.11620772	0.17353069	0.24735894	0.057677628	0.27095631	0.41763167	0.089620037	0.06456424	0.25707961	0.273078	0.15949135	0.17302294	0.18519062	0.15911646	0.20206613	0.05312159	0.18328277	0.27710609	0.52506656	0.30418327	0.22335008	0.22532541	0.29995643	0.29214076	0.16947094
-Transcription	0.012774311	0.013288668	0.0082099094	0.0034589912	0.012783688	0.017433845	0.0021455167	0.017889714	0.042333152	0.005606425	0.0059404091	0.011452205	0.013056991	0.0090104623	0.009089222	0.0051621241	0.010325753	0.013578976	0.0014761577	0.012646756	0.023024657	0.0073107432	0.012342701	0.020649275	0.013679386	0.032548248	0.03057943	0.0064524036
--RNA polymerase	3.8495228e-05	3.4617279e-05	2.9204781e-05	1.4438336e-05	6.9757406e-05	5.9712385e-05	4.9588951e-06	4.5734199e-05	0.00024314186	2.121586e-05	8.972702e-06	3.1438183e-05	4.3637889e-05	4.6763092e-05	3.1941391e-05	1.3937231e-05	4.1284235e-05	4.0920378e-05	4.5122674e-06	6.0569315e-05	0.00010005039	1.6585988e-05	6.711541e-05	0.00012915718	4.0514627e-05	0.00014783018	7.4000358e-05	3.1899272e-05
--Basal transcription factors	7.8705288e-05	0.00016147507	0.00016868853	5.032926e-05	0.00010926602	9.6179039e-05	1.3806733e-05	9.4906367e-05	0.00037891513	3.391352e-05	2.7994777e-05	6.5890601e-05	9.7623345e-05	9.0976531e-05	3.4874763e-05	2.9671025e-05	5.5163112e-05	0.00010999231	8.8969914e-06	0.00015540641	0.00017149725	0.00014358044	6.813593e-05	0.00015260811	3.0067517e-05	0.00014428366	0.00026396339	4.8504415e-05
--Transcription factors	0.0017531084	0.0026195662	0.0024335013	0.00058352266	0.0019238424	0.0046805564	0.00058366628	0.0085174887	0.0019655159	0.0010590002	0.0044435113	0.00088140592	0.0012447374	0.0013572992	0.001321509	0.0004772242	0.001839796	0.002328732	0.00044129359	0.001220537	0.0029211012	0.0021364141	0.0016963287	0.0035888393	0.0058471603	0.002409507	0.0070445762	0.0014157624
--Spliceosome	0.010904002	0.010473009	0.0055785148	0.0028107009	0.010680822	0.012597397	0.0015430848	0.0092315846	0.039745579	0.0044922954	0.0014599303	0.01047347	0.011670992	0.0075154235	0.0077008969	0.0046412916	0.00838951	0.011099331	0.0010214549	0.011210243	0.019832008	0.0050141627	0.010511121	0.01677867	0.0077616434	0.029846627	0.02319689	0.0049562375
-Translation	0.054551221	0.047243525	0.036683914	0.037674501	0.03851642	0.080217771	0.016800151	0.097474067	0.14504517	0.023465198	0.017146508	0.089760791	0.098740176	0.04564782	0.038672032	0.073030742	0.034784583	0.043595659	0.018401547	0.048979875	0.06886386	0.30912981	0.12036923	0.060179673	0.074696281	0.08195624	0.097167034	0.040928459
--Ribosome	0.031236623	0.030591049	0.016614603	0.020062014	0.01582428	0.047497129	0.0077144328	0.063852197	0.084003019	0.010128115	0.0097304458	0.057317504	0.062941654	0.024309633	0.022270349	0.05030897	0.015986599	0.027714446	0.010747694	0.02425673	0.041280707	0.26615277	0.087101637	0.030036956	0.056766572	0.036701589	0.071639904	0.022111728
