Category	mmu Geiger adrenal gland	mmu Geiger brain cortex	mmu Geiger brain medulla	mmu Geiger brown fat	mmu Geiger cerebellum	mmu Geiger colon	mmu Geiger diaphragm	mmu Geiger duodenum	mmu Geiger embryonic tissue	mmu Geiger eye	mmu Geiger heart	mmu Geiger ileum	mmu Geiger jejunum	mmu Geiger kidney cortex	mmu Geiger kidney medulla	mmu Geiger liver	mmu Geiger lung	mmu Geiger midbrain	mmu Geiger muscle	mmu Geiger olfactory bulb	mmu Geiger ovary	mmu Geiger pancreas	mmu Geiger salivary gland	mmu Geiger spleen	mmu Geiger stomach	mmu Geiger thymus	mmu Geiger uterus	mmu Geiger white fat
TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	0.87118071	0.76714646	0.8391804	0.86951674	0.80454261	0.81729924	0.90574549	0.81826589	0.81888138	0.89033979	0.89328689	0.81515721	0.81790343	0.81756085	0.83843866	0.8852873	0.80070007	0.81682662	0.88735575	0.80630669	0.81693627	0.82228242	0.81999825	0.82581365	0.79961533	0.82185638	0.78232125	0.8394905
Genetic Information Processing	0.2433248	0.17344346	0.15749492	0.11387232	0.16970274	0.23414857	0.05432216	0.24428079	0.40009257	0.10268638	0.072759045	0.24424247	0.25493539	0.15355501	0.16023826	0.16561721	0.16152833	0.17299588	0.051449447	0.17652567	0.26287479	0.46883427	0.28660685	0.23381649	0.20148156	0.299045	0.25114244	0.16529138
-Transcription	0.013749772	0.01280611	0.0072631203	0.0037509664	0.012729497	0.016141217	0.0019876721	0.01458125	0.046219172	0.0064693578	0.0052016289	0.012583179	0.013506035	0.0094264374	0.009379871	0.00541778	0.010702068	0.012642722	0.0015301808	0.011386107	0.021738999	0.0077713853	0.013541937	0.021999381	0.013138057	0.034584013	0.030056678	0.0063087439
--RNA polymerase	2.91309e-05	2.188216e-05	2.4763627e-05	1.6347639e-05	7.0909318e-05	6.3198706e-05	7.6006089e-06	4.0482863e-05	0.00036754652	1.7315347e-05	7.932438e-06	6.2243342e-05	6.9485378e-05	4.7052278e-05	2.7929885e-05	1.7111609e-05	4.4910478e-05	3.3328859e-05	1.6385674e-06	3.8802362e-05	9.2976698e-05	1.3234133e-05	4.0737371e-05	0.00014038182	5.6807533e-05	0.00013549994	6.9603811e-05	2.0799087e-05
--Basal transcription factors	0.00010485191	0.00010383402	0.00010965534	6.4331165e-05	0.00010499018	9.1680675e-05	1.3301707e-05	7.5228868e-05	0.00061942114	4.7096868e-05	1.9358541e-05	7.6848426e-05	0.00010655518	0.00013569053	4.572495e-05	3.827831e-05	6.7184325e-05	0.000161491	5.8822102e-06	0.0001050093	0.00020993077	0.00014091909	0.00013971711	0.00016536603	3.2189206e-05	0.00017230438	0.00023536654	5.804857e-05
--Transcription factors	0.0012545593	0.0021128731	0.0014966972	0.00047333851	0.0012732456	0.0028936482	0.00038230509	0.0045571841	0.0026910367	0.00076539698	0.0032439275	0.00088098912	0.0011489458	0.0010185581	0.00096787359	0.00048371079	0.001265266	0.0015167292	0.00040950681	0.00085926427	0.0020501486	0.0023238697	0.0016061453	0.0027686735	0.0041757808	0.0023684886	0.0054391766	0.00093949404
--Spliceosome	0.012361229	0.010567521	0.0056320041	0.0031969491	0.011280352	0.013092689	0.0015844647	0.0099083545	0.042541167	0.0056395486	0.0019304105	0.011563098	0.012181048	0.0082251365	0.0083383425	0.0048786793	0.0093247074	0.010931173	0.0011131532	0.010383031	0.019385943	0.0052933623	0.011755337	0.018924959	0.0088732792	0.03190772	0.024312531	0.0052904022
-Translation	0.046106483	0.034567846	0.032376173	0.03187148	0.036507086	0.06256146	0.014751329	0.067658747	0.11497929	0.025157522	0.016273896	0.068971044	0.074825551	0.037362799	0.031820005	0.052692478	0.032388427	0.034473271	0.017810269	0.041824708	0.053948101	0.205612	0.091751814	0.054078783	0.052454892	0.070409435	0.06290145	0.034742815
--Ribosome	0.015793243	0.015092378	0.0073890669	0.0094712638	0.0069998227	0.021896079	0.0033785683	0.02812757	0.038685085	0.0055440646	0.0055729533	0.02723678	0.03000975	0.011030023	0.011046186	0.024136987	0.0078616396	0.01376397	0.0048767372	0.011057605	0.018284754	0.14688605	0.045158518	0.014402103	0.029662518	0.017201289	0.033231162	0.010354586
--Translation factors	0.0068216425	0.0034674362	0.0057598988	0.0074666889	0.0044002968	0.010379473	0.003520595	0.0095226589	0.015411892	0.0027837733	0.0039829822	0.0095981215	0.010001814	0.0076520926	0.0070388459	0.0069221615	0.0046183205	0.0043085513	0.0015872049	0.0056747456	0.0074661158	0.016586853	0.01114577	0.0077812592	0.0069417486	0.012059335	0.0062693753	0.0049856475
