Membrane Transport	0.55	0.22	0.04
Central Carbon Metabolism	0.75	0.38	0.15
Energy Metabolism	0.83	0.55	0.23
Biosynthesis	0.95	0.63	0.11
Other Enzymes	0.9	0.69	0.36
Biosynthesis of Macromoleculaes	0.8	0.44	0.19
Carbohydrate Metabolism	0.75	0.38	0.15
Lipid Metabolism	0.98	0.62	0.0
Nucleotide Metabolism	0.8	0.44	0.19
Amino Acid Metabolism	0.92	0.54	0.11
Metabolism of Other Amino Acids	0.9	0.52	0.11
Glycan Biosynthesis and Metabolism	0.8	0.45	0.2
Biosynthesis of Other Secondary Metabolites	0.94	0.65	0.09
Xenobiotics Biodegradation and Metabolism	0.87	0.52	0.2
Metabolism of Cofactors and Vitamins	0.84	0.55	0.28
Metabolism of Terpenoids and Polyketides	0.96	0.8	0.48
Transcription	0.32	0.3	0.78
Translation	0.32	0.43	0.9
Folding, Sorting and Degradation	0.39	0.6	0.95
DNA Maintenance	0.51	0.68	0.93
RNA Family	0.53	0.7	0.98
Signaling Molecules and Interaction	0.60	0.62	0.12
Signal Transduction	0.79	0.72	0.0
Vesicular Transport	0.71	0.06	0.12
Cytoskeleton	0.9	0.2	0.29
Cell Growth and Death	0.99	0.26	0.27
Cell Motility	0.98	0.073	0.2
Cell Communication	1	0.37	0.32
Stress Response	1	0.37	0.32
Crystallins	0.98	0.073	0.2
Circulatory System	0.97	0.282	0.55
Endocrine System	0.95	0.25	0.6
Excretory System	0.95	0.1	0.7
Immune System	0.75	0.08	0.7
Digestive System	0.85	0.073	0.62
Development	0.92	0.12	0.85
Sensory System	0.86	0.16	0.80
Nervous System	0.8	0.2	0.74
Environmental Adaptation	0.75	0.35	0.65
Cancers	0.2	0.17	0.2
Immune System Diseases	0.21	0.19	0.21
Neurodegenerative Diseases	0.26	0.24	0.26
Metabolic Diseases	0.34	0.32	0.34
Cardiovascular Diseases	0.42	0.41	0.42
Infectious Diseases	0.46	0.45	0.46
Not mapped	0.4	0.4	0.4
