Category	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
TOTAL	1	1	1	1
MAPPED	0.82985067	0.82616356	0.82698433	0.82093793
Genetic Information Processing	0.33853912	0.40690413	0.30065065	0.43696006
-Transcription	0.013568221	0.017218582	0.011227019	0.018072874
--RNA polymerase	0.00010021928	0.00010146208	0.00010459066	5.7102211e-05
--Basal transcription factors	3.5355282e-05	4.467285e-05	2.1602638e-05	4.761388e-05
--Transcription factors	0.001764675	0.0018784931	0.0017198731	0.0017925251
--Spliceosome	0.011667971	0.015193954	0.0093809527	0.016175633
-Translation	0.063112319	0.077461953	0.056851784	0.08723828
--Ribosome	0.037727648	0.042927368	0.03554151	0.042326316
--Translation factors	0.017953876	0.023319904	0.014709763	0.025217159
--tRNA loading	0.0013544473	0.0015452588	0.00102127	0.0013637067
--RNA transport	0.0044174134	0.0080871601	0.0036742621	0.016258156
--mRNA surveillance pathway	0.00065450296	0.00070187391	0.00048935904	0.00069600029
--Ribosome biogenesis in eukaryotes	0.00020873525	0.00021226553	0.00018891224	0.00021413448
--Ribosome biogenesis	0.00079569696	0.0006681231	0.0012267082	0.0011628076
-Folding, Sorting and Degradation	0.15373416	0.16720814	0.15309887	0.16907512
--Protease inhibitors	0.00017443364	0.00023612361	0.00017269682	0.00018207445
--Chaperones and folding catalysts	0.11186189	0.12484323	0.11126709	0.12845776
--Protein export	0.00048975249	0.00056910408	0.00046846749	0.00050176368
--Protein processing in endoplasmic reticulum	0.0080522361	0.0077057897	0.008978924	0.0072187973
--SNARE interactions in vesicular transport	0.00013336005	9.4240375e-05	0.00014166308	6.019754e-05
--SNAREs	2.3715351e-05	1.6329449e-05	1.8582434e-05	1.3710471e-05
--Ubiquitin mediated proteolysis	0.0016479218	0.001667537	0.0016258684	0.0022810056
--Ubiquitin labeling	0.014338984	0.012116404	0.013019643	0.01100304
--Sulfur relay system	4.8299886e-05	4.4663529e-05	2.2546379e-05	4.8587416e-05
--Proteasome	0.0067984571	0.0074902905	0.0070762161	0.0077354775
--Peptidases	0.0042673002	0.0037586515	0.0049407496	0.0038096889
--RNA degradation	0.0058978039	0.0086657759	0.0053664194	0.0077630169
-DNA Maintenance	0.10812443	0.14501545	0.079472984	0.16257378
--DNA replication	0.00033191877	0.00026640081	0.00033741203	0.00025036711
--DNA replication complex	0.00019684752	0.00025768715	8.2373905e-05	0.00016522472
--DNA replication control	3.3150382e-05	6.3002094e-05	2.7339742e-05	4.43004e-05
--Chromosome-related	0.10588616	0.14256127	0.077773057	0.16100453
--Base excision repair	2.4243708e-05	2.9981348e-05	2.7765041e-05	2.8820155e-05
--Nucleotide excision repair	8.7575596e-06	1.0263328e-05	8.6660082e-06	1.4005448e-05
--Mismatch repair	0	0	0	0
--Homologous recombination	0	0	0	0
--Non-homologous end-joining	0.00061664816	0.00081102915	0.00027219901	0.00058203654
--DNA repair and recombination proteins	0.0010267045	0.0010158194	0.0009441716	0.00048449823
Environmental Information Processing	0.031048185	0.038266707	0.031124155	0.039742623
-Signal Transduction	0.0068342256	0.0069869398	0.0077048095	0.0067307274
--Ras signaling pathway	0	0	0	0
--Rap1 signaling pathway	0	0	0	0
--Hippo signaling pathway	0	0	0	0
--NF-kappa B signaling pathway	0	0	0	0
--TNF signaling pathway	0	0	0	0
--HIF-1 signaling pathway	0	0	0	0
--PI3K-Akt signaling pathway	0	0	0	0
--FoxO signaling pathway	0	0	0	0
--Other signaling pathways	0	0	0	0
--Two-component system	0.00014358077	0.0001915726	0.00014738791	0.00018250048
--MAPK signaling pathway	0.0015639864	0.0016405433	0.0016783778	0.0016481949
--ErbB signaling pathway	0.00066403606	0.00055047415	0.000767194	0.0004838117
--Wnt signaling pathway	0.00015652236	0.00025001966	0.00010279756	0.00026680693
--Notch signaling pathway	1.6260754e-05	2.5600937e-05	6.6866378e-06	4.6492248e-05
--Hedgehog signaling pathway	0	0	0	0
--TGF-beta signaling pathway	0.00060227484	0.00070026511	0.00054997744	0.00092837355
--VEGF signaling pathway	0.00028441377	0.00024772861	8.3016579e-05	0.00017604692
--Jak-STAT signaling pathway	0.00015498244	0.00011439051	0.00021141324	0.00013644108
--Calcium signaling pathway	0.0031728629	0.0031873882	0.0041037273	0.0027811928
--Phosphatidylinositol signaling system	4.928412e-05	5.3992643e-05	3.8039664e-05	5.9236958e-05
--mTOR signaling pathway	2.6021107e-05	2.4964162e-05	1.6191392e-05	2.1629829e-05
--Plant hormone signal transduction	0	0	0	0
-Signaling Molecules and Interaction	0.024213959	0.031279767	0.023419345	0.033011895
--Insulin secretion	0	0	0	0
--G protein-coupled receptors	0	0	0	0
--Enzyme-linked receptors	0	0	0	0
--Cytokine receptors	0	0	0	0
--Ion channels	0.0015315245	0.0019400753	0.0013688821	0.0019530896
--Neuroactive ligand-receptor interaction	0.00040422695	0.00039346494	0.00046302869	0.00033607339
--Cytokine-cytokine receptor interaction	0	0	0	0
--Cytokines	2.9361982e-05	1.4299717e-05	5.7236196e-05	3.0071148e-05
--ECM-receptor interaction	0.012675357	0.021841546	0.010763005	0.023000363
--Cell adhesion molecules (CAMs)	0.00034112019	0.00025579548	0.00035039162	0.00016184423
--CAM ligands	0.0080429854	0.005469976	0.0094904231	0.0062509652
--Cellular antigens	0.00036559437	0.00040480574	0.00030452879	0.00032462886
--GTP-binding signaling proteins	0.00079476894	0.00092765552	0.0005751523	0.00093569656
--Glycan binding proteins	0	0	0	0
--Bacterial toxins	2.9020507e-05	3.214881e-05	4.6697312e-05	1.9163593e-05
Cellular Processes	0.35035072	0.26719379	0.38745153	0.23434893
-Vesicular Transport	0.013907439	0.012250712	0.015266553	0.012270153
--Endocytosis	0.0044319691	0.0036868918	0.0049510825	0.0036612929
--Phagosome	0.00071153255	0.00041964419	0.0013038974	0.0003674153
--Lysosome	0.0021597122	0.001610009	0.0023438884	0.0013899734
--Peroxisome	0.0066042252	0.0065341666	0.0066676848	0.006851471
--Regulation of autophagy	0	0	0	0
-Cytoskeleton	0.31426352	0.22958912	0.34964111	0.19641648
--Regulation of actin cytoskeleton	0.038255991	0.039297829	0.040030607	0.041172917
--Cytoskeleton proteins	0.27600753	0.19029129	0.3096105	0.15524357
-Cell Motility	0	0	0	0
--Bacterial chemotaxis	0	0	0	0
