Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
TOTAL	TOTAL	1	1	1	1
MAPPED	TOTAL	0.8698	0.8723	0.8647	0.8657
Genetic Information Processing	TOTAL	0.1559	0.1709	0.1445	0.1826
-Transcription	TOTAL	0.01167	0.01412	0.009411	0.01442
-Translation	TOTAL	0.04095	0.04827	0.03595	0.05095
-Folding, Sorting and Degradation	TOTAL	0.08819	0.09516	0.0844	0.09875
-DNA Maintenance	TOTAL	0.008301	0.008265	0.008535	0.008135
-RNA Family	TOTAL	0	0	0	0
Environmental Information Processing	TOTAL	0.01488	0.03044	0.02568	0.04381
-Signal Transduction	TOTAL	0.0005171	0.0005132	0.0005652	0.0006732
-Signaling Molecules and Interaction	TOTAL	0.01171	0.02728	0.02229	0.04077
Cellular Processes	TOTAL	0.3417	0.2549	0.3786	0.2149
-Crystallins	TOTAL	0	0	0	0
-Stress Response	TOTAL	0	0	0	0
-Vesicular Transport	TOTAL	0.008123	0.007027	0.009008	0.006721
-Cytoskeleton	TOTAL	0.29	0.1936	0.3319	0.1579
-Cell Motility	TOTAL	0	0	0	0
-Cell Growth and Death	TOTAL	0.0007234	0.0007728	0.0007736	0.0006693
-Cell Communication	TOTAL	0.01571	0.02042	0.012	0.01979
Metabolism	TOTAL	0.07415	0.07847	0.06785	0.0785
-Membrane Transport	TOTAL	4.55e-05	3.833e-05	1.637e-05	2.964e-05
-Central Carbon Metabolism	TOTAL	0.008894	0.009399	0.008024	0.009823
-Energy Metabolism	TOTAL	0.004101	0.003968	0.003103	0.003981
-Biosynthesis	TOTAL	0.01117	0.01093	0.009923	0.01008
-Other Enzymes	TOTAL	0.02648	0.02853	0.02253	0.02895
Organismal Systems	TOTAL	0.02244	0.02134	0.02419	0.0229
-Immune System	TOTAL	0.002066	0.002504	0.001861	0.002643
-Endocrine System	TOTAL	0.0006323	0.0005721	0.0006013	0.0005341
-Circulatory System	TOTAL	0.006945	0.005672	0.008913	0.006211
-Digestive System	TOTAL	9.666e-05	0.0001135	8.991e-05	4.232e-05
-Excretory System	TOTAL	0.0004687	0.000423	0.0004356	0.0003762
-Nervous System	TOTAL	0.0003319	0.0003607	0.000258	0.0002604
-Sensory System	TOTAL	0	0	0	0
-Development	TOTAL	0.000761	0.0009735	0.0006484	0.001031
-Environmental Adaptation	TOTAL	0	0	0	0
Human Diseases	TOTAL	0.06415	0.06426	0.06575	0.06338
-Cancers	TOTAL	0.002026	0.002006	0.002222	0.002279
-Immune System Diseases	TOTAL	0.001233	0.001293	0.0008238	0.001319
-Neurodegenerative Diseases	TOTAL	0.006674	0.006115	0.007742	0.006688
-Cardiovascular Diseases	TOTAL	0.01561	0.01823	0.01457	0.01905
-Metabolic Diseases	TOTAL	0	0	0	0
-Infectious Diseases	TOTAL	0.01078	0.01088	0.01093	0.01143
Not Mapped	TOTAL	0.1302	0.1277	0.1353	0.1343
-Not Mapped	TOTAL	0.1302	0.1277	0.1353	0.1343
TOTAL	MAPPED	1.15	1.146	1.156	1.155
MAPPED	MAPPED	1	1	1	1
Genetic Information Processing	MAPPED	0.1792	0.196	0.1671	0.211
-Transcription	MAPPED	0.01341	0.01618	0.01088	0.01665
-Translation	MAPPED	0.04708	0.05534	0.04157	0.05886
-Folding, Sorting and Degradation	MAPPED	0.1014	0.1091	0.09761	0.1141
-DNA Maintenance	MAPPED	0.009544	0.009476	0.009871	0.009398
-RNA Family	MAPPED	0	0	0	0
Environmental Information Processing	MAPPED	0.01711	0.0349	0.02969	0.05061
-Signal Transduction	MAPPED	0.0005944	0.0005884	0.0006537	0.0007776
-Signaling Molecules and Interaction	MAPPED	0.01346	0.03127	0.02578	0.0471
Cellular Processes	MAPPED	0.3928	0.2922	0.4379	0.2482
-Crystallins	MAPPED	0	0	0	0
-Stress Response	MAPPED	0	0	0	0
-Vesicular Transport	MAPPED	0.009339	0.008056	0.01042	0.007764
-Cytoskeleton	MAPPED	0.3334	0.2219	0.3838	0.1824
-Cell Motility	MAPPED	0	0	0	0
-Cell Growth and Death	MAPPED	0.0008317	0.000886	0.0008946	0.0007731
-Cell Communication	MAPPED	0.01807	0.02341	0.01388	0.02286
Metabolism	MAPPED	0.08525	0.08996	0.07847	0.09068
-Membrane Transport	MAPPED	5.231e-05	4.394e-05	1.893e-05	3.424e-05
-Central Carbon Metabolism	MAPPED	0.01023	0.01078	0.009279	0.01135
-Energy Metabolism	MAPPED	0.004715	0.00455	0.003588	0.004598
-Biosynthesis	MAPPED	0.01284	0.01253	0.01148	0.01165
-Other Enzymes	MAPPED	0.03045	0.03271	0.02605	0.03344
Organismal Systems	MAPPED	0.0258	0.02446	0.02798	0.02646
-Immune System	MAPPED	0.002375	0.00287	0.002152	0.003053
-Endocrine System	MAPPED	0.0007269	0.0006558	0.0006954	0.000617
-Circulatory System	MAPPED	0.007985	0.006502	0.01031	0.007174
-Digestive System	MAPPED	0.0001111	0.0001301	0.000104	4.889e-05
-Excretory System	MAPPED	0.0005388	0.0004849	0.0005038	0.0004346
-Nervous System	MAPPED	0.0003816	0.0004135	0.0002984	0.0003008
-Sensory System	MAPPED	0	0	0	0
-Development	MAPPED	0.0008749	0.001116	0.0007499	0.001191
-Environmental Adaptation	MAPPED	0	0	0	0
Human Diseases	MAPPED	0.07376	0.07367	0.07604	0.07321
-Cancers	MAPPED	0.00233	0.002299	0.002569	0.002633
-Immune System Diseases	MAPPED	0.001417	0.001482	0.0009527	0.001524
-Neurodegenerative Diseases	MAPPED	0.007673	0.007011	0.008953	0.007726
-Cardiovascular Diseases	MAPPED	0.01795	0.0209	0.01685	0.022
-Metabolic Diseases	MAPPED	0	0	0	0
-Infectious Diseases	MAPPED	0.0124	0.01248	0.01264	0.0132
Not Mapped	MAPPED	0.1497	0.1464	0.1565	0.1552
