Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
TOTAL	TOTAL	1	1	1	1
MAPPED	TOTAL	0.8698	0.8723	0.8647	0.8657
Genetic Information Processing	TOTAL	0.1866	0.2046	0.1798	0.2157
-Transcription	TOTAL	0.01188	0.01436	0.009604	0.0147
-Translation	TOTAL	0.04182	0.04947	0.03678	0.05359
-Folding, Sorting and Degradation	TOTAL	0.1093	0.1196	0.106	0.127
-DNA Maintenance	TOTAL	0.01406	0.01507	0.0135	0.01602
-RNA Family	TOTAL	0	0	0	0
Environmental Information Processing	TOTAL	0.063	0.08592	0.04638	0.08074
-Signal Transduction	TOTAL	0.003173	0.003261	0.003383	0.003452
-Signaling Molecules and Interaction	TOTAL	0.05831	0.0808	0.04121	0.07544
Cellular Processes	TOTAL	0.3503	0.2677	0.388	0.2377
-Crystallins	TOTAL	0	0	0	0
-Stress Response	TOTAL	0	0	0	0
-Vesicular Transport	TOTAL	0.01103	0.008767	0.01305	0.008927
-Cytoskeleton	TOTAL	0.3012	0.2035	0.3457	0.1685
-Cell Motility	TOTAL	0	0	0	0
-Cell Growth and Death	TOTAL	0.00878	0.009193	0.009624	0.009538
-Cell Communication	TOTAL	0.03002	0.03761	0.02239	0.0337
Metabolism	TOTAL	0.0912	0.09483	0.08854	0.09122
-Membrane Transport	TOTAL	8.12e-05	9.695e-05	7.831e-05	0.0001072
-Central Carbon Metabolism	TOTAL	0.0223	0.02554	0.02087	0.02492
-Energy Metabolism	TOTAL	0.004722	0.005939	0.00521	0.006151
-Biosynthesis	TOTAL	0.01386	0.01344	0.01243	0.01365
-Other Enzymes	TOTAL	0.04015	0.04443	0.04084	0.04044
Organismal Systems	TOTAL	0.03462	0.03783	0.03496	0.03813
-Immune System	TOTAL	0.0116	0.01145	0.01181	0.01269
-Endocrine System	TOTAL	0.002227	0.001933	0.002315	0.002065
-Circulatory System	TOTAL	0.01069	0.009211	0.01279	0.01015
-Digestive System	TOTAL	0.0002788	0.0002784	0.0002387	0.0002681
-Excretory System	TOTAL	0.00128	0.001057	0.001142	0.0009763
-Nervous System	TOTAL	0.0007516	0.0008642	0.0004985	0.0008658
-Sensory System	TOTAL	0	0	0	0
-Development	TOTAL	0.0007781	0.0009941	0.0006658	0.001047
-Environmental Adaptation	TOTAL	6.698e-05	5.494e-05	6.077e-05	4.918e-05
Human Diseases	TOTAL	0.0832	0.08508	0.07825	0.08223
-Cancers	TOTAL	0.002544	0.002745	0.002754	0.003041
-Immune System Diseases	TOTAL	0.002442	0.002817	0.00195	0.002935
-Neurodegenerative Diseases	TOTAL	0.01525	0.01024	0.01686	0.009281
-Cardiovascular Diseases	TOTAL	0.02582	0.02989	0.02012	0.02684
-Metabolic Diseases	TOTAL	0	0	0	0
-Infectious Diseases	TOTAL	0.01648	0.01783	0.01845	0.01815
Not Mapped	TOTAL	0.1302	0.1277	0.1353	0.1343
-Not Mapped	TOTAL	0.1302	0.1277	0.1353	0.1343
TOTAL	MAPPED	1.15	1.146	1.156	1.155
MAPPED	MAPPED	1	1	1	1
Genetic Information Processing	MAPPED	0.2146	0.2346	0.2079	0.2492
-Transcription	MAPPED	0.01366	0.01646	0.01111	0.01698
-Translation	MAPPED	0.04808	0.05672	0.04253	0.0619
-Folding, Sorting and Degradation	MAPPED	0.1256	0.1371	0.1226	0.1467
-DNA Maintenance	MAPPED	0.01616	0.01727	0.01561	0.0185
-RNA Family	MAPPED	0	0	0	0
Environmental Information Processing	MAPPED	0.07243	0.0985	0.05364	0.09327
-Signal Transduction	MAPPED	0.003648	0.003738	0.003913	0.003987
-Signaling Molecules and Interaction	MAPPED	0.06704	0.09264	0.04766	0.08715
Cellular Processes	MAPPED	0.4028	0.3069	0.4487	0.2746
-Crystallins	MAPPED	0	0	0	0
-Stress Response	MAPPED	0	0	0	0
-Vesicular Transport	MAPPED	0.01268	0.01005	0.01509	0.01031
-Cytoskeleton	MAPPED	0.3462	0.2333	0.3998	0.1946
-Cell Motility	MAPPED	0	0	0	0
-Cell Growth and Death	MAPPED	0.01009	0.01054	0.01113	0.01102
-Cell Communication	MAPPED	0.03451	0.04312	0.02589	0.03893
Metabolism	MAPPED	0.1049	0.1087	0.1024	0.1054
-Membrane Transport	MAPPED	9.335e-05	0.0001111	9.057e-05	0.0001238
-Central Carbon Metabolism	MAPPED	0.02564	0.02928	0.02413	0.02879
-Energy Metabolism	MAPPED	0.005429	0.006808	0.006025	0.007106
-Biosynthesis	MAPPED	0.01594	0.01541	0.01438	0.01577
-Other Enzymes	MAPPED	0.04616	0.05094	0.04723	0.04672
Organismal Systems	MAPPED	0.0398	0.04337	0.04043	0.04405
-Immune System	MAPPED	0.01334	0.01313	0.01366	0.01466
-Endocrine System	MAPPED	0.00256	0.002216	0.002677	0.002385
-Circulatory System	MAPPED	0.01229	0.01056	0.01479	0.01172
-Digestive System	MAPPED	0.0003206	0.0003192	0.000276	0.0003097
-Excretory System	MAPPED	0.001472	0.001212	0.001321	0.001128
-Nervous System	MAPPED	0.0008641	0.0009907	0.0005765	0.001
-Sensory System	MAPPED	0	0	0	0
-Development	MAPPED	0.0008946	0.00114	0.00077	0.00121
-Environmental Adaptation	MAPPED	7.701e-05	6.298e-05	7.028e-05	5.682e-05
Human Diseases	MAPPED	0.09565	0.09754	0.09049	0.09499
-Cancers	MAPPED	0.002925	0.003147	0.003185	0.003512
-Immune System Diseases	MAPPED	0.002807	0.003229	0.002255	0.003391
-Neurodegenerative Diseases	MAPPED	0.01754	0.01174	0.0195	0.01072
-Cardiovascular Diseases	MAPPED	0.02969	0.03427	0.02327	0.031
-Metabolic Diseases	MAPPED	0	0	0	0
-Infectious Diseases	MAPPED	0.01895	0.02044	0.02134	0.02097
Not Mapped	MAPPED	0.1497	0.1464	0.1565	0.1552
