Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
-Endocrine System	-Signaling Molecules and Interaction	0.008998	0.03663	0.7372	0.005056	0.01981	0.4784	0.0115	0.03999	0.4235	0.005296	0.01894	0.3515
-Circulatory System	-Signaling Molecules and Interaction	0.121	0.2449	0.5931	0.0636	0.1545	0.2293	0.1697	0.2445	0.4173	0.06548	0.1516	0.2834
-Digestive System	-Signaling Molecules and Interaction	0.003645	0.009261	0.07226	0.002461	0.005641	0.06327	0.00302	0.009089	0.05459	0.0008044	0.004765	0.05634
-Excretory System	-Signaling Molecules and Interaction	0.006992	0.0379	0.1295	0.00396	0.02048	0.06072	0.00748	0.03828	0.09591	0.003296	0.01727	0.0402
-Nervous System	-Signaling Molecules and Interaction	0.005231	0.02592	0.1353	0.003609	0.0139	0.08758	0.004648	0.01588	0.1694	0.002425	0.0094	0.08621
-Sensory System	-Signaling Molecules and Interaction	0	0	0.002366	0	0	0.001473	0	0	0.002811	0	0	0.001382
-Development	-Signaling Molecules and Interaction	0.01059	0.04395	0.06499	0.008681	0.02925	0.04536	0.01001	0.02446	0.06706	0.008499	0.02259	0.04707
-Environmental Adaptation	-Signaling Molecules and Interaction	0	0.0009993	0.1222	0	0.0005143	0.07482	0	0.001043	0.1393	0	0.000431	0.07004
Human Diseases	-Signaling Molecules and Interaction	0.9571	1.377	8.652	0.6016	0.9791	5.548	1.129	1.37	4.802	0.5553	0.9131	4.118
-Cancers	-Signaling Molecules and Interaction	0.03202	0.126	0.3033	0.02226	0.06829	0.2294	0.03979	0.09128	0.2919	0.02336	0.05625	0.2062
-Immune System Diseases	-Signaling Molecules and Interaction	0.01839	0.07402	0.2276	0.0125	0.05772	0.1326	0.01321	0.05651	0.09738	0.01166	0.0543	0.08532
-Neurodegenerative Diseases	-Signaling Molecules and Interaction	0.1554	0.4373	0.7842	0.07631	0.2519	0.3336	0.1918	0.4537	0.7498	0.07582	0.1906	0.3245
-Cardiovascular Diseases	-Signaling Molecules and Interaction	0.2558	0.4531	1.499	0.1838	0.3403	0.8942	0.2883	0.4471	0.7826	0.1698	0.2931	0.7167
-Metabolic Diseases	-Signaling Molecules and Interaction	0	0	0.1483	0	0	0.1125	0	0	0.1431	0	0	0.1062
-Infectious Diseases	-Signaling Molecules and Interaction	0.1609	0.3351	6.457	0.1019	0.22	3.788	0.1876	0.3899	3.034	0.1001	0.2053	2.993
Not Mapped	-Signaling Molecules and Interaction	1.782	2.052	7.478	1.129	1.278	3.82	2.081	2.438	5.103	1.097	1.251	2.944
-Not Mapped	-Signaling Molecules and Interaction	1.782	2.052	7.478	1.129	1.278	3.82	2.081	2.438	5.103	1.097	1.251	2.944
TOTAL	Cellular Processes	2.422	2.753	2.906	2.905	3.654	3.873	2.3	2.522	2.638	3.075	4.112	4.553
MAPPED	Cellular Processes	2.107	2.395	2.527	2.534	3.187	3.378	1.989	2.181	2.281	2.662	3.559	3.941
Genetic Information Processing	Cellular Processes	0.3776	0.5333	0.7218	0.4965	0.7925	1.087	0.3335	0.4634	0.5602	0.5617	0.9822	1.357
-Transcription	Cellular Processes	0.02852	0.03314	0.03439	0.04117	0.05344	0.0563	0.02202	0.02422	0.02493	0.0452	0.062	0.06746
-Translation	Cellular Processes	0.1023	0.1144	0.1236	0.1433	0.1816	0.1942	0.08489	0.09188	0.1013	0.1618	0.224	0.2457
-Folding, Sorting and Degradation	Cellular Processes	0.2166	0.3093	0.3482	0.2832	0.419	0.5005	0.1948	0.2796	0.3133	0.3133	0.517	0.6244
-DNA Maintenance	Cellular Processes	0.0201	0.03827	0.2217	0.02401	0.0555	0.3805	0.01963	0.03115	0.1586	0.02502	0.06503	0.5196
-RNA Family	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Cellular Processes	0.03632	0.1677	0.2034	0.0888	0.3092	0.4104	0.05985	0.1195	0.1682	0.1467	0.332	0.51
-Signal Transduction	Cellular Processes	0.00127	0.007744	0.01943	0.001527	0.009814	0.01941	0.001305	0.007886	0.02212	0.002135	0.01159	0.02178
-Signaling Molecules and Interaction	Cellular Processes	0.02858	0.1664	0.184	0.07957	0.3019	0.388	0.05196	0.1062	0.1496	0.1366	0.3102	0.4886
Cellular Processes	Cellular Processes	1	1	1	1	1	1	1	1	1	1	1	1
-Crystallins	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Cellular Processes	0.02355	0.0286	0.03754	0.02389	0.03037	0.0415	0.02379	0.03151	0.03968	0.02768	0.03187	0.04955
-Cytoskeleton	Cellular Processes	0.8301	0.8568	0.8866	0.7232	0.7883	0.8494	0.8574	0.8864	0.8975	0.6493	0.7671	0.8419
-Cell Motility	Cellular Processes	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Cellular Processes	0.002117	0.02205	0.02618	0.002887	0.02768	0.03638	0.001994	0.0227	0.02572	0.00282	0.03236	0.04456
-Cell Communication	Cellular Processes	0.03806	0.08578	0.1099	0.0593	0.1457	0.19	0.02761	0.0539	0.07739	0.06087	0.1533	0.2036
Metabolism	Cellular Processes	0.1947	0.255	0.2805	0.256	0.3337	0.4169	0.1693	0.2241	0.246	0.2699	0.3509	0.4728
-Membrane Transport	Cellular Processes	0.0001299	0.0002148	0.0008438	0.000146	0.0002885	0.0009898	4.253e-05	0.0001808	0.000771	0.0001326	0.00034	0.0008539
-Central Carbon Metabolism	Cellular Processes	0.02541	0.06042	0.1055	0.0364	0.08958	0.1508	0.02068	0.0506	0.09239	0.04473	0.1009	0.1623
-Energy Metabolism	Cellular Processes	0.01014	0.01349	0.03869	0.01219	0.0217	0.04682	0.007341	0.01297	0.03685	0.01349	0.02588	0.05301
-Biosynthesis	Cellular Processes	0.03075	0.03503	0.05139	0.03903	0.04322	0.06559	0.02348	0.03037	0.04423	0.04017	0.04693	0.07214
-Other Enzymes	Cellular Processes	0.07731	0.1167	0.172	0.09419	0.1743	0.2239	0.05806	0.1077	0.1573	0.09956	0.1755	0.2293
Organismal Systems	Cellular Processes	0.05434	0.0959	0.1621	0.06198	0.1217	0.2089	0.05564	0.08935	0.133	0.07044	0.1511	0.2473
-Immune System	Cellular Processes	0.005903	0.03396	0.05423	0.009697	0.04278	0.0709	0.004796	0.03044	0.0525	0.01204	0.04893	0.08898
-Endocrine System	Cellular Processes	0.001592	0.006168	0.03418	0.001662	0.00654	0.05255	0.001562	0.005837	0.02536	0.001994	0.007392	0.05713
-Circulatory System	Cellular Processes	0.01695	0.02637	0.0477	0.01654	0.02755	0.06473	0.02078	0.02952	0.0375	0.0208	0.03232	0.08792
-Digestive System	Cellular Processes	0.0002762	0.0006753	0.01233	0.0003375	0.001014	0.0191	0.0002317	0.0005964	0.005798	0.0001927	0.001072	0.01748
-Excretory System	Cellular Processes	0.001362	0.003145	0.008391	0.001607	0.003083	0.01003	0.001149	0.002628	0.007397	0.001601	0.00327	0.01137
-Nervous System	Cellular Processes	0.0009623	0.002145	0.02635	0.001392	0.003041	0.03582	0.0006814	0.001257	0.02578	0.001185	0.003365	0.0426
-Sensory System	Cellular Processes	0	0	0.0004353	0	0	0.0005681	0	0	0.0004121	0	0	0.0006754
-Development	Cellular Processes	0.001857	0.002277	0.01217	0.00284	0.003714	0.01879	0.001497	0.001716	0.01017	0.0032	0.004306	0.02459
-Environmental Adaptation	Cellular Processes	0	0.0001946	0.0224	0	0.0002155	0.02903	0	0.0001603	0.02033	0	0.0002289	0.0324
Human Diseases	Cellular Processes	0.1669	0.2231	0.3709	0.204	0.3179	0.5963	0.1704	0.1955	0.2788	0.2392	0.3216	0.6857
-Cancers	Cellular Processes	0.004945	0.00678	0.05367	0.006521	0.01	0.0754	0.005377	0.006685	0.04365	0.008571	0.01349	0.07762
-Immune System Diseases	Cellular Processes	0.003134	0.006723	0.01381	0.003846	0.01029	0.02183	0.001901	0.004918	0.008943	0.004184	0.01139	0.02539
-Neurodegenerative Diseases	Cellular Processes	0.01907	0.03694	0.08387	0.02005	0.03358	0.1007	0.01995	0.03988	0.08179	0.02273	0.04008	0.1085
-Cardiovascular Diseases	Cellular Processes	0.03858	0.06571	0.08335	0.05421	0.09617	0.1313	0.03447	0.05123	0.05941	0.0655	0.09466	0.1463
-Metabolic Diseases	Cellular Processes	0	0	0.01913	0	0	0.03256	0	0	0.01388	0	0	0.03777
-Infectious Diseases	Cellular Processes	0.03134	0.04539	0.2009	0.03599	0.06407	0.3014	0.02883	0.04366	0.1576	0.04044	0.07394	0.4087
Not Mapped	Cellular Processes	0.3153	0.3584	0.3783	0.371	0.4667	0.4947	0.3112	0.3412	0.357	0.4132	0.5524	0.6117
-Not Mapped	Cellular Processes	0.3153	0.3584	0.3783	0.371	0.4667	0.4947	0.3112	0.3412	0.357	0.4132	0.5524	0.6117
TOTAL	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
MAPPED	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Transcription	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Translation	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-RNA Family	-Crystallins	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Environmental Information Processing	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Cellular Processes	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Crystallins	-Crystallins	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Stress Response	-Crystallins	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Vesicular Transport	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cytoskeleton	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Motility	-Crystallins	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Cell Growth and Death	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Communication	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Metabolism	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Endocrine System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Circulatory System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Digestive System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Excretory System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Nervous System	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Sensory System	-Crystallins	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Development	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Environmental Adaptation	-Crystallins	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
Human Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cancers	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Metabolic Diseases	-Crystallins	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Infectious Diseases	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Not Mapped	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-Crystallins	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
TOTAL	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
MAPPED	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Transcription	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Translation	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-RNA Family	-Stress Response	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Environmental Information Processing	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Cellular Processes	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Crystallins	-Stress Response	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Stress Response	-Stress Response	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Vesicular Transport	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cytoskeleton	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Motility	-Stress Response	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-Cell Growth and Death	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cell Communication	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Metabolism	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Endocrine System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Circulatory System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Digestive System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Excretory System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Nervous System	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Sensory System	-Stress Response	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN	Inf	NaN	NaN
-Development	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Environmental Adaptation	-Stress Response	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
Human Diseases	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cancers	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Immune System Diseases	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Neurodegenerative Diseases	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Metabolic Diseases	-Stress Response	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN	Inf	Inf	NaN
-Infectious Diseases	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Not Mapped	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-Stress Response	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
TOTAL	-Vesicular Transport	71.13	90.66	99.92	74.49	113.3	127.5	61.68	73.24	84.46	65.92	109	126.3
MAPPED	-Vesicular Transport	61.87	78.86	86.91	64.98	98.86	111.2	53.34	63.33	73.03	57.06	94.32	109.3
Genetic Information Processing	-Vesicular Transport	12.15	17.54	23.43	16.25	22.69	34.44	10.5	13.61	17.5	17.62	23.69	35.91
-Transcription	-Vesicular Transport	0.8525	1.071	1.203	1.088	1.627	1.855	0.5924	0.7192	0.8169	0.9939	1.646	1.871
-Translation	-Vesicular Transport	2.939	3.783	4.321	3.671	5.557	6.4	2.247	2.801	3.31	3.592	5.684	6.767
-Folding, Sorting and Degradation	-Vesicular Transport	7.28	8.795	12.18	9.2	11.55	16.56	6.182	7.321	10.27	8.439	11.52	17.32
-DNA Maintenance	-Vesicular Transport	0.6469	1.275	7.112	0.7859	1.734	11.57	0.5926	0.9886	4.517	0.7849	1.794	12.81
-RNA Family	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Vesicular Transport	1.42	4.481	6.406	3.679	6.4	12.48	1.968	3.03	4.869	4.741	6.965	13.3
-Signal Transduction	-Vesicular Transport	0.04688	0.3027	0.7169	0.05908	0.3702	0.7155	0.0414	0.2593	0.7167	0.07541	0.3492	0.6352
-Signaling Molecules and Interaction	-Vesicular Transport	1.117	4.148	6.143	3.33	6.019	12.11	1.709	2.677	4.595	4.551	6.644	12.91
Cellular Processes	-Vesicular Transport	24.3	32.18	39.09	19.94	32.74	38.69	24.46	30.19	32.88	16.03	27.74	35.31
-Crystallins	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Vesicular Transport	1	1	1	1	1	1	1	1	1	1	1	1
-Cytoskeleton	-Vesicular Transport	20.63	29.24	33.54	14.42	25.95	32.86	21.59	27.67	29.2	10.41	21.28	28.39
-Cell Motility	-Vesicular Transport	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Vesicular Transport	0.05145	0.7725	0.8772	0.05757	0.9914	1.172	0.05025	0.7118	0.8047	0.04521	0.9933	1.205
-Cell Communication	-Vesicular Transport	1.224	2.624	3.694	1.941	4.462	6.142	0.8334	1.766	2.544	1.91	4.256	5.54
Metabolism	-Vesicular Transport	5.439	8.718	10.39	6.454	11.74	13.42	4.185	7.234	7.981	5.625	10.54	13.57
-Membrane Transport	-Vesicular Transport	0.003833	0.007511	0.03113	0.003977	0.01082	0.03755	0.001177	0.005294	0.02498	0.00289	0.0104	0.02524
-Central Carbon Metabolism	-Vesicular Transport	0.8887	2.23	3.115	1.198	3.24	4.288	0.6777	1.606	2.557	1.16	3.134	3.929
-Energy Metabolism	-Vesicular Transport	0.3364	0.554	1.362	0.399	0.6648	1.595	0.2259	0.4767	1.212	0.4231	0.6467	1.389
-Biosynthesis	-Vesicular Transport	0.8193	1.205	1.604	0.9626	1.423	1.895	0.6521	0.9415	1.323	0.8734	1.367	1.948
-Other Enzymes	-Vesicular Transport	1.884	3.64	5.78	2.125	5.036	7.331	1.463	3.222	4.944	1.917	4.551	7.195
Organismal Systems	-Vesicular Transport	1.748	3.459	4.736	2.029	4.166	5.781	1.68	2.793	4.459	2.21	4.065	6.032
-Immune System	-Vesicular Transport	0.2064	0.9612	1.753	0.3193	1.217	2.492	0.1572	0.7746	1.658	0.3338	1.197	2.415
-Endocrine System	-Vesicular Transport	0.05123	0.1584	1.336	0.05439	0.144	2.199	0.04323	0.1428	0.8338	0.05327	0.141	2.064
-Circulatory System	-Vesicular Transport	0.591	0.9732	1.488	0.5945	1.066	1.87	0.6061	0.9369	1.215	0.6305	1.141	2.193
-Digestive System	-Vesicular Transport	0.009658	0.02173	0.2997	0.01294	0.02647	0.3808	0.007594	0.01657	0.1461	0.005344	0.02855	0.2802
-Excretory System	-Vesicular Transport	0.03658	0.1161	0.2476	0.03204	0.129	0.2732	0.03437	0.08521	0.2047	0.02566	0.1181	0.2533
-Nervous System	-Vesicular Transport	0.03707	0.07036	0.6613	0.04098	0.09065	0.7141	0.02864	0.03805	0.6497	0.03581	0.09476	0.683
-Sensory System	-Vesicular Transport	0	0	0.01849	0	0	0.02094	0	0	0.01732	0	0	0.02208
-Development	-Vesicular Transport	0.05534	0.0726	0.3798	0.07405	0.1189	0.5428	0.04325	0.04989	0.3046	0.06904	0.1253	0.6028
-Environmental Adaptation	-Vesicular Transport	0	0.006073	0.5758	0	0.006227	0.5881	0	0.004794	0.4973	0	0.005563	0.5195
Human Diseases	-Vesicular Transport	5.425	7.841	12.07	6.338	10.44	18.48	4.781	5.734	8.255	5.156	9.835	20.31
-Cancers	-Vesicular Transport	0.1564	0.2319	1.727	0.1494	0.3132	2.468	0.1421	0.2111	1.318	0.1502	0.3313	2.435
-Immune System Diseases	-Vesicular Transport	0.1022	0.215	0.4828	0.1011	0.3147	0.7188	0.06034	0.1386	0.2931	0.09085	0.3198	0.7041
-Neurodegenerative Diseases	-Vesicular Transport	0.6669	1.214	2.86	0.7798	1.085	3.365	0.6539	1.182	2.64	0.8213	1.31	2.982
-Cardiovascular Diseases	-Vesicular Transport	1.423	2.114	3.389	1.868	3.103	4.839	1.117	1.398	1.952	1.358	2.589	4.682
-Metabolic Diseases	-Vesicular Transport	0	0	0.8123	0	0	1.196	0	0	0.5834	0	0	1.234
-Infectious Diseases	-Vesicular Transport	0.9778	1.427	7.853	1.233	1.746	12.61	0.8621	1.415	5.184	1.293	1.872	14.77
Not Mapped	-Vesicular Transport	9.26	11.8	13.01	9.515	14.48	16.29	8.347	9.911	11.43	8.855	14.64	16.97
-Not Mapped	-Vesicular Transport	9.26	11.8	13.01	9.515	14.48	16.29	8.347	9.911	11.43	8.855	14.64	16.97
TOTAL	-Cytoskeleton	2.665	3.213	3.439	3.291	4.632	5.12	2.509	2.857	3.006	3.506	5.466	6.25
MAPPED	-Cytoskeleton	2.318	2.795	2.991	2.871	4.04	4.466	2.17	2.47	2.599	3.035	4.731	5.41
Genetic Information Processing	-Cytoskeleton	0.4154	0.6197	0.8504	0.5626	1.005	1.463	0.3729	0.52	0.6534	0.6404	1.29	1.959
-Transcription	-Cytoskeleton	0.03166	0.03867	0.04066	0.04727	0.06775	0.07294	0.02416	0.02744	0.02879	0.05153	0.08146	0.09068
-Translation	-Cytoskeleton	0.1127	0.1336	0.145	0.1624	0.2302	0.2546	0.09492	0.1041	0.1142	0.1845	0.2989	0.345
-Folding, Sorting and Degradation	-Cytoskeleton	0.2444	0.359	0.4047	0.3258	0.5634	0.6381	0.2178	0.3154	0.3516	0.3721	0.7221	0.814
-DNA Maintenance	-Cytoskeleton	0.02212	0.0449	0.2628	0.0272	0.07189	0.5113	0.02142	0.03484	0.1788	0.02852	0.08646	0.7258
-RNA Family	-Cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Cytoskeleton	0.04234	0.1892	0.2374	0.1107	0.3641	0.5284	0.06785	0.1394	0.1897	0.1867	0.4287	0.6862
-Signal Transduction	-Cytoskeleton	0.001433	0.009028	0.02197	0.001798	0.01245	0.02642	0.001459	0.008941	0.02464	0.002537	0.01511	0.03192
