Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
TOTAL	TOTAL	1	1	1	1
MAPPED	TOTAL	0.8698	0.8723	0.8647	0.8657
Genetic Information Processing	TOTAL	0.298	0.3449	0.2692	0.3723
-Transcription	TOTAL	0.01297	0.01575	0.01041	0.01614
-Translation	TOTAL	0.04628	0.05432	0.0417	0.05986
-Folding, Sorting and Degradation	TOTAL	0.1589	0.1711	0.1566	0.1765
-DNA Maintenance	TOTAL	0.07991	0.1038	0.06051	0.1198
Environmental Information Processing	TOTAL	0.07573	0.1151	0.06689	0.1222
-Signal Transduction	TOTAL	0.007662	0.007212	0.007795	0.007018
-Signaling Molecules and Interaction	TOTAL	0.06807	0.1079	0.05909	0.1152
Cellular Processes	TOTAL	0.3974	0.3111	0.4296	0.2761
-Vesicular Transport	TOTAL	0.01529	0.01255	0.01701	0.01268
-Cytoskeleton	TOTAL	0.3562	0.2679	0.3886	0.2328
-Cell Motility	TOTAL	0	0	0	0
-Cell Growth and Death	TOTAL	0.008931	0.009359	0.009657	0.00988
-Cell Communication	TOTAL	0.01699	0.02134	0.01433	0.02074
Metabolism	TOTAL	0.0879	0.09134	0.08621	0.08403
-Membrane Transport	TOTAL	4.51e-06	1.011e-05	3.612e-06	2.582e-05
-Central Carbon Metabolism	TOTAL	0.05087	0.05647	0.04781	0.05392
-Energy Metabolism	TOTAL	0.01546	0.01103	0.01826	0.01081
-Biosynthesis	TOTAL	0.01297	0.01356	0.01118	0.0142
-Other Enzymes	TOTAL	0.008596	0.01026	0.008967	0.005069
Organismal Systems	TOTAL	0.009685	0.008734	0.01169	0.009651
-Immune System	TOTAL	0.0008303	0.001046	0.0008055	0.001208
-Endocrine System	TOTAL	0.0003146	0.0003152	0.0003605	0.0004167
-Circulatory System	TOTAL	0.006867	0.005592	0.008814	0.006123
-Digestive System	TOTAL	1.27e-05	9.695e-06	1.776e-05	1.076e-05
-Excretory System	TOTAL	0.000871	0.000768	0.001018	0.0008343
-Nervous System	TOTAL	3.027e-05	3.345e-05	2.456e-05	2.797e-05
-Sensory System	TOTAL	0	0	0	0
-Development	TOTAL	0.0007584	0.0009693	0.0006484	0.001031
-Environmental Adaptation	TOTAL	0	0	0	0
Human Diseases	TOTAL	0.001021	0.001041	0.001073	0.001407
-Cancers	TOTAL	0.0003999	0.0004109	0.0004807	0.0007261
-Immune System Diseases	TOTAL	0.0003888	0.0004138	0.0003493	0.0005095
-Neurodegenerative Diseases	TOTAL	4.012e-05	5.747e-05	4.718e-05	6.216e-05
-Cardiovascular Diseases	TOTAL	0	0	0	0
-Infectious Diseases	TOTAL	0.0001922	0.0001588	0.0001962	0.0001093
Not Mapped	TOTAL	0.1302	0.1277	0.1353	0.1343
-Not Mapped	TOTAL	0.1302	0.1277	0.1353	0.1343
TOTAL	MAPPED	1.15	1.146	1.156	1.155
MAPPED	MAPPED	1	1	1	1
Genetic Information Processing	MAPPED	0.3426	0.3954	0.3113	0.43
-Transcription	MAPPED	0.01491	0.01805	0.01204	0.01865
-Translation	MAPPED	0.0532	0.06227	0.04823	0.06915
-Folding, Sorting and Degradation	MAPPED	0.1827	0.1961	0.1811	0.2039
-DNA Maintenance	MAPPED	0.09187	0.119	0.06998	0.1384
Environmental Information Processing	MAPPED	0.08707	0.132	0.07736	0.1412
-Signal Transduction	MAPPED	0.008808	0.008268	0.009015	0.008107
-Signaling Molecules and Interaction	MAPPED	0.07826	0.1237	0.06834	0.1331
Cellular Processes	MAPPED	0.4569	0.3567	0.4968	0.3189
-Vesicular Transport	MAPPED	0.01758	0.01439	0.01967	0.01465
-Cytoskeleton	MAPPED	0.4095	0.3071	0.4494	0.2689
-Cell Motility	MAPPED	0	0	0	0
-Cell Growth and Death	MAPPED	0.01027	0.01073	0.01117	0.01141
-Cell Communication	MAPPED	0.01953	0.02447	0.01657	0.02395
Metabolism	MAPPED	0.1011	0.1047	0.0997	0.09707
-Membrane Transport	MAPPED	5.185e-06	1.159e-05	4.178e-06	2.983e-05
-Central Carbon Metabolism	MAPPED	0.05848	0.06474	0.05529	0.06229
-Energy Metabolism	MAPPED	0.01777	0.01265	0.02111	0.01249
-Biosynthesis	MAPPED	0.01492	0.01555	0.01292	0.01641
-Other Enzymes	MAPPED	0.009883	0.01176	0.01037	0.005856
Organismal Systems	MAPPED	0.01113	0.01001	0.01352	0.01115
-Immune System	MAPPED	0.0009546	0.001199	0.0009316	0.001396
-Endocrine System	MAPPED	0.0003616	0.0003614	0.0004169	0.0004813
-Circulatory System	MAPPED	0.007895	0.006411	0.01019	0.007073
-Digestive System	MAPPED	1.46e-05	1.111e-05	2.054e-05	1.243e-05
-Excretory System	MAPPED	0.001001	0.0008804	0.001177	0.0009638
-Nervous System	MAPPED	3.48e-05	3.835e-05	2.841e-05	3.231e-05
-Sensory System	MAPPED	0	0	0	0
-Development	MAPPED	0.0008719	0.001111	0.0007499	0.001191
-Environmental Adaptation	MAPPED	0	0	0	0
Human Diseases	MAPPED	0.001174	0.001193	0.001241	0.001625
-Cancers	MAPPED	0.0004597	0.0004711	0.0005559	0.0008388
-Immune System Diseases	MAPPED	0.000447	0.0004744	0.000404	0.0005885
-Neurodegenerative Diseases	MAPPED	4.613e-05	6.589e-05	5.457e-05	7.18e-05
-Cardiovascular Diseases	MAPPED	0	0	0	0
-Infectious Diseases	MAPPED	0.0002209	0.000182	0.0002269	0.0001263
Not Mapped	MAPPED	0.1497	0.1464	0.1565	0.1552
-Not Mapped	MAPPED	0.1497	0.1464	0.1565	0.1552
TOTAL	Genetic Information Processing	3.355	2.899	3.715	2.686
MAPPED	Genetic Information Processing	2.919	2.529	3.212	2.325
Genetic Information Processing	Genetic Information Processing	1	1	1	1
-Transcription	Genetic Information Processing	0.04351	0.04565	0.03868	0.04337
