Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
TOTAL	TOTAL	1	1	1	1
MAPPED	TOTAL	0.8299	0.8262	0.827	0.8209
Genetic Information Processing	TOTAL	0.204	0.231	0.1946	0.244
-Transcription	TOTAL	0.01202	0.01513	0.009798	0.01585
-Translation	TOTAL	0.06028	0.07285	0.05421	0.07479
-Folding, Sorting and Degradation	TOTAL	0.1001	0.1109	0.09838	0.1135
-DNA Maintenance	TOTAL	0.02744	0.03176	0.02252	0.03273
-RNA Family	TOTAL	0	0	0	0
Environmental Information Processing	TOTAL	0.02621	0.03132	0.02484	0.03392
-Signal Transduction	TOTAL	0.003802	0.003921	0.004472	0.003754
-Signaling Molecules and Interaction	TOTAL	0.02157	0.02483	0.02218	0.02853
Cellular Processes	TOTAL	0.3024	0.2154	0.3457	0.1785
-Crystallins	TOTAL	0	0	0	0
-Stress Response	TOTAL	0	0	0	0
-Vesicular Transport	TOTAL	0.007905	0.00659	0.01003	0.00676
-Cytoskeleton	TOTAL	0.2679	0.1767	0.3117	0.1409
-Cell Motility	TOTAL	0	0	0	0
-Cell Growth and Death	TOTAL	0.01522	0.01653	0.01653	0.01694
-Cell Communication	TOTAL	0.01306	0.01529	0.01123	0.01447
Metabolism	TOTAL	0.1114	0.1193	0.1075	0.1163
-Membrane Transport	TOTAL	0.0001942	0.0001776	0.0001732	0.0001018
-Central Carbon Metabolism	TOTAL	0.02673	0.03029	0.02406	0.02951
-Energy Metabolism	TOTAL	0.007576	0.006566	0.008354	0.006386
-Biosynthesis	TOTAL	0.01488	0.01545	0.01427	0.01548
-Other Enzymes	TOTAL	0.04462	0.04957	0.04457	0.05146
Organismal Systems	TOTAL	0.03125	0.03307	0.03127	0.03563
-Immune System	TOTAL	0.0106	0.01139	0.01123	0.01169
-Endocrine System	TOTAL	0.001568	0.001538	0.001767	0.001759
-Circulatory System	TOTAL	0.009517	0.00873	0.01086	0.009444
-Digestive System	TOTAL	0.0002329	0.0002327	0.0002247	0.0002442
-Excretory System	TOTAL	0.001294	0.0009731	0.001813	0.0009175
-Nervous System	TOTAL	0.0007126	0.0008419	0.0007206	0.0008109
-Sensory System	TOTAL	0	0	0	0
-Development	TOTAL	0.0007463	0.0009568	0.0006338	0.001002
-Environmental Adaptation	TOTAL	7.598e-05	6.508e-05	6.726e-05	5.712e-05
Human Diseases	TOTAL	0.07789	0.08594	0.0717	0.08967
-Cancers	TOTAL	0.001633	0.001679	0.00174	0.002017
-Immune System Diseases	TOTAL	0.007549	0.009206	0.005948	0.008505
-Neurodegenerative Diseases	TOTAL	0.01833	0.01354	0.01875	0.01203
