Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
TOTAL	TOTAL	1	1	1	1
MAPPED	TOTAL	0.8698	0.8723	0.8647	0.8657
Genetic Information Processing	TOTAL	0.2522	0.2972	0.2283	0.3204
-Transcription	TOTAL	0.0121	0.0147	0.009819	0.01511
-Translation	TOTAL	0.04322	0.05019	0.03907	0.05523
-Folding, Sorting and Degradation	TOTAL	0.1231	0.1312	0.1229	0.1391
-DNA Maintenance	TOTAL	0.07858	0.1016	0.06023	0.1179
-RNA Family	TOTAL	0	0	0	0
Environmental Information Processing	TOTAL	0.07389	0.1123	0.06727	0.1192
-Signal Transduction	TOTAL	0.007317	0.006147	0.009348	0.00583
-Signaling Molecules and Interaction	TOTAL	0.06775	0.1068	0.06235	0.1141
Cellular Processes	TOTAL	0.4098	0.3428	0.4332	0.3152
-Crystallins	TOTAL	0	0	0	0
-Stress Response	TOTAL	0	0	0	0
-Vesicular Transport	TOTAL	0.01363	0.01136	0.0154	0.01178
-Cytoskeleton	TOTAL	0.3609	0.2855	0.3875	0.2654
-Cell Motility	TOTAL	0	0	0	0
-Cell Growth and Death	TOTAL	0.009171	0.009555	0.009891	0.009959
-Cell Communication	TOTAL	0.03872	0.05031	0.02934	0.04579
Metabolism	TOTAL	0.1084	0.1144	0.1041	0.1072
-Membrane Transport	TOTAL	0.0003415	0.0003313	0.0003259	0.0002231
-Central Carbon Metabolism	TOTAL	0.03697	0.04132	0.03556	0.03939
-Energy Metabolism	TOTAL	0.01585	0.01472	0.01581	0.01447
-Biosynthesis	TOTAL	0.01769	0.01672	0.01677	0.01691
-Other Enzymes	TOTAL	0.06545	0.06899	0.06527	0.06369
Organismal Systems	TOTAL	0.05537	0.05593	0.0516	0.06014
-Immune System	TOTAL	0.01871	0.02041	0.02021	0.01996
-Endocrine System	TOTAL	0.014	0.01802	0.01088	0.01706
-Circulatory System	TOTAL	0.01857	0.01844	0.01585	0.02133
-Digestive System	TOTAL	0.004214	0.005112	0.002249	0.00425
-Excretory System	TOTAL	0.00294	0.002633	0.002848	0.00254
-Nervous System	TOTAL	0.00907	0.009355	0.009868	0.009839
-Sensory System	TOTAL	0.0001502	0.0001472	0.000156	0.0001484
-Development	TOTAL	0.004222	0.004816	0.003882	0.005337
-Environmental Adaptation	TOTAL	0.008095	0.007895	0.008021	0.00788
Human Diseases	TOTAL	0.1299	0.1566	0.1077	0.1679
-Cancers	TOTAL	0.02216	0.02596	0.01898	0.02524
-Immune System Diseases	TOTAL	0.005409	0.00653	0.003674	0.006743
-Neurodegenerative Diseases	TOTAL	0.03138	0.02964	0.03443	0.02683
-Cardiovascular Diseases	TOTAL	0.02982	0.03531	0.02547	0.03303
-Metabolic Diseases	TOTAL	0.006599	0.008405	0.005256	0.008296
-Infectious Diseases	TOTAL	0.08232	0.1033	0.06763	0.122
Not Mapped	TOTAL	0.1302	0.1277	0.1353	0.1343
-Not Mapped	TOTAL	0.1302	0.1277	0.1353	0.1343
TOTAL	MAPPED	1.15	1.146	1.156	1.155
MAPPED	MAPPED	1	1	1	1
Genetic Information Processing	MAPPED	0.29	0.3407	0.264	0.3701
-Transcription	MAPPED	0.01391	0.01686	0.01136	0.01745
-Translation	MAPPED	0.04969	0.05754	0.04518	0.0638
-Folding, Sorting and Degradation	MAPPED	0.1416	0.1504	0.1422	0.1607
-DNA Maintenance	MAPPED	0.09034	0.1165	0.06966	0.1362
-RNA Family	MAPPED	0	0	0	0
Environmental Information Processing	MAPPED	0.08495	0.1288	0.0778	0.1377
-Signal Transduction	MAPPED	0.008412	0.007047	0.01081	0.006735
-Signaling Molecules and Interaction	MAPPED	0.07789	0.1225	0.07211	0.1318
Cellular Processes	MAPPED	0.4711	0.393	0.501	0.3641
-Crystallins	MAPPED	0	0	0	0
-Stress Response	MAPPED	0	0	0	0
-Vesicular Transport	MAPPED	0.01567	0.01302	0.0178	0.0136
-Cytoskeleton	MAPPED	0.4149	0.3273	0.4481	0.3066
-Cell Motility	MAPPED	0	0	0	0
-Cell Growth and Death	MAPPED	0.01054	0.01095	0.01144	0.0115
-Cell Communication	MAPPED	0.04451	0.05767	0.03393	0.05289
Metabolism	MAPPED	0.1246	0.1311	0.1204	0.1238
-Membrane Transport	MAPPED	0.0003926	0.0003798	0.0003769	0.0002577
-Central Carbon Metabolism	MAPPED	0.04251	0.04737	0.04113	0.0455
-Energy Metabolism	MAPPED	0.01823	0.01687	0.01829	0.01672
-Biosynthesis	MAPPED	0.02034	0.01917	0.01939	0.01953
-Other Enzymes	MAPPED	0.07525	0.0791	0.07549	0.07358
Organismal Systems	MAPPED	0.06366	0.06412	0.05967	0.06947
-Immune System	MAPPED	0.02151	0.0234	0.02337	0.02306
-Endocrine System	MAPPED	0.0161	0.02065	0.01258	0.01971
-Circulatory System	MAPPED	0.02135	0.02114	0.01833	0.02464
-Digestive System	MAPPED	0.004844	0.005861	0.002601	0.00491
-Excretory System	MAPPED	0.00338	0.003018	0.003293	0.002934
-Nervous System	MAPPED	0.01043	0.01072	0.01141	0.01137
-Sensory System	MAPPED	0.0001726	0.0001687	0.0001804	0.0001714
-Development	MAPPED	0.004854	0.005521	0.004489	0.006165
-Environmental Adaptation	MAPPED	0.009307	0.009051	0.009276	0.009103
Human Diseases	MAPPED	0.1494	0.1795	0.1245	0.1939
-Cancers	MAPPED	0.02548	0.02976	0.02195	0.02915
-Immune System Diseases	MAPPED	0.006218	0.007487	0.004249	0.007789
-Neurodegenerative Diseases	MAPPED	0.03607	0.03398	0.03982	0.03099
-Cardiovascular Diseases	MAPPED	0.03429	0.04048	0.02945	0.03815
-Metabolic Diseases	MAPPED	0.007586	0.009636	0.006078	0.009583
-Infectious Diseases	MAPPED	0.09464	0.1184	0.07822	0.141
