Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
TOTAL	TOTAL	1	1	1	1
MAPPED	TOTAL	0.8299	0.8262	0.827	0.8209
Genetic Information Processing	TOTAL	0.1714	0.1939	0.166	0.2073
-Transcription	TOTAL	0.01163	0.01481	0.009462	0.01551
-Translation	TOTAL	0.05918	0.07092	0.05288	0.07226
-Folding, Sorting and Degradation	TOTAL	0.08496	0.09182	0.0798	0.09261
-DNA Maintenance	TOTAL	0.01141	0.01173	0.0118	0.01197
-RNA Family	TOTAL	0	0	0	0
Environmental Information Processing	TOTAL	0.0176	0.01908	0.02153	0.02155
-Signal Transduction	TOTAL	0.0005516	0.0006744	0.0005277	0.0009097
-Signaling Molecules and Interaction	TOTAL	0.0127	0.0141	0.01592	0.01753
Cellular Processes	TOTAL	0.2912	0.2018	0.3338	0.1638
-Crystallins	TOTAL	0	0	0	0
-Stress Response	TOTAL	0	0	0	0
-Vesicular Transport	TOTAL	0.006325	0.005277	0.007087	0.005069
-Cytoskeleton	TOTAL	0.2596	0.1687	0.3021	0.1324
-Cell Motility	TOTAL	0	0	0	0
-Cell Growth and Death	TOTAL	0.0008621	0.0008136	0.001161	0.000746
-Cell Communication	TOTAL	0.006046	0.008063	0.004954	0.007822
Metabolism	TOTAL	0.08341	0.08811	0.07764	0.08714
-Membrane Transport	TOTAL	4.811e-05	4.988e-05	2.384e-05	4.329e-05
-Central Carbon Metabolism	TOTAL	0.01145	0.01202	0.0105	0.01255
-Energy Metabolism	TOTAL	0.003381	0.003987	0.002802	0.004126
-Biosynthesis	TOTAL	0.01171	0.01209	0.0105	0.01125
-Other Enzymes	TOTAL	0.03653	0.03763	0.03464	0.03841
Organismal Systems	TOTAL	0.02643	0.02667	0.02538	0.03
-Immune System	TOTAL	0.002335	0.002819	0.002102	0.003023
-Endocrine System	TOTAL	0.001103	0.001124	0.001277	0.001238
-Circulatory System	TOTAL	0.004122	0.003528	0.005104	0.003793
-Digestive System	TOTAL	0.0001005	0.0001071	0.0001065	9.648e-05
-Excretory System	TOTAL	0.0005483	0.0004801	0.0004175	0.0004029
-Nervous System	TOTAL	0.0004302	0.0004885	0.0003793	0.0003989
-Sensory System	TOTAL	0	0	0	0
-Development	TOTAL	0.0007305	0.0009343	0.0006239	0.0009903
-Environmental Adaptation	TOTAL	0	0	0	0
Human Diseases	TOTAL	0.06755	0.07196	0.06192	0.0689
-Cancers	TOTAL	0.0008918	0.0008428	0.0009804	0.001185
-Immune System Diseases	TOTAL	0.003217	0.004224	0.002373	0.004166
-Neurodegenerative Diseases	TOTAL	0.009189	0.007597	0.0103	0.007911
