Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8299	0.8299	0.8299	0.8262	0.8262	0.8262	0.827	0.827	0.827	0.8209	0.8209	0.8209
Genetic Information Processing	TOTAL	0.1714	0.204	0.291	0.1939	0.231	0.3572	0.166	0.1946	0.2519	0.2073	0.244	0.3856
-Transcription	TOTAL	0.01163	0.01202	0.01239	0.01481	0.01513	0.01571	0.009462	0.009798	0.01026	0.01551	0.01585	0.01654
-Translation	TOTAL	0.05918	0.06028	0.06116	0.07092	0.07285	0.07496	0.05288	0.05421	0.0554	0.07226	0.07479	0.0846
-Folding, Sorting and Degradation	TOTAL	0.08496	0.1001	0.1164	0.09182	0.1109	0.1294	0.0798	0.09838	0.1152	0.09261	0.1135	0.1362
-DNA Maintenance	TOTAL	0.01141	0.02744	0.1032	0.01173	0.03176	0.1379	0.0118	0.02252	0.07717	0.01197	0.03273	0.1562
-RNA Family	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.0176	0.02621	0.03422	0.01908	0.03132	0.03924	0.02153	0.02484	0.03809	0.02155	0.03392	0.04029
-Signal Transduction	TOTAL	0.0005516	0.003802	0.01152	0.0006744	0.003921	0.00934	0.0005277	0.004472	0.01558	0.0009097	0.003754	0.008243
-Signaling Molecules and Interaction	TOTAL	0.0127	0.02157	0.02959	0.0141	0.02483	0.03579	0.01592	0.02218	0.02953	0.01753	0.02853	0.03938
Cellular Processes	TOTAL	0.2912	0.3024	0.3759	0.2018	0.2154	0.3165	0.3338	0.3457	0.4006	0.1638	0.1785	0.296
-Crystallins	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0
-Stress Response	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0
-Vesicular Transport	TOTAL	0.006325	0.007905	0.01247	0.005277	0.00659	0.01122	0.007087	0.01003	0.01323	0.005069	0.00676	0.01121
-Cytoskeleton	TOTAL	0.2596	0.2679	0.3386	0.1687	0.1767	0.2773	0.3021	0.3117	0.3611	0.1324	0.1409	0.2569
-Cell Motility	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.0008621	0.01522	0.01568	0.0008136	0.01653	0.0171	0.001161	0.01653	0.01684	0.000746	0.01694	0.01748
-Cell Communication	TOTAL	0.006046	0.01306	0.01568	0.008063	0.01529	0.01913	0.004954	0.01123	0.01426	0.007822	0.01447	0.01746
Metabolism	TOTAL	0.08341	0.1114	0.1238	0.08811	0.1193	0.1357	0.07764	0.1075	0.1205	0.08714	0.1163	0.1311
-Membrane Transport	TOTAL	4.811e-05	0.0001942	0.0003778	4.988e-05	0.0001776	0.0004193	2.384e-05	0.0001732	0.0003539	4.329e-05	0.0001018	0.000337
-Central Carbon Metabolism	TOTAL	0.01145	0.02673	0.04392	0.01202	0.03029	0.05087	0.0105	0.02406	0.04217	0.01255	0.02951	0.04735
-Energy Metabolism	TOTAL	0.003381	0.007576	0.01415	0.003987	0.006566	0.01344	0.002802	0.008354	0.01391	0.004126	0.006386	0.01304
