Numerator	Denominator	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
TOTAL	TOTAL	1	1	1	1
MAPPED	TOTAL	0.8299	0.8262	0.827	0.8209
Genetic Information Processing	TOTAL	0.3385	0.4069	0.3007	0.437
-Transcription	TOTAL	0.01357	0.01722	0.01123	0.01807
-Translation	TOTAL	0.06311	0.07746	0.05685	0.08724
-Folding, Sorting and Degradation	TOTAL	0.1537	0.1672	0.1531	0.1691
-DNA Maintenance	TOTAL	0.1081	0.145	0.07947	0.1626
Environmental Information Processing	TOTAL	0.03105	0.03827	0.03112	0.03974
-Signal Transduction	TOTAL	0.006834	0.006987	0.007705	0.006731
-Signaling Molecules and Interaction	TOTAL	0.02421	0.03128	0.02342	0.03301
Cellular Processes	TOTAL	0.3504	0.2672	0.3875	0.2343
-Vesicular Transport	TOTAL	0.01391	0.01225	0.01527	0.01227
-Cytoskeleton	TOTAL	0.3143	0.2296	0.3496	0.1964
-Cell Motility	TOTAL	0	0	0	0
-Cell Growth and Death	TOTAL	0.01552	0.01692	0.01653	0.01743
-Cell Communication	TOTAL	0.006659	0.008439	0.006012	0.00823
Metabolism	TOTAL	0.1002	0.1041	0.09688	0.09902
-Membrane Transport	TOTAL	1.134e-05	2.655e-05	8.878e-06	6.643e-05
-Central Carbon Metabolism	TOTAL	0.06098	0.06841	0.05799	0.06394
-Energy Metabolism	TOTAL	0.01754	0.01298	0.02011	0.01264
-Biosynthesis	TOTAL	0.01598	0.0167	0.0144	0.01628
-Other Enzymes	TOTAL	0.005723	0.006003	0.004356	0.00609
Organismal Systems	TOTAL	0.008621	0.008536	0.009803	0.009367
-Immune System	TOTAL	0.001183	0.001606	0.001079	0.00184
-Endocrine System	TOTAL	0.0008479	0.0008815	0.0009818	0.001048
-Circulatory System	TOTAL	0.003936	0.003334	0.004922	0.003576
-Digestive System	TOTAL	1.815e-05	1.853e-05	2.296e-05	3.374e-05
-Excretory System	TOTAL	0.001884	0.001735	0.00215	0.001852
-Nervous System	TOTAL	2.497e-05	3.148e-05	2.368e-05	2.642e-05
-Sensory System	TOTAL	0	0	0	0
-Development	TOTAL	0.0007271	0.0009305	0.0006239	0.0009903
-Environmental Adaptation	TOTAL	0	0	0	0
Human Diseases	TOTAL	0.001052	0.001133	0.001078	0.001503
-Cancers	TOTAL	0.0004183	0.0004329	0.0004944	0.0007486
-Immune System Diseases	TOTAL	0.000419	0.00047	0.0003702	0.0005704
-Neurodegenerative Diseases	TOTAL	5.472e-05	8.459e-05	6.751e-05	9.222e-05
-Cardiovascular Diseases	TOTAL	0	0	0	0
