Category	hsa Krizhanovsky 2013 Normal	hsa Krizhanovsky 2013 Senescent	hsa Krizhanovsky 2013 Normal a	hsa Krizhanovsky 2013 Senescent a
TOTAL	1	1	1	1
MAPPED	0.86981113	0.87227098	0.86468509	0.86566047
Genetic Information Processing	0.29803272	0.34490761	0.26920644	0.37227436
-Transcription	0.012968719	0.015745122	0.010413188	0.016144634
--RNA polymerase	3.7363701e-05	3.8082597e-05	4.2419729e-05	2.4584025e-05
--Basal transcription factors	5.1237362e-05	4.0530559e-05	1.8183614e-05	4.7640602e-05
--Transcription factors	0.0013105432	0.0012644218	0.0012402933	0.0011396776
--Spliceosome	0.011569574	0.014402087	0.0091122913	0.014932732
-Translation	0.046276782	0.05431521	0.04170176	0.059864749
--Ribosome	0.016406221	0.018636712	0.015253071	0.019417236
--Translation factors	0.019081568	0.023440667	0.015836128	0.025054339
--tRNA loading	0.0018407741	0.0019897851	0.0013188918	0.0016635173
--RNA transport	0.0046278642	0.006473839	0.0041290358	0.0091096858
--mRNA surveillance pathway	0.0029083282	0.0026156992	0.0030480621	0.0026623209
--Ribosome biogenesis in eukaryotes	0.00015110681	0.00014542477	0.00012712397	0.00015427398
--Ribosome biogenesis	0.0012609198	0.0010130824	0.0019894477	0.0018033754
-Folding, Sorting and Degradation	0.15887393	0.17105416	0.15657981	0.17646907
--Protease inhibitors	0.00014666042	0.00019012631	0.0001485293	0.00014962411
--Chaperones and folding catalysts	0.12160771	0.1332746	0.11867337	0.1391066
--Protein export	0.00038268863	0.00036603567	0.00036678932	0.00026190588
--Protein processing in endoplasmic reticulum	0.012188084	0.011562887	0.013326357	0.011144898
--SNARE interactions in vesicular transport	6.907697e-05	4.6961982e-05	7.5221308e-05	3.2593435e-05
--SNAREs	1.5836742e-05	1.0449545e-05	1.2701617e-05	8.9514752e-06
--Ubiquitin mediated proteolysis	0.0011777438	0.0014893071	0.00090910306	0.0029673513
--Ubiquitin labeling	0.0090437457	0.0078330308	0.0083376314	0.0072393872
--Sulfur relay system	2.9577388e-05	2.6527161e-05	1.5339552e-05	2.9376706e-05
--Proteasome	0.0050733694	0.0052262062	0.0055095082	0.0053856725
--Peptidases	0.0034500166	0.0030049169	0.0039150361	0.0028315699
--RNA degradation	0.0056894195	0.0080231082	0.005290229	0.0073111367
-DNA Maintenance	0.07991329	0.10379312	0.060511681	0.11979591
--DNA replication	0.00014362396	0.00012790232	0.00013963606	0.00011308923
--DNA replication complex	0.00022199603	0.00026004687	7.9006984e-05	0.00015111936
--DNA replication control	7.8180001e-05	0.00012275325	5.8216416e-05	6.2348382e-05
--Chromosome-related	0.078039394	0.10163679	0.059472427	0.11841194
--Base excision repair	1.721834e-05	2.0404828e-05	2.0184159e-05	2.0012183e-05
--Nucleotide excision repair	3.3641601e-06	3.7780814e-06	3.4074757e-06	5.2601302e-06
--Mismatch repair	0	0	0	0
--Homologous recombination	0	0	0	0
--Non-homologous end-joining	0.00090423321	0.0011296113	0.00039769317	0.0008233978
--DNA repair and recombination proteins	0.00050528034	0.0004918372	0.00034111011	0.00020874183
Environmental Information Processing	0.075733339	0.11511261	0.066889657	0.12222212
-Signal Transduction	0.0076617007	0.007211694	0.0077954736	0.0070179284
--Ras signaling pathway	0	0	0	0
--Rap1 signaling pathway	0	0	0	0
--Hippo signaling pathway	0	0	0	0
--NF-kappa B signaling pathway	0	0	0	0
--TNF signaling pathway	0	0	0	0
--HIF-1 signaling pathway	0	0	0	0
--PI3K-Akt signaling pathway	0	0	0	0
--FoxO signaling pathway	0	0	0	0
--Other signaling pathways	0	0	0	0
--Two-component system	0.00017532362	0.00022385001	0.00018366879	0.00021803112
--MAPK signaling pathway	0.0008965235	0.00082445831	0.00095794257	0.00081691434
--ErbB signaling pathway	0.0021093829	0.001647623	0.0021477166	0.0015236553
--Wnt signaling pathway	0.00013580512	0.00019466539	9.1726204e-05	0.00020072813
