Category	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
TOTAL	1	1	1	1	1	1	1	1	1	1	1
MAPPED	0.82095269	0.8331953	0.82184333	0.82215521	0.81042521	0.82290405	0.82138414	0.82590698	0.81530365	0.80487528	0.80462415
Genetic Information Processing	0.45546635	0.44640244	0.43416681	0.46713765	0.37227812	0.3567161	0.49566633	0.42681096	0.50058038	0.41683096	0.48045042
-Transcription	0.054145355	0.058894991	0.045243941	0.049450816	0.04310015	0.033411957	0.060807447	0.035482962	0.058332718	0.045387935	0.046203802
--RNA polymerase	0.0010329007	0.0008706585	0.0011987694	0.00092850738	0.00086496303	0.00055562234	0.0014395554	0.00084427033	0.0016395951	0.00097501785	0.0013117505
--Basal transcription factors	0.0010680667	0.0010767995	0.00098721804	0.001878461	0.0011365176	0.00079739722	0.00135307	0.00093793097	0.0012683561	0.0011712792	0.0012452312
--Transcription factors	0.0056761746	0.0067824379	0.0050597392	0.0054938659	0.0056249181	0.0044361842	0.0052508989	0.0036270559	0.0065438271	0.0045567999	0.0053105532
--Spliceosome	0.046368213	0.050165095	0.037998215	0.041149982	0.035473751	0.027622754	0.052763923	0.030073705	0.04888094	0.038684838	0.038336267
-Translation	0.16389628	0.1244206	0.14981473	0.16099104	0.13244485	0.11463953	0.16823172	0.13762981	0.17346864	0.1348457	0.17384548
--Ribosome	0.075641167	0.052709302	0.066353633	0.072592352	0.064273394	0.050890347	0.079048245	0.059953809	0.077836655	0.057245995	0.07575016
--Translation factors	0.039346032	0.026085586	0.03801226	0.04409047	0.032572376	0.029257558	0.040654689	0.036408423	0.042328133	0.028339038	0.046344878
--tRNA loading	0.014181138	0.014959788	0.014748985	0.012926561	0.010028007	0.010834127	0.014201011	0.015279447	0.016299767	0.020393785	0.018002658
--RNA transport	0.024289672	0.018655148	0.019723649	0.020424095	0.016936481	0.014932893	0.022652478	0.016202227	0.02518227	0.018925922	0.020181037
--mRNA surveillance pathway	0.0019542934	0.0027619409	0.0024324968	0.002516573	0.0019097147	0.0020722494	0.0032147885	0.0018710614	0.0024625768	0.0019968423	0.0026864807
--Ribosome biogenesis in eukaryotes	0.0040312405	0.0046086597	0.0043645531	0.0047258575	0.003973062	0.0048670729	0.0043337206	0.0034053956	0.0042538749	0.0041716278	0.0053728003
--Ribosome biogenesis	0.0044527404	0.004640178	0.0041791537	0.0037151335	0.0027518192	0.0017852875	0.0041267895	0.0045094499	0.005105359	0.0037724925	0.0055074639
-Folding, Sorting and Degradation	0.16329949	0.1582246	0.16997736	0.17989714	0.13377834	0.15639015	0.18086633	0.19485199	0.18792492	0.16455962	0.18078574
