Category	hsa Geiger 2012 HeLa	hsa Geiger 2012 Jurkat	hsa Geiger 2012 U2OS	hsa Geiger 2012 MCF7	hsa Geiger 2012 A549	hsa Geiger 2012 GAMG	hsa Geiger 2012 HEK293	hsa Geiger 2012 HepG2	hsa Geiger 2012 K562	hsa Geiger 2012 LnCap	hsa Geiger 2012 RKO
TOTAL	1	1	1	1	1	1	1	1	1	1	1
MAPPED	0.80263559	0.82107847	0.79418005	0.80065999	0.78616024	0.78948773	0.80284392	0.80775099	0.80216304	0.78686863	0.79253552
Genetic Information Processing	0.49565467	0.4834216	0.4762195	0.50133357	0.424166	0.40224396	0.51392702	0.45810777	0.52228909	0.43937018	0.50711221
-Transcription	0.048629018	0.053521396	0.043743442	0.044223029	0.039363293	0.031400929	0.053638242	0.032813491	0.052193997	0.040600592	0.041819922
--RNA polymerase	0.00086232139	0.00078310051	0.0021514483	0.0008618827	0.0008392578	0.00056973589	0.0013278799	0.00080354483	0.0015300475	0.00082582715	0.0023075042
--Basal transcription factors	0.00069480568	0.00069235199	0.00082183176	0.0011268883	0.00066820197	0.00054605602	0.000788629	0.0005691129	0.00081547811	0.00074214821	0.00091330938
--Transcription factors	0.0053876592	0.0048083186	0.0044825808	0.0042519052	0.0052444298	0.0035037607	0.0038870829	0.0031200202	0.0049397626	0.0032100987	0.0053752176
--Spliceosome	0.041684232	0.047237625	0.036287581	0.037982353	0.032611403	0.026781377	0.04763465	0.028320813	0.044908709	0.035822518	0.03322389
-Translation	0.21159809	0.1499681	0.19833091	0.20474291	0.18344225	0.15527477	0.22077852	0.17494956	0.21710489	0.16359358	0.20767869
--Ribosome	0.15106675	0.10186388	0.13899875	0.14603992	0.1328536	0.1084438	0.1574323	0.12102414	0.1513223	0.11298056	0.14279221
--Translation factors	0.030142587	0.019792354	0.029875716	0.03180974	0.02616454	0.024355479	0.031534633	0.028310811	0.03320144	0.021900961	0.034209936
--tRNA loading	0.0063964579	0.0067558871	0.0070601657	0.0062268821	0.0046648121	0.0054098403	0.006531395	0.0071485498	0.0072613765	0.0092617797	0.008142489
--RNA transport	0.017866846	0.014251325	0.016220431	0.014823934	0.014583085	0.012556012	0.018417848	0.012815593	0.018390332	0.013374821	0.014593398
--mRNA surveillance pathway	0.0012115908	0.0018570125	0.0016216329	0.0016637918	0.0012765403	0.0014819833	0.0022441152	0.0012599084	0.0016009805	0.0014135393	0.0017291024
--Ribosome biogenesis in eukaryotes	0.002515605	0.0030760007	0.0022843977	0.0021577546	0.002369461	0.0020219768	0.0024425336	0.001977964	0.002657778	0.0026903262	0.0033415561
--Ribosome biogenesis	0.0023982615	0.0023716388	0.0022698203	0.0020208823	0.001530215	0.0010056734	0.002175695	0.0024125952	0.0026706809	0.001971594	0.00287
-Folding, Sorting and Degradation	0.13259206	0.12650967	0.14529422	0.14723282	0.11298834	0.1378599	0.142781	0.15807425	0.15284276	0.1338673	0.14255438
--Protease inhibitors	0.00075841887	2.4318004e-05	0.00017880189	0.00030995021	0.00043497147	0.00058656858	0.00018873533	0.00056846747	0.00085757508	0.00044440101	0.00039140913
--Chaperones and folding catalysts	0.073451993	0.062755394	0.076057167	0.07781704	0.057095354	0.06408243	0.073717861	0.085242391	0.078136489	0.065101398	0.074169292
--Protein export	0.0054356112	0.0053871508	0.0053753152	0.006451509	0.0040530465	0.0053631543	0.0049640247	0.0060448504	0.0056406598	0.005630182	0.0041686883
--Protein processing in endoplasmic reticulum	0.012625805	0.010599687	0.01365547	0.013304754	0.011792997	0.016386608	0.011232947	0.017643372	0.011572151	0.013356334	0.012304404
--SNARE interactions in vesicular transport	0.0014797909	0.0010481565	0.0015137671	0.0021016729	0.0012753415	0.0019615377	0.0013079002	0.0012333333	0.0014128242	0.0018195857	0.0011393273
--SNAREs	2.0177532e-05	5.4560123e-05	5.0557009e-05	6.9385226e-05	6.2927417e-05	0.00013178888	0.00011203719	9.2401638e-05	5.1205468e-05	0.00016716821	5.1277239e-05
--Ubiquitin mediated proteolysis	0.0061145395	0.0062222437	0.0079203793	0.0069623798	0.0059377118	0.0072948138	0.008851446	0.0058544129	0.010690056	0.0058321428	0.0068601369
--Ubiquitin labeling	0.0061888473	0.0077326063	0.0066161833	0.0075096347	0.0073126905	0.009074568	0.0098879303	0.0059170344	0.0080270057	0.0070805561	0.0080034191
--Sulfur relay system	0.00034898551	0.0003558203	0.00034398823	0.00025671108	0.00043432148	0.00028113051	0.00038478029	0.00057099336	0.00029133011	0.00075653145	0.00041096813
--Proteasome	0.012780147	0.016258442	0.01591905	0.017112085	0.010304174	0.014474164	0.016892763	0.015519963	0.0193387	0.010908822	0.015571062
--Peptidases	0.0066132609	0.0081514778	0.009613963	0.0092800501	0.0076908363	0.010808431	0.0079822742	0.012985252	0.0082067258	0.016374332	0.010855551
--RNA degradation	0.0067744783	0.0079198097	0.00804958	0.0060576495	0.0065939663	0.0074147092	0.0072582998	0.0064017774	0.0086180416	0.0063958452	0.0086288435
-DNA Maintenance	0.1028355	0.15342244	0.088850928	0.10513481	0.08837212	0.077708357	0.096729257	0.092270469	0.10014744	0.10130871	0.11505921
--DNA replication	0.0015930442	0.0015156889	0.00079324037	0.00102448	0.0010088863	0.0011179473	0.0011565263	0.00034871349	0.0014526161	0.0012411204	0.0012022609
--DNA replication complex	0.0036326642	0.006986271	0.0037367764	0.0043556141	0.0036086924	0.0022297131	0.0059394437	0.001281852	0.0047425144	0.0018725207	0.0027732063
--DNA replication control	0.0027221598	0.0029459221	0.0028917452	0.00277043	0.0021333819	0.0013208062	0.0038504225	0.0013321349	0.0035032236	0.002474343	0.0018664026
--Chromosome-related	0.090410966	0.1356803	0.075616514	0.091886408	0.077155219	0.069289592	0.08025006	0.083982063	0.085573727	0.09009323	0.10302048
--Base excision repair	0.0010030431	0.0011769351	0.00086544071	0.00094750246	0.0011300718	0.00070825887	0.0013796695	0.0016749438	0.00086861788	0.0020628027	0.0017201365
--Nucleotide excision repair	6.7117313e-05	0.00011233022	8.1093132e-05	6.9758854e-05	8.8512951e-05	9.2612663e-05	0.00013774655	5.9444844e-05	0.00011442234	0.00011225498	6.2381269e-05
--Mismatch repair	0.00021585063	3.6833964e-05	0.00031029149	0.00028026792	0.00017374212	0.0001130322	0.00028078187	8.0808095e-05	0.00037933438	5.1711268e-05	9.5990086e-05
--Homologous recombination	7.2884528e-06	1.2187364e-05	2.2219667e-05	9.5568478e-05	1.4466387e-05	6.6022301e-06	2.1417692e-05	2.8053857e-06	2.254001e-05	1.0865529e-05	1.2966428e-05
--Non-homologous end-joining	0.0012689266	0.0025979586	0.0018468665	0.0015823817	0.0012253065	0.0010581399	0.0017709195	0.0020202772	0.0012416276	0.0018132958	0.0020818775
--DNA repair and recombination proteins	0.0019144403	0.0023580137	0.0026867407	0.0021223961	0.0018338401	0.0017716518	0.001942269	0.0014874262	0.0022488184	0.0015765675	0.0022235152
Environmental Information Processing	0.044806859	0.049803396	0.047848468	0.044441167	0.046700066	0.068464137	0.033602707	0.044386164	0.038635055	0.04466369	0.037315093
-Signal Transduction	0.019056895	0.026674715	0.018711544	0.018038446	0.019503662	0.023877661	0.018488498	0.018815744	0.019313645	0.02225703	0.016755934
--Ras signaling pathway	0	0	0	0	0	0	0	0	0	0	0
--Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0
--Hippo signaling pathway	0	0	0	0	0	0	0	0	0	0	0
--NF-kappa B signaling pathway	2.0125646e-05	3.8979609e-05	2.7712766e-05	3.9094342e-05	1.7047963e-05	7.7858224e-05	2.4332003e-05	5.5055106e-05	2.3146992e-05	3.4845424e-05	1.8031708e-05
--TNF signaling pathway	0	0	0	0	0	0	0	0	0	0	0
--HIF-1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0
--PI3K-Akt signaling pathway	1.1704151e-06	2.0824273e-07	3.2079422e-06	3.5447188e-07	2.1042344e-06	6.856747e-06	1.5523041e-06	1.376944e-06	1.2174096e-06	1.1244906e-06	3.4277633e-07
--FoxO signaling pathway	0	0	0	0	0	0	0	0	0	0	0
--Other signaling pathways	1.4966745e-05	2.7522292e-05	7.407114e-05	2.1671445e-05	1.7085235e-05	0.00011687192	2.768346e-05	1.980632e-05	1.4525607e-05	4.6550951e-05	5.2318835e-05
--Two-component system	0.00044649463	0.0014712092	0.00044279863	0.00054650029	0.00037620958	0.0016731986	0.0012564264	0.0019761876	0.0013867746	0.0021718641	0.00085919415
--MAPK signaling pathway	0.0055777554	0.012095094	0.0069391153	0.0049298504	0.0059117155	0.0078492853	0.0059906475	0.0043452661	0.0070226178	0.0041811311	0.0044777038
--ErbB signaling pathway	0.00025063712	0.00054093907	0.00042053025	0.00055606408	0.00047000606	0.00043589771	0.000372383	0.00025833131	0.00024762996	0.00028182234	0.00028398364
--Wnt signaling pathway	0.0017332642	0.0022906174	0.0016547217	0.0012835072	0.0015786379	0.0016841624	0.0022242409	0.0011949586	0.0026374802	0.0014613942	0.0016932458
--Notch signaling pathway	8.0042213e-05	8.5353463e-05	0.00013903542	0.00054322104	0.00012485288	0.00011146332	0.00010081118	5.8177014e-05	7.9662222e-05	0.00010879299	0.00011831659
--Hedgehog signaling pathway	6.3663309e-05	4.2413659e-05	0.00011354636	0.00011677275	5.4277582e-05	9.9729944e-05	5.5159962e-05	4.4097344e-05	5.8014728e-05	7.1206645e-05	5.7978306e-05
--TGF-beta signaling pathway	1.1366062e-05	2.62463e-05	2.7119327e-05	1.870794e-05	1.8840147e-05	8.7785072e-05	6.6846536e-05	1.6237447e-05	2.5614296e-05	3.0025471e-05	1.959243e-05
--VEGF signaling pathway	4.0133469e-05	1.6762072e-05	4.1717324e-05	5.016429e-05	5.6526613e-05	8.3288073e-05	1.3754199e-05	1.1444973e-05	3.055221e-05	2.4926076e-05	8.5119931e-05
