Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.9124	0.9282	0.9352	0.9412	0.9431
Genetic Information Processing	TOTAL	0.3863	0.4123	0.4446	0.4686	0.5045
-Transcription	TOTAL	0.04917	0.05113	0.04988	0.04668	0.04664
-Translation	TOTAL	0.2364	0.259	0.2952	0.3264	0.3631
-Folding, Sorting and Degradation	TOTAL	0.07573	0.07771	0.07717	0.0757	0.07619
-DNA Maintenance	TOTAL	0.02503	0.02442	0.02234	0.01984	0.01861
-RNA Family	TOTAL	9.904e-08	8.277e-08	6.212e-08	5.36e-08	4.765e-08
Environmental Information Processing	TOTAL	0.0124	0.009228	0.007488	0.006299	0.005489
-Signal Transduction	TOTAL	0.01232	0.009228	0.007488	0.006299	0.005489
-Signaling Molecules and Interaction	TOTAL	7.794e-05	2.483e-07	1.864e-07	1.608e-07	1.429e-07
Cellular Processes	TOTAL	0.01196	0.009439	0.009121	0.00883	0.008416
-Cell Structure	TOTAL	0.001229	0.002709	0.002812	0.002696	0.002162
-Crystallins	TOTAL	0	0	0	0	0
-Vesicular transport	TOTAL	1.991e-05	1.498e-05	1.528e-05	1.318e-05	1.172e-05
-Cytoskeleton	TOTAL	0.003827	0.003713	0.003369	0.003188	0.003143
-Cell Motility	TOTAL	0.004196	4.138e-06	3.106e-06	2.68e-06	2.382e-06
-Cell Growth and Death	TOTAL	0.002691	0.002998	0.002922	0.002929	0.003097
-Cellular Community	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.5018	0.4973	0.474	0.4575	0.4247
-Membrane Transport	TOTAL	0.1035	0.09372	0.08646	0.07508	0.0598
-Central Carbon Metabolism	TOTAL	0.1867	0.1695	0.1529	0.1375	0.1206
-Energy Metabolism	TOTAL	0.01939	0.02238	0.02332	0.0219	0.02006
-Biosynthesis	TOTAL	0.1409	0.1604	0.1654	0.1812	0.1822
-Other Enzymes	TOTAL	0.05138	0.05137	0.04601	0.04186	0.04199
Organismal Systems	TOTAL	0	0	0	0	0
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0
Human Diseases	TOTAL	1.981e-07	1.655e-07	1.242e-07	1.072e-07	9.529e-08
-Cancers	TOTAL	0	0	0	0	0
-Immune Diseases	TOTAL	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0
-Substance Dependence	TOTAL	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Endocrine and Metabolic Diseases	TOTAL	0	0	0	0	0
-Infectious Diseases	TOTAL	0	0	0	0	0
-Drug resistance	TOTAL	1.981e-07	1.655e-07	1.242e-07	1.072e-07	9.529e-08
Not Mapped	TOTAL	0.08757	0.07175	0.06477	0.05875	0.05688
-Not Mapped	TOTAL	0.08757	0.07175	0.06477	0.05875	0.05688
TOTAL	MAPPED	1.096	1.077	1.069	1.062	1.06
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.4234	0.4441	0.4754	0.4979	0.535
-Transcription	MAPPED	0.05389	0.05508	0.05334	0.04959	0.04945
-Translation	MAPPED	0.2591	0.279	0.3156	0.3468	0.385
-Folding, Sorting and Degradation	MAPPED	0.08299	0.08372	0.08252	0.08042	0.08079
-DNA Maintenance	MAPPED	0.02744	0.0263	0.02388	0.02107	0.01974
-RNA Family	MAPPED	1.085e-07	8.917e-08	6.642e-08	5.694e-08	5.052e-08
Environmental Information Processing	MAPPED	0.01359	0.009942	0.008006	0.006692	0.00582
-Signal Transduction	MAPPED	0.01351	0.009941	0.008006	0.006692	0.00582
-Signaling Molecules and Interaction	MAPPED	8.542e-05	2.675e-07	1.993e-07	1.708e-07	1.516e-07
Cellular Processes	MAPPED	0.01311	0.01017	0.009752	0.009381	0.008923
-Cell Structure	MAPPED	0.001347	0.002918	0.003006	0.002865	0.002292
-Crystallins	MAPPED	0	0	0	0	0
-Vesicular transport	MAPPED	2.182e-05	1.614e-05	1.634e-05	1.401e-05	1.243e-05
-Cytoskeleton	MAPPED	0.004194	0.004	0.003602	0.003387	0.003332
-Cell Motility	MAPPED	0.004598	4.458e-06	3.321e-06	2.847e-06	2.526e-06
-Cell Growth and Death	MAPPED	0.002949	0.003229	0.003124	0.003112	0.003284
-Cellular Community	MAPPED	0	0	0	0	0
Metabolism	MAPPED	0.5499	0.5358	0.5069	0.4861	0.4503
-Membrane Transport	MAPPED	0.1134	0.101	0.09244	0.07977	0.0634
-Central Carbon Metabolism	MAPPED	0.2046	0.1826	0.1635	0.146	0.1279
-Energy Metabolism	MAPPED	0.02125	0.02411	0.02494	0.02326	0.02127
-Biosynthesis	MAPPED	0.1544	0.1728	0.1768	0.1925	0.1932
-Other Enzymes	MAPPED	0.05631	0.05534	0.0492	0.04448	0.04452
Organismal Systems	MAPPED	0	0	0	0	0
-Immune System	MAPPED	0	0	0	0	0
-Endocrine System	MAPPED	0	0	0	0	0
-Circulatory System	MAPPED	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0
-Nervous System	MAPPED	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	0	0	0
Human Diseases	MAPPED	2.171e-07	1.783e-07	1.328e-07	1.139e-07	1.01e-07
-Cancers	MAPPED	0	0	0	0	0
-Immune Diseases	MAPPED	0	0	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0
-Substance Dependence	MAPPED	0	0	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0
-Endocrine and Metabolic Diseases	MAPPED	0	0	0	0	0
-Infectious Diseases	MAPPED	0	0	0	0	0
-Drug resistance	MAPPED	2.171e-07	1.783e-07	1.328e-07	1.139e-07	1.01e-07
Not Mapped	MAPPED	0.09597	0.0773	0.06925	0.06242	0.06031
-Not Mapped	MAPPED	0.09597	0.0773	0.06925	0.06242	0.06031
TOTAL	Genetic Information Processing	2.589	2.426	2.249	2.134	1.982
MAPPED	Genetic Information Processing	2.362	2.252	2.104	2.009	1.869
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1
-Transcription	Genetic Information Processing	0.1273	0.124	0.1122	0.0996	0.09244
-Translation	Genetic Information Processing	0.6119	0.6282	0.664	0.6965	0.7197
-Folding, Sorting and Degradation	Genetic Information Processing	0.196	0.1885	0.1736	0.1615	0.151
-DNA Maintenance	Genetic Information Processing	0.0648	0.05922	0.05024	0.04233	0.03689
-RNA Family	Genetic Information Processing	2.564e-07	2.008e-07	1.397e-07	1.144e-07	9.444e-08
Environmental Information Processing	Genetic Information Processing	0.03211	0.02238	0.01684	0.01344	0.01088
-Signal Transduction	Genetic Information Processing	0.0319	0.02238	0.01684	0.01344	0.01088
