Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
		10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%	10%	50%	90%
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8999	0.8999	0.8999	0.9177	0.9177	0.9177	0.9246	0.9246	0.9246	0.9299	0.9299	0.9299	0.9307	0.9307	0.9307
Genetic Information Processing	TOTAL	0.2526	0.2548	0.26	0.2694	0.2721	0.2776	0.2922	0.2955	0.3007	0.3067	0.3101	0.3152	0.3335	0.3371	0.3425
-Transcription	TOTAL	0.03987	0.04245	0.04321	0.04229	0.04514	0.04575	0.04506	0.04786	0.04831	0.04502	0.04772	0.04828	0.04654	0.0492	0.05001
-Translation	TOTAL	0.1375	0.1391	0.1401	0.1532	0.1549	0.156	0.1741	0.176	0.1773	0.1902	0.1921	0.1933	0.2144	0.2165	0.2176
-Folding, Sorting and Degradation	TOTAL	0.05597	0.05943	0.06109	0.05461	0.05837	0.06003	0.0541	0.05832	0.06017	0.05404	0.05806	0.05986	0.05552	0.05947	0.06136
-DNA Maintenance	TOTAL	0.01408	0.01466	0.01505	0.01405	0.01494	0.0153	0.01312	0.01433	0.01445	0.01198	0.01314	0.01331	0.0116	0.01292	0.01306
-RNA Family	TOTAL	1.05e-06	1.516e-06	1.866e-06	8.849e-07	1.278e-06	1.573e-06	6.76e-07	9.764e-07	1.202e-06	5.984e-07	8.643e-07	1.064e-06	5.438e-07	7.854e-07	9.667e-07
Environmental Information Processing	TOTAL	0.007635	0.008968	0.009778	0.006248	0.00664	0.008194	0.005047	0.005416	0.00668	0.00454	0.00496	0.005881	0.004115	0.004528	0.005321
-Signal Transduction	TOTAL	0.007559	0.008892	0.009702	0.006248	0.006639	0.008194	0.005047	0.005416	0.00668	0.00454	0.00496	0.005881	0.004115	0.004528	0.005321
-Signaling Molecules and Interaction	TOTAL	7.652e-05	7.652e-05	7.652e-05	2.95e-07	2.95e-07	2.95e-07	2.253e-07	2.253e-07	2.253e-07	1.995e-07	1.995e-07	1.995e-07	1.813e-07	1.813e-07	1.813e-07
Cellular Processes	TOTAL	0.01687	0.01728	0.01783	0.01013	0.01064	0.01115	0.01001	0.01066	0.01132	0.009958	0.01044	0.01114	0.009721	0.0104	0.01122
