Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.8999	0.9177	0.9246	0.9299	0.9307
Genetic Information Processing	TOTAL	0.26	0.2776	0.3007	0.3152	0.3425
-Transcription	TOTAL	0.04321	0.04575	0.04831	0.04828	0.05001
-Translation	TOTAL	0.1401	0.156	0.1773	0.1933	0.2176
-Folding, Sorting and Degradation	TOTAL	0.06109	0.06003	0.06017	0.05986	0.06136
-DNA Maintenance	TOTAL	0.01505	0.0153	0.01445	0.01331	0.01306
-RNA Family	TOTAL	1.866e-06	1.573e-06	1.202e-06	1.064e-06	9.667e-07
Environmental Information Processing	TOTAL	0.009778	0.008194	0.00668	0.005881	0.005321
-Signal Transduction	TOTAL	0.009702	0.008194	0.00668	0.005881	0.005321
-Signaling Molecules and Interaction	TOTAL	7.652e-05	2.95e-07	2.253e-07	1.995e-07	1.813e-07
Cellular Processes	TOTAL	0.01783	0.01115	0.01132	0.01114	0.01122
-Cell Structure	TOTAL	0.001407	0.003129	0.003305	0.003252	0.002665
-Crystallins	TOTAL	0	0	0	0	0
-Stress Response	TOTAL	0	0	0	0	0
-       Stress response	TOTAL	0	0	0	0	0
-Vesicular transport	TOTAL	0.0004013	0.0003227	0.0004396	0.0003296	0.0004881
-Cytoskeleton	TOTAL	0.003741	0.003768	0.003514	0.003367	0.003462
-Cell Motility	TOTAL	0.009151	5.113e-06	3.906e-06	3.457e-06	3.142e-06
-Cell Growth and Death	TOTAL	0.003433	0.003922	0.004055	0.004188	0.004601
-Cellular Community	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.6205	0.6299	0.6151	0.6061	0.5804
-Membrane Transport	TOTAL	0.1044	0.097	0.08992	0.07975	0.06801
-Central Carbon Metabolism	TOTAL	0.2484	0.2454	0.2257	0.2028	0.1805
-Energy Metabolism	TOTAL	0.02224	0.02642	0.029	0.02787	0.02566
-Biosynthesis	TOTAL	0.1607	0.1903	0.2056	0.2347	0.2408
-Other Enzymes	TOTAL	0.1027	0.09498	0.08794	0.08393	0.08015
Organismal Systems	TOTAL	0	0	0	0	0
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0
Human Diseases	TOTAL	0.006143	0.006664	0.007735	0.00727	0.007686
-Cancers	TOTAL	0.000124	8.893e-05	7.711e-05	6.826e-05	7.089e-05
-Immune Diseases	TOTAL	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0
-Substance Dependence	TOTAL	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Endocrine and Metabolic Diseases	TOTAL	0	0	0	0	0
-Infectious Diseases	TOTAL	0.001298	0.001365	0.001122	0.001006	0.0009604
-Drug resistance	TOTAL	0.005951	0.00656	0.007602	0.007181	0.007561
Not Mapped	TOTAL	0.1001	0.08226	0.0754	0.07014	0.06928
-Not Mapped	TOTAL	0.1001	0.08226	0.0754	0.07014	0.06928
TOTAL	MAPPED	1.111	1.09	1.082	1.075	1.074
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.2889	0.3025	0.3253	0.3389	0.368
-Transcription	MAPPED	0.04802	0.04985	0.05225	0.05192	0.05373
-Translation	MAPPED	0.1557	0.17	0.1917	0.2079	0.2338
-Folding, Sorting and Degradation	MAPPED	0.06789	0.06541	0.06508	0.06437	0.06593
-DNA Maintenance	MAPPED	0.01672	0.01667	0.01563	0.01431	0.01403
-RNA Family	MAPPED	2.073e-06	1.714e-06	1.3e-06	1.144e-06	1.039e-06
Environmental Information Processing	MAPPED	0.01087	0.008929	0.007225	0.006325	0.005717
-Signal Transduction	MAPPED	0.01078	0.008929	0.007225	0.006325	0.005717
-Signaling Molecules and Interaction	MAPPED	8.503e-05	3.214e-07	2.437e-07	2.145e-07	1.947e-07
Cellular Processes	MAPPED	0.01981	0.01214	0.01224	0.01198	0.01205
-Cell Structure	MAPPED	0.001563	0.003409	0.003575	0.003497	0.002863
-Crystallins	MAPPED	0	0	0	0	0
-Stress Response	MAPPED	0	0	0	0	0
-       Stress response	MAPPED	0	0	0	0	0
