Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.9124	0.9282	0.9352	0.9412	0.9431
Genetic Information Processing	TOTAL	0.3749	0.3999	0.4321	0.4569	0.4928
-Transcription	TOTAL	0.0468	0.04841	0.04731	0.04429	0.04422
-Translation	TOTAL	0.2361	0.259	0.2956	0.3268	0.3631
-Folding, Sorting and Degradation	TOTAL	0.06637	0.06751	0.06685	0.06612	0.06657
-DNA Maintenance	TOTAL	0.02651	0.02583	0.02333	0.02069	0.01967
-RNA Family	TOTAL	1.585e-06	1.324e-06	9.94e-07	8.576e-07	7.624e-07
Environmental Information Processing	TOTAL	0.01163	0.009706	0.007899	0.007016	0.006302
-Signal Transduction	TOTAL	0.01155	0.009706	0.007899	0.007016	0.006302
-Signaling Molecules and Interaction	TOTAL	7.794e-05	2.483e-07	1.864e-07	1.608e-07	1.429e-07
Cellular Processes	TOTAL	0.01412	0.01043	0.0104	0.009905	0.009811
-Cell Structure	TOTAL	0.001229	0.002709	0.002812	0.002696	0.002162
-Crystallins	TOTAL	0	0	0	0	0
-Stress Response	TOTAL	0	0	0	0	0
-       Stress response	TOTAL	0	0	0	0	0
-Vesicular transport	TOTAL	0.000629	0.0005021	0.000676	0.0004923	0.0007195
-Cytoskeleton	TOTAL	0.00396	0.003859	0.003524	0.003308	0.003279
-Cell Motility	TOTAL	0.005662	4.304e-06	3.23e-06	2.787e-06	2.478e-06
-Cell Growth and Death	TOTAL	0.002978	0.003359	0.003387	0.003406	0.003649
-Cellular Community	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.519	0.5156	0.492	0.4744	0.4415
-Membrane Transport	TOTAL	0.1008	0.09196	0.08446	0.07342	0.05992
-Central Carbon Metabolism	TOTAL	0.1782	0.1725	0.1568	0.1397	0.1198
-Energy Metabolism	TOTAL	0.02012	0.02371	0.02512	0.02362	0.02096
-Biosynthesis	TOTAL	0.1387	0.1613	0.1662	0.1813	0.1788
-Other Enzymes	TOTAL	0.09721	0.09633	0.08845	0.08127	0.07687
Organismal Systems	TOTAL	0	0	0	0	0
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0
Human Diseases	TOTAL	0.003537	0.003778	0.004308	0.003941	0.004077
-Cancers	TOTAL	8.616e-05	6.125e-05	5.218e-05	4.502e-05	4.574e-05
-Immune Diseases	TOTAL	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0
-Substance Dependence	TOTAL	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Endocrine and Metabolic Diseases	TOTAL	0	0	0	0	0
-Infectious Diseases	TOTAL	0.001785	0.001851	0.001476	0.001287	0.001192
-Drug resistance	TOTAL	0.003393	0.00371	0.004217	0.003886	0.003995
Not Mapped	TOTAL	0.08757	0.07175	0.06477	0.05875	0.05688
-Not Mapped	TOTAL	0.08757	0.07175	0.06477	0.05875	0.05688
TOTAL	MAPPED	1.096	1.077	1.069	1.062	1.06
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.4109	0.4308	0.462	0.4854	0.5225
-Transcription	MAPPED	0.0513	0.05215	0.05058	0.04706	0.04689
-Translation	MAPPED	0.2587	0.279	0.3161	0.3472	0.385
-Folding, Sorting and Degradation	MAPPED	0.07274	0.07273	0.07148	0.07025	0.07059
-DNA Maintenance	MAPPED	0.02906	0.02783	0.02495	0.02199	0.02085
-RNA Family	MAPPED	1.737e-06	1.427e-06	1.063e-06	9.111e-07	8.083e-07
Environmental Information Processing	MAPPED	0.01274	0.01046	0.008446	0.007454	0.006682
-Signal Transduction	MAPPED	0.01266	0.01046	0.008446	0.007454	0.006682
-Signaling Molecules and Interaction	MAPPED	8.542e-05	2.675e-07	1.993e-07	1.708e-07	1.516e-07
Cellular Processes	MAPPED	0.01547	0.01124	0.01112	0.01052	0.0104
-Cell Structure	MAPPED	0.001347	0.002918	0.003006	0.002865	0.002292
-Crystallins	MAPPED	0	0	0	0	0
-Stress Response	MAPPED	0	0	0	0	0
-       Stress response	MAPPED	0	0	0	0	0
-Vesicular transport	MAPPED	0.0006893	0.0005409	0.0007228	0.0005231	0.0007629
-Cytoskeleton	MAPPED	0.00434	0.004157	0.003768	0.003515	0.003476
-Cell Motility	MAPPED	0.006205	4.637e-06	3.454e-06	2.961e-06	2.627e-06
-Cell Growth and Death	MAPPED	0.003264	0.003619	0.003621	0.003618	0.003869
-Cellular Community	MAPPED	0	0	0	0	0
Metabolism	MAPPED	0.5688	0.5554	0.5261	0.504	0.4681
-Membrane Transport	MAPPED	0.1104	0.09907	0.09031	0.078	0.06353
-Central Carbon Metabolism	MAPPED	0.1953	0.1858	0.1677	0.1485	0.127
-Energy Metabolism	MAPPED	0.02205	0.02555	0.02686	0.0251	0.02222
-Biosynthesis	MAPPED	0.152	0.1738	0.1778	0.1926	0.1896
-Other Enzymes	MAPPED	0.1065	0.1038	0.09458	0.08634	0.08151
Organismal Systems	MAPPED	0	0	0	0	0
-Immune System	MAPPED	0	0	0	0	0
-Endocrine System	MAPPED	0	0	0	0	0
-Circulatory System	MAPPED	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0
-Nervous System	MAPPED	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	0	0	0
Human Diseases	MAPPED	0.003876	0.00407	0.004607	0.004186	0.004323
-Cancers	MAPPED	9.443e-05	6.598e-05	5.58e-05	4.783e-05	4.85e-05
-Immune Diseases	MAPPED	0	0	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0
-Substance Dependence	MAPPED	0	0	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0
-Endocrine and Metabolic Diseases	MAPPED	0	0	0	0	0
-Infectious Diseases	MAPPED	0.001956	0.001995	0.001579	0.001367	0.001264
-Drug resistance	MAPPED	0.003718	0.003997	0.004509	0.004128	0.004236
Not Mapped	MAPPED	0.09597	0.0773	0.06925	0.06242	0.06031
-Not Mapped	MAPPED	0.09597	0.0773	0.06925	0.06242	0.06031
TOTAL	Genetic Information Processing	2.712	2.542	2.347	2.218	2.056
MAPPED	Genetic Information Processing	2.474	2.36	2.195	2.088	1.939
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1
-Transcription	Genetic Information Processing	0.1258	0.1226	0.111	0.09824	0.09091
-Translation	Genetic Information Processing	0.6359	0.6535	0.6903	0.7211	0.7431
-Folding, Sorting and Degradation	Genetic Information Processing	0.1794	0.171	0.1564	0.1461	0.1363
-DNA Maintenance	Genetic Information Processing	0.07222	0.06589	0.05488	0.04594	0.04027
