Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.8999	0.9177	0.9246	0.9299	0.9307
Genetic Information Processing	TOTAL	0.2548	0.2721	0.2955	0.3101	0.3371
-Transcription	TOTAL	0.04245	0.04514	0.04786	0.04772	0.0492
-Translation	TOTAL	0.1391	0.1549	0.176	0.1921	0.2165
-Folding, Sorting and Degradation	TOTAL	0.05943	0.05837	0.05832	0.05806	0.05947
-DNA Maintenance	TOTAL	0.01466	0.01494	0.01433	0.01314	0.01292
-RNA Family	TOTAL	1.516e-06	1.278e-06	9.764e-07	8.643e-07	7.854e-07
Environmental Information Processing	TOTAL	0.008968	0.00664	0.005416	0.00496	0.004528
-Signal Transduction	TOTAL	0.008892	0.006639	0.005416	0.00496	0.004528
-Signaling Molecules and Interaction	TOTAL	7.652e-05	2.95e-07	2.253e-07	1.995e-07	1.813e-07
Cellular Processes	TOTAL	0.01728	0.01064	0.01066	0.01044	0.0104
-Cell Structure	TOTAL	0.001407	0.003129	0.003305	0.003252	0.002665
-Crystallins	TOTAL	0	0	0	0	0
-Stress Response	TOTAL	0	0	0	0	0
-       Stress response	TOTAL	0	0	0	0	0
-Vesicular transport	TOTAL	0.0004012	0.0003226	0.0004395	0.0003295	0.0004881
-Cytoskeleton	TOTAL	0.003558	0.003566	0.003295	0.003193	0.003261
-Cell Motility	TOTAL	0.008726	5.014e-06	3.831e-06	3.391e-06	3.081e-06
-Cell Growth and Death	TOTAL	0.003217	0.003618	0.003612	0.003667	0.003979
-Cellular Community	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.6161	0.6249	0.6098	0.6012	0.575
-Membrane Transport	TOTAL	0.1011	0.09447	0.08758	0.07785	0.06657
-Central Carbon Metabolism	TOTAL	0.2387	0.2313	0.2095	0.1873	0.1708
-Energy Metabolism	TOTAL	0.02039	0.02401	0.0262	0.02482	0.02311
-Biosynthesis	TOTAL	0.1549	0.1801	0.1956	0.226	0.2357
-Other Enzymes	TOTAL	0.09625	0.08539	0.08004	0.07551	0.07507
Organismal Systems	TOTAL	0	0	0	0	0
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0
Human Diseases	TOTAL	0.001202	0.001254	0.001016	0.0009107	0.0008678
-Cancers	TOTAL	0	0	0	0	0
-Immune Diseases	TOTAL	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0
-Substance Dependence	TOTAL	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Endocrine and Metabolic Diseases	TOTAL	0	0	0	0	0
-Infectious Diseases	TOTAL	0.0002674	0.0002467	0.0002823	0.0002483	0.0002736
-Drug resistance	TOTAL	0.0005972	0.0006011	0.0005954	0.0005359	0.000478
Not Mapped	TOTAL	0.1001	0.08226	0.0754	0.07014	0.06928
-Not Mapped	TOTAL	0.1001	0.08226	0.0754	0.07014	0.06928
TOTAL	MAPPED	1.111	1.09	1.082	1.075	1.074
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.2832	0.2965	0.3196	0.3335	0.3622
-Transcription	MAPPED	0.04717	0.04919	0.05177	0.05132	0.05287
-Translation	MAPPED	0.1546	0.1687	0.1904	0.2066	0.2326
-Folding, Sorting and Degradation	MAPPED	0.06604	0.0636	0.06308	0.06244	0.06389
-DNA Maintenance	MAPPED	0.01629	0.01627	0.0155	0.01413	0.01388
-RNA Family	MAPPED	1.685e-06	1.393e-06	1.056e-06	9.295e-07	8.439e-07
Environmental Information Processing	MAPPED	0.009965	0.007235	0.005858	0.005334	0.004865
-Signal Transduction	MAPPED	0.00988	0.007235	0.005858	0.005334	0.004865
-Signaling Molecules and Interaction	MAPPED	8.503e-05	3.214e-07	2.437e-07	2.145e-07	1.947e-07
Cellular Processes	MAPPED	0.0192	0.01159	0.01152	0.01123	0.01117
-Cell Structure	MAPPED	0.001563	0.003409	0.003575	0.003497	0.002863
-Crystallins	MAPPED	0	0	0	0	0
-Stress Response	MAPPED	0	0	0	0	0
-       Stress response	MAPPED	0	0	0	0	0
