Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
-Translation	-Cytoskeleton	39.68	44.02	53.99	60.75	67.03
-Folding, Sorting and Degradation	-Cytoskeleton	19.59	19.41	21.11	21.56	21.63
-DNA Maintenance	-Cytoskeleton	4.249	4.327	4.511	4.279	4.093
-RNA Family	-Cytoskeleton	3.277e-05	2.757e-05	2.279e-05	2.082e-05	1.853e-05
Environmental Information Processing	-Cytoskeleton	3.312	2.407	2.105	1.879	1.632
-Signal Transduction	-Cytoskeleton	3.29	2.406	2.104	1.879	1.631
-Signaling Molecules and Interaction	-Cytoskeleton	0.0215	8.272e-05	6.838e-05	6.246e-05	5.558e-05
Cellular Processes	-Cytoskeleton	4.472	2.842	3.039	3.118	2.981
-Cell Structure	-Cytoskeleton	0.3954	0.8774	1.003	1.018	0.8171
-Crystallins	-Cytoskeleton	0	0	0	0	0
-Vesicular transport	-Cytoskeleton	0.006405	0.004853	0.005452	0.00498	0.004431
-Cytoskeleton	-Cytoskeleton	1	1	1	1	1
-Cell Motility	-Cytoskeleton	2.217	0.001379	0.00114	0.001041	0.0009263
-Cell Growth and Death	-Cytoskeleton	0.8527	0.9581	1.03	1.094	1.158
-Cellular Community	-Cytoskeleton	0	0	0	0	0
Metabolism	-Cytoskeleton	169	170.9	180.5	183.9	172.1
-Membrane Transport	-Cytoskeleton	29.95	28.57	29.1	26.43	21.16
-Central Carbon Metabolism	-Cytoskeleton	73.37	69.03	68.08	63.37	55.94
-Energy Metabolism	-Cytoskeleton	6.121	7.167	8.45	8.335	7.703
-Biosynthesis	-Cytoskeleton	46.42	53.51	62.58	73.93	75.41
-Other Enzymes	-Cytoskeleton	13.1	12.67	12.32	11.81	11.87
Organismal Systems	-Cytoskeleton	0	0	0	0	0
-Immune System	-Cytoskeleton	0	0	0	0	0
-Endocrine System	-Cytoskeleton	0	0	0	0	0
-Circulatory System	-Cytoskeleton	0	0	0	0	0
-Digestive System	-Cytoskeleton	0	0	0	0	0
-Excretory System	-Cytoskeleton	0	0	0	0	0
-Nervous System	-Cytoskeleton	0	0	0	0	0
-Sensory System	-Cytoskeleton	0	0	0	0	0
-Development	-Cytoskeleton	0	0	0	0	0
-Environmental Adaptation	-Cytoskeleton	0	0	0	0	0
Human Diseases	-Cytoskeleton	6.555e-05	5.515e-05	4.559e-05	4.164e-05	3.705e-05
-Cancers	-Cytoskeleton	0	0	0	0	0
-Immune Diseases	-Cytoskeleton	0	0	0	0	0
-Neurodegenerative Diseases	-Cytoskeleton	0	0	0	0	0
-Substance Dependence	-Cytoskeleton	0	0	0	0	0
-Cardiovascular Diseases	-Cytoskeleton	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Cytoskeleton	0	0	0	0	0
-Infectious Diseases	-Cytoskeleton	0	0	0	0	0
-Drug resistance	-Cytoskeleton	6.555e-05	5.515e-05	4.559e-05	4.164e-05	3.705e-05
Not Mapped	-Cytoskeleton	28.12	23.07	22.88	21.96	21.25
-Not Mapped	-Cytoskeleton	28.12	23.07	22.88	21.96	21.25
TOTAL	-Cell Motility	126.7	203400	266300	300800	331000
MAPPED	-Cell Motility	114.1	186700	246200	279700	308100
Genetic Information Processing	-Cell Motility	34.35	58880	83290	98280	117300
-Transcription	-Cell Motility	5.709	9734	13440	15100	17210
-Translation	-Cell Motility	17.9	31930	47370	58360	72360
-Folding, Sorting and Degradation	-Cell Motility	8.832	14080	18520	20710	23350
-DNA Maintenance	-Cell Motility	1.916	3139	3958	4111	4419
-RNA Family	-Cell Motility	1.478e-05	0.02	0.02	0.02	0.02
Environmental Information Processing	-Cell Motility	1.494	1746	1847	1805	1761
-Signal Transduction	-Cell Motility	1.484	1746	1847	1805	1761
-Signaling Molecules and Interaction	-Cell Motility	0.009698	0.06	0.06	0.06	0.06
Cellular Processes	-Cell Motility	2.017	2061	2667	2995	3218
-Cell Structure	-Cell Motility	0.1783	636.4	880.1	978.3	882.1
-Crystallins	-Cell Motility	0	0	0	0	0
-Vesicular transport	-Cell Motility	0.002889	3.52	4.784	4.784	4.784
-Cytoskeleton	-Cell Motility	0.451	725.3	877.4	960.6	1080
-Cell Motility	-Cell Motility	1	1	1	1	1
-Cell Growth and Death	-Cell Motility	0.3845	694.9	903.4	1051	1250
-Cellular Community	-Cell Motility	0	0	0	0	0
Metabolism	-Cell Motility	76.2	124000	158400	176600	185800
-Membrane Transport	-Cell Motility	13.51	20720	25530	25390	22840
-Central Carbon Metabolism	-Cell Motility	33.09	50070	59730	60880	60390
-Energy Metabolism	-Cell Motility	2.76	5199	7414	8006	8316
-Biosynthesis	-Cell Motility	20.94	38820	54900	71010	81410
-Other Enzymes	-Cell Motility	5.907	9190	10810	11350	12810
Organismal Systems	-Cell Motility	0	0	0	0	0
-Immune System	-Cell Motility	0	0	0	0	0
-Endocrine System	-Cell Motility	0	0	0	0	0
-Circulatory System	-Cell Motility	0	0	0	0	0
-Digestive System	-Cell Motility	0	0	0	0	0
-Excretory System	-Cell Motility	0	0	0	0	0
-Nervous System	-Cell Motility	0	0	0	0	0
-Sensory System	-Cell Motility	0	0	0	0	0
-Development	-Cell Motility	0	0	0	0	0
-Environmental Adaptation	-Cell Motility	0	0	0	0	0
Human Diseases	-Cell Motility	2.956e-05	0.04	0.04	0.04	0.04
-Cancers	-Cell Motility	0	0	0	0	0
-Immune Diseases	-Cell Motility	0	0	0	0	0
-Neurodegenerative Diseases	-Cell Motility	0	0	0	0	0
-Substance Dependence	-Cell Motility	0	0	0	0	0
-Cardiovascular Diseases	-Cell Motility	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Cell Motility	0	0	0	0	0
-Infectious Diseases	-Cell Motility	0	0	0	0	0
-Drug resistance	-Cell Motility	2.956e-05	0.04	0.04	0.04	0.04
Not Mapped	-Cell Motility	12.68	16730	20080	21100	22930
-Not Mapped	-Cell Motility	12.68	16730	20080	21100	22930
TOTAL	-Cell Growth and Death	329.6	292.7	294.7	286.3	264.7
MAPPED	-Cell Growth and Death	296.6	268.6	272.5	266.2	246.4
Genetic Information Processing	-Cell Growth and Death	89.34	84.73	92.19	93.54	93.85
-Transcription	-Cell Growth and Death	14.85	14.01	14.88	14.37	13.77
-Translation	-Cell Growth and Death	46.54	45.95	52.43	55.54	57.87
-Folding, Sorting and Degradation	-Cell Growth and Death	22.97	20.26	20.5	19.71	18.68
-DNA Maintenance	-Cell Growth and Death	4.983	4.516	4.381	3.913	3.534
-RNA Family	-Cell Growth and Death	3.844e-05	2.878e-05	2.214e-05	1.904e-05	1.599e-05
Environmental Information Processing	-Cell Growth and Death	3.884	2.512	2.044	1.718	1.409
-Signal Transduction	-Cell Growth and Death	3.859	2.512	2.044	1.718	1.409
-Signaling Molecules and Interaction	-Cell Growth and Death	0.02522	8.634e-05	6.641e-05	5.711e-05	4.798e-05
Cellular Processes	-Cell Growth and Death	5.245	2.966	2.952	2.851	2.573
-Cell Structure	-Cell Growth and Death	0.4637	0.9158	0.9741	0.9311	0.7054
-Crystallins	-Cell Growth and Death	0	0	0	0	0
-Vesicular transport	-Cell Growth and Death	0.007512	0.005065	0.005295	0.004553	0.003826
-Cytoskeleton	-Cell Growth and Death	1.173	1.044	0.9712	0.9143	0.8633
-Cell Motility	-Cell Growth and Death	2.601	0.001439	0.001107	0.0009518	0.0007997
-Cell Growth and Death	-Cell Growth and Death	1	1	1	1	1
-Cellular Community	-Cell Growth and Death	0	0	0	0	0
Metabolism	-Cell Growth and Death	198.1	178.4	175.3	168.1	148.6
-Membrane Transport	-Cell Growth and Death	35.12	29.82	28.26	24.17	18.27
-Central Carbon Metabolism	-Cell Growth and Death	86.04	72.05	66.12	57.94	48.29
-Energy Metabolism	-Cell Growth and Death	7.178	7.481	8.207	7.62	6.651
-Biosynthesis	-Cell Growth and Death	54.44	55.86	60.77	67.59	65.11
-Other Enzymes	-Cell Growth and Death	15.36	13.22	11.97	10.8	10.24
Organismal Systems	-Cell Growth and Death	0	0	0	0	0
-Immune System	-Cell Growth and Death	0	0	0	0	0
-Endocrine System	-Cell Growth and Death	0	0	0	0	0
-Circulatory System	-Cell Growth and Death	0	0	0	0	0
-Digestive System	-Cell Growth and Death	0	0	0	0	0
-Excretory System	-Cell Growth and Death	0	0	0	0	0
-Nervous System	-Cell Growth and Death	0	0	0	0	0
-Sensory System	-Cell Growth and Death	0	0	0	0	0
-Development	-Cell Growth and Death	0	0	0	0	0
-Environmental Adaptation	-Cell Growth and Death	0	0	0	0	0
Human Diseases	-Cell Growth and Death	7.687e-05	5.756e-05	4.428e-05	3.807e-05	3.199e-05
-Cancers	-Cell Growth and Death	0	0	0	0	0
-Immune Diseases	-Cell Growth and Death	0	0	0	0	0
-Neurodegenerative Diseases	-Cell Growth and Death	0	0	0	0	0
-Substance Dependence	-Cell Growth and Death	0	0	0	0	0
-Cardiovascular Diseases	-Cell Growth and Death	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Cell Growth and Death	0	0	0	0	0
-Infectious Diseases	-Cell Growth and Death	0	0	0	0	0
-Drug resistance	-Cell Growth and Death	7.687e-05	5.756e-05	4.428e-05	3.807e-05	3.199e-05
Not Mapped	-Cell Growth and Death	32.98	24.08	22.22	20.08	18.34
-Not Mapped	-Cell Growth and Death	32.98	24.08	22.22	20.08	18.34
TOTAL	-Cellular Community	Inf	Inf	Inf	Inf	Inf
MAPPED	-Cellular Community	Inf	Inf	Inf	Inf	Inf
Genetic Information Processing	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Transcription	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Translation	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-DNA Maintenance	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-RNA Family	-Cellular Community	Inf	Inf	Inf	Inf	Inf
Environmental Information Processing	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Signal Transduction	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Cellular Community	Inf	Inf	Inf	Inf	Inf
Cellular Processes	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Cell Structure	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Crystallins	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Vesicular transport	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Cytoskeleton	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Cell Motility	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Cell Growth and Death	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Cellular Community	-Cellular Community	NaN	NaN	NaN	NaN	NaN
Metabolism	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Membrane Transport	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Energy Metabolism	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Biosynthesis	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Other Enzymes	-Cellular Community	Inf	Inf	Inf	Inf	Inf
Organismal Systems	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Immune System	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Endocrine System	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Circulatory System	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Digestive System	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Excretory System	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Nervous System	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Sensory System	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Development	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Environmental Adaptation	-Cellular Community	NaN	NaN	NaN	NaN	NaN
Human Diseases	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Cancers	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Immune Diseases	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Neurodegenerative Diseases	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Substance Dependence	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Cardiovascular Diseases	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Endocrine and Metabolic Diseases	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Infectious Diseases	-Cellular Community	NaN	NaN	NaN	NaN	NaN
-Drug resistance	-Cellular Community	Inf	Inf	Inf	Inf	Inf
Not Mapped	-Cellular Community	Inf	Inf	Inf	Inf	Inf
-Not Mapped	-Cellular Community	Inf	Inf	Inf	Inf	Inf
TOTAL	Metabolism	1.663	1.641	1.681	1.703	1.782
MAPPED	Metabolism	1.497	1.506	1.554	1.584	1.658
Genetic Information Processing	Metabolism	0.4509	0.4749	0.5258	0.5564	0.6317
-Transcription	Metabolism	0.07492	0.0785	0.08484	0.0855	0.09267
-Translation	Metabolism	0.2349	0.2575	0.299	0.3304	0.3895
-Folding, Sorting and Degradation	Metabolism	0.1159	0.1135	0.1169	0.1173	0.1257
-DNA Maintenance	Metabolism	0.02515	0.02531	0.02499	0.02327	0.02379
-RNA Family	Metabolism	1.94e-07	1.613e-07	1.263e-07	1.132e-07	1.077e-07
Environmental Information Processing	Metabolism	0.0196	0.01408	0.01166	0.01022	0.009481
-Signal Transduction	Metabolism	0.01947	0.01408	0.01166	0.01022	0.009481
-Signaling Molecules and Interaction	Metabolism	0.0001273	4.839e-07	3.788e-07	3.397e-07	3.23e-07
Cellular Processes	Metabolism	0.02647	0.01662	0.01684	0.01696	0.01732
-Cell Structure	Metabolism	0.00234	0.005133	0.005556	0.005538	0.004748
-Crystallins	Metabolism	0	0	0	0	0
-Vesicular transport	Metabolism	3.791e-05	2.839e-05	3.02e-05	2.708e-05	2.575e-05
-Cytoskeleton	Metabolism	0.005919	0.00585	0.005539	0.005438	0.005811
-Cell Motility	Metabolism	0.01312	8.065e-06	6.313e-06	5.661e-06	5.383e-06
-Cell Growth and Death	Metabolism	0.005047	0.005605	0.005703	0.005948	0.006731
-Cellular Community	Metabolism	0	0	0	0	0
Metabolism	Metabolism	1	1	1	1	1
-Membrane Transport	Metabolism	0.1773	0.1671	0.1612	0.1438	0.123
-Central Carbon Metabolism	Metabolism	0.4342	0.4038	0.3771	0.3446	0.3251
-Energy Metabolism	Metabolism	0.03623	0.04193	0.04681	0.04533	0.04477
-Biosynthesis	Metabolism	0.2748	0.313	0.3466	0.402	0.4382
-Other Enzymes	Metabolism	0.07753	0.07411	0.06827	0.06424	0.06896
Organismal Systems	Metabolism	0	0	0	0	0
-Immune System	Metabolism	0	0	0	0	0
-Endocrine System	Metabolism	0	0	0	0	0
-Circulatory System	Metabolism	0	0	0	0	0
-Digestive System	Metabolism	0	0	0	0	0
-Excretory System	Metabolism	0	0	0	0	0
-Nervous System	Metabolism	0	0	0	0	0
-Sensory System	Metabolism	0	0	0	0	0
-Development	Metabolism	0	0	0	0	0
-Environmental Adaptation	Metabolism	0	0	0	0	0
Human Diseases	Metabolism	3.879e-07	3.226e-07	2.525e-07	2.265e-07	2.153e-07
-Cancers	Metabolism	0	0	0	0	0
-Immune Diseases	Metabolism	0	0	0	0	0
-Neurodegenerative Diseases	Metabolism	0	0	0	0	0
-Substance Dependence	Metabolism	0	0	0	0	0
-Cardiovascular Diseases	Metabolism	0	0	0	0	0
-Endocrine and Metabolic Diseases	Metabolism	0	0	0	0	0
-Infectious Diseases	Metabolism	0	0	0	0	0
-Drug resistance	Metabolism	3.879e-07	3.226e-07	2.525e-07	2.265e-07	2.153e-07
Not Mapped	Metabolism	0.1664	0.135	0.1267	0.1194	0.1235
-Not Mapped	Metabolism	0.1664	0.135	0.1267	0.1194	0.1235
TOTAL	-Membrane Transport	9.384	9.817	10.43	11.85	14.49
MAPPED	-Membrane Transport	8.445	9.01	9.642	11.02	13.49
Genetic Information Processing	-Membrane Transport	2.544	2.842	3.262	3.871	5.137
-Transcription	-Membrane Transport	0.4227	0.4698	0.5263	0.5948	0.7536
-Translation	-Membrane Transport	1.325	1.541	1.855	2.298	3.168
-Folding, Sorting and Degradation	-Membrane Transport	0.654	0.6794	0.7254	0.8158	1.022
-DNA Maintenance	-Membrane Transport	0.1419	0.1515	0.155	0.1619	0.1935
-RNA Family	-Membrane Transport	1.094e-06	9.652e-07	7.832e-07	7.877e-07	8.756e-07
Environmental Information Processing	-Membrane Transport	0.1106	0.08424	0.07232	0.07107	0.07711
-Signal Transduction	-Membrane Transport	0.1099	0.08424	0.07231	0.07107	0.07711
-Signaling Molecules and Interaction	-Membrane Transport	0.0007181	2.896e-06	2.35e-06	2.363e-06	2.627e-06
Cellular Processes	-Membrane Transport	0.1493	0.09948	0.1044	0.118	0.1409
-Cell Structure	-Membrane Transport	0.0132	0.03071	0.03447	0.03853	0.03862
-Crystallins	-Membrane Transport	0	0	0	0	0
-Vesicular transport	-Membrane Transport	0.0002139	0.0001699	0.0001873	0.0001884	0.0002094
-Cytoskeleton	-Membrane Transport	0.03339	0.03501	0.03436	0.03783	0.04726
-Cell Motility	-Membrane Transport	0.07404	4.826e-05	3.916e-05	3.938e-05	4.378e-05
-Cell Growth and Death	-Membrane Transport	0.02847	0.03354	0.03538	0.04138	0.05474
-Cellular Community	-Membrane Transport	0	0	0	0	0
Metabolism	-Membrane Transport	5.642	5.984	6.203	6.956	8.133
-Membrane Transport	-Membrane Transport	1	1	1	1	1
-Central Carbon Metabolism	-Membrane Transport	2.45	2.416	2.339	2.397	2.644
-Energy Metabolism	-Membrane Transport	0.2044	0.2509	0.2904	0.3153	0.3641
-Biosynthesis	-Membrane Transport	1.55	1.873	2.15	2.797	3.564
-Other Enzymes	-Membrane Transport	0.4374	0.4435	0.4235	0.4469	0.5608
Organismal Systems	-Membrane Transport	0	0	0	0	0
-Immune System	-Membrane Transport	0	0	0	0	0
-Endocrine System	-Membrane Transport	0	0	0	0	0
-Circulatory System	-Membrane Transport	0	0	0	0	0
-Digestive System	-Membrane Transport	0	0	0	0	0
-Excretory System	-Membrane Transport	0	0	0	0	0
-Nervous System	-Membrane Transport	0	0	0	0	0
-Sensory System	-Membrane Transport	0	0	0	0	0
-Development	-Membrane Transport	0	0	0	0	0
-Environmental Adaptation	-Membrane Transport	0	0	0	0	0
Human Diseases	-Membrane Transport	2.189e-06	1.93e-06	1.566e-06	1.575e-06	1.751e-06
-Cancers	-Membrane Transport	0	0	0	0	0
-Immune Diseases	-Membrane Transport	0	0	0	0	0
-Neurodegenerative Diseases	-Membrane Transport	0	0	0	0	0
-Substance Dependence	-Membrane Transport	0	0	0	0	0
-Cardiovascular Diseases	-Membrane Transport	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Membrane Transport	0	0	0	0	0
-Infectious Diseases	-Membrane Transport	0	0	0	0	0
-Drug resistance	-Membrane Transport	2.189e-06	1.93e-06	1.566e-06	1.575e-06	1.751e-06
Not Mapped	-Membrane Transport	0.939	0.8076	0.7862	0.8309	1.004
-Not Mapped	-Membrane Transport	0.939	0.8076	0.7862	0.8309	1.004
TOTAL	-Central Carbon Metabolism	3.831	4.063	4.458	4.941	5.482
MAPPED	-Central Carbon Metabolism	3.447	3.728	4.122	4.595	5.102
Genetic Information Processing	-Central Carbon Metabolism	1.038	1.176	1.394	1.614	1.943
-Transcription	-Central Carbon Metabolism	0.1725	0.1944	0.225	0.2481	0.2851
-Translation	-Central Carbon Metabolism	0.5409	0.6377	0.793	0.9586	1.198
-Folding, Sorting and Degradation	-Central Carbon Metabolism	0.2669	0.2812	0.3101	0.3403	0.3867
-DNA Maintenance	-Central Carbon Metabolism	0.05792	0.06268	0.06626	0.06753	0.07317
-RNA Family	-Central Carbon Metabolism	4.467e-07	3.994e-07	3.348e-07	3.285e-07	3.312e-07
Environmental Information Processing	-Central Carbon Metabolism	0.04514	0.03486	0.03091	0.02964	0.02917
-Signal Transduction	-Central Carbon Metabolism	0.04485	0.03486	0.03091	0.02964	0.02917
-Signaling Molecules and Interaction	-Central Carbon Metabolism	0.0002931	1.198e-06	1.004e-06	9.856e-07	9.936e-07
Cellular Processes	-Central Carbon Metabolism	0.06095	0.04117	0.04464	0.0492	0.05329
-Cell Structure	-Central Carbon Metabolism	0.00539	0.01271	0.01473	0.01607	0.01461
-Crystallins	-Central Carbon Metabolism	0	0	0	0	0
-Vesicular transport	-Central Carbon Metabolism	8.73e-05	7.03e-05	8.009e-05	7.859e-05	7.922e-05
-Cytoskeleton	-Central Carbon Metabolism	0.01363	0.01449	0.01469	0.01578	0.01788
-Cell Motility	-Central Carbon Metabolism	0.03022	1.997e-05	1.674e-05	1.643e-05	1.656e-05
-Cell Growth and Death	-Central Carbon Metabolism	0.01162	0.01388	0.01512	0.01726	0.02071
-Cellular Community	-Central Carbon Metabolism	0	0	0	0	0
Metabolism	-Central Carbon Metabolism	2.303	2.476	2.652	2.902	3.076
-Membrane Transport	-Central Carbon Metabolism	0.4082	0.4138	0.4275	0.4171	0.3782
-Central Carbon Metabolism	-Central Carbon Metabolism	1	1	1	1	1
-Energy Metabolism	-Central Carbon Metabolism	0.08343	0.1038	0.1241	0.1315	0.1377
-Biosynthesis	-Central Carbon Metabolism	0.6327	0.7752	0.9192	1.167	1.348
-Other Enzymes	-Central Carbon Metabolism	0.1785	0.1835	0.181	0.1864	0.2121
Organismal Systems	-Central Carbon Metabolism	0	0	0	0	0
-Immune System	-Central Carbon Metabolism	0	0	0	0	0
-Endocrine System	-Central Carbon Metabolism	0	0	0	0	0
-Circulatory System	-Central Carbon Metabolism	0	0	0	0	0
-Digestive System	-Central Carbon Metabolism	0	0	0	0	0
-Excretory System	-Central Carbon Metabolism	0	0	0	0	0
-Nervous System	-Central Carbon Metabolism	0	0	0	0	0
-Sensory System	-Central Carbon Metabolism	0	0	0	0	0
-Development	-Central Carbon Metabolism	0	0	0	0	0
-Environmental Adaptation	-Central Carbon Metabolism	0	0	0	0	0
Human Diseases	-Central Carbon Metabolism	8.934e-07	7.989e-07	6.697e-07	6.571e-07	6.624e-07
-Cancers	-Central Carbon Metabolism	0	0	0	0	0
-Immune Diseases	-Central Carbon Metabolism	0	0	0	0	0
-Neurodegenerative Diseases	-Central Carbon Metabolism	0	0	0	0	0
-Substance Dependence	-Central Carbon Metabolism	0	0	0	0	0
-Cardiovascular Diseases	-Central Carbon Metabolism	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Central Carbon Metabolism	0	0	0	0	0
-Infectious Diseases	-Central Carbon Metabolism	0	0	0	0	0
-Drug resistance	-Central Carbon Metabolism	8.934e-07	7.989e-07	6.697e-07	6.571e-07	6.624e-07
Not Mapped	-Central Carbon Metabolism	0.3833	0.3342	0.3361	0.3466	0.3798
-Not Mapped	-Central Carbon Metabolism	0.3833	0.3342	0.3361	0.3466	0.3798
TOTAL	-Energy Metabolism	45.91	39.13	35.92	37.57	39.81
MAPPED	-Energy Metabolism	41.32	35.91	33.21	34.94	37.05
Genetic Information Processing	-Energy Metabolism	12.45	11.33	11.23	12.28	14.11
-Transcription	-Energy Metabolism	2.068	1.872	1.813	1.886	2.07
-Translation	-Energy Metabolism	6.483	6.142	6.389	7.289	8.701
-Folding, Sorting and Degradation	-Energy Metabolism	3.2	2.708	2.498	2.587	2.808
-DNA Maintenance	-Energy Metabolism	0.6942	0.6037	0.5338	0.5134	0.5314
-RNA Family	-Energy Metabolism	5.354e-06	3.847e-06	2.698e-06	2.498e-06	2.405e-06
Environmental Information Processing	-Energy Metabolism	0.5411	0.3358	0.2491	0.2254	0.2118
-Signal Transduction	-Energy Metabolism	0.5376	0.3358	0.2491	0.2254	0.2118
-Signaling Molecules and Interaction	-Energy Metabolism	0.003513	1.154e-05	8.093e-06	7.494e-06	7.215e-06
Cellular Processes	-Energy Metabolism	0.7306	0.3965	0.3597	0.3741	0.3869
-Cell Structure	-Energy Metabolism	0.0646	0.1224	0.1187	0.1222	0.1061
-Crystallins	-Energy Metabolism	0	0	0	0	0
-Vesicular transport	-Energy Metabolism	0.001046	0.0006771	0.0006452	0.0005975	0.0005753
-Cytoskeleton	-Energy Metabolism	0.1634	0.1395	0.1183	0.12	0.1298
-Cell Motility	-Energy Metabolism	0.3623	0.0001924	0.0001349	0.0001249	0.0001203
-Cell Growth and Death	-Energy Metabolism	0.1393	0.1337	0.1219	0.1312	0.1504
-Cellular Community	-Energy Metabolism	0	0	0	0	0
Metabolism	-Energy Metabolism	27.6	23.85	21.36	22.06	22.34
-Membrane Transport	-Energy Metabolism	4.893	3.986	3.444	3.171	2.747
-Central Carbon Metabolism	-Energy Metabolism	11.99	9.631	8.057	7.603	7.262
-Energy Metabolism	-Energy Metabolism	1	1	1	1	1
-Biosynthesis	-Energy Metabolism	7.584	7.467	7.405	8.869	9.789
-Other Enzymes	-Energy Metabolism	2.14	1.768	1.459	1.417	1.54
Organismal Systems	-Energy Metabolism	0	0	0	0	0
-Immune System	-Energy Metabolism	0	0	0	0	0
-Endocrine System	-Energy Metabolism	0	0	0	0	0
-Circulatory System	-Energy Metabolism	0	0	0	0	0
-Digestive System	-Energy Metabolism	0	0	0	0	0
-Excretory System	-Energy Metabolism	0	0	0	0	0
-Nervous System	-Energy Metabolism	0	0	0	0	0
-Sensory System	-Energy Metabolism	0	0	0	0	0
-Development	-Energy Metabolism	0	0	0	0	0
-Environmental Adaptation	-Energy Metabolism	0	0	0	0	0
Human Diseases	-Energy Metabolism	1.071e-05	7.694e-06	5.395e-06	4.996e-06	4.81e-06
-Cancers	-Energy Metabolism	0	0	0	0	0
-Immune Diseases	-Energy Metabolism	0	0	0	0	0
-Neurodegenerative Diseases	-Energy Metabolism	0	0	0	0	0
-Substance Dependence	-Energy Metabolism	0	0	0	0	0
-Cardiovascular Diseases	-Energy Metabolism	0	0	0	0	0
-Endocrine and Metabolic Diseases	-Energy Metabolism	0	0	0	0	0
-Infectious Diseases	-Energy Metabolism	0	0	0	0	0
-Drug resistance	-Energy Metabolism	1.071e-05	7.694e-06	5.395e-06	4.996e-06	4.81e-06
Not Mapped	-Energy Metabolism	4.595	3.219	2.708	2.635	2.758
-Not Mapped	-Energy Metabolism	4.595	3.219	2.708	2.635	2.758
TOTAL	-Biosynthesis	6.054	5.24	4.85	4.236	4.066
MAPPED	-Biosynthesis	5.448	4.809	4.484	3.939	3.784
Genetic Information Processing	-Biosynthesis	1.641	1.517	1.517	1.384	1.441
-Transcription	-Biosynthesis	0.2727	0.2508	0.2448	0.2127	0.2115
-Translation	-Biosynthesis	0.8548	0.8226	0.8627	0.8218	0.8888
-Folding, Sorting and Degradation	-Biosynthesis	0.4219	0.3627	0.3373	0.2917	0.2869
-DNA Maintenance	-Biosynthesis	0.09153	0.08086	0.07209	0.05789	0.05428
-RNA Family	-Biosynthesis	7.06e-07	5.152e-07	3.643e-07	2.816e-07	2.457e-07
Environmental Information Processing	-Biosynthesis	0.07134	0.04497	0.03363	0.02541	0.02164
-Signal Transduction	-Biosynthesis	0.07088	0.04497	0.03363	0.02541	0.02163
-Signaling Molecules and Interaction	-Biosynthesis	0.0004632	1.546e-06	1.093e-06	8.449e-07	7.37e-07
Cellular Processes	-Biosynthesis	0.09633	0.0531	0.04857	0.04218	0.03953
-Cell Structure	-Biosynthesis	0.008518	0.0164	0.01603	0.01378	0.01084
-Crystallins	-Biosynthesis	0	0	0	0	0
-Vesicular transport	-Biosynthesis	0.000138	9.068e-05	8.713e-05	6.737e-05	5.876e-05
-Cytoskeleton	-Biosynthesis	0.02154	0.01869	0.01598	0.01353	0.01326
-Cell Motility	-Biosynthesis	0.04777	2.576e-05	1.821e-05	1.408e-05	1.228e-05
