Category	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
TOTAL	1	1	1	1	1
MAPPED	0.91243482	0.9282468	0.93523145	0.94124501	0.94312051
Genetic Information Processing	0.38629862	0.41225946	0.44458726	0.46861803	0.50452793
-Transcription	0.049171088	0.051131937	0.04988183	0.046675124	0.046637596
--RNA polymerase	0.0036519533	0.0039964737	0.0043175307	0.0041594014	0.0043837754
--Basal transcription factors	0.0077574917	0.008314089	0.0093038128	0.0099690568	0.01048928
--Transcription factors	0.034289737	0.035204973	0.032616801	0.028961396	0.028044823
--Transcription machinery	0.0034719059	0.0036164011	0.0036436853	0.0035852694	0.0037197172
--Spliceosome	0	0	0	0	0
-Translation	0.23636829	0.25899923	0.29519454	0.32640809	0.36308524
--Ribosome	0.18686147	0.20484641	0.24219198	0.27436661	0.30895332
--Transfer RNA biogenesis	0.0031232991	0.0030813032	0.0029672307	0.0030297357	0.0032249016
--tRNA loading	0.0093314712	0.010828842	0.011457484	0.011527017	0.012530389
--RNA transport	1.6539016e-05	2.483053e-07	1.2859408e-05	1.6079124e-07	8.4335444e-06
--mRNA surveillance pathway	0	0	0	0	0
--Messenger RNA Biogenesis	0.0018384057	0.0021857487	0.0019493496	0.0020272559	0.0019265646
--Ribosome biogenesis in eukaryotes	0.00023620091	0.00024002845	0.00020127769	0.0002055448	0.0002327563
--Ribosome biogenesis	0.0081728488	0.0082432392	0.0074786465	0.0071640536	0.0076723336
--Mitochondrial biogenesis	0.00017687834	0.00018879479	0.00018239238	0.00015870095	0.00017086266
--Translation factors	0.026611177	0.029384614	0.028753326	0.027929009	0.028365679
-Folding, Sorting and Degradation	0.075725419	0.077713102	0.077174215	0.075699229	0.07619188
--Protease inhibitors	0	0	0	0	0
--Proteases	2.9710807e-07	2.483053e-07	1.8636823e-07	1.6079124e-07	1.4294143e-07
--Chaperones and folding catalysts	0.06022539	0.061588156	0.061093432	0.060690707	0.061201851
--Protein export	0.0026676343	0.0031080374	0.0030996764	0.0028382869	0.0024360079
--Protein processing in endoplasmic reticulum	0	0	0	0	0
--SNARE interactions in vesicular transport	0	0	0	0	0
--Ubiquitin mediated proteolysis	0	0	0	0	0
--Ubiquitin labeling	0	0	0	0	0
--Sulfur relay system	0.00049141675	0.00052740045	0.00057258533	0.00055885675	0.00053826978
--Proteasome	0	0	0	0	0
--Peptidases	0.0094946826	0.0099241005	0.01014042	0.0093396663	0.0097496538
--RNA degradation	0.0028459982	0.0025651592	0.002267915	0.0022715514	0.0022659552
-DNA Maintenance	0.025033732	0.024415115	0.022336605	0.019835529	0.018613166
--DNA replication	0.00023095201	0.00023233099	0.00021972815	0.00020029229	0.0001942574
--DNA replication complex	0.00086230665	0.00088951234	0.00074932454	0.00066363904	0.00060807285
--DNA replication control	0.0082053326	0.0070764526	0.0060810091	0.005179461	0.0049818424
--Chromosome-related	0.014340911	0.014760591	0.013940406	0.012629133	0.011647154
--Base excision repair	0.00026432715	0.00027512227	0.00028321759	0.00024488506	0.00026224988
--Nucleotide excision repair	0.00015162415	0.00013747837	0.00011778472	0.0001045679	0.00010439489
--Mismatch repair	0.000184207	0.00018374592	0.00015064765	0.00012032544	0.00013079141
--Homologous recombination	0.00053954825	0.0005954361	0.0005279812	0.00046034532	0.00043306489
--Non-homologous end-joining	0	0	0	0	0
--Fanconi anemia pathway	0	0	0	0	0
--DNA repair and recombination proteins	0.00025452258	0.00026444514	0.00026650657	0.00023287931	0.00025133868
-RNA Family	9.9036023e-08	8.2768432e-08	6.2122744e-08	5.359708e-08	4.7647144e-08
--Non-coding RNAs	9.9036023e-08	8.2768432e-08	6.2122744e-08	5.359708e-08	4.7647144e-08
Environmental Information Processing	0.012402479	0.0092282663	0.0074879028	0.0062989432	0.0054893798
-Signal Transduction	0.012324538	0.009228018	0.0074877165	0.0062987824	0.0054892368
--Other signaling pathways	0	0	0	0	0
--Two-component system	0.012324538	0.009228018	0.0074877165	0.0062987824	0.0054892368
--Ras signaling pathway	0	0	0	0	0
--Rap1 signaling pathway	0	0	0	0	0
--MAPK signaling pathway	0	0	0	0	0
--ErbB signaling pathway	0	0	0	0	0
--Wnt signaling pathway	0	0	0	0	0
--Notch signaling pathway	0	0	0	0	0
--Hedgehog signaling pathway	0	0	0	0	0
--TGF-beta signaling pathway	0	0	0	0	0
--Hippo signaling pathway	0	0	0	0	0
--Jak-STAT signaling pathway	0	0	0	0	0
--NF-kappa B signaling pathway	0	0	0	0	0
--TNF signaling pathway	0	0	0	0	0
--HIF-1 signaling pathway	0	0	0	0	0
--FoxO signaling pathway	0	0	0	0	0
--Calcium signaling pathway	0	0	0	0	0
--cAMP signaling pathway	0	0	0	0	0
--PI3K-Akt signaling pathway	0	0	0	0	0
--mTOR signaling pathway	0	0	0	0	0
--Plant hormone signal transduction	0	0	0	0	0
-Signaling Molecules and Interaction	7.794135e-05	2.483053e-07	1.8636823e-07	1.6079124e-07	1.4294143e-07
--Signaling molecules	0	0	0	0	0
--Steroid hormone biosynthesis	0	0	0	0	0
--GTP-binding signaling proteins	0	0	0	0	0
--Neuroactive ligand-receptor interaction	0	0	0	0	0
--Cytokine-cytokine receptor interaction	0	0	0	0	0
--Cytokines	0	0	0	0	0
--ECM-receptor interaction	0	0	0	0	0
--Cell adhesion molecules (CAMs)	9.9036023e-08	8.2768432e-08	6.2122744e-08	5.359708e-08	4.7647144e-08
--CD Molecules	0	0	0	0	0
--Bacterial toxins	7.7842314e-05	1.6553686e-07	1.2424549e-07	1.0719416e-07	9.5294287e-08
Cellular Processes	0.011961769	0.0094387464	0.009120737	0.0088300117	0.0084155814
-Cell Structure	0.001229037	0.0027090108	0.0028116754	0.0026964691	0.0021615127
--Cell envelope	0.001229037	0.0027090108	0.0028116754	0.0026964691	0.0021615127
-Crystallins	0	0	0	0	0
--Crystallins	0	0	0	0	0
-Vesicular transport	1.9906241e-05	1.4981086e-05	1.5282195e-05	1.3184882e-05	1.1721197e-05
--Motor proteins	0	0	0	0	0
--Endocytosis	0	0	0	0	0
--Exosome	1.9906241e-05	1.4981086e-05	1.5282195e-05	1.3184882e-05	1.1721197e-05
--Phagosome	0	0	0	0	0
--Lysosome	0	0	0	0	0
--Peroxisome	0	0	0	0	0
--Regulation of autophagy	0	0	0	0	0
-Cytoskeleton	0.0038267519	0.0037129919	0.0033689164	0.0031882223	0.0031425674
--Regulation of actin cytoskeleton	0	0	0	0	0
--Cytoskeleton proteins	0.0038267519	0.0037129919	0.0033689164	0.0031882223	0.0031425674
-Cell Motility	0.0041955621	4.1384216e-06	3.1061372e-06	2.679854e-06	2.3823572e-06
--Bacterial chemotaxis	0.0003582133	4.1384216e-07	3.1061372e-07	2.679854e-07	2.3823572e-07
--Bacterial motility proteins	0.0038373488	3.7245794e-06	2.7955235e-06	2.4118686e-06	2.1441215e-06
-Cell Growth and Death	0.0026905116	0.0029976243	0.0029217569	0.0029294556	0.0030973979
--Nuclear membrane	0	0	0	0	0
--Cell cycle	0.0026905116	0.0029976243	0.0029217569	0.0029294556	0.0030973979
--Cytokinesis	0	0	0	0	0
--Oocyte meiosis	0	0	0	0	0
--Apoptosis	0	0	0	0	0
--p53 signaling pathway	0	0	0	0	0
--Cell wall	0	0	0	0	0
-Cellular Community	0	0	0	0	0
--Focal adhesion	0	0	0	0	0
--Adherens junction	0	0	0	0	0
--Tight junction	0	0	0	0	0
--Gap junction	0	0	0	0	0
Metabolism	0.50177175	0.49732017	0.47403543	0.45749792	0.42468752
-Membrane Transport	0.10345699	0.093721427	0.086456347	0.075078521	0.059797308
--Transport	0.10096277	0.092086916	0.084460157	0.073053195	0.058160009
--Phosphotransferase system (PTS)	0.0011953648	0.0016317796	0.0019941401	0.0020235577	0.0016357264
--Bacterial secretion system	1.0893963e-06	9.1045275e-07	6.8335019e-07	5.8956788e-07	5.2411858e-07
--Secretion system	0.001297768	1.8209055e-06	1.3667004e-06	1.1791358e-06	1.0482372e-06
-Central Carbon Metabolism	0.18666339	0.16947035	0.15287786	0.13745486	0.12061231
--Glycolysis	0.084325608	0.076964792	0.070704131	0.066619616	0.062142643
--TCA cycle and anaplerotic enzymes	0.051802376	0.065701747	0.056025273	0.045333911	0.031846303
--Pentose phosphate metabolism	0.012640859	0.012993733	0.012905006	0.013166069	0.014346269
--Carbohydrate metabolism	0.031145542	0.0069901251	0.0063913122	0.0056035747	0.0055377416
--Pyruvate metabolism	0.002488082	0.0030159161	0.0028355305	0.0027944445	0.0028713598
--Butanoate metabolism	3.9614409e-07	3.3107373e-07	2.4849098e-07	2.1438832e-07	1.9058857e-07
--Other central metabolism enzymes	0.0042605297	0.0038037061	0.0040163597	0.0039370271	0.0038678045
-Energy Metabolism	0.019388678	0.022380832	0.023324854	0.021898052	0.020056303
--Oxidative phosphorylation	0.019191498	0.022207267	0.023156998	0.021769043	0.019935184
--Photosynthesis	0	0	0	0	0
--Photosynthesis proteins	9.9036023e-08	8.2768432e-08	6.2122744e-08	5.359708e-08	4.7647144e-08
--Carbon fixation in photosynthetic organisms	5.9916794e-05	8.2768432e-08	6.2122744e-08	5.359708e-08	4.7647144e-08
--Methane metabolism	0.00013716489	0.00017339986	0.00016773141	0.00012890098	0.00012102374
-Biosynthesis	0.14088577	0.16037493	0.16536546	0.18120256	0.18222912
--Lipid and steroid metabolism	0.028836418	0.023688905	0.023637518	0.023899045	0.021767455
--Purine metabolism	0.017516798	0.022218358	0.023561604	0.024629412	0.025908373
--Pyrimidine metabolism	0.014506797	0.020860542	0.018755788	0.022851383	0.020650272
--Amino acid metabolism	0.061471362	0.073625914	0.078613537	0.089873834	0.093042721
--Glycan metabolism	0.0032532343	0.0033624675	0.0028893288	0.0027776151	0.0026636659
--Cofactor biosynthesis	0.015150531	0.016421671	0.017665969	0.016835968	0.01788021
--Biosynthesis of other secondary metabolites	0.00015063379	0.00019707164	0.0002417196	0.00033530333	0.00031642468
-Other Enzymes	0.051376918	0.051372628	0.0460109	0.041863928	0.041992476
--Other enzymes	0.051376918	0.051372628	0.0460109	0.041863928	0.041992476
--Protein kinases	0	0	0	0	0
--Cytochrome P450	0	0	0	0	0
Organismal Systems	0	0	0	0	0
-Immune System	0	0	0	0	0
--Immunoglobulins	0	0	0	0	0
--Response to viral infection	0	0	0	0	0
--Hematopoietic cell lineage	0	0	0	0	0
--Complement and coagulation cascades	0	0	0	0	0
--Toll-like receptor signaling pathway	0	0	0	0	0
--NOD-like receptor signaling pathway	0	0	0	0	0
--RIG-I-like receptor signaling pathway	0	0	0	0	0
--Cytosolic DNA-sensing pathway	0	0	0	0	0
--Natural killer cell mediated cytotoxicity	0	0	0	0	0
--Antigen processing and presentation	0	0	0	0	0
--T cell receptor signaling pathway	0	0	0	0	0
--B cell receptor signaling pathway	0	0	0	0	0
--Fc gamma R-mediated phagocytosis	0	0	0	0	0
--Leukocyte transendothelial migration	0	0	0	0	0
--Intestinal immune network for IgA production	0	0	0	0	0
--Chemokine signaling pathway	0	0	0	0	0
-Endocrine System	0	0	0	0	0
--Insulin secretion	0	0	0	0	0
--Insulin signaling pathway	0	0	0	0	0
--PPAR signaling pathway	0	0	0	0	0
--Ovarian Steroidogenesis	0	0	0	0	0
--Estrogen signaling pathway	0	0	0	0	0
--Thyroid hormone synthesis	0	0	0	0	0
--Renin-angiotensin system	0	0	0	0	0
-Circulatory System	0	0	0	0	0
--Blood proteins	0	0	0	0	0
--Hemoglobin	0	0	0	0	0
--Cardiac muscle contraction	0	0	0	0	0
--Adrenergic signaling in cardiomyocytes	0	0	0	0	0
--Vascular smooth muscle contraction	0	0	0	0	0
-Digestive System	0	0	0	0	0
--Salivary secretion	0	0	0	0	0
--Gastric acid secretion	0	0	0	0	0
--Pancreatic secretion	0	0	0	0	0
--Bile secretion	0	0	0	0	0
--Carbohydrate digestion and absorption	0	0	0	0	0
--Protein digestion and absorption	0	0	0	0	0
--Fat digestion and absorption	0	0	0	0	0
--Vitamin digestion and absorption	0	0	0	0	0
--Mineral absorption	0	0	0	0	0
-Excretory System	0	0	0	0	0
--Vasopressin-regulated water reabsorption	0	0	0	0	0
--Aldosterone-regulated sodium reabsorption	0	0	0	0	0
--Endocrine and other factor-regulated calcium reabsorption	0	0	0	0	0
--Proximal tubule bicarbonate reclamation	0	0	0	0	0
--Collecting duct acid secretion	0	0	0	0	0
-Nervous System	0	0	0	0	0
--Myelin	0	0	0	0	0
--Glutamatergic synapse	0	0	0	0	0
--GABAergic synapse	0	0	0	0	0
--Dopaminergic synapse	0	0	0	0	0
--Serotonergic synapse	0	0	0	0	0
--Long-term depression	0	0	0	0	0
--Retrograde endocannabinoid signaling	0	0	0	0	0
--Synaptic vesicle cycle	0	0	0	0	0
--Neurotrophin signaling pathway	0	0	0	0	0
-Sensory System	0	0	0	0	0
--Phototransduction	0	0	0	0	0
--Olfactory transduction	0	0	0	0	0
-Development	0	0	0	0	0
--Dorso-ventral axis formation	0	0	0	0	0
--Axon guidance	0	0	0	0	0
--Osteoclast differentiation	0	0	0	0	0
-Environmental Adaptation	0	0	0	0	0
--Circadian rhythm	0	0	0	0	0
--Plant-pathogen interaction	0	0	0	0	0
Human Diseases	1.9807205e-07	1.6553686e-07	1.2424549e-07	1.0719416e-07	9.5294287e-08
-Cancers	0	0	0	0	0
--Transcriptional misregulation in cancer	0	0	0	0	0
--Pathways in cancer	0	0	0	0	0
--MicroRNAs in cancer	0	0	0	0	0
--Proteoglycans in cancer	0	0	0	0	0
--Chemical carcinogenesis	0	0	0	0	0
--Viral carcinogenesis	0	0	0	0	0
--Non-small cell lung cancer	0	0	0	0	0
-Immune Diseases	0	0	0	0	0
--Systemic lupus erythematosus	0	0	0	0	0
-Neurodegenerative Diseases	0	0	0	0	0
--Alzheimer's disease	0	0	0	0	0
--Parkinson's disease	0	0	0	0	0
--Amyotrophic lateral sclerosis (ALS)	0	0	0	0	0
--Huntington's disease	0	0	0	0	0
-Substance Dependence	0	0	0	0	0
--Cocaine addiction	0	0	0	0	0
--Amphetamine addiction	0	0	0	0	0
--Alcoholism	0	0	0	0	0
-Cardiovascular Diseases	0	0	0	0	0
--Hypertrophic cardiomyopathy (HCM)	0	0	0	0	0
--Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0	0	0	0	0
--Viral myocarditis	0	0	0	0	0
-Endocrine and Metabolic Diseases	0	0	0	0	0
--Type I diabetes mellitus	0	0	0	0	0
--Maturity onset diabetes of the young	0	0	0	0	0
--Non-alcoholic fatty liver disease (NAFLD)	0	0	0	0	0
-Infectious Diseases	0	0	0	0	0
--Salmonella infection	0	0	0	0	0
--Pertussis	0	0	0	0	0
--Legionellosis	0	0	0	0	0
--Staphylococcus aureus infection	0	0	0	0	0
--Tuberculosis	0	0	0	0	0
--Bacterial invasion of epithelial cells	0	0	0	0	0
--HTLV-I infection	0	0	0	0	0
--Measles	0	0	0	0	0
--Influenza A	0	0	0	0	0
--Hepatitis B	0	0	0	0	0
--Hepatitis C	0	0	0	0	0
--Herpes simplex infection	0	0	0	0	0
--Epstein-Barr virus infection	0	0	0	0	0
--Amoebiasis	0	0	0	0	0
-Drug resistance	1.9807205e-07	1.6553686e-07	1.2424549e-07	1.0719416e-07	9.5294287e-08
--beta-Lactam resistance	1.9807205e-07	1.6553686e-07	1.2424549e-07	1.0719416e-07	9.5294287e-08
Not Mapped	0.087565176	0.071753195	0.064768552	0.058754995	0.056879492
-Not Mapped	0.087565176	0.071753195	0.064768552	0.058754995	0.056879492
--Not mapped	0.087565176	0.071753195	0.064768552	0.058754995	0.056879492
