Numerator	Denominator	Valgepea data mu 0 11	Valgepea data mu 0 21	Valgepea data mu 0 31	Valgepea data mu 0 40	Valgepea data mu 0 48
TOTAL	TOTAL	1	1	1	1	1
MAPPED	TOTAL	0.9124	0.9282	0.9352	0.9412	0.9431
Genetic Information Processing	TOTAL	0.3697	0.3943	0.4269	0.4521	0.4879
-Transcription	TOTAL	0.04516	0.04708	0.0466	0.04381	0.04352
-Translation	TOTAL	0.235	0.2578	0.2943	0.3254	0.3621
-Folding, Sorting and Degradation	TOTAL	0.06442	0.06517	0.06438	0.06369	0.06405
-DNA Maintenance	TOTAL	0.02634	0.02563	0.02313	0.02052	0.01948
-RNA Family	TOTAL	1.287e-06	1.076e-06	8.076e-07	6.968e-07	6.194e-07
Environmental Information Processing	TOTAL	0.00984	0.007868	0.006391	0.00553	0.004989
-Signal Transduction	TOTAL	0.009762	0.007868	0.006391	0.00553	0.004989
-Signaling Molecules and Interaction	TOTAL	7.794e-05	2.483e-07	1.864e-07	1.608e-07	1.429e-07
Cellular Processes	TOTAL	0.01356	0.01007	0.009937	0.009429	0.009259
-Cell Structure	TOTAL	0.001229	0.002709	0.002812	0.002696	0.002162
-Crystallins	TOTAL	0	0	0	0	0
-Stress Response	TOTAL	0	0	0	0	0
-       Stress response	TOTAL	0	0	0	0	0
-Vesicular transport	TOTAL	0.0006289	0.000502	0.0006759	0.0004923	0.0007195
-Cytoskeleton	TOTAL	0.003827	0.003713	0.003369	0.003188	0.003143
-Cell Motility	TOTAL	0.005108	4.221e-06	3.168e-06	2.733e-06	2.43e-06
-Cell Growth and Death	TOTAL	0.002824	0.003143	0.003077	0.00305	0.003233
-Cellular Community	TOTAL	0	0	0	0	0
Metabolism	TOTAL	0.5158	0.5121	0.4879	0.4704	0.4372
-Membrane Transport	TOTAL	0.09806	0.08565	0.07881	0.06907	0.0586
-Central Carbon Metabolism	TOTAL	0.1697	0.1555	0.1418	0.1262	0.1109
-Energy Metabolism	TOTAL	0.01872	0.02201	0.0233	0.02174	0.01932
-Biosynthesis	TOTAL	0.1334	0.152	0.1566	0.1729	0.1741
-Other Enzymes	TOTAL	0.09303	0.08245	0.07632	0.07136	0.07018
Organismal Systems	TOTAL	0	0	0	0	0
-Immune System	TOTAL	0	0	0	0	0
-Endocrine System	TOTAL	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0
-Environmental Adaptation	TOTAL	0	0	0	0	0
Human Diseases	TOTAL	0.00173	0.001788	0.001418	0.001236	0.001147
-Cancers	TOTAL	0	0	0	0	0
-Immune Diseases	TOTAL	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0
-Substance Dependence	TOTAL	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0
-Endocrine and Metabolic Diseases	TOTAL	0	0	0	0	0
-Infectious Diseases	TOTAL	0.0002064	0.0001886	0.0002182	0.0001859	0.0002
-Drug resistance	TOTAL	0.0004599	0.0004589	0.0004466	0.0003917	0.0003418
Not Mapped	TOTAL	0.08757	0.07175	0.06477	0.05875	0.05688
-Not Mapped	TOTAL	0.08757	0.07175	0.06477	0.05875	0.05688
TOTAL	MAPPED	1.096	1.077	1.069	1.062	1.06
MAPPED	MAPPED	1	1	1	1	1
Genetic Information Processing	MAPPED	0.4052	0.4248	0.4564	0.4803	0.5173
-Transcription	MAPPED	0.04949	0.05072	0.04983	0.04655	0.04614
-Translation	MAPPED	0.2575	0.2777	0.3147	0.3458	0.3839
-Folding, Sorting and Degradation	MAPPED	0.0706	0.07021	0.06884	0.06767	0.06791
-DNA Maintenance	MAPPED	0.02887	0.02761	0.02473	0.0218	0.02065
-RNA Family	MAPPED	1.411e-06	1.159e-06	8.635e-07	7.403e-07	6.568e-07
Environmental Information Processing	MAPPED	0.01078	0.008476	0.006834	0.005875	0.00529
-Signal Transduction	MAPPED	0.0107	0.008476	0.006834	0.005875	0.00529
-Signaling Molecules and Interaction	MAPPED	8.542e-05	2.675e-07	1.993e-07	1.708e-07	1.516e-07
Cellular Processes	MAPPED	0.01486	0.01085	0.01062	0.01002	0.009818
-Cell Structure	MAPPED	0.001347	0.002918	0.003006	0.002865	0.002292
-Crystallins	MAPPED	0	0	0	0	0
-Stress Response	MAPPED	0	0	0	0	0
-       Stress response	MAPPED	0	0	0	0	0
-Vesicular transport	MAPPED	0.0006892	0.0005408	0.0007227	0.000523	0.0007629
-Cytoskeleton	MAPPED	0.004194	0.004	0.003602	0.003387	0.003332
-Cell Motility	MAPPED	0.005598	4.547e-06	3.388e-06	2.904e-06	2.577e-06
-Cell Growth and Death	MAPPED	0.003095	0.003386	0.00329	0.00324	0.003428
-Cellular Community	MAPPED	0	0	0	0	0
Metabolism	MAPPED	0.5653	0.5517	0.5217	0.4997	0.4635
-Membrane Transport	MAPPED	0.1075	0.09227	0.08427	0.07338	0.06214
-Central Carbon Metabolism	MAPPED	0.1859	0.1675	0.1516	0.1341	0.1176
-Energy Metabolism	MAPPED	0.02052	0.02371	0.02491	0.02309	0.02049
-Biosynthesis	MAPPED	0.1462	0.1637	0.1675	0.1837	0.1846
-Other Enzymes	MAPPED	0.102	0.08882	0.0816	0.07581	0.07441
Organismal Systems	MAPPED	0	0	0	0	0
-Immune System	MAPPED	0	0	0	0	0
-Endocrine System	MAPPED	0	0	0	0	0
-Circulatory System	MAPPED	0	0	0	0	0
-Digestive System	MAPPED	0	0	0	0	0
-Excretory System	MAPPED	0	0	0	0	0
-Nervous System	MAPPED	0	0	0	0	0
-Sensory System	MAPPED	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0
-Environmental Adaptation	MAPPED	0	0	0	0	0
Human Diseases	MAPPED	0.001896	0.001927	0.001516	0.001314	0.001216
-Cancers	MAPPED	0	0	0	0	0
-Immune Diseases	MAPPED	0	0	0	0	0
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0
-Substance Dependence	MAPPED	0	0	0	0	0
-Cardiovascular Diseases	MAPPED	0	0	0	0	0
-Endocrine and Metabolic Diseases	MAPPED	0	0	0	0	0
-Infectious Diseases	MAPPED	0.0002262	0.0002032	0.0002334	0.0001975	0.0002121
-Drug resistance	MAPPED	0.0005041	0.0004943	0.0004775	0.0004162	0.0003624
Not Mapped	MAPPED	0.09597	0.0773	0.06925	0.06242	0.06031
-Not Mapped	MAPPED	0.09597	0.0773	0.06925	0.06242	0.06031
TOTAL	Genetic Information Processing	2.704	2.535	2.34	2.21	2.048
MAPPED	Genetic Information Processing	2.468	2.353	2.188	2.081	1.932
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1
-Transcription	Genetic Information Processing	0.1221	0.1194	0.1087	0.09589	0.08894
-Translation	Genetic Information Processing	0.6344	0.6526	0.6879	0.7189	0.7412
-Folding, Sorting and Degradation	Genetic Information Processing	0.1742	0.1655	0.1508	0.1409	0.1313
-DNA Maintenance	Genetic Information Processing	0.07122	0.06489	0.05405	0.04521	0.0397
-RNA Family	Genetic Information Processing	3.482e-06	2.729e-06	1.892e-06	1.541e-06	1.269e-06
