Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8025	0.9254	0.849	0.8927	0.8283	0.826	0.7924	0.7962	0.8026	0.7942	0.7871	0.8947
Genetic Information Processing	TOTAL	0.2919	0.4801	0.4417	0.3992	0.4015	0.3638	0.342	0.3476	0.4273	0.4093	0.3061	0.3846
-Transcription	TOTAL	0.01105	0.02808	0.004364	0.003307	0.007094	0.006511	0.04105	0.0382	0.03845	0.0332	0.03152	0.03957
-Translation	TOTAL	0.1476	0.3646	0.3423	0.2796	0.2958	0.2667	0.1207	0.1231	0.2094	0.1942	0.1139	0.177
-Folding, Sorting and Degradation	TOTAL	0.1093	0.06784	0.08615	0.1138	0.0885	0.07875	0.1458	0.1464	0.1032	0.111	0.1234	0.1298
-DNA Maintenance	TOTAL	0.03465	0.02263	0.01314	0.006544	0.0237	0.02474	0.0499	0.04866	0.08054	0.07551	0.0491	0.04781
-RNA Family	TOTAL	0	6.686e-10	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0.000899	0.008153	0.006436	0.004213	0.008408	0.006709	0.02408	0.02325	0.03046	0.03545	0.02574	0.04824
-Signal Transduction	TOTAL	0.000899	0.008128	0.001664	0.001256	0.003937	0.002867	0.007715	0.008677	0.01105	0.01292	0.01113	0.01607
-Signaling Molecules and Interaction	TOTAL	0	8.811e-05	0.005083	0.003021	0.004628	0.003814	0.01952	0.01795	0.02303	0.02624	0.01776	0.03541
Cellular Processes	TOTAL	0.05311	0.01048	0.01393	0.01773	0.02945	0.02966	0.09137	0.08216	0.09338	0.1069	0.1554	0.1798
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	4.17e-06	7.008e-06	0	3.769e-05
-Vesicular Transport	TOTAL	0	0	0.00304	0.003876	0.004451	0.004503	0.01978	0.02307	0.01471	0.01623	0.01913	0.0254
-Cytoskeleton	TOTAL	0.02262	0.00315	0.003664	0.007743	0.002986	0.003168	0.05124	0.03994	0.06306	0.06793	0.1087	0.1372
-Cell Motility	TOTAL	0.006342	0.005537	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.02504	0.002346	0.007075	0.006951	0.02243	0.02238	0.01621	0.01551	0.01299	0.01645	0.01639	0.01539
-Cell Communication	TOTAL	0	0	0.0002969	0.0003443	0.0008684	0.0008698	0.006791	0.007087	0.006232	0.01024	0.02442	0.005689
Metabolism	TOTAL	0.4644	0.4323	0.3796	0.4642	0.378	0.4132	0.2497	0.2759	0.1768	0.1712	0.2242	0.2553
-Membrane Transport	TOTAL	0.04041	0.05535	0.01591	0.01135	0.01144	0.00942	0.003664	0.002684	0.003901	0.002529	0.001528	0.0007551
-Central Carbon Metabolism	TOTAL	0.1807	0.08968	0.1604	0.1926	0.1721	0.1614	0.08939	0.1053	0.04323	0.04474	0.08355	0.1224
-Energy Metabolism	TOTAL	0.05724	0.03337	0.03322	0.04531	0.03243	0.03585	0.0251	0.02917	0.01716	0.0142	0.01269	0.03752
-Biosynthesis	TOTAL	0.09005	0.1438	0.09714	0.1244	0.09681	0.1314	0.05212	0.05684	0.0441	0.04317	0.05143	0.03993
