Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8202	0.9079	0.8747	0.9206	0.8541	0.8558	0.8272	0.8324	0.821	0.8218	0.8841	0.8963
Genetic Information Processing	TOTAL	0.2222	0.3031	0.3669	0.3253	0.3437	0.2961	0.331	0.3225	0.3638	0.3463	0.2558	0.3323
-Transcription	TOTAL	0.003833	0.0108	0.002761	0.002011	0.003814	0.003372	0.03708	0.03462	0.03982	0.03235	0.02987	0.03505
-Translation	TOTAL	0.1213	0.2216	0.2394	0.2044	0.2234	0.1922	0.1062	0.1041	0.1505	0.1377	0.07057	0.1365
-Folding, Sorting and Degradation	TOTAL	0.0385	0.04813	0.1048	0.1081	0.09573	0.0819	0.1352	0.1294	0.112	0.1166	0.09683	0.1271
-DNA Maintenance	TOTAL	0.02902	0.01125	0.01408	0.006201	0.01147	0.01082	0.04618	0.04404	0.04314	0.04392	0.04119	0.02927
-RNA Family	TOTAL	0	2.364e-10	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0	0.005385	0.003237	0.001543	0.004539	0.003743	0.0138	0.01282	0.02018	0.02149	0.01397	0.0186
-Signal Transduction	TOTAL	0	0.005385	0.00153	0.0007317	0.00211	0.001664	0.003223	0.003768	0.003925	0.004593	0.003256	0.002048
-Signaling Molecules and Interaction	TOTAL	0	1.051e-10	0.001647	0.0007778	0.002407	0.002051	0.01058	0.009051	0.01401	0.01486	0.008843	0.0158
Cellular Processes	TOTAL	0.04483	0.009249	0.01153	0.01281	0.02338	0.0226	0.08244	0.07466	0.1228	0.1527	0.2489	0.1731
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	7.817e-07	2.613e-06	0	5.775e-06
-Vesicular Transport	TOTAL	0	0	0.001642	0.001178	0.002136	0.002186	0.01412	0.01434	0.009262	0.01066	0.006043	0.005317
-Cytoskeleton	TOTAL	0.01707	0.003272	0.002895	0.004918	0.001039	0.001149	0.04012	0.03261	0.08545	0.1051	0.206	0.1424
-Cell Motility	TOTAL	0.005774	0.003948	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.02198	0.002029	0.006679	0.006062	0.01976	0.01879	0.01152	0.01176	0.009328	0.01103	0.008593	0.009314
-Cell Communication	TOTAL	0	0	0	0	0	0	0.008629	0.008271	0.0107	0.01558	0.01885	0.008352
Metabolism	TOTAL	0.4469	0.5627	0.4541	0.5372	0.449	0.4949	0.2362	0.2591	0.1935	0.1825	0.1821	0.2534
-Membrane Transport	TOTAL	0.02126	0.05296	0.02174	0.01626	0.01976	0.01411	0.001016	0.0009731	0.002301	0.001235	0.0009766	0.0002444
-Central Carbon Metabolism	TOTAL	0.1183	0.1057	0.1111	0.1029	0.1146	0.09895	0.06368	0.07507	0.03386	0.03674	0.05627	0.09755
-Energy Metabolism	TOTAL	0.00314	0.02039	0.007987	0.01606	0.01095	0.01083	0.007301	0.00724	0.006341	0.005137	0.003087	0.001776
-Biosynthesis	TOTAL	0.06259	0.1566	0.1022	0.1301	0.1066	0.1423	0.03705	0.04056	0.04068	0.03804	0.0405	0.02295
-Other Enzymes	TOTAL	0.1093	0.1417	0.1125	0.1278	0.09665	0.1244	0.09148	0.09624	0.08029	0.07846	0.06504	0.071
Organismal Systems	TOTAL	0	0	0.001277	0.0007679	0.001382	0.001634	0.03202	0.031	0.02488	0.03059	0.02386	0.01775
-Immune System	TOTAL	0	0	6.766e-05	7.835e-05	0.0001852	0.0002263	0.01162	0.01299	0.004473	0.00455	0.002784	0.003831
-Endocrine System	TOTAL	0	0	6.239e-06	3.55e-06	0	0	0.005722	0.002941	0.001582	0.002766	0.0008412	0.002919
-Circulatory System	TOTAL	0	0	0	0	0	0	0.001202	0.001046	0.002232	0.003931	0.00134	0.0005407
-Digestive System	TOTAL	0	0	0	0	0	0	0.0003906	0.0003242	0.00321	0.004218	0.002016	0.0013
-Excretory System	TOTAL	0	0	0	9.247e-06	0	0	0.001735	0.001816	0.001306	0.001427	0.0008581	0.0008135
-Nervous System	TOTAL	0	0	0	0	0	0	0.0003123	0.0003253	0.001858	0.001376	0.0007295	0.0004138
-Sensory System	TOTAL	0	0	0	0	0	0	0	0	3.005e-06	2.207e-05	4.016e-18	0
-Development	TOTAL	0	0	0	0	0	0	0.0007422	0.0007254	0.0008057	0.001023	0.001718	0.0009052
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0	0	4.602e-05	5.188e-05	2.056e-05	6.57e-06
Human Diseases	TOTAL	0	0.001484	0.006543	0.004616	0.01238	0.01421	0.05197	0.04924	0.05588	0.04796	0.04479	0.02484
-Cancers	TOTAL	0	0	1.94e-05	8.948e-06	0	0	0.00322	0.003289	0.004075	0.004359	0.00195	0.001676
-Immune System Diseases	TOTAL	0	0	0	1.62e-06	1.563e-05	3.239e-05	0.001653	0.001429	0.001139	0.001203	0.0003118	0.0008579
-Neurodegenerative Diseases	TOTAL	0	0	0.002988	0.001878	0.002205	0.004736	0.0136	0.01419	0.01322	0.0104	0.008609	0.005191
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0.005302	0.00235	0.004992	0.003107	0.006262	0.003208
-Metabolic Diseases	TOTAL	0	0	0	0	0	0	0	0	2.844e-06	1.573e-08	0	0
-Infectious Diseases	TOTAL	0	8.237e-05	0.0008364	0.0006513	0.001919	0.001312	0.008995	0.008878	0.008773	0.009303	0.008926	0.003927
Not Mapped	TOTAL	0.1798	0.09211	0.1253	0.07939	0.1459	0.1442	0.1728	0.1676	0.179	0.1782	0.1159	0.1037
