Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.8025	0.9254	0.849	0.8927	0.8283	0.826	0.7924	0.7962	0.8026	0.7942	0.7871	0.8947
Genetic Information Processing	TOTAL	0.2271	0.4699	0.4356	0.3839	0.388	0.3476	0.316	0.3134	0.3889	0.3777	0.2878	0.3424
-Transcription	TOTAL	0.003302	0.02265	0.002535	0.001659	0.004509	0.004045	0.02824	0.02693	0.03488	0.02966	0.02904	0.0323
-Translation	TOTAL	0.1444	0.3619	0.3369	0.2754	0.2889	0.2607	0.1179	0.1199	0.2022	0.1893	0.1055	0.1744
-Folding, Sorting and Degradation	TOTAL	0.04936	0.0581	0.07993	0.09976	0.07452	0.06493	0.119	0.1147	0.08803	0.09951	0.09793	0.1022
-DNA Maintenance	TOTAL	0.02231	0.01806	0.009845	0.004103	0.008837	0.008686	0.03677	0.03779	0.04047	0.04143	0.03991	0.02617
-RNA Family	TOTAL	0	4.298e-10	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	TOTAL	0	0.007071	0.004218	0.002073	0.006949	0.005067	0.01779	0.0165	0.02216	0.0265	0.01867	0.03543
-Signal Transduction	TOTAL	0	0.007071	0.001035	0.0004639	0.002687	0.001478	0.003372	0.004132	0.003564	0.00424	0.004566	0.002642
-Signaling Molecules and Interaction	TOTAL	0	1.91e-10	0.003104	0.00151	0.004183	0.003483	0.01431	0.01236	0.01616	0.01976	0.012	0.03129
Cellular Processes	TOTAL	0.04922	0.009004	0.01109	0.01451	0.02537	0.02549	0.06172	0.05415	0.08351	0.0955	0.1407	0.1348
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	2.004e-06	6.924e-06	0	1.445e-05
-Vesicular Transport	TOTAL	0	0	0.001879	0.0014	0.002061	0.002195	0.01115	0.01153	0.008338	0.009839	0.007711	0.004875
-Cytoskeleton	TOTAL	0.01873	0.00315	0.00328	0.00597	0.001187	0.001317	0.0244	0.01762	0.05569	0.06007	0.09434	0.1012
-Cell Motility	TOTAL	0.006342	0.00421	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	TOTAL	0.02414	0.001645	0.005346	0.00653	0.02139	0.02129	0.0126	0.01224	0.009621	0.01252	0.01295	0.01141
-Cell Communication	TOTAL	0	0	0	0	0	0	0.003934	0.003771	0.004502	0.006243	0.01026	0.00277
Metabolism	TOTAL	0.4497	0.4204	0.3726	0.4551	0.366	0.3968	0.2326	0.2564	0.166	0.1629	0.2124	0.226
-Membrane Transport	TOTAL	0.02762	0.04565	0.01538	0.01051	0.01062	0.008671	0.0009969	0.0009452	0.001609	0.0009319	0.0009277	0.0003957
-Central Carbon Metabolism	TOTAL	0.1144	0.06624	0.1092	0.1118	0.1041	0.08175	0.06281	0.07366	0.02949	0.03262	0.06856	0.08122
-Energy Metabolism	TOTAL	0.003547	0.01472	0.006048	0.01169	0.009059	0.01118	0.01029	0.01043	0.008488	0.006989	0.004211	0.001951
-Biosynthesis	TOTAL	0.06723	0.1155	0.06545	0.09005	0.07798	0.1041	0.03044	0.03492	0.03133	0.03046	0.03994	0.02176
-Other Enzymes	TOTAL	0.114	0.1234	0.08635	0.1139	0.08489	0.09938	0.08078	0.08694	0.07242	0.07151	0.07474	0.06608
