K01369	-
K01368	-
K01365	-
K01367	-
K01366	-
K01363	-
K09178	-
K09170	-
K09171	-
K09173	-
K09175	-
K09176	-
K09177	-
K08568	-
K05849	-
K05841	-
K08562	-
K05843	-
K08564	-
K08565	-
K05846	YehY
K05846	YehW
K05847	YehX
K00509	-
K00502	-
K00503	-
K00500	-
K00501	-
K00506	-
K00507	-
K00504	-
K01109	-
K01108	-
K16931	-
K04461	-
K04460	-
K01103	-
K01102	-
K04465	-
K04464	-
K04467	-
K01106	-
K05592	DeaD
K05590	SrmB
K05591	DbpA
K05596	ArgP
K02045	CysA
K14549	-
K14548	-
K14238	SelC
K14235	TrpT
K14234	ThrV
K14234	ThrW
K14234	ThrT
K14234	ThrU
K14237	ValZ
K14237	ValY
K14237	ValX
K14237	ValW
K14237	ValV
K14237	ValU
K14237	ValT
K14547	-
K14546	-
K14545	-
K14544	-
K06573	-
hsa_B8ZZJ2	-
K02044	PhnD
K12528	XdhD
K07958	-
eco_b4155	EpmA
K02047	CysW
K10568	-
hsa_Q9C0K3	-
K02046	CysU
K02456	GspG
K02105	-
K02106	AtoE
K02455	GspF
K02100	AraE
K02453	GspD
K02450	GspA
K02451	GspB
K08138	XylE
K02108	AtpB
K02109	AtpF
K02458	GspI
K02459	GspJ
K08137	GalP
K03850	-
K03853	-
K03854	-
K03857	-
K03859	-
K03858	-
K08132	-
K02195	CcmC
K05601	Hcp
K08130	-
K13014	ArnD
K05842	-
K12358	-
K04883	-
K04882	-
K03718	AsnC
K05845	OsmF
K03719	Lrp
K08567	HybD
K13273	-
K13279	-
K13198	-
K03275	RfaI
K03274	RfaD
K03277	WaaU
K03271	LpcA
K03270	KdsC
K03273	GmhB
K03272	RfaE
mpn_MPN452	-
mpn_MPN453	-
K03279	RfaJ
K12275	-
K12274	-
K12273	-
K12272	-
K16196	-
K16197	-
K16195	-
K16190	-
K09283	-
K16198	-
K08520	-
K13908	-
K06737	-
K06736	-
K06734	-
K06732	-
K06731	-
K06730	-
K06229	-
K01101	-
K06221	DkgA
K09903	PyrH
K06222	DkgB
K09905	-
K09288	-
K11500	-
K16221	-
K16222	-
K16223	-
K11504	-
K11505	-
hsa_Q562P9	-
hsa_Q562P8	-
K11508	-
K11509	-
hsa_Q562P0	-
K00771	-
K00773	Tgt
K00772	-
K01107	-
K00777	-
K00778	-
K09876	-
K07173	LuxS
K07178	-
K07179	-
K10109	MalF
K10108	MalE
K10106	-
K10105	-
K10103	-
K10101	-
K10100	-
K04678	-
K04679	-
K04674	-
K01827	-
K04676	-
K01825	FadB
K04670	-
K01823	Idi
K01821	PptA
K14543	-
spo_SPAP8A3.08	-
K15086	-
K00999	-
K00998	PssA
K00995	PgsA
K14231	PheV
K14231	PheU
K00997	AcpS
K00991	IspD
K00990	GlnD
K00993	-
K14230	MetV
K14230	MetW
K14230	MetT
K14230	MetU
K14230	MetZ
K14230	MetY
K14230	IleX
K14230	IleY
K14233	SerV
K14233	SerW
K14233	SerT
K14233	SerU
K14233	SerX
hsa_Q13841	-
K15889	-
sce_YJR150C	-
K13483	PaoA
K13480	XdhC
K09349	-
