K01369	-
K01368	-
K01365	Dmel_CG6692
K01365	Dmel_CG11459
K01367	-
K01366	-
K01360	Dmel_CG6438
K01363	Dmel_CG10992
K09175	-
K08568	-
K05849	-
K05841	-
K08565	-
K05847	-
K00509	-
K00502	Dmel_CG9122
K00503	Dmel_CG1543
K00500	Dmel_CG7399
K00501	Dmel_CG10118
K00506	-
K00507	Dmel_CG5925
K00507	Dmel_CG5887
K00507	Dmel_CG7923
K00507	Dmel_CG8630
K00507	Dmel_CG9743
K00507	Dmel_CG9747
K00504	Dmel_CG3832
K01109	Dmel_CG42271
K01108	-
K09280	Dmel_CG42267
K09280	Dmel_CG1689
K09280	Dmel_CG1849
K09286	-
K09287	-
K09284	-
K09285	-
K04461	-
K04460	Dmel_CG8402
K01103	-
K01104	Dmel_CG4993
K01104	Dmel_CG32697
K01104	Dmel_CG1395
K01104	Dmel_CG1228
K01104	Dmel_CG18243
K01104	Dmel_CG4965
K01104	Dmel_CG9493
K01104	Dmel_CG6899
K01104	Dmel_CG9554
K01104	Dmel_CG9311
K01104	Dmel_CG10975
K01104	Dmel_CG1817
K01104	Dmel_CG9856
K01104	Dmel_CG11516
K01104	Dmel_CG6542
K01104	Dmel_CG10443
K04467	-
K01106	Dmel_CG9784
K01106	Dmel_CG42283
K05592	-
K05590	-
K05596	-
K14549	Dmel_CG3071
K14548	Dmel_CG5018
K14543	-
K14547	-
K14546	Dmel_CG30349
K14545	Dmel_CG9107
K14544	Dmel_CG12785
K06573	-
hsa_B8ZZJ2	-
K01403	-
eco_b4155	-
hsa_Q9C0K3	-
K05336	Dmel_CG3252
K05336	Dmel_CG8380
K02105	Dmel_CG11579
K08139	-
K02108	-
K02109	-
K03850	Dmel_CG32076
K03853	-
K03854	-
K03857	Dmel_CG6401
K03856	-
K05845	-
K03719	-
K13279	-
K03274	-
K03277	-
K03271	-
K03270	-
K03272	-
mpn_MPN452	-
mpn_MPN453	-
K12275	Dmel_CG4758
K12273	-
K12272	Dmel_CG33162
K12271	-
K16196	-
K16197	Dmel_CG17870
K16195	-
K16190	-
K04468	Dmel_CG7892
K16198	-
K06736	-
K06229	Dmel_CG6054
K01101	-
K01100	-
K06221	-
K09903	-
K06222	-
K06225	Dmel_CG2411
K09288	-
K06227	Dmel_CG1708
K16221	-
K16222	-
K16223	-
hsa_Q562P9	-
hsa_Q562P8	-
hsa_Q562P0	-
K00771	Dmel_CG32300
K00770	-
K00773	Dmel_CG4947
K00772	Dmel_CG4802
K01107	Dmel_CG3028
K07173	-
K07178	Dmel_CG11660
K07179	Dmel_CG11859
K10108	-
K10105	-
K04678	Dmel_CG4943
K04679	Dmel_CG15667
K01827	-
K04676	Dmel_CG12399
K01825	-
K01823	Dmel_CG5919
K01821	-
spo_SPAP8A3.08	-
K15086	-
K00999	Dmel_CG9245
K00998	-
K00995	Dmel_CG7718
K00991	-
K00990	-
K00993	Dmel_CG33116
K00993	Dmel_CG6016
hsa_Q13841	-
K15889	-
sce_YJR150C	-
K13484	-
K02739	Dmel_CG18341
K02739	Dmel_CG3329
K02738	Dmel_CG8392
K05105	-
