Category	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
TOTAL	1	1	1	1	1	1	1	1	1
MAPPED	0.98445779	0.89594171	0.95886612	0.96082647	0.78619593	0.65814591	0.51546234	0.64142437	0.73250735
Genetic Information Processing	0.54831954	0.37791717	0.45994875	0.40946316	0.36410653	0.26162737	0.22984516	0.37044956	0.21118756
-Transcription	0.034760206	0.038989773	0.0030656061	0.0010278711	0.0098406791	0.013558692	0.011947841	0.014594712	0.0031562008
--RNA polymerase	0.012386964	0.0062966329	0.00036499362	0.00027969077	0.0024852724	0.0025869444	0.00037268883	0.00079167998	0.0027528714
--Basal transcription factors	0	0	0.00031327785	4.2812888e-05	0.0011057721	0.0028879128	0.00031804839	0.0008971378	0
--Transcription factors	0.022373242	0.03269314	0.00075004888	0.0003071674	0.0017943983	0.0015110278	0.0001998367	0.00092968235	0.00040332937
--Spliceosome	0	0	0.0016372857	0.00039820006	0.0044552363	0.0065728067	0.011057267	0.011976212	0
-Translation	0.40322634	0.23549567	0.3875988	0.34569297	0.26699901	0.15324925	0.15288594	0.24206741	0.15462669
--Ribosome	0.3296068	0.1899764	0.32111887	0.29732831	0.18309355	0.10123861	0.12873246	0.19854313	0.1265694
--Translation factors	0.058160051	0.033664298	0.050494896	0.037292598	0.038667661	0.012217327	0.0068598908	0.01039108	0.021319732
--tRNA loading	0.014756302	0.010700603	0.0093420148	0.0067672503	0.013199416	0.0087785903	0.0028103982	0.0048527585	0.0063528891
--RNA transport	0	1.638624e-05	0.0038053839	0.0017083548	0.018112524	0.016130873	0.010102235	0.017409152	0
--mRNA surveillance pathway	0	0	0.00014547689	0.00037331632	0.0029220376	0.003464628	0.0010044668	0.004023068	0
--Ribosome biogenesis in eukaryotes	0	0	0.0026027669	0.0021870351	0.010137679	0.010396403	0.0030987359	0.00667637	0
--Ribosome biogenesis	0.0007031929	0.0011379824	8.9396409e-05	3.6099506e-05	0.00086614214	0.001022827	0.00027775011	0.00017185918	0.0003846757
-Folding, Sorting and Degradation	0.098746311	0.077621076	0.0645005	0.05575243	0.070940319	0.07223047	0.052258021	0.094477528	0.050822824
--Chaperones and folding catalysts	0.085764258	0.055947286	0.043233505	0.028873514	0.031626295	0.02550531	0.016169828	0.031065705	0.01973503
--Protein export	0.00025087365	0.0026726696	5.7041516e-05	0	0.0037301978	0.0037430214	0.0030210946	0.0052976951	0.006551195
--Protein processing in endoplasmic reticulum	0	0	0.0029820159	0.0034001071	0.0093996827	0.010221351	0.0138533	0.020559135	0.00013979304
--SNARE interactions in vesicular transport	0	0	1.3554618e-05	0	0.00099646923	0.0021706776	0.0014874499	0.0016811525	0
--SNAREs	0	0	0	0	0	0	1.0854655e-05	9.889221e-06	0
--Ubiquitin mediated proteolysis	0	0	0.00091652842	0.0011902385	0.0036321674	0.0050214117	0.0017321178	0.0053758746	0
--Ubiquitin labeling	0	0	0.00015400609	0.0004977551	0.0012456692	0.0014107794	0.0022319272	0.0030389375	0
--Sulfur relay system	0.00018635364	0.0020460863	0.012199777	0.013543847	0.00053927484	0.00078164416	8.7028322e-05	0.00018620708	0.00065962512
--Proteasome	0	0	0.0019693638	0.00059196355	0.010310204	0.013247073	0.0078073291	0.017045076	0
--Peptidases	0.0056734584	0.0085502552	0.00051235254	0.0054819391	0.0032253849	0.0034810491	0.0017341587	0.0020594042	0.011832529
--RNA degradation	0.0068713671	0.0084047785	0.0024623555	0.0021730656	0.0062349739	0.0066481524	0.0041229321	0.0081584516	0.011904652
-DNA Maintenance	0.011586684	0.025810653	0.0047838391	0.0069898974	0.016326522	0.022588955	0.012753361	0.01930991	0.0025818442
--DNA replication	0	0.0012258624	0.00098063756	0.00055439675	0.0011911913	0.0013783198	0.0012680548	0.0031575674	0.00052442572
--DNA replication complex	0.00034996972	0.00023087492	0.00036829719	0.00021772263	0.0003107355	0.00022252976	0.00012718954	0.00067920338	0.00042480806
--DNA replication control	0.0022949888	0.0082414304	0.00089622653	0.00024873685	0.00016668976	5.8701432e-05	0.00014474607	0.0011518263	0.00057295309
--Chromosome-related	0.0083857268	0.014421386	0.0017425592	0.0053037128	0.012141395	0.017917488	0.0097345356	0.011790713	0.00015175332
--Base excision repair	0	0.00026414559	1.7558936e-05	0.00016405577	1.6627655e-05	4.9135745e-05	0.0002138367	0.00035772155	0
--Nucleotide excision repair	4.2579548e-05	0.00015143298	5.0694671e-05	8.017869e-05	0.00042936043	0.00057661961	0.00092355706	0.00071733847	0.00011582546
--Mismatch repair	0	0.00018420377	2.0842477e-05	0	6.0213267e-05	7.3655789e-06	3.5635282e-06	8.4284427e-05	0
--Homologous recombination	0.00036275579	0.00053970058	7.3739524e-05	5.5093956e-05	7.4047608e-06	0.00019603281	9.8111075e-05	5.1574505e-05	0.00076277604
--Non-homologous end-joining	0	0	0.00043905349	0.00010285143	0	2.8059348e-05	3.5479215e-05	5.8822019e-05	0
--DNA repair and recombination proteins	0.00015066328	0.00055161577	0.00019422946	0.00026314851	0.0020029051	0.0021547029	0.00020428761	0.001260859	2.9302489e-05
Environmental Information Processing	0.0012777809	0.012722855	0.0041308349	0.0023423675	0.010973145	0.015806341	0.014196972	0.025376623	0.028046554
-Signal Transduction	0.0012777809	0.012644904	0.0014775935	0.00079016913	0.0024971895	0.0049275085	0.0044599286	0.015416397	0.028046554
--Hippo signaling pathway	0	0	0	0	2.7916609e-05	2.4743243e-05	0	0.0031974765	0
--FoxO signaling pathway	0	0	0	0	0	0	0	3.2075268e-05	0
--Two-component system	0.0012777809	0.012644904	0	0	0	0	3.0473068e-06	0	0.028046554
--MAPK signaling pathway	0	0	0.0013084911	0.0006513388	0.0011778859	0.0020110581	0.0001891051	0.0035249483	0
--ErbB signaling pathway	0	0	0.0001587512	0.00012584577	3.7734529e-05	3.7306179e-05	1.0665574e-05	0.00025197915	0
--Wnt signaling pathway	0	0	0	0	0	0	0	0.0023375954	0
--Notch signaling pathway	0	0	0	0	0	0	0	6.0592822e-05	0
--Hedgehog signaling pathway	0	0	0	0	0	0	4.5559538e-06	0.00010508089	0
--TGF-beta signaling pathway	0	0	0	0	0	0	0	4.4284037e-05	0
