Category	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
TOTAL	1	1	1	1	1	1	1	1	1
MAPPED	0.98117679	0.8808009	0.95850987	0.96161515	0.79676885	0.66911974	0.52223614	0.64701354	0.66520591
Genetic Information Processing	0.39953558	0.26294063	0.36024043	0.2951959	0.32369731	0.23360681	0.23494403	0.33334708	0.18071501
-Transcription	0.035205697	0.028911844	0.0062707483	0.002813018	0.011669353	0.013614574	0.011804939	0.018443484	0.0064916189
--RNA polymerase	0.025500609	0.014373807	0.00082520612	0.0010638925	0.0032819252	0.0023685854	0.00029805962	0.0012462685	0.0062449054
--Basal transcription factors	0	0	0.00047854249	9.8022872e-05	0.0011453106	0.0028256738	0.000422362	0.0010763138	0
--Transcription factors	0.0097050878	0.014538037	0.0014076702	0.00074274789	0.0015448836	0.0015342231	0.00020807185	0.0036220671	0.0002467135
--Spliceosome	0	0	0.0035593295	0.0009083547	0.0056972332	0.0068860919	0.010876446	0.012498834	0
-Translation	0.27697475	0.14541451	0.26341467	0.22077535	0.20254345	0.11389368	0.15027267	0.16352524	0.10450274
--Ribosome	0.16335162	0.083397858	0.16999041	0.15566547	0.093935733	0.049225954	0.12468012	0.10749927	0.062535911
--Translation factors	0.08497103	0.040541289	0.069407076	0.047860267	0.052462004	0.017390434	0.0092276841	0.014450271	0.028597676
--tRNA loading	0.027800457	0.020217544	0.016995804	0.013388272	0.023450381	0.016389387	0.0032743139	0.0082949243	0.012709789
--RNA transport	0	2.2093271e-05	0.0047598949	0.0020183443	0.019575656	0.016315401	0.0084596399	0.022229395	0
--mRNA surveillance pathway	0	0	0.00023484066	0.00046429779	0.0034186153	0.0039131407	0.0011042268	0.0046621543	0
--Ribosome biogenesis in eukaryotes	0	0	0.0019127558	0.0013491567	0.0084910851	0.0092827362	0.0032528185	0.0060990513	0
--Ribosome biogenesis	0.00085163872	0.0012357233	0.00011389342	2.9543811e-05	0.0012099803	0.0013766252	0.00027386719	0.00029017455	0.00065936367
-Folding, Sorting and Degradation	0.079377272	0.072263569	0.079317714	0.063430722	0.090304206	0.083279127	0.054880294	0.12088078	0.065155032
--Chaperones and folding catalysts	0.058049531	0.041429947	0.060712626	0.037783793	0.042202163	0.029557626	0.01700196	0.042090186	0.022717778
--Protein export	0.00078215482	0.0028633325	7.3419767e-05	0	0.0054123756	0.0046494148	0.0036779382	0.0080478929	0.0079464242
