Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
TOTAL	TOTAL	1	1	1	1	1	1	1	1	1
MAPPED	TOTAL	0.9845	0.8959	0.9589	0.9608	0.7862	0.6581	0.5155	0.6414	0.7325
Genetic Information Processing	TOTAL	0.5483	0.3779	0.4599	0.4095	0.3641	0.2616	0.2298	0.3704	0.2112
-Transcription	TOTAL	0.03476	0.03899	0.003066	0.001028	0.009841	0.01356	0.01195	0.01459	0.003156
-Translation	TOTAL	0.4032	0.2355	0.3876	0.3457	0.267	0.1532	0.1529	0.2421	0.1546
-Folding, Sorting and Degradation	TOTAL	0.09875	0.07762	0.0645	0.05575	0.07094	0.07223	0.05226	0.09448	0.05082
-DNA Maintenance	TOTAL	0.01159	0.02581	0.004784	0.00699	0.01633	0.02259	0.01275	0.01931	0.002582
Environmental Information Processing	TOTAL	0.001278	0.01272	0.004131	0.002342	0.01097	0.01581	0.0142	0.02538	0.02805
-Signal Transduction	TOTAL	0.001278	0.01264	0.001478	0.0007902	0.002497	0.004928	0.00446	0.01542	0.02805
-Signaling Molecules and Interaction	TOTAL	0	7.795e-05	0.002653	0.001552	0.008476	0.01088	0.009737	0.00996	0
Cellular Processes	TOTAL	0.008745	0.01623	0.02247	0.0174	0.01877	0.0292	0.01227	0.06153	0.004054
-Hemoglobin	TOTAL	0	0	0	0	0	0	0	0	0
-Vesicular Transport	TOTAL	0	0	0.0005684	0.0005171	0.002979	0.006416	0.005672	0.01668	0
-Cytoskeleton	TOTAL	0.002647	0.003836	0.01425	0.01333	0.01305	0.01747	0.006512	0.03715	0.001411
-Cell Motility	TOTAL	0.001603	0.01121	0	0	0	0	0	0	0.002642
-Cell Growth and Death	TOTAL	0.004495	0.001187	0.007654	0.003554	0.002739	0.005313	8.986e-05	0.007569	0
-Cell Communication	TOTAL	0	0	0	0	0	0	0	0.0001376	0
Metabolism	TOTAL	0.4261	0.4891	0.4723	0.5316	0.3923	0.3515	0.2546	0.1809	0.4892
-Membrane Transport	TOTAL	0.02755	0.1035	0.002568	0.001593	0.00332	0.003908	0.0009749	0.0005179	0.01253
-Central Carbon Metabolism	TOTAL	0.1287	0.1753	0.3778	0.348	0.1577	0.1402	0.08743	0.06343	0.05773
-Energy Metabolism	TOTAL	0.007241	0.01945	0.004171	0.01164	0.01931	0.04221	0.07982	0.04324	0.3458
-Biosynthesis	TOTAL	0.2287	0.1395	0.06094	0.1405	0.1801	0.1348	0.07483	0.05871	0.06782
-Other Enzymes	TOTAL	0.03388	0.0513	0.02685	0.02987	0.03193	0.0304	0.01158	0.015	0.005358
Organismal Systems	TOTAL	0	0	0	0	0	0	0.004523	0.003172	0
-Immune System	TOTAL	0	0	0	0	0	0	0.0001938	0.0003736	0
-Endocrine System	TOTAL	0	0	0	0	0	0	0	0	0
-Circulatory System	TOTAL	0	0	0	0	0	0	0	0	0
-Digestive System	TOTAL	0	0	0	0	0	0	0	0	0
-Excretory System	TOTAL	0	0	0	0	0	0	0	0	0
-Nervous System	TOTAL	0	0	0	0	0	0	0	0	0
-Sensory System	TOTAL	0	0	0	0	0	0	0	0.0004615	0
-Development	TOTAL	0	0	0	0	0	0	0	0.002337	0
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0.004329	0	0
Human Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Cancers	TOTAL	0	0	0	0	0	0	0	0	0
-Immune System Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0	0	0
