Numerator	Denominator	eco Lu	eco Arike 2012	sce Lu rich	sce Lu minimal	spo Marguerat proliferating	spo Marguerat quiescent	ath Castellana	dme Brunner 2007	syn Wegener
Environmental Information Processing	Genetic Information Processing	0.003287	0.04042	0.01501	0.009975	0.0272	0.05077	0.04753	0.1054	0.1307
-Signal Transduction	Genetic Information Processing	0.003287	0.04013	0.009731	0.007132	0.006692	0.01694	0.01315	0.07435	0.1307
-Signaling Molecules and Interaction	Genetic Information Processing	0	0.0002911	0.005282	0.002843	0.02051	0.03383	0.03438	0.03107	0
Cellular Processes	Genetic Information Processing	0.02273	0.07348	0.06161	0.0556	0.06244	0.1328	0.05276	0.2298	0.04237
-Hemoglobin	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Vesicular Transport	Genetic Information Processing	0	0	0.003863	0.002687	0.01517	0.04291	0.02178	0.05848	0
-Cytoskeleton	Genetic Information Processing	0.005216	0.01357	0.03473	0.04072	0.03943	0.07168	0.0308	0.1533	0.01099
-Cell Motility	Genetic Information Processing	0.00389	0.05474	0	0	0	0	0	0	0.03137
-Cell Growth and Death	Genetic Information Processing	0.01363	0.00517	0.02301	0.01219	0.007834	0.01822	0.000181	0.01725	0
-Cell Communication	Genetic Information Processing	0	0	0	0	0	0	0	0.0007634	0
Metabolism	Genetic Information Processing	1.43	2.236	1.584	2.192	1.372	1.681	1.101	0.5965	2.508
-Membrane Transport	Genetic Information Processing	0.06131	0.3911	0.01121	0.01191	0.02226	0.03852	0.009355	0.002135	0.09359
-Central Carbon Metabolism	Genetic Information Processing	0.469	0.9598	1.244	1.364	0.5208	0.6533	0.3774	0.2421	0.4296
-Energy Metabolism	Genetic Information Processing	0.01787	0.08327	0.02009	0.05149	0.05169	0.1539	0.3082	0.1211	1.425
-Biosynthesis	Genetic Information Processing	0.8164	0.6196	0.2106	0.6682	0.6907	0.7127	0.3631	0.1803	0.5286
-Other Enzymes	Genetic Information Processing	0.06517	0.1821	0.0982	0.09587	0.08639	0.1223	0.04314	0.05086	0.03143
Organismal Systems	Genetic Information Processing	0	0	0	0	0	0	0.02129	0.009247	0
-Immune System	Genetic Information Processing	0	0	0	0	0	0	0.0008239	0.0006007	0
-Endocrine System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Circulatory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Digestive System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Excretory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Nervous System	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Sensory System	Genetic Information Processing	0	0	0	0	0	0	0	0.001653	0
-Development	Genetic Information Processing	0	0	0	0	0	0	0	0.006993	0
-Environmental Adaptation	Genetic Information Processing	0	0	0	0	0	0	0.02047	0	0
Human Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Cancers	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Immune System Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
-Infectious Diseases	Genetic Information Processing	0	0	0	0	0	0	0	0	0
Not Mapped	Genetic Information Processing	0.04711	0.4533	0.1152	0.13	0.6278	1.416	2.034	1.059	1.853
-Not Mapped	Genetic Information Processing	0.04711	0.4533	0.1152	0.13	0.6278	1.416	2.034	1.059	1.853
TOTAL	-Transcription	28.4	34.59	159.5	355.5	85.69	73.45	84.71	54.22	154
MAPPED	-Transcription	27.87	30.47	152.9	341.8	68.28	49.15	44.24	35.08	102.5
Genetic Information Processing	-Transcription	11.35	9.095	57.45	104.9	27.74	17.16	19.9	18.07	27.84
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	7.867	5.03	42.01	78.48	17.36	8.366	12.73	8.866	16.1
-Folding, Sorting and Degradation	-Transcription	2.255	2.499	12.65	22.55	7.739	6.117	4.649	6.554	10.04
-DNA Maintenance	-Transcription	0.2266	0.5655	1.792	2.907	1.644	1.676	1.524	1.654	0.7033
Environmental Information Processing	-Transcription	0.03731	0.3676	0.8625	1.047	0.7546	0.8712	0.946	1.905	3.637
-Signal Transduction	-Transcription	0.03731	0.365	0.559	0.7485	0.1856	0.2907	0.2618	1.344	3.637
-Signaling Molecules and Interaction	-Transcription	0	0.002647	0.3035	0.2983	0.5689	0.5805	0.6842	0.5616	0
Cellular Processes	-Transcription	0.258	0.6683	3.539	5.834	1.732	2.279	1.05	4.154	1.179
-Hemoglobin	-Transcription	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Transcription	0	0	0.2219	0.282	0.4209	0.7363	0.4335	1.057	0
-Cytoskeleton	-Transcription	0.05919	0.1234	1.995	4.273	1.094	1.23	0.613	2.772	0.3061
-Cell Motility	-Transcription	0.04414	0.4979	0	0	0	0	0	0	0.8734
-Cell Growth and Death	-Transcription	0.1546	0.04702	1.322	1.279	0.2173	0.3127	0.003603	0.3118	0
-Cell Communication	-Transcription	0	0	0	0	0	0	0	0.0138	0
Metabolism	-Transcription	16.23	20.33	91	230	38.05	28.84	21.92	10.78	69.82
-Membrane Transport	-Transcription	0.6958	3.557	0.6438	1.25	0.6174	0.661	0.1862	0.03859	2.605
-Central Carbon Metabolism	-Transcription	5.322	8.729	71.47	143.2	14.45	11.21	7.511	4.376	11.96
-Energy Metabolism	-Transcription	0.2028	0.7573	1.154	5.404	1.434	2.641	6.134	2.188	39.66
-Biosynthesis	-Transcription	9.265	5.635	12.1	70.12	19.16	12.23	7.227	3.258	14.72
-Other Enzymes	-Transcription	0.7396	1.656	5.641	10.06	2.396	2.098	0.8585	0.9192	0.875
Organismal Systems	-Transcription	0	0	0	0	0	0	0.4238	0.1671	0
-Immune System	-Transcription	0	0	0	0	0	0	0.0164	0.01086	0
-Endocrine System	-Transcription	0	0	0	0	0	0	0	0	0
-Circulatory System	-Transcription	0	0	0	0	0	0	0	0	0
-Digestive System	-Transcription	0	0	0	0	0	0	0	0	0
-Excretory System	-Transcription	0	0	0	0	0	0	0	0	0
-Nervous System	-Transcription	0	0	0	0	0	0	0	0	0
-Sensory System	-Transcription	0	0	0	0	0	0	0	0.02987	0
-Development	-Transcription	0	0	0	0	0	0	0	0.1264	0
-Environmental Adaptation	-Transcription	0	0	0	0	0	0	0.4074	0	0
Human Diseases	-Transcription	0	0	0	0	0	0	0	0	0
-Cancers	-Transcription	0	0	0	0	0	0	0	0	0
-Immune System Diseases	-Transcription	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-Transcription	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	-Transcription	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Transcription	0	0	0	0	0	0	0	0	0
Not Mapped	-Transcription	0.5347	4.123	6.616	13.65	17.42	24.3	40.47	19.14	51.57
-Not Mapped	-Transcription	0.5347	4.123	6.616	13.65	17.42	24.3	40.47	19.14	51.57
TOTAL	-Translation	3.61	6.877	3.796	4.529	4.937	8.78	6.655	6.115	9.569
MAPPED	-Translation	3.542	6.057	3.639	4.356	3.934	5.875	3.475	3.957	6.365
Genetic Information Processing	-Translation	1.442	1.808	1.368	1.337	1.598	2.051	1.563	2.039	1.729
-Transcription	-Translation	0.1271	0.1988	0.02381	0.01274	0.05761	0.1195	0.07856	0.1128	0.06212
-Translation	-Translation	1	1	1	1	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.2866	0.4969	0.3011	0.2873	0.4459	0.7312	0.3652	0.7392	0.6235
-DNA Maintenance	-Translation	0.0288	0.1124	0.04266	0.03704	0.0947	0.2004	0.1197	0.1865	0.04369
Environmental Information Processing	-Translation	0.004742	0.07309	0.02053	0.01334	0.04347	0.1041	0.07431	0.2149	0.2259
-Signal Transduction	-Translation	0.004742	0.07257	0.01331	0.009537	0.0107	0.03475	0.02056	0.1516	0.2259
-Signaling Molecules and Interaction	-Translation	0	0.0005263	0.007224	0.003801	0.03278	0.06939	0.05375	0.06334	0
Cellular Processes	-Translation	0.03279	0.1329	0.08425	0.07434	0.09979	0.2724	0.0825	0.4685	0.07327
-Hemoglobin	-Translation	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Translation	0	0	0.005283	0.003593	0.02425	0.08802	0.03405	0.1192	0
-Cytoskeleton	-Translation	0.007524	0.02454	0.0475	0.05444	0.06302	0.147	0.04816	0.3126	0.01901
-Cell Motility	-Translation	0.005611	0.09899	0	0	0	0	0	0	0.05425
-Cell Growth and Death	-Translation	0.01966	0.009348	0.03147	0.0163	0.01252	0.03738	0.000283	0.03516	0
-Cell Communication	-Translation	0	0	0	0	0	0	0	0.001556	0
Metabolism	-Translation	2.062	4.043	2.166	2.931	2.192	3.447	1.722	1.216	4.337
-Membrane Transport	-Translation	0.08845	0.7072	0.01533	0.01592	0.03557	0.07901	0.01463	0.004353	0.1618
-Central Carbon Metabolism	-Translation	0.6765	1.736	1.701	1.824	0.8323	1.34	0.59	0.4935	0.7429
-Energy Metabolism	-Translation	0.02578	0.1506	0.02747	0.06885	0.08261	0.3156	0.4818	0.2468	2.464
-Biosynthesis	-Translation	1.178	1.12	0.2881	0.8935	1.104	1.462	0.5678	0.3675	0.9141
-Other Enzymes	-Translation	0.09401	0.3292	0.1343	0.1282	0.1381	0.2508	0.06744	0.1037	0.05435
Organismal Systems	-Translation	0	0	0	0	0	0	0.03329	0.01885	0
-Immune System	-Translation	0	0	0	0	0	0	0.001288	0.001224	0
-Endocrine System	-Translation	0	0	0	0	0	0	0	0	0
-Circulatory System	-Translation	0	0	0	0	0	0	0	0	0
-Digestive System	-Translation	0	0	0	0	0	0	0	0	0
-Excretory System	-Translation	0	0	0	0	0	0	0	0	0
-Nervous System	-Translation	0	0	0	0	0	0	0	0	0
-Sensory System	-Translation	0	0	0	0	0	0	0	0.003369	0
-Development	-Translation	0	0	0	0	0	0	0	0.01426	0
-Environmental Adaptation	-Translation	0	0	0	0	0	0	0.032	0	0
Human Diseases	-Translation	0	0	0	0	0	0	0	0	0
-Cancers	-Translation	0	0	0	0	0	0	0	0	0
-Immune System Diseases	-Translation	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-Translation	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	-Translation	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Translation	0	0	0	0	0	0	0	0	0
Not Mapped	-Translation	0.06796	0.8197	0.1575	0.1739	1.003	2.905	3.179	2.159	3.204
-Not Mapped	-Translation	0.06796	0.8197	0.1575	0.1739	1.003	2.905	3.179	2.159	3.204
TOTAL	-Folding, Sorting and Degradation	12.6	13.84	12.61	15.77	11.07	12.01	18.22	8.273	15.35
MAPPED	-Folding, Sorting and Degradation	12.36	12.19	12.08	15.16	8.823	8.035	9.516	5.352	10.21
Genetic Information Processing	-Folding, Sorting and Degradation	5.033	3.639	4.542	4.654	3.585	2.805	4.281	2.758	2.774
-Transcription	-Folding, Sorting and Degradation	0.4435	0.4001	0.07906	0.04435	0.1292	0.1635	0.2151	0.1526	0.09963
-Translation	-Folding, Sorting and Degradation	3.489	2.012	3.321	3.481	2.243	1.368	2.738	1.353	1.604
-Folding, Sorting and Degradation	-Folding, Sorting and Degradation	1	1	1	1	1	1	1	1	1
-DNA Maintenance	-Folding, Sorting and Degradation	0.1005	0.2263	0.1417	0.1289	0.2124	0.274	0.3277	0.2523	0.07007
Environmental Information Processing	-Folding, Sorting and Degradation	0.01655	0.1471	0.06819	0.04642	0.09751	0.1424	0.2035	0.2907	0.3624
-Signal Transduction	-Folding, Sorting and Degradation	0.01655	0.146	0.0442	0.03319	0.02399	0.04752	0.05631	0.205	0.3624
-Signaling Molecules and Interaction	-Folding, Sorting and Degradation	0	0.001059	0.02399	0.01323	0.07352	0.0949	0.1472	0.08568	0
Cellular Processes	-Folding, Sorting and Degradation	0.1144	0.2674	0.2798	0.2587	0.2238	0.3726	0.2259	0.6338	0.1175
-Hemoglobin	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-Folding, Sorting and Degradation	0	0	0.01755	0.01251	0.05439	0.1204	0.09325	0.1613	0
-Cytoskeleton	-Folding, Sorting and Degradation	0.02625	0.04938	0.1577	0.1895	0.1413	0.2011	0.1319	0.4229	0.03049
-Cell Motility	-Folding, Sorting and Degradation	0.01958	0.1992	0	0	0	0	0	0	0.08702
-Cell Growth and Death	-Folding, Sorting and Degradation	0.06859	0.01881	0.1045	0.05674	0.02808	0.05112	0.000775	0.04757	0
-Cell Communication	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.002105	0
Metabolism	-Folding, Sorting and Degradation	7.197	8.136	7.195	10.2	4.917	4.715	4.714	1.645	6.956
-Membrane Transport	-Folding, Sorting and Degradation	0.3086	1.423	0.0509	0.05541	0.07979	0.1081	0.04005	0.005888	0.2596
-Central Carbon Metabolism	-Folding, Sorting and Degradation	2.361	3.492	5.65	6.35	1.867	1.833	1.616	0.6676	1.192
-Energy Metabolism	-Folding, Sorting and Degradation	0.08996	0.303	0.09122	0.2396	0.1853	0.4317	1.319	0.3339	3.952
-Biosynthesis	-Folding, Sorting and Degradation	4.109	2.255	0.9566	3.11	2.476	1.999	1.555	0.4972	1.466
-Other Enzymes	-Folding, Sorting and Degradation	0.328	0.6625	0.446	0.4462	0.3097	0.3431	0.1847	0.1402	0.08718
Organismal Systems	-Folding, Sorting and Degradation	0	0	0	0	0	0	0.09116	0.0255	0
-Immune System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0.003527	0.001656	0
-Endocrine System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Circulatory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Digestive System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Excretory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Nervous System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Sensory System	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.004557	0
-Development	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0.01929	0
-Environmental Adaptation	-Folding, Sorting and Degradation	0	0	0	0	0	0	0.08764	0	0
Human Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Cancers	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Immune System Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-Folding, Sorting and Degradation	0	0	0	0	0	0	0	0	0
Not Mapped	-Folding, Sorting and Degradation	0.2371	1.65	0.5231	0.6051	2.251	3.973	8.706	2.92	5.138
-Not Mapped	-Folding, Sorting and Degradation	0.2371	1.65	0.5231	0.6051	2.251	3.973	8.706	2.92	5.138
TOTAL	-DNA Maintenance	125.3	61.16	88.99	122.3	52.14	43.82	55.6	32.79	219
MAPPED	-DNA Maintenance	123	53.87	85.3	117.6	41.54	29.32	29.04	21.22	145.7
Genetic Information Processing	-DNA Maintenance	50.08	16.08	32.06	36.1	16.88	10.24	13.06	10.93	39.58
-Transcription	-DNA Maintenance	4.413	1.768	0.558	0.344	0.6084	0.5966	0.6563	0.6048	1.422
-Translation	-DNA Maintenance	34.72	8.893	23.44	27	10.56	4.991	8.355	5.362	22.89
-Folding, Sorting and Degradation	-DNA Maintenance	9.95	4.42	7.058	7.757	4.708	3.649	3.051	3.964	14.27
-DNA Maintenance	-DNA Maintenance	1	1	1	1	1	1	1	1	1
Environmental Information Processing	-DNA Maintenance	0.1646	0.6501	0.4813	0.3601	0.4591	0.5198	0.6209	1.152	5.172
-Signal Transduction	-DNA Maintenance	0.1646	0.6454	0.312	0.2575	0.1129	0.1734	0.1718	0.8127	5.172
-Signaling Molecules and Interaction	-DNA Maintenance	0	0.004681	0.1693	0.1026	0.3461	0.3463	0.4491	0.3396	0
Cellular Processes	-DNA Maintenance	1.138	1.182	1.975	2.007	1.054	1.36	0.6892	2.512	1.677
-Hemoglobin	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Vesicular Transport	-DNA Maintenance	0	0	0.1238	0.09702	0.2561	0.4393	0.2845	0.6392	0
-Cytoskeleton	-DNA Maintenance	0.2612	0.2183	1.113	1.47	0.6655	0.7338	0.4024	1.676	0.4352
-Cell Motility	-DNA Maintenance	0.1948	0.8803	0	0	0	0	0	0	1.242
-Cell Growth and Death	-DNA Maintenance	0.6824	0.08313	0.7378	0.4401	0.1322	0.1866	0.002365	0.1885	0
-Cell Communication	-DNA Maintenance	0	0	0	0	0	0	0	0.008344	0
Metabolism	-DNA Maintenance	71.6	35.96	50.78	79.13	23.15	17.21	14.38	6.519	99.27
-Membrane Transport	-DNA Maintenance	3.071	6.289	0.3592	0.4299	0.3756	0.3943	0.1222	0.02334	3.704
-Central Carbon Metabolism	-DNA Maintenance	23.49	15.44	39.88	49.26	8.789	6.688	4.93	2.646	17
-Energy Metabolism	-DNA Maintenance	0.8951	1.339	0.6439	1.859	0.8724	1.575	4.026	1.323	56.39
-Biosynthesis	-DNA Maintenance	40.89	9.964	6.752	24.12	11.66	7.296	4.744	1.971	20.92
-Other Enzymes	-DNA Maintenance	3.264	2.928	3.148	3.461	1.458	1.252	0.5635	0.5559	1.244
Organismal Systems	-DNA Maintenance	0	0	0	0	0	0	0.2782	0.1011	0
-Immune System	-DNA Maintenance	0	0	0	0	0	0	0.01076	0.006565	0
-Endocrine System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Circulatory System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Digestive System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Excretory System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Nervous System	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Sensory System	-DNA Maintenance	0	0	0	0	0	0	0	0.01806	0
-Development	-DNA Maintenance	0	0	0	0	0	0	0	0.07644	0
-Environmental Adaptation	-DNA Maintenance	0	0	0	0	0	0	0.2674	0	0
Human Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Cancers	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Immune System Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Neurodegenerative Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Cardiovascular Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0
-Infectious Diseases	-DNA Maintenance	0	0	0	0	0	0	0	0	0
Not Mapped	-DNA Maintenance	2.359	7.29	3.692	4.694	10.6	14.5	26.56	11.57	73.33
-Not Mapped	-DNA Maintenance	2.359	7.29	3.692	4.694	10.6	14.5	26.56	11.57	73.33
TOTAL	Environmental Information Processing	761.4	94.08	184.9	339.6	113.6	84.31	89.55	28.46	42.35
MAPPED	Environmental Information Processing	747.1	82.87	177.2	326.6	90.49	56.42	46.76	18.41	28.17
